movie,21bridgesmovie,47metersdown,abeautifuldaymovie,abominablemovie,adastramovie,adogsjourneymovie,aftermathmovie,aftermovie,ahiddenlifefilm,alitamovie,amazinggracemov,angelhasfallen,angrybirdsmovie,annabellemovie,annamovie,apollo11movie,arcticdogsmovie,arcticmovie,artofracingmovie,avengers,beachbummovie,bernadettefilm,blackandbluemovie,blackchristmas,blindedbythelightmovie,bombshellmovie,booksmart,breakthroughmovie,brianbanksmovie,brightburnmovie,brittanyrunsmov,captainmarvelofficial,captivestatemovie,catsmovie,charliesangels,childsplaymovie,clarathefilm,coldpursuitmovie,countdown,currentwarmovie,darkwatersmovie,detectivepikachumovie,disneyaladdin,disneyfrozen,disneymaleficent,doctorsleepmovie,dolemiteismyname,dontletgomovie,doramovie,downtonabbey_official,dumbo,escaperoom,everybodyknowsmovie,fastandfuriousmovie,fightingwmyfam,fivefeetapartfilm,fordvferrari,freaksthefilm,geminimanmovie,glassmovie,gloriabellmovie,godzillamovie,goldfinchmovie,goodboysmovie,goodliarmovie,gretafilm,halathemovie,happydeathdaymovie,harrietfilm,hellboymovie,hersmellmovie,highlifemovie,highstrungmovie,honeyboymovie,hotelmumbaifilm,httydragon,hustlemovie,hustlersmovie,isntitromantic,itmovieofficial,jayandsilentbob,johnwickmovie,jojorabbitmovie,jokermovie,judythefilm,jumanjimovie,justmercyfilm,knivesout,lalloronamovie,lastblackmansf,lastchristmasthemovie,latenightmovie,lighthousemovie,lionking,littlethemovie,littlewomenmovie,littlewoodsfilm,longshotmovie,lordsofchaosmovie,lucyintheskyfilm,mamovie2019,marriagestory,meettheaddams,meninblack,midsommarmovie,midwaymovie,missbalamovie,missinglinkfilm,motherlessbklyn,onceinhollywood,onthebasisofsex,overcomermovie,peanutbutterfalcon,petsematarymovie,piercingmovie,playingwithfire,playmobilthemovie,pomsmovie,queenandslim,rambomovie,readyornotfilm,richardjewellfilm,rocketmanmovie,scarystoriesmovie,secretlifeofpets,serenityfilm,shaftmovie,shazammovie,spidermanmovie,spiesindisguise,starwars,stormboymovie,stubermovie,taosdfilm,teenspiritmov,terminator,theaeronautsmov,thebestofenemies,thedeaddontdie,thefarewell,thehighwaymen,thehummingbirdprojectfilm,theintrudermovie,theirishmanfilm,thekitchenmovie,thelegomovie,themustangfilm,thenightingalefilm,theprodigymovie,thesunisalsoastar,theupsidefilm,tolkienmovie,toystory,triplefrontier,uglydolls,uncutgems,underthesilverlake,usmovie,wavesmovie,whatmenwant,wonderparkmovie,wrinklestheclown,xmenmovies,yardiefilm,yesterdaymovie,zombieland
21bridgesmovie,0.99999994,0.93290055,0.9220271,0.86176544,0.9517139,0.7959964,0.9572648,0.9543603,0.969175,0.8908117,0.69394845,0.8985156,0.89759475,0.85248065,0.9439987,0.974586,0.96196884,0.9612641,0.9613275,0.9517914,0.9464323,0.9451955,0.8207703,0.95122385,0.95601135,0.88684136,0.50275475,0.8514377,0.92451215,0.8998931,0.9315278,0.9173728,0.8757872,0.8439969,0.8580174,0.6111881,0.54990685,0.9436501,0.92283416,0.9452521,0.9051688,0.90881324,0.96349883,0.6992382,0.95256186,0.97614986,0.8961208,0.9294223,0.96169215,0.8950798,0.9587812,0.88255113,0.95247746,0.8000504,0.82490766,0.93834513,0.9354577,0.9148661,0.9604479,0.96323574,0.9571331,0.88856816,0.9625293,0.95884496,0.91531706,0.8953216,0.87199163,0.9589028,0.93771267,0.9403875,0.82900566,0.9630953,0.42813352,0.79524976,0.9630776,0.76071024,0.93154216,0.56226486,0.9736977,0.9342324,0.84756684,0.92804915,0.92086864,0.9480216,0.8240491,0.8436644,0.92862284,0.7850954,0.9527686,0.85237885,0.9588584,0.93133765,0.9630953,0.8808081,0.9297124,0.85160303,0.9102838,0.9493217,0.9444885,0.9034053,0.94059175,0.9566482,0.8801484,0.82852226,0.9422879,0.8463477,0.86894697,0.96490717,0.9358749,0.88040864,0.8247857,0.96464914,0.45041743,0.95477855,0.59356105,0.90991193,0.9571355,0.991289,0.7718935,0.95892143,0.9483947,0.9551142,0.96755326,0.95019805,0.8233321,0.9640022,0.94347715,0.9128698,0.7750715,0.88134336,0.47691366,0.95043236,0.9300903,0.9779066,0.8775212,0.9374151,0.9353408,0.95375645,0.93147206,0.94939053,0.9333672,0.969175,0.867724,0.8792029,0.8591975,0.8594629,0.95633495,0.83743066,0.68080336,0.89359933,0.9361671,0.9334206,0.89867574,0.93677884,0.7313401,0.89222664,0.9277125,0.9517301,0.9560521,0.903496,0.94167304,0.969175,0.94821894,0.958864,0.95061046,0.7962244
47metersdown,0.93290055,1.0000001,0.91390306,0.9064537,0.91416276,0.7666255,0.9345575,0.9383338,0.93064064,0.8976629,0.5757245,0.88474137,0.88419086,0.8834322,0.9299664,0.9284347,0.9367301,0.92120576,0.9253425,0.91702783,0.9123908,0.9329337,0.8680728,0.92619324,0.90315765,0.871467,0.56870717,0.89754194,0.8815474,0.905375,0.9222336,0.8854594,0.8898326,0.8118491,0.84903747,0.7583874,0.69334525,0.89024794,0.9219273,0.9229244,0.899465,0.89824283,0.9480396,0.7846279,0.9357067,0.9198606,0.9043223,0.92683923,0.91042864,0.9189543,0.9436477,0.8980221,0.92106366,0.82640356,0.880957,0.92557853,0.8905713,0.8774009,0.9273242,0.9201048,0.93650055,0.8933101,0.91304487,0.90665776,0.8850677,0.8776244,0.8929301,0.92218107,0.92934525,0.9134534,0.8543222,0.9347911,0.45817292,0.8248887,0.9407905,0.88314295,0.94787675,0.6944801,0.9472136,0.92396927,0.8324536,0.8902227,0.9557262,0.9296705,0.90914565,0.88868153,0.90379614,0.8863123,0.92889506,0.8908383,0.89713234,0.8924215,0.9347911,0.87004876,0.91439694,0.86096495,0.8682549,0.94280815,0.9091736,0.92086905,0.9404216,0.9311266,0.8673545,0.86030394,0.94870794,0.903634,0.8923139,0.93175155,0.9034581,0.8312178,0.83655816,0.9257029,0.5097757,0.9104536,0.70316815,0.8756667,0.9394035,0.92894244,0.88412255,0.92550707,0.92221195,0.9093893,0.9283062,0.9198073,0.73873407,0.91744083,0.8878816,0.9365914,0.8113383,0.9023751,0.5560285,0.92375636,0.921124,0.93488973,0.8916918,0.91422606,0.92087835,0.88740087,0.9026286,0.9365394,0.9602969,0.93064064,0.8968372,0.8841025,0.8094423,0.78484774,0.93357766,0.8931214,0.80875003,0.89882797,0.87259924,0.9258396,0.9168694,0.94421417,0.7217477,0.92728436,0.9378891,0.9197112,0.95980364,0.8625659,0.88831544,0.93064064,0.953413,0.90617126,0.9206845,0.8505471
abeautifuldaymovie,0.9220271,0.91390306,0.9999999,0.8254973,0.95129013,0.80120075,0.95267826,0.959849,0.9695482,0.94959265,0.5599977,0.92731756,0.91943496,0.8441214,0.96061707,0.95023847,0.95365804,0.9452811,0.94260156,0.9601516,0.9292853,0.9415596,0.90699524,0.9704841,0.94785553,0.8975036,0.578109,0.8257617,0.88217217,0.98412806,0.9265437,0.95679766,0.86318755,0.76183563,0.878821,0.58610964,0.5017048,0.96336573,0.822529,0.9414416,0.90308774,0.906327,0.9615913,0.8267208,0.9613848,0.940913,0.8358929,0.9649148,0.9285808,0.9286827,0.96282464,0.97147447,0.9633529,0.8906315,0.9060273,0.92129135,0.9316052,0.8181078,0.934565,0.94302016,0.96402,0.8538162,0.8880578,0.93853366,0.9132891,0.9538614,0.86509395,0.9264032,0.94232845,0.94135153,0.7592371,0.96108955,0.3311775,0.70611453,0.9534493,0.76631856,0.8997231,0.4900575,0.92660236,0.93808085,0.8785059,0.8905763,0.90570325,0.9568035,0.784898,0.91511554,0.9133551,0.8149041,0.96814483,0.8725221,0.95337033,0.86422646,0.96108955,0.8488009,0.88451463,0.95568645,0.8819111,0.95214003,0.97685254,0.9113514,0.93780214,0.91372097,0.93001604,0.9342324,0.96506524,0.9141888,0.9683348,0.96155095,0.9150183,0.8548144,0.8209343,0.95291096,0.5893542,0.9108098,0.55620587,0.8829615,0.86330116,0.94289035,0.7424952,0.9346383,0.94274646,0.9469677,0.93063813,0.94812274,0.7093866,0.95145416,0.9526871,0.9364993,0.9015208,0.89444786,0.6454314,0.94568115,0.9640221,0.95368505,0.79139185,0.91699696,0.92385745,0.8551409,0.9311071,0.95758605,0.9216492,0.9695482,0.9214346,0.7881561,0.79706025,0.81174886,0.9532983,0.8172219,0.65655166,0.9005807,0.7983307,0.9339601,0.94829756,0.93100554,0.62114054,0.87346894,0.95491767,0.94694215,0.9074998,0.8474867,0.8888688,0.9695482,0.92549443,0.94408214,0.9677053,0.9042218
abominablemovie,0.86176544,0.9064537,0.8254973,0.9999999,0.8414614,0.68606955,0.8467289,0.88861156,0.84738827,0.8350882,0.5010841,0.8220308,0.8505614,0.91102743,0.85644484,0.88177425,0.8803496,0.8633936,0.87141526,0.85407597,0.87836874,0.85383826,0.81503755,0.85871303,0.83261657,0.8898136,0.6265264,0.94068265,0.82621276,0.8155784,0.86174965,0.8376438,0.8711539,0.68072456,0.85264325,0.7913501,0.7344608,0.78069454,0.88501257,0.8816678,0.87084246,0.90825874,0.893308,0.7927014,0.87956685,0.86860704,0.9246211,0.87080175,0.84413123,0.88239247,0.88772744,0.82407933,0.8381672,0.81162316,0.84690225,0.8843661,0.7957249,0.90023327,0.8887128,0.88310754,0.87137586,0.9157832,0.8863495,0.8517355,0.86971605,0.81405514,0.8903956,0.86903775,0.85677963,0.8280758,0.80829746,0.86275774,0.38739932,0.7972995,0.87131923,0.8573962,0.89652383,0.6874098,0.891174,0.9138163,0.85477465,0.8531218,0.9028435,0.8888708,0.8431282,0.8680857,0.90171295,0.84765345,0.8627502,0.87251675,0.81345564,0.8487182,0.86275774,0.86863,0.83679575,0.77375954,0.89009196,0.88566715,0.82321405,0.9145779,0.9019998,0.8822674,0.8253591,0.77565473,0.8896028,0.85794604,0.8185345,0.85145855,0.88861394,0.7724339,0.85258776,0.8529938,0.4693982,0.8990888,0.7233279,0.84689224,0.8794963,0.8462817,0.84721833,0.86468685,0.832147,0.8510207,0.8770273,0.86589783,0.7296255,0.8625276,0.8228602,0.90034944,0.8009897,0.9101804,0.56004953,0.82343173,0.8568812,0.86971,0.8354343,0.8996015,0.85423505,0.8089787,0.79508364,0.8725157,0.8999634,0.84738827,0.8642028,0.90380496,0.8376668,0.78490525,0.86036116,0.9155757,0.8360861,0.910775,0.8235904,0.8557355,0.88327825,0.9159921,0.66143495,0.876483,0.8712462,0.84576297,0.890531,0.8084192,0.84881335,0.84738827,0.9181945,0.779146,0.85357946,0.8103228
adastramovie,0.9517139,0.91416276,0.95129013,0.8414614,0.99999976,0.76390314,0.97266334,0.97384703,0.98582596,0.937892,0.60525155,0.9388536,0.8827334,0.8634784,0.9656418,0.9609726,0.9427357,0.9675082,0.9837891,0.9536396,0.9124185,0.9411221,0.83081245,0.96947604,0.97132146,0.88170695,0.53403544,0.8574298,0.91945094,0.9291017,0.9352155,0.9556011,0.8843897,0.7683746,0.839656,0.6017244,0.5074685,0.96491957,0.852794,0.95513546,0.92273736,0.926079,0.96109045,0.75996464,0.9475027,0.972611,0.8579019,0.9562929,0.96448755,0.9040276,0.96147525,0.8987751,0.9729891,0.82233155,0.8601495,0.9416951,0.97938025,0.8511949,0.9387489,0.9513262,0.97273284,0.8927621,0.9004261,0.93938965,0.9318993,0.9262735,0.86305463,0.9354306,0.9552292,0.9643717,0.79224175,0.972601,0.3131232,0.7306287,0.9782024,0.76360005,0.91213405,0.4959398,0.9553425,0.93551856,0.85702133,0.93895733,0.91247505,0.9768333,0.81767344,0.8551458,0.93504304,0.7867047,0.9647672,0.8567287,0.97048014,0.87935567,0.972601,0.8632933,0.8796504,0.87129563,0.91873896,0.9507692,0.9767735,0.91436267,0.9506465,0.94893706,0.86868703,0.8451608,0.9478264,0.8675442,0.89033896,0.9847282,0.94659275,0.83540267,0.8421075,0.9857277,0.49166566,0.9192082,0.5383601,0.8487521,0.90023345,0.97029656,0.7568814,0.9792648,0.96417576,0.97540426,0.9519491,0.97071314,0.7464209,0.98060983,0.9537523,0.91768754,0.8190536,0.9277861,0.56299514,0.96789044,0.977584,0.97235745,0.8101186,0.92741334,0.92857724,0.875735,0.9337047,0.96406,0.9358001,0.98582596,0.8554474,0.8603811,0.8533735,0.88774294,0.95667905,0.8117333,0.6814525,0.9042522,0.84569204,0.9295768,0.8956149,0.95599777,0.61002874,0.879603,0.9494324,0.95547664,0.9251188,0.84344333,0.8840658,0.98582596,0.9320316,0.9615431,0.96984357,0.8132246
adogsjourneymovie,0.7959964,0.7666255,0.80120075,0.68606955,0.76390314,1.0000002,0.82247233,0.7897591,0.80564624,0.81199723,0.5668834,0.7590269,0.8399465,0.68615097,0.79572636,0.82856303,0.81823075,0.78682005,0.79048395,0.8518291,0.8285344,0.8370824,0.78987825,0.83212227,0.7886798,0.80313855,0.44762227,0.6747636,0.7049747,0.81776977,0.8195501,0.8289973,0.7476254,0.8065039,0.8074263,0.5060515,0.51135516,0.8079553,0.774882,0.81561613,0.80538,0.689197,0.81099796,0.777314,0.8351201,0.78583026,0.7511503,0.8062778,0.7638263,0.7872765,0.81549656,0.80779564,0.8155054,0.87741244,0.78947145,0.79207134,0.7854869,0.7796539,0.8144,0.7621169,0.79804975,0.64634955,0.7627586,0.79951817,0.7169832,0.819558,0.71579343,0.7700223,0.83186305,0.780187,0.665081,0.80014753,0.50136876,0.7462969,0.77900004,0.68137354,0.7102049,0.5133782,0.7803936,0.77618384,0.79516125,0.7002155,0.81762904,0.73284984,0.6717566,0.8248182,0.76653737,0.761385,0.8207325,0.7999745,0.8045425,0.7749635,0.80014753,0.8413882,0.8143074,0.8345926,0.7246126,0.81035435,0.8029802,0.78169745,0.80603474,0.80534476,0.8481531,0.8119507,0.8251259,0.8181729,0.8052588,0.78533137,0.7093454,0.79905325,0.67856747,0.7557566,0.6868753,0.81916994,0.5734171,0.84517485,0.7763942,0.7984499,0.6434662,0.7514179,0.8080435,0.7235463,0.8271521,0.76064456,0.8381223,0.78751266,0.771638,0.8737057,0.76479304,0.71588236,0.691827,0.78062063,0.7679288,0.7762318,0.78475076,0.78444105,0.82897997,0.71529764,0.8456843,0.81661284,0.798033,0.80564624,0.8039625,0.65760106,0.5906022,0.58657837,0.85091114,0.79838485,0.55635256,0.7165788,0.7731714,0.8696921,0.8081057,0.75341415,0.72337526,0.7843941,0.7794808,0.8528985,0.80560493,0.75136936,0.82867104,0.80564624,0.81836486,0.7905301,0.82409024,0.7840857
aftermathmovie,0.9572648,0.9345575,0.95267826,0.8467289,0.97266334,0.82247233,0.9999998,0.9718676,0.9889129,0.92604065,0.6124084,0.9384757,0.8959852,0.8386246,0.9738586,0.9714382,0.952222,0.97805727,0.97704417,0.96181047,0.9321142,0.9597562,0.8501996,0.9728886,0.959146,0.8864389,0.5130654,0.8568344,0.9034914,0.93958175,0.9538514,0.9495825,0.8887896,0.8279254,0.8337476,0.62011653,0.5629156,0.97412246,0.8681512,0.966162,0.92528373,0.8995602,0.9639239,0.7950323,0.9556188,0.96743923,0.87532085,0.952621,0.9538058,0.90509456,0.96909,0.9114711,0.9780096,0.8387212,0.88425845,0.9609335,0.962392,0.87242264,0.95435584,0.9488583,0.9824595,0.8696421,0.92338187,0.9418627,0.91775864,0.92349017,0.86770505,0.95543337,0.964433,0.97686666,0.8230174,0.98191947,0.40153232,0.7854949,0.9799152,0.79056567,0.9067257,0.55926186,0.9594681,0.9387374,0.853607,0.9277748,0.9498675,0.96427983,0.834729,0.8719457,0.9323138,0.82383853,0.9660517,0.8654907,0.9719529,0.90913486,0.98191947,0.8870741,0.90467083,0.88968706,0.8920108,0.96921915,0.9768512,0.94038,0.964212,0.9591561,0.88542867,0.8724251,0.96305627,0.8997796,0.9100902,0.9814721,0.9302364,0.8539022,0.83275497,0.98226696,0.5228296,0.9378543,0.5857162,0.8980507,0.92859083,0.97598493,0.782385,0.9727409,0.9929557,0.9562079,0.9649316,0.97226083,0.769898,0.9763471,0.9461759,0.94166577,0.8231989,0.9111871,0.59941113,0.97885096,0.9584683,0.9745773,0.8544271,0.936452,0.9602105,0.8994151,0.95950204,0.9741567,0.95563364,0.9889129,0.8768479,0.86016655,0.832787,0.8560982,0.96920544,0.84301025,0.6869825,0.89055026,0.8737747,0.9765078,0.9012867,0.9552255,0.6938365,0.9019577,0.96254754,0.9586237,0.9471645,0.871157,0.91231525,0.9889129,0.93392605,0.970527,0.9695105,0.8402536
aftermovie,0.9543603,0.9383338,0.959849,0.88861156,0.97384703,0.7897591,0.9718676,0.99999994,0.9832819,0.9327458,0.574253,0.9215048,0.9046468,0.89776814,0.9819168,0.96600956,0.95979685,0.9678311,0.9717887,0.9738851,0.92519933,0.95813805,0.85586745,0.97982806,0.96620864,0.90167767,0.5468235,0.8921225,0.91078943,0.93969744,0.95531255,0.96507215,0.91127175,0.7909864,0.86384004,0.6622696,0.57640123,0.9611445,0.8836091,0.97086346,0.9462452,0.9319235,0.97857577,0.81997323,0.966402,0.9702128,0.87765634,0.9732208,0.95758975,0.9302412,0.97868675,0.923855,0.9781696,0.8685742,0.894689,0.9570294,0.9535365,0.88526684,0.95716006,0.96048886,0.9828504,0.9052725,0.92471856,0.9473427,0.93830436,0.93865347,0.87506765,0.958117,0.9701931,0.9600019,0.8227804,0.9830253,0.3560012,0.78044254,0.97727585,0.81567335,0.9289135,0.5618614,0.9629637,0.9551724,0.8746394,0.92519176,0.94535875,0.9761006,0.8508327,0.8999026,0.9509279,0.847808,0.9794564,0.8987414,0.9691714,0.89277834,0.9830253,0.8913105,0.9036563,0.89310205,0.8996696,0.97549164,0.9768437,0.94205,0.974535,0.94734454,0.8890709,0.8658854,0.972453,0.91683644,0.92201793,0.98444086,0.9434537,0.84027135,0.87306285,0.9809605,0.5159399,0.947564,0.61846584,0.88977873,0.9107648,0.964865,0.8053051,0.97369766,0.9648222,0.9654255,0.9691004,0.9702061,0.77100027,0.97600514,0.94988126,0.9516702,0.8562734,0.93073964,0.6133567,0.9652697,0.9657212,0.9775309,0.8433874,0.94103324,0.95185244,0.8808711,0.95193344,0.97767276,0.9442835,0.9832819,0.89134324,0.85826355,0.8404064,0.8464471,0.97195035,0.87284875,0.73682547,0.9209882,0.85037017,0.9468961,0.9294149,0.95651686,0.6711789,0.92279327,0.9707232,0.9581032,0.94369996,0.87369627,0.9085174,0.9832819,0.95908636,0.9538721,0.97626674,0.8616734
ahiddenlifefilm,0.969175,0.93064064,0.9695482,0.84738827,0.98582596,0.80564624,0.9889129,0.9832819,0.9999999,0.9323864,0.6239603,0.9352755,0.9013534,0.8526161,0.9800131,0.9793402,0.9641925,0.97684693,0.9823567,0.9708407,0.9343285,0.9661012,0.8478381,0.98278433,0.98354477,0.88399065,0.52401084,0.85316414,0.9217707,0.9531033,0.9536659,0.9589107,0.8824364,0.8222744,0.8559883,0.60697556,0.536433,0.98760426,0.8742441,0.9618114,0.9270999,0.9117808,0.97402614,0.77829957,0.96420753,0.9791062,0.86297435,0.96518934,0.970109,0.9179731,0.9760637,0.92199653,0.9876595,0.84086317,0.87087625,0.95021826,0.97508717,0.8644704,0.9600029,0.9615927,0.9906867,0.8771663,0.92732763,0.951305,0.9265632,0.9412004,0.8660172,0.9662196,0.96783394,0.9755794,0.8083238,0.9914662,0.3779064,0.76887,0.9849348,0.7765496,0.91796213,0.5338943,0.96895283,0.94114476,0.8505238,0.9296751,0.9333667,0.97504574,0.83087015,0.87199044,0.94213796,0.80700564,0.98029435,0.8705879,0.9883413,0.90373844,0.9914662,0.8709204,0.9049643,0.89440763,0.9059544,0.97128916,0.9891916,0.9230555,0.9616476,0.95496255,0.89026463,0.86947227,0.9675323,0.89056116,0.91711897,0.9941724,0.93836504,0.86136323,0.8341558,0.9925834,0.50392866,0.94009775,0.5723048,0.89364827,0.91264266,0.9862474,0.77068466,0.98089266,0.9846944,0.97604734,0.97291344,0.9744893,0.7718704,0.9865857,0.96177125,0.94035816,0.8287269,0.9069208,0.57478434,0.9855365,0.9695976,0.98353326,0.8403042,0.9375474,0.9572537,0.9077266,0.96110547,0.98043954,0.9434495,0.9999999,0.8798844,0.8503427,0.8404222,0.8669297,0.9760456,0.8339602,0.6796625,0.89702374,0.8662759,0.95295894,0.9098065,0.9554236,0.6768825,0.90215766,0.9645775,0.9720271,0.9452316,0.8736912,0.91560185,0.9999999,0.9365285,0.9848297,0.9843477,0.8362723
alitamovie,0.8908117,0.8976629,0.94959265,0.8350882,0.937892,0.81199723,0.92604065,0.9327458,0.9323864,1.0000001,0.51241755,0.9407735,0.9187516,0.8904802,0.9317233,0.9260563,0.9272348,0.9254887,0.9267068,0.9310766,0.91016114,0.90325576,0.9135979,0.9453717,0.9034025,0.9076644,0.5999047,0.8327704,0.8832346,0.9513035,0.8876785,0.9466664,0.89826936,0.71307135,0.8805645,0.6236823,0.5264264,0.91533846,0.8191524,0.9362903,0.91215485,0.9189256,0.941991,0.84108984,0.943645,0.921046,0.8478692,0.9446124,0.91326636,0.90507865,0.9409691,0.95049006,0.9306389,0.90746015,0.9377584,0.9015683,0.9109716,0.81709254,0.92065185,0.9122673,0.9274994,0.88166785,0.8549366,0.9217494,0.9128368,0.93850356,0.88017875,0.87978727,0.9268905,0.91055006,0.76017445,0.9197312,0.28122467,0.7002209,0.9457553,0.79255337,0.88718724,0.487687,0.9149897,0.9385155,0.91908526,0.91623104,0.91700864,0.93605775,0.80023265,0.9342582,0.91521305,0.83310014,0.9406925,0.89342487,0.8935219,0.8177273,0.9197312,0.90242183,0.8676475,0.94510204,0.91654015,0.93989944,0.9385297,0.91126406,0.9358542,0.909387,0.94362754,0.9179596,0.949116,0.9227646,0.94011116,0.9182663,0.9112385,0.82151455,0.86617947,0.91261506,0.6136052,0.8863235,0.55437624,0.8317236,0.8611604,0.90816885,0.77328426,0.9200153,0.90327626,0.916359,0.9014415,0.9142272,0.70664805,0.9273624,0.92336017,0.9334473,0.91917646,0.91615003,0.674378,0.9078294,0.9616571,0.9268165,0.7908711,0.9160909,0.87804705,0.7888548,0.89615524,0.9229154,0.9289508,0.9323864,0.90466136,0.79540014,0.83463174,0.8187322,0.9274514,0.83744776,0.7009345,0.9126289,0.77805114,0.9251341,0.9403765,0.9237012,0.5572799,0.838662,0.927335,0.9249884,0.88655376,0.8091125,0.8379857,0.9323864,0.92998123,0.8947594,0.9381729,0.9105454
