movie,21bridgesmovie,47metersdown,abeautifuldaymovie,abominablemovie,adastramovie,adogsjourneymovie,aftermathmovie,aftermovie,ahiddenlifefilm,alitamovie,angelhasfallen,angrybirdsmovie,annabellemovie,annamovie,apollo11movie,arcticdogsmovie,arcticmovie,artofracingmovie,avengers,beachbummovie,bernadettefilm,blackandbluemovie,blackchristmas,blindedbythelightmovie,bombshellmovie,booksmart,breakthroughmovie,brianbanksmovie,brightburnmovie,brittanyrunsmov,captainmarvelofficial,captivestatemovie,catsmovie,charliesangels,childsplaymovie,clarathefilm,coldpursuitmovie,countdown,currentwarmovie,darkwatersmovie,detectivepikachumovie,disneyaladdin,disneyfrozen,disneymaleficent,doctorsleepmovie,dolemiteismyname,dontletgomovie,doramovie,downtonabbey_official,dumbo,escaperoom,everybodyknowsmovie,fastandfuriousmovie,fightingwmyfam,fivefeetapartfilm,fordvferrari,freaksthefilm,geminimanmovie,glassmovie,gloriabellmovie,godzillamovie,goldfinchmovie,goodboysmovie,goodliarmovie,gretafilm,halathemovie,happydeathdaymovie,harrietfilm,hellboymovie,hersmellmovie,highlifemovie,highstrungmovie,honeyboymovie,hotelmumbaifilm,httydragon,hustlemovie,hustlersmovie,isntitromantic,itmovieofficial,jayandsilentbob,johnwickmovie,jojorabbitmovie,jokermovie,judythefilm,jumanjimovie,justmercyfilm,knivesout,lalloronamovie,lastblackmansf,lastchristmasthemovie,latenightmovie,lighthousemovie,lionking,littlethemovie,littlewomenmovie,littlewoodsfilm,longshotmovie,lordsofchaosmovie,lucyintheskyfilm,mamovie2019,marriagestory,meettheaddams,meninblack,midsommarmovie,midwaymovie,missbalamovie,missinglinkfilm,motherlessbklyn,onceinhollywood,onthebasisofsex,overcomermovie,peanutbutterfalcon,petsematarymovie,piercingmovie,playingwithfire,playmobilthemovie,pomsmovie,queenandslim,rambomovie,readyornotfilm,richardjewellfilm,rocketmanmovie,scarystoriesmovie,secretlifeofpets,serenityfilm,shaftmovie,shazammovie,spidermanmovie,spiesindisguise,starwars,stormboymovie,stubermovie,taosdfilm,teenspiritmov,terminator,theaeronautsmov,thebestofenemies,thedeaddontdie,thefarewell,thehighwaymen,thehummingbirdprojectfilm,theintrudermovie,theirishmanfilm,thekitchenmovie,thelegomovie,themustangfilm,thenightingalefilm,theprodigymovie,thesunisalsoastar,theupsidefilm,tolkienmovie,toystory,triplefrontier,uglydolls,uncutgems,underthesilverlake,usmovie,wavesmovie,whatmenwant,wonderparkmovie,wrinklestheclown,xmenmovies,yardiefilm,yesterdaymovie,zombieland
21bridgesmovie,1.0000001,0.9491337,0.95371294,0.9485613,0.96358144,0.95490515,0.96369356,0.9628903,0.9822678,0.95764726,0.95717233,0.9540352,0.958145,0.95994633,0.96054405,0.96212023,0.962746,0.9703467,0.9733442,0.949972,0.95830566,0.9571679,0.9693586,0.96408224,0.95098436,0.8929436,0.9544263,0.9652504,0.9545687,0.95888555,0.95236284,0.9522957,0.9569639,0.9545267,0.94113827,0.93378013,0.9644974,0.96470296,0.9667986,0.94585687,0.95200515,0.96773463,0.9514191,0.96092296,0.95810014,0.9569521,0.9670654,0.9503264,0.96391535,0.96753436,0.9586525,0.9626423,0.9674045,0.9665591,0.9634049,0.9594585,0.956283,0.9686294,0.9507386,0.9650835,0.94501233,0.9521477,0.9522148,0.9611029,0.94925684,0.9518147,0.9562238,0.9451847,0.9604147,0.9479836,0.9687283,0.82326394,0.95083034,0.96039516,0.9547987,0.94748527,0.9314461,0.95471513,0.95265216,0.95986176,0.96557033,0.96823823,0.9607995,0.9549033,0.96348405,0.9455967,0.9559904,0.9654572,0.96252126,0.96375555,0.95279574,0.9687283,0.95898634,0.9570648,0.95811695,0.9533477,0.9570117,0.96031976,0.95182586,0.9615012,0.959619,0.9524884,0.9468424,0.95947474,0.95321137,0.96162474,0.9660854,0.96682787,0.9509426,0.95171803,0.9612214,0.89778334,0.96441406,0.93669313,0.9598602,0.9729269,0.98722315,0.9590797,0.9635174,0.96170974,0.96262497,0.96590674,0.95783466,0.95772445,0.9553507,0.9627851,0.9603182,0.95091707,0.96350795,0.93985856,0.954143,0.9532247,0.96499187,0.95229137,0.9586644,0.9552802,0.968612,0.94811994,0.97003514,0.95419025,0.9822678,0.96060485,0.9580943,0.9595566,0.9507561,0.9554514,0.9559627,0.95462286,0.96419215,0.96810734,0.9603203,0.95548856,0.9636281,0.9496038,0.953494,0.95435685,0.9620812,0.96387476,0.9658946,0.9640355,0.9822678,0.9668141,0.9631371,0.9693223,0.95024395
47metersdown,0.9491337,0.9999999,0.94339293,0.9401378,0.95967656,0.9507168,0.9609775,0.95161104,0.9692351,0.95177615,0.9558905,0.9463554,0.9500439,0.9466905,0.94321847,0.961355,0.95085925,0.9640844,0.9440323,0.9370043,0.9500845,0.9418938,0.9462833,0.94940937,0.9400552,0.88901734,0.95787656,0.95308405,0.95481706,0.94485885,0.9391864,0.94674706,0.9448504,0.9475171,0.9507346,0.91153276,0.9533225,0.93038815,0.95990705,0.9463653,0.9419254,0.9484651,0.92126554,0.9376887,0.9505602,0.9368533,0.94295806,0.9440278,0.96190584,0.9385738,0.95423424,0.9568238,0.954842,0.95054835,0.93648326,0.95633036,0.94622487,0.95084727,0.9486708,0.95372635,0.9439612,0.9558608,0.94048214,0.94722563,0.94399387,0.94846183,0.9513473,0.9399334,0.9405639,0.9488488,0.95290506,0.8441839,0.9383287,0.9546409,0.9356928,0.9346908,0.9317996,0.9445838,0.951707,0.93614525,0.95121866,0.95099,0.9596007,0.9448693,0.94683355,0.9294024,0.9457156,0.96200573,0.93632185,0.94651806,0.9540378,0.95290506,0.9472944,0.93677723,0.94929177,0.9505697,0.95333934,0.94464684,0.9517971,0.9510933,0.9346797,0.9412223,0.94454473,0.9479755,0.9555442,0.95510656,0.94538385,0.9522808,0.9368225,0.94810826,0.9503753,0.88437223,0.94714653,0.9126896,0.9463041,0.949678,0.9490432,0.95238537,0.9519581,0.95560694,0.9638477,0.95234,0.9544082,0.9448831,0.94585884,0.9530704,0.9507326,0.943292,0.9503556,0.9114769,0.94121486,0.95196706,0.9497395,0.94794536,0.94338053,0.94490814,0.9349914,0.94424355,0.95604134,0.9370142,0.9692351,0.9441417,0.9337414,0.95770514,0.95223445,0.9480581,0.93942004,0.9544225,0.9544164,0.9522418,0.95395356,0.94191504,0.9450699,0.93628013,0.9525498,0.94645566,0.9498575,0.94764805,0.9402846,0.93745816,0.9692351,0.9483385,0.95300364,0.95099235,0.9506451
abeautifuldaymovie,0.95371294,0.94339293,1.0,0.9415893,0.95325226,0.95368236,0.9531331,0.9526844,0.97087353,0.9429155,0.9534022,0.9638541,0.96047926,0.9513059,0.9498255,0.9506049,0.9591786,0.9551625,0.9491777,0.9428228,0.9531423,0.961865,0.9537194,0.94937426,0.9508606,0.89133525,0.9475729,0.9451921,0.9740711,0.95590365,0.94576955,0.949892,0.9448061,0.95019263,0.9308405,0.93141025,0.95892894,0.95348805,0.9634608,0.9405711,0.9430273,0.96739733,0.95443267,0.9646185,0.9610583,0.94176143,0.95095384,0.9470824,0.9512466,0.96149033,0.9754816,0.95428336,0.95195603,0.9560471,0.94967425,0.9532441,0.9438397,0.9624486,0.95453715,0.95684385,0.94354355,0.9444202,0.95350313,0.95327836,0.9450712,0.95184886,0.9414893,0.94484615,0.94400936,0.9464112,0.962126,0.8717172,0.95337623,0.9381347,0.94672716,0.94503933,0.9336282,0.94296557,0.9546314,0.95954645,0.9572281,0.9488404,0.95949453,0.95195156,0.9650735,0.9442896,0.95152205,0.9585195,0.9423951,0.9517844,0.9443929,0.962126,0.9443417,0.9376453,0.9732191,0.95421124,0.9476728,0.9520926,0.94937646,0.9559583,0.9438057,0.9535966,0.9641964,0.95354456,0.9485221,0.9715317,0.95578104,0.95911634,0.95262957,0.9457615,0.9561928,0.92366344,0.95250785,0.92491335,0.95718145,0.94687384,0.9585097,0.9450995,0.954522,0.94763756,0.9549481,0.9658714,0.9538442,0.94884557,0.95040494,0.95506215,0.9603151,0.9608805,0.95490235,0.93977416,0.93815655,0.9394723,0.9457669,0.9460007,0.9564956,0.9566139,0.9589593,0.9460567,0.96294385,0.9580952,0.97087353,0.96836984,0.9442087,0.9563108,0.95000786,0.94546425,0.94223213,0.9497001,0.954634,0.9386521,0.96139604,0.9706742,0.9581793,0.9256759,0.9552352,0.9573938,0.94525373,0.9493377,0.95511353,0.9517442,0.97087353,0.95803994,0.95229113,0.958131,0.9715182
abominablemovie,0.9485613,0.9401378,0.9415893,1.0000002,0.957982,0.9527204,0.9501739,0.9477508,0.9684721,0.9429248,0.94353265,0.9407959,0.95091975,0.9619389,0.9492918,0.94531673,0.9466927,0.9523431,0.94387823,0.9413613,0.959544,0.9437143,0.94995415,0.9569805,0.9410824,0.9066969,0.9548832,0.9444588,0.9402896,0.9383355,0.9385889,0.94727397,0.943451,0.9353648,0.93121403,0.930435,0.95254487,0.9500224,0.95494306,0.93861544,0.9439746,0.9473106,0.93467414,0.93828374,0.9494156,0.9374065,0.9410554,0.9546789,0.94503707,0.93906385,0.9476002,0.95093477,0.94835985,0.93943906,0.94797564,0.9514114,0.9416696,0.9484151,0.9595641,0.9500511,0.9356625,0.9535486,0.938791,0.9480107,0.9417028,0.9361576,0.9502555,0.940485,0.94104356,0.9379598,0.9567387,0.8527331,0.9470252,0.9392969,0.9626259,0.944919,0.9360007,0.9500662,0.96065724,0.94702613,0.95717424,0.95537657,0.9541039,0.94811845,0.94571,0.94320446,0.94812113,0.95175225,0.9472718,0.9501825,0.94024444,0.9567387,0.9372283,0.9321744,0.9392684,0.95330536,0.94238365,0.95418483,0.9320181,0.9513634,0.94403803,0.9392607,0.9407215,0.94176775,0.9500785,0.94420433,0.95138586,0.9489627,0.92974436,0.94348073,0.94910616,0.8959445,0.9549988,0.93126446,0.95004284,0.9468935,0.9517823,0.94543946,0.9622995,0.9390237,0.9578726,0.94321054,0.9530267,0.9479602,0.95282924,0.9460674,0.9481742,0.936619,0.95000064,0.9341315,0.94121385,0.9476647,0.94793606,0.93129945,0.95275915,0.94374335,0.94500697,0.9386973,0.95509213,0.93588114,0.9684721,0.9405977,0.9477356,0.9578589,0.93712527,0.9414134,0.948695,0.9520944,0.9505316,0.94429207,0.9449696,0.94697267,0.95367306,0.92680204,0.94978404,0.95001227,0.94914746,0.9519271,0.947021,0.94437075,0.9684721,0.94680727,0.9512232,0.9537017,0.94024855
adastramovie,0.96358144,0.95967656,0.95325226,0.957982,0.99999976,0.9624065,0.96824384,0.9607097,0.98279476,0.96526104,0.9607352,0.95531636,0.9563628,0.9621428,0.95972264,0.9593028,0.9648209,0.9831864,0.9573315,0.9560776,0.961853,0.9569615,0.9560998,0.9550323,0.96282077,0.9108193,0.9670365,0.9654072,0.9588959,0.9567042,0.9561424,0.9594094,0.95605946,0.9504341,0.9485764,0.9421448,0.9724638,0.9575726,0.96880794,0.95583194,0.95446146,0.96849126,0.9494231,0.9616866,0.95947665,0.96411604,0.9534141,0.9468087,0.9613298,0.9617795,0.9617264,0.96570593,0.967646,0.95803404,0.95593685,0.9765848,0.9591956,0.96876186,0.9592099,0.9702303,0.9488954,0.95916677,0.9582791,0.953335,0.9518286,0.95892036,0.960262,0.95123816,0.9526046,0.9535816,0.9675064,0.8576018,0.94822156,0.95673966,0.9466699,0.954485,0.9401344,0.9612077,0.964062,0.95253116,0.9593202,0.95740277,0.9640876,0.95828193,0.9581374,0.9451801,0.95360476,0.96407896,0.957758,0.96285766,0.9582065,0.9675064,0.96204513,0.9436178,0.9561166,0.9544291,0.96205735,0.9659154,0.95585,0.95715845,0.96013767,0.95909536,0.95306194,0.96366537,0.96238875,0.9602014,0.9649813,0.9592222,0.9503934,0.95524347,0.9657068,0.91036457,0.9647877,0.93542427,0.96986896,0.9640627,0.96707493,0.95430183,0.96370137,0.9623941,0.9654162,0.9634378,0.9680586,0.96271986,0.96110475,0.958161,0.9637312,0.9493669,0.9715601,0.94123566,0.9528416,0.9687223,0.96279645,0.9439486,0.9660781,0.96160746,0.9543654,0.9478388,0.96872056,0.96429056,0.98279476,0.9548701,0.94885874,0.96265113,0.9514771,0.96481645,0.9537059,0.9565793,0.95829844,0.9594323,0.95968807,0.9538281,0.9637523,0.9486794,0.9560716,0.95934856,0.9550353,0.961207,0.9640058,0.9619866,0.98279476,0.96007544,0.9638789,0.96068776,0.9589596
adogsjourneymovie,0.95490515,0.9507168,0.95368236,0.9527204,0.9624065,1.0,0.956474,0.9546911,0.9754671,0.95121807,0.94700044,0.94990426,0.9616018,0.95281124,0.9536368,0.9541098,0.95410055,0.96453995,0.9480256,0.9478252,0.9638398,0.95685893,0.95884085,0.95345116,0.9448366,0.9037363,0.950272,0.9483601,0.9559921,0.9542952,0.9491685,0.94856095,0.9553887,0.9404439,0.9404258,0.9246887,0.9636054,0.9574311,0.95923877,0.9483033,0.94488096,0.9549136,0.9490551,0.952229,0.9476982,0.9416487,0.9528443,0.9458515,0.9490602,0.9488945,0.9571119,0.952316,0.9617559,0.9499149,0.9576597,0.9573852,0.9470308,0.9586347,0.9541285,0.95350224,0.94203424,0.94750094,0.94387823,0.9638732,0.9386245,0.944222,0.9456532,0.935688,0.94679093,0.9549885,0.95967597,0.8448266,0.9462931,0.9425499,0.950582,0.94435775,0.93504566,0.9540251,0.95772976,0.95231205,0.96025735,0.9551315,0.95805204,0.9518506,0.9545538,0.9425588,0.95976776,0.9655246,0.9488351,0.9540123,0.94647765,0.95967597,0.95008254,0.9433901,0.9515813,0.9527468,0.94762063,0.95169914,0.94262356,0.96218586,0.93985206,0.9483053,0.95534384,0.9558664,0.943923,0.954108,0.95878714,0.9655294,0.94743735,0.95250344,0.9569957,0.90531695,0.9489696,0.9200356,0.96436936,0.95289266,0.9583429,0.9568035,0.9639318,0.9525847,0.96426374,0.9563804,0.96312064,0.9690292,0.9585494,0.9543572,0.9609098,0.95371413,0.95898765,0.93274754,0.95829076,0.94959635,0.9498413,0.9459841,0.9472484,0.9561359,0.9523441,0.9391466,0.9621776,0.94772995,0.9754671,0.950568,0.9323946,0.9624051,0.9446787,0.9463472,0.95075953,0.95291877,0.9682632,0.94771755,0.94755024,0.9501471,0.9538665,0.92811084,0.9592346,0.9545151,0.9526546,0.957515,0.9517762,0.947382,0.9754671,0.9557467,0.958333,0.96371746,0.9572741
aftermathmovie,0.96369356,0.9609775,0.9531331,0.9501739,0.96824384,0.956474,1.0,0.95600533,0.98220783,0.96382916,0.95808935,0.9527192,0.96135813,0.9598172,0.96335506,0.96604455,0.96131873,0.96958816,0.9589591,0.9554486,0.9625367,0.9602004,0.9565236,0.96072865,0.94938475,0.90891105,0.9598143,0.96237564,0.9657925,0.95372736,0.960595,0.95461637,0.9579507,0.95479375,0.9452642,0.93797445,0.96645147,0.9536691,0.9635788,0.95683396,0.96432275,0.96004504,0.9392147,0.9480814,0.9610767,0.9559476,0.95424694,0.95289326,0.96026736,0.95006436,0.96371204,0.9637995,0.9623549,0.9576524,0.9558852,0.96656287,0.9577093,0.96879154,0.9604735,0.9691022,0.9587105,0.9549743,0.957221,0.95997316,0.9571149,0.9529041,0.96007955,0.945254,0.9578184,0.95993376,0.96944743,0.8378323,0.94918495,0.95647466,0.94785655,0.9493951,0.9396011,0.9569106,0.96119136,0.95204055,0.96092105,0.97641987,0.9704984,0.9552455,0.9596941,0.95198905,0.952828,0.9665452,0.95255685,0.9603877,0.9560947,0.96944743,0.95583624,0.9494415,0.95596355,0.9573966,0.96008533,0.96540326,0.96836936,0.9607816,0.95710385,0.959868,0.94842935,0.964052,0.9597507,0.9628868,0.95954096,0.9616852,0.964681,0.955298,0.968441,0.89801264,0.9672945,0.9359964,0.9610583,0.9645823,0.9651519,0.95616126,0.9666901,0.987963,0.9679774,0.9656913,0.96347314,0.9603138,0.96541446,0.9702674,0.9612583,0.94962054,0.9675745,0.92800766,0.95337176,0.9630056,0.96414447,0.9553008,0.96275014,0.9559681,0.94753164,0.9479177,0.9706633,0.95339125,0.98220783,0.9601627,0.9502828,0.9631394,0.95910734,0.9573296,0.9561628,0.95160925,0.96550566,0.95813644,0.978139,0.9496474,0.9575646,0.95344514,0.96180063,0.9569834,0.95530975,0.96444976,0.95325947,0.9572629,0.98220783,0.96190804,0.96201235,0.9657442,0.9604881
aftermovie,0.9628903,0.95161104,0.9526844,0.9477508,0.9607097,0.9546911,0.95600533,1.0000001,0.97585094,0.95043975,0.9558914,0.94823974,0.9557207,0.951844,0.9515385,0.95364416,0.9552822,0.96192515,0.9507548,0.9444136,0.9550371,0.9501132,0.9590751,0.95969415,0.94459975,0.8952957,0.95371664,0.95404613,0.95513475,0.9513622,0.9512559,0.94815356,0.94450456,0.9449465,0.94293535,0.94501096,0.9588715,0.9585231,0.9699102,0.9489071,0.9490395,0.9600927,0.94051427,0.95216984,0.9540701,0.95487,0.9515922,0.9422527,0.9544052,0.95568115,0.959262,0.95571506,0.953761,0.9531251,0.9599963,0.9484679,0.9567877,0.9603769,0.9553791,0.9557759,0.94401896,0.9519298,0.9460484,0.9527258,0.94857603,0.955796,0.9485936,0.9468182,0.946022,0.9507619,0.96026736,0.8350357,0.9502232,0.9529554,0.95212436,0.9410489,0.93018866,0.9462,0.9483404,0.9532263,0.9570907,0.95359236,0.96214265,0.9509043,0.95531917,0.9404337,0.9522971,0.9611234,0.9598382,0.95189494,0.9523584,0.96026736,0.9428946,0.9426424,0.9551104,0.9564431,0.95257145,0.95090115,0.9593638,0.9535276,0.95862544,0.9503895,0.94638854,0.9517811,0.9532117,0.95829654,0.9557037,0.9533459,0.9402414,0.95187795,0.9636438,0.89512086,0.9610435,0.9433824,0.9546378,0.9586757,0.96670926,0.9579094,0.9606431,0.95352083,0.9567432,0.9541479,0.9532786,0.95464724,0.9555796,0.95715,0.9548675,0.94848645,0.9562561,0.92640316,0.95168555,0.9526201,0.95419735,0.939274,0.9531831,0.9469296,0.9507744,0.9425192,0.96011144,0.9594014,0.97585094,0.95299625,0.95048565,0.9510337,0.9437337,0.94575226,0.9501643,0.9534088,0.952263,0.9564527,0.96358144,0.9564439,0.9568113,0.9378653,0.9579744,0.95470434,0.9560587,0.95263535,0.963997,0.955136,0.97585094,0.95990825,0.96066684,0.9575083,0.9580404
ahiddenlifefilm,0.9822678,0.9692351,0.97087353,0.9684721,0.98279476,0.9754671,0.98220783,0.97585094,0.9999997,0.9752442,0.97535455,0.9707625,0.97785294,0.97866905,0.9763673,0.9773982,0.9768304,0.98469484,0.9743,0.9709025,0.9792284,0.9744258,0.97671545,0.9756983,0.96978635,0.9194171,0.975584,0.97795105,0.9742089,0.97326314,0.9725706,0.9740592,0.9703779,0.96662444,0.9661955,0.9554953,0.98005116,0.9737673,0.9817315,0.9695511,0.9717654,0.977487,0.96386075,0.97275776,0.97935116,0.9740418,0.9737623,0.9708839,0.97763836,0.9739533,0.9772447,0.98108727,0.98061204,0.97401416,0.9732811,0.97736746,0.97402835,0.980334,0.97517556,0.98117,0.96911305,0.9706312,0.97065765,0.97849447,0.968556,0.9705515,0.9727547,0.965215,0.9734562,0.96968925,0.9852314,0.8627149,0.97206634,0.97612613,0.9742119,0.9649778,0.9540727,0.97368675,0.9782708,0.97283584,0.9809224,0.9793784,0.9815167,0.9715056,0.9761351,0.9651854,0.97276473,0.983251,0.97414035,0.97927654,0.9716638,0.9852314,0.9717987,0.9690865,0.97144103,0.9707497,0.97515076,0.9798235,0.97016263,0.97962284,0.9727237,0.9707758,0.96579415,0.9771277,0.9742699,0.97632474,0.9804255,0.9796821,0.9652642,0.97314346,0.9781672,0.9196172,0.9791444,0.9524273,0.9790375,0.9820636,0.98439413,0.9763072,0.9843688,0.97705567,0.9825899,0.97924197,0.9786957,0.9743446,0.9758786,0.98016703,0.980002,0.9680929,0.977258,0.9539779,0.97141844,0.9711749,0.9782789,0.9687506,0.97745156,0.9731163,0.97213477,0.9684572,0.98385954,0.97474,0.9999997,0.9709687,0.97074896,0.9790249,0.96924293,0.9731734,0.970793,0.9773137,0.98192024,0.9769199,0.9752972,0.9720121,0.98040515,0.9601817,0.9763193,0.9746648,0.9717231,0.97714037,0.9758835,0.973525,0.9999997,0.978875,0.98024577,0.9792649,0.9759776
alitamovie,0.95764726,0.95177615,0.9429155,0.9429248,0.96526104,0.95121807,0.96382916,0.95043975,0.9752442,1.0000002,0.9561625,0.94901466,0.9562982,0.9569119,0.95559585,0.9499685,0.9633314,0.9680917,0.94960904,0.94834876,0.9582499,0.9504639,0.95370704,0.9491729,0.9464139,0.88601595,0.95564955,0.95865005,0.9544879,0.9561494,0.94729817,0.9611083,0.95269316,0.94772416,0.9435104,0.9195067,0.95949996,0.9382964,0.959606,0.9580493,0.9509718,0.95427483,0.9362103,0.9493859,0.95478326,0.94939864,0.9527513,0.9511443,0.9508557,0.9546673,0.9565212,0.9658091,0.9576666,0.9617087,0.9506115,0.9658504,0.943952,0.95823044,0.95088637,0.9557838,0.9520085,0.94146645,0.9463632,0.95717275,0.94862026,0.9455969,0.9465852,0.94062835,0.9543715,0.93853146,0.95661116,0.82494444,0.94429046,0.9554668,0.9532609,0.9385584,0.9216701,0.9562616,0.95592684,0.94927406,0.95321465,0.95581406,0.9589789,0.95195013,0.95149493,0.9391506,0.9471573,0.9593939,0.9462796,0.96295744,0.9504775,0.95661116,0.9527213,0.95007235,0.9542822,0.9513681,0.9542084,0.96150476,0.9535707,0.9566212,0.9485432,0.9490628,0.9432438,0.95261097,0.96193165,0.9556863,0.955964,0.95606804,0.9419944,0.9565933,0.95670706,0.9026905,0.95962995,0.92058295,0.95556206,0.9584149,0.9592583,0.955372,0.9613262,0.9537661,0.95679724,0.96023405,0.9571946,0.95254683,0.9549663,0.9563527,0.9599488,0.9481262,0.9545911,0.937049,0.9574819,0.94810355,0.95876515,0.948224,0.96251434,0.95406294,0.93993616,0.95339596,0.960536,0.9469261,0.9752442,0.9535521,0.93989754,0.9602308,0.9500754,0.9620306,0.943722,0.95463586,0.9659658,0.9524311,0.9511765,0.9447641,0.9589432,0.9360219,0.9581691,0.94199866,0.9522718,0.95692915,0.95067537,0.95494497,0.9752442,0.9602001,0.9520096,0.9607567,0.95339125
