movie,21bridgesmovie,47metersdown,abeautifuldaymovie,abominablemovie,adastramovie,adogsjourneymovie,aftermathmovie,aftermovie,ahiddenlifefilm,alitamovie,angelhasfallen,angrybirdsmovie,annabellemovie,annamovie,apollo11movie,arcticdogsmovie,arcticmovie,artofracingmovie,avengers,beachbummovie,bernadettefilm,blackandbluemovie,blackchristmas,blindedbythelightmovie,bombshellmovie,booksmart,breakthroughmovie,brianbanksmovie,brightburnmovie,brittanyrunsmov,captainmarvelofficial,captivestatemovie,catsmovie,charliesangels,childsplaymovie,clarathefilm,coldpursuitmovie,countdown,currentwarmovie,darkwatersmovie,detectivepikachumovie,disneyaladdin,disneyfrozen,disneymaleficent,doctorsleepmovie,dolemiteismyname,dontletgomovie,doramovie,downtonabbey_official,dumbo,escaperoom,everybodyknowsmovie,fastandfuriousmovie,fightingwmyfam,fivefeetapartfilm,fordvferrari,freaksthefilm,geminimanmovie,glassmovie,gloriabellmovie,godzillamovie,goldfinchmovie,goodboysmovie,goodliarmovie,gretafilm,halathemovie,happydeathdaymovie,harrietfilm,hellboymovie,hersmellmovie,highlifemovie,highstrungmovie,honeyboymovie,hotelmumbaifilm,httydragon,hustlemovie,hustlersmovie,isntitromantic,itmovieofficial,jayandsilentbob,johnwickmovie,jojorabbitmovie,jokermovie,judythefilm,jumanjimovie,justmercyfilm,knivesout,lalloronamovie,lastblackmansf,lastchristmasthemovie,latenightmovie,lighthousemovie,lionking,littlethemovie,littlewomenmovie,littlewoodsfilm,longshotmovie,lordsofchaosmovie,lucyintheskyfilm,mamovie2019,marriagestory,meettheaddams,meninblack,midsommarmovie,midwaymovie,missbalamovie,missinglinkfilm,motherlessbklyn,onceinhollywood,onthebasisofsex,overcomermovie,peanutbutterfalcon,petsematarymovie,piercingmovie,playingwithfire,playmobilthemovie,pomsmovie,queenandslim,rambomovie,readyornotfilm,richardjewellfilm,rocketmanmovie,scarystoriesmovie,secretlifeofpets,serenityfilm,shaftmovie,shazammovie,spidermanmovie,spiesindisguise,starwars,stormboymovie,stubermovie,taosdfilm,teenspiritmov,terminator,theaeronautsmov,thebestofenemies,thedeaddontdie,thefarewell,thehighwaymen,thehummingbirdprojectfilm,theintrudermovie,theirishmanfilm,thekitchenmovie,thelegomovie,themustangfilm,thenightingalefilm,theprodigymovie,thesunisalsoastar,theupsidefilm,tolkienmovie,toystory,triplefrontier,uglydolls,uncutgems,underthesilverlake,usmovie,wavesmovie,whatmenwant,wonderparkmovie,wrinklestheclown,xmenmovies,yardiefilm,yesterdaymovie,zombieland
21bridgesmovie,1.0,0.9574681,0.9828644,0.95552695,0.9789277,0.8089078,0.9913242,0.9914379,0.99241805,0.93576986,0.991378,0.93297684,0.99487257,0.99274737,0.9859192,0.967366,0.9942189,0.9806823,0.99577177,0.98737794,0.9900433,0.8563571,0.980722,0.9827624,0.9789528,0.3342735,0.800103,0.98903877,0.9682268,0.96871424,0.986546,0.9801904,0.95480996,0.900004,0.63924795,0.64260393,0.9889519,0.98968035,0.9737392,0.96440053,0.9960372,0.9827718,0.93458253,0.9908136,0.9880572,0.9844593,0.98424023,0.99251777,0.97888196,0.99181795,0.9717424,0.98500025,0.94343567,0.9354572,0.91067296,0.95406705,0.9210435,0.9989736,0.99460584,0.99318206,0.9738014,0.99028784,0.9846609,0.98914146,0.9651192,0.96510714,0.9807635,0.970583,0.99509513,0.86681426,0.99273705,0.47018987,0.816615,0.98917717,0.8559059,0.944276,0.38532472,0.99186623,0.9902772,0.9345149,0.9801527,0.9886354,0.9929101,0.9833387,0.913756,0.9811522,0.94567597,0.9940019,0.9816009,0.9892432,0.95644665,0.99273705,0.9629648,0.9857147,0.9818072,0.99153423,0.99019843,0.9918015,0.9941755,0.9225495,0.9838577,0.9872817,0.9087367,0.9932689,0.94146913,0.9695216,0.9941467,0.9757797,0.8676352,0.87982213,0.99423313,0.38227162,0.98991245,0.44280118,0.98330593,0.9898566,0.9988254,0.8947935,0.98902893,0.9888667,0.979779,0.9850477,0.9931489,0.84376216,0.9916895,0.9929094,0.98948723,0.9230522,0.9751131,0.8319018,0.9933401,0.9569274,0.9930494,0.9090612,0.99410135,0.9791987,0.9915906,0.95895696,0.9926746,0.9850602,0.99241805,0.93851817,0.97465974,0.9790252,0.9159912,0.98395544,0.9638527,0.783364,0.98371834,0.9876427,0.98747134,0.96925724,0.9853635,0.85655147,0.9861538,0.99439347,0.98455673,0.98807776,0.98844594,0.9892446,0.99241805,0.9700879,0.9897745,0.9862918,0.94962806
47metersdown,0.9574681,1.0,0.9752978,0.87628967,0.98893553,0.83940065,0.9790363,0.9723658,0.9795493,0.97809243,0.9433775,0.9278586,0.9637519,0.9745884,0.97170126,0.98509383,0.9503614,0.9821811,0.9737785,0.9795658,0.971414,0.8813855,0.97695106,0.97668743,0.94291633,0.48293853,0.84649193,0.94228923,0.9797615,0.98816234,0.95128095,0.9627215,0.9538347,0.96210366,0.61420804,0.609418,0.9767954,0.9266278,0.97274214,0.9380808,0.9489485,0.9663549,0.95666176,0.97022885,0.9631309,0.9634757,0.9739532,0.9630307,0.9552946,0.9686973,0.9743692,0.9772744,0.9428968,0.92051935,0.7849569,0.9863706,0.94722825,0.9610711,0.95968384,0.97997165,0.9118125,0.9536935,0.97929776,0.9569003,0.9695377,0.8860723,0.9569007,0.95067143,0.9663138,0.80201346,0.98101526,0.34544584,0.8730217,0.9789729,0.7762756,0.9108097,0.3232782,0.97012967,0.95078266,0.9161196,0.94500476,0.9445133,0.9629321,0.93759406,0.90057486,0.9611944,0.8852837,0.9769628,0.94551814,0.9785391,0.9377351,0.98101526,0.8852584,0.9533903,0.97253376,0.95919704,0.9467333,0.9763058,0.9765134,0.90094566,0.94963443,0.95812297,0.9246011,0.97420055,0.9572592,0.969483,0.97506297,0.93928605,0.9288613,0.89204955,0.9787655,0.4932707,0.9635588,0.5319357,0.94472575,0.96660984,0.96425235,0.80740553,0.98455566,0.9831272,0.96733344,0.9617696,0.96733767,0.8720657,0.95825124,0.95951205,0.95866925,0.9400309,0.9724871,0.8804368,0.97103053,0.9838857,0.96024346,0.86623764,0.974355,0.9869632,0.92348224,0.97503406,0.9746678,0.96334887,0.9795493,0.9312899,0.9450361,0.9348671,0.95591587,0.9646391,0.9447027,0.6951821,0.95599407,0.94203883,0.9787904,0.96654075,0.9761048,0.7935938,0.9537297,0.97445303,0.9760054,0.94056195,0.95931673,0.96628064,0.9795493,0.9279214,0.97535306,0.9740897,0.93760383
abeautifuldaymovie,0.9828644,0.9752978,1.0000001,0.90148973,0.98479325,0.82989645,0.99478024,0.9842565,0.9946093,0.956762,0.96983546,0.9442535,0.98455775,0.99464834,0.98900545,0.9931972,0.9770739,0.98035586,0.98882186,0.984951,0.9807928,0.8698153,0.9891199,0.99522114,0.9453074,0.38347816,0.81252044,0.9758576,0.99052733,0.9880655,0.9660201,0.968026,0.9575652,0.9400043,0.56915283,0.5852065,0.98604506,0.9503116,0.9936731,0.9662076,0.97621804,0.990249,0.966821,0.9873423,0.9897601,0.9721712,0.9861573,0.98031604,0.9710459,0.9914604,0.98979133,0.99153906,0.9620308,0.9459164,0.83631694,0.97563195,0.9396997,0.9827417,0.9814733,0.98697025,0.95136315,0.9761336,0.9864796,0.9834443,0.9823355,0.92531997,0.98052984,0.97695476,0.9778528,0.78736395,0.99005795,0.36961782,0.85910887,0.9874121,0.78934395,0.9041157,0.30955404,0.9800838,0.9650449,0.95176345,0.9553437,0.96603864,0.98578554,0.95767194,0.9278386,0.9691981,0.8938613,0.99279433,0.96896994,0.9967417,0.9641184,0.99005795,0.913788,0.9786719,0.99688137,0.98546964,0.95766693,0.9803028,0.98954463,0.92744744,0.96029896,0.9627754,0.93524194,0.9897516,0.97210425,0.9889556,0.9856747,0.9625395,0.9222306,0.8497122,0.9899926,0.46302623,0.98714787,0.45676753,0.9835037,0.98055875,0.9875639,0.83713,0.993883,0.98917556,0.97934276,0.9629156,0.99054796,0.8611688,0.98107654,0.9844586,0.9693721,0.95676535,0.98191434,0.89029264,0.9838068,0.96203536,0.9874008,0.8454986,0.98113036,0.9895035,0.9722612,0.9737936,0.98791933,0.9780955,0.9946093,0.94975483,0.9423546,0.9546039,0.951963,0.979545,0.95466566,0.69874,0.97388566,0.9600291,0.99506253,0.9889456,0.98547876,0.79900646,0.9602886,0.98707,0.97620773,0.9617305,0.9772912,0.9779724,0.9946093,0.92808986,0.9874507,0.99013793,0.96921426
abominablemovie,0.95552695,0.87628967,0.90148973,0.99999994,0.90778244,0.75601494,0.9290819,0.93949133,0.92743844,0.8635814,0.9452421,0.8213152,0.9510574,0.92222506,0.93482214,0.88796496,0.93440014,0.9065039,0.9429038,0.9377111,0.9327987,0.8041696,0.91794467,0.9184883,0.9269535,0.3183085,0.7505892,0.94103616,0.8887862,0.88973504,0.9404863,0.9192916,0.8580316,0.8430304,0.72422856,0.7305131,0.9313383,0.96418893,0.88621753,0.90981174,0.9640514,0.91484165,0.84206206,0.9429119,0.9276118,0.9186014,0.9284093,0.94007456,0.9020277,0.9369192,0.8843699,0.9184131,0.89399546,0.90591985,0.94027126,0.8572541,0.8602792,0.95416015,0.9531447,0.93440187,0.9442513,0.9300588,0.9352738,0.91854125,0.9032893,0.9554841,0.94250214,0.9094349,0.9497863,0.9078481,0.937752,0.5927939,0.7705046,0.93153775,0.92986757,0.9539913,0.5077262,0.9430992,0.93753093,0.85798883,0.92964244,0.95627046,0.9396829,0.9756592,0.86966574,0.92951363,0.95514154,0.9344249,0.9129163,0.91434443,0.90713537,0.937752,0.94339395,0.90860975,0.899706,0.95226544,0.9548435,0.9370271,0.9367627,0.9168567,0.9275716,0.933162,0.8250934,0.9370708,0.85534143,0.891736,0.93869805,0.8971904,0.7880562,0.80693156,0.9346953,0.3634249,0.92555547,0.4767061,0.9296716,0.9427106,0.9470334,0.9455807,0.9195074,0.930838,0.91436166,0.928743,0.9194709,0.80403054,0.9371004,0.93552536,0.93708104,0.8242448,0.8929853,0.6694817,0.9326197,0.8823787,0.92244786,0.89256746,0.93747824,0.91144544,0.9590267,0.8753113,0.9460614,0.90852094,0.92743844,0.8713815,0.9162677,0.9200176,0.8552869,0.9283523,0.92599505,0.85602427,0.91538,0.9550651,0.919133,0.89854926,0.90714544,0.882618,0.9308787,0.9421002,0.9223274,0.9361681,0.9148226,0.9476389,0.92743844,0.95082873,0.92115813,0.9259923,0.85454744
adastramovie,0.9789277,0.98893553,0.98479325,0.90778244,1.0,0.8448206,0.9910765,0.9869205,0.99143,0.98305917,0.96741784,0.933282,0.98280185,0.98454463,0.9839668,0.983629,0.9723506,0.9889527,0.9916116,0.991425,0.98571235,0.8870073,0.98603535,0.9875434,0.9565688,0.43987432,0.8465148,0.9639922,0.9826739,0.9945403,0.964978,0.9745259,0.97008145,0.93857604,0.63270354,0.6455078,0.987167,0.952759,0.9775885,0.9557686,0.97432625,0.9723566,0.9556477,0.9793273,0.9785649,0.97941446,0.98704815,0.97825074,0.9651743,0.98054093,0.9829355,0.98288816,0.95198536,0.92744327,0.8376571,0.99271446,0.9522733,0.97802645,0.97529775,0.9909647,0.9465801,0.9683679,0.993547,0.97623855,0.96948886,0.9073195,0.9762286,0.9592005,0.9808399,0.83869624,0.9902395,0.4070652,0.8763728,0.9900155,0.8133585,0.9176054,0.370234,0.988861,0.9784951,0.9206124,0.9648272,0.9733623,0.983299,0.9623587,0.9082886,0.9678455,0.9177212,0.9900392,0.96173364,0.98918146,0.9550498,0.9902395,0.92155397,0.967563,0.9827659,0.9745563,0.96755147,0.98648036,0.9908503,0.9085587,0.9721241,0.97548336,0.9262853,0.98946756,0.96743447,0.97741497,0.99040264,0.9558122,0.9239879,0.9018132,0.99334955,0.4839645,0.9810894,0.5224434,0.9587706,0.9820248,0.9831827,0.84709847,0.993429,0.9912008,0.97781324,0.9740885,0.98351717,0.87609017,0.97304624,0.97513616,0.98108155,0.9492725,0.9855315,0.87716144,0.98602605,0.9897689,0.97625035,0.8834525,0.9853347,0.9964844,0.95571744,0.96968776,0.98651916,0.97878647,0.99143,0.94550216,0.96517575,0.95724744,0.94381064,0.971456,0.96236,0.7344342,0.9735298,0.95455575,0.98894334,0.9690439,0.9832182,0.8112144,0.9723527,0.98320514,0.9884381,0.96445745,0.9768139,0.9781972,0.99143,0.9510467,0.9869257,0.98098594,0.9578264
adogsjourneymovie,0.8089078,0.83940065,0.82989645,0.75601494,0.8448206,1.0,0.84312505,0.8301125,0.83016026,0.8248337,0.8068683,0.68084896,0.82672095,0.8204046,0.8607294,0.8498323,0.8135501,0.812161,0.8363314,0.8609998,0.81424475,0.91678417,0.8498538,0.8277423,0.7782679,0.5071097,0.8881798,0.8610293,0.8880388,0.8451693,0.796236,0.8717626,0.8234026,0.83688915,0.6292336,0.56708866,0.7975721,0.7581337,0.8436133,0.8879712,0.79785144,0.83432186,0.7700384,0.80078775,0.8647472,0.7750645,0.83967614,0.80411726,0.85143864,0.81629264,0.88831973,0.8296316,0.92171556,0.9035242,0.6087291,0.8420351,0.9044495,0.8141783,0.8098177,0.82183015,0.7142784,0.78357536,0.85555077,0.7916216,0.79291844,0.77787125,0.86307037,0.8014199,0.83087397,0.6781086,0.824816,0.41007125,0.9014201,0.8433055,0.7333848,0.83763325,0.4340494,0.8207511,0.80164576,0.90945095,0.8095151,0.86037874,0.79220235,0.8118524,0.9360541,0.75803566,0.8367056,0.83941257,0.7375993,0.81531197,0.8856132,0.824816,0.69419456,0.8174328,0.83294433,0.83206683,0.79363865,0.81713665,0.8432703,0.81480175,0.76399165,0.79776824,0.9558651,0.8513987,0.8701626,0.89638656,0.815788,0.7218567,0.87764007,0.7969872,0.84686565,0.4949023,0.86477345,0.60986394,0.82152796,0.8764752,0.8153985,0.77260643,0.84789884,0.83277166,0.7603795,0.78419715,0.7892239,0.9794565,0.8350029,0.7937843,0.8311314,0.92729187,0.88073903,0.7212265,0.813949,0.861056,0.81851745,0.6611073,0.80415446,0.86710095,0.79221636,0.78662306,0.8414899,0.78651404,0.83016026,0.9316614,0.783985,0.74747217,0.75689006,0.814093,0.887709,0.69947886,0.7509559,0.82076335,0.84498715,0.80345005,0.8503416,0.6689053,0.75393075,0.80561185,0.8497763,0.7648399,0.8317709,0.8665793,0.83016026,0.78686863,0.8164403,0.83907,0.8973739
aftermathmovie,0.9913242,0.9790363,0.99478024,0.9290819,0.9910765,0.84312505,1.0,0.9953684,0.99937755,0.96173733,0.98307323,0.9415742,0.99137825,0.9970865,0.9960897,0.9899516,0.9829497,0.9888616,0.996065,0.9960629,0.9917046,0.8689838,0.99602526,0.9930668,0.96037656,0.36814392,0.8130124,0.9842448,0.98676336,0.9858112,0.98209155,0.9834632,0.96523523,0.93934894,0.5992968,0.6046059,0.99467736,0.964877,0.98942554,0.9764712,0.98917407,0.9908932,0.95729077,0.9942149,0.9953004,0.9800658,0.9959232,0.99227756,0.97303456,0.99556434,0.9866316,0.9952915,0.96286917,0.9489283,0.8602372,0.9747406,0.9374419,0.9919661,0.9931369,0.9947932,0.96171707,0.98472667,0.99561375,0.9864838,0.9843971,0.93957436,0.98699135,0.9818582,0.99203014,0.8235226,0.9976144,0.40650427,0.854793,0.99720615,0.8199331,0.92650414,0.34421307,0.9921774,0.9794501,0.9485788,0.97406787,0.9805828,0.9916314,0.9712169,0.92536235,0.97993505,0.91827106,0.9986727,0.96991616,0.99685806,0.962187,0.9976144,0.933552,0.98420995,0.994244,0.9941144,0.9739353,0.99274343,0.9957103,0.9431529,0.9704751,0.9760206,0.93566513,0.9981929,0.9620993,0.9848178,0.9962428,0.96571535,0.9124868,0.8746185,0.9969867,0.43647546,0.98940665,0.45790765,0.9839203,0.99036056,0.9953151,0.8577688,0.9986427,0.99793184,0.98479974,0.9781028,0.9926856,0.88147306,0.99045736,0.99229246,0.9839421,0.94942826,0.98188806,0.8623039,0.9938321,0.9682596,0.98895293,0.87837696,0.9885348,0.99235535,0.9801962,0.9739662,0.997709,0.98192924,0.99937755,0.9483938,0.95782214,0.9687633,0.94734496,0.9871369,0.96243256,0.72987103,0.9801409,0.9759242,0.9976132,0.9879571,0.9894921,0.83138376,0.97343683,0.992957,0.9907475,0.9747724,0.98596764,0.990062,0.99937755,0.958659,0.9950262,0.9963131,0.9605065
aftermovie,0.9914379,0.9723658,0.9842565,0.93949133,0.9869205,0.8301125,0.9953684,1.0,0.99628687,0.9564462,0.98472255,0.9465668,0.99370396,0.9935883,0.9936336,0.9765337,0.9849021,0.9929563,0.99539554,0.9964393,0.9943315,0.8576139,0.9948707,0.9854398,0.9713881,0.3460327,0.7999923,0.98279977,0.97468907,0.9747741,0.98993963,0.98565495,0.97484314,0.9305741,0.59253,0.60063857,0.9964613,0.97046214,0.9842576,0.9789888,0.9930051,0.97885805,0.9417943,0.9895531,0.99138683,0.9895831,0.9963545,0.99678695,0.9706576,0.9879078,0.9775831,0.9942784,0.9556214,0.9305283,0.8822167,0.9684513,0.92317,0.9907547,0.99389166,0.99652946,0.97241896,0.9903572,0.99371535,0.9918053,0.97817004,0.936783,0.9825839,0.98247516,0.99617237,0.83605087,0.99704474,0.4078949,0.8336284,0.996796,0.8191459,0.92734075,0.33155507,0.9976236,0.9845668,0.93595725,0.9779019,0.97968227,0.9950576,0.9678495,0.9098282,0.99011517,0.9252791,0.9972597,0.9765097,0.99305546,0.9490272,0.99704474,0.94344,0.986001,0.9895911,0.9919863,0.98372865,0.99587387,0.9920648,0.9393922,0.98197776,0.9852918,0.9204491,0.9961872,0.9425102,0.9722831,0.9969028,0.970674,0.8880232,0.89313865,0.99542296,0.4046722,0.9804893,0.43188283,0.9749367,0.98657626,0.99517745,0.8609784,0.99311835,0.99722624,0.9900864,0.98593676,0.99110675,0.8704624,0.9936069,0.9932501,0.9892534,0.9379146,0.9759774,0.831726,0.9976376,0.9612738,0.98716366,0.9023696,0.9887039,0.98421276,0.9820204,0.97857404,0.99612457,0.9882016,0.99628687,0.93517596,0.9651956,0.9816256,0.9390472,0.98891747,0.95921063,0.73241365,0.98787916,0.9807505,0.9940379,0.97804826,0.9891697,0.83638114,0.9814,0.9942697,0.9925648,0.98686326,0.9892686,0.9852188,0.99628687,0.9733778,0.9959611,0.99499995,0.94844925
ahiddenlifefilm,0.99241805,0.9795493,0.9946093,0.92743844,0.99143,0.83016026,0.99937755,0.99628687,0.99999994,0.96107537,0.9825223,0.94790024,0.9919703,0.9983299,0.99497736,0.9883453,0.9859869,0.99165744,0.9968162,0.9954986,0.99210453,0.86096615,0.99525076,0.9930876,0.9654332,0.36062694,0.805171,0.98345613,0.9842283,0.9849937,0.9847936,0.98322785,0.9682171,0.9367086,0.59452075,0.6013369,0.9965471,0.9683291,0.9893667,0.97435033,0.98990315,0.9896088,0.95829564,0.9943687,0.9939212,0.9849583,0.9952476,0.99363637,0.97439533,0.99528766,0.98494005,0.9965219,0.95718485,0.9420238,0.8680464,0.9755685,0.9325786,0.99271965,0.99291676,0.9966489,0.9655669,0.9875962,0.99430335,0.990168,0.9847011,0.93827933,0.98408234,0.9834252,0.9928291,0.82675666,0.9984637,0.40558216,0.8444645,0.99766815,0.8154453,0.922365,0.3383529,0.9931579,0.98151064,0.9433334,0.97389823,0.97792727,0.99394923,0.96923083,0.9179168,0.9846336,0.91623735,0.9987012,0.9761295,0.99819547,0.9558742,0.9984637,0.9356964,0.9857325,0.99491423,0.99299634,0.97667897,0.9938253,0.99550354,0.93690646,0.97656447,0.9800177,0.92872775,0.9976917,0.95858663,0.98175883,0.99751043,0.97190374,0.9047007,0.87796414,0.99732876,0.4221933,0.9880614,0.44746116,0.98092926,0.9878824,0.9964747,0.85314983,0.99853885,0.9984493,0.9892898,0.9815271,0.9956532,0.8696289,0.9917608,0.99340266,0.98550427,0.94445777,0.98140806,0.86166346,0.99616486,0.9681622,0.9915709,0.8855171,0.99083465,0.99077135,0.98014224,0.9788295,0.9972478,0.98702765,0.99999994,0.94179493,0.9629514,0.97334385,0.94807255,0.98977864,0.9585339,0.7280345,0.9848253,0.9768409,0.9973817,0.9872761,0.9913907,0.83556336,0.9782674,0.994938,0.99105704,0.979754,0.98800516,0.987816,0.99999994,0.96084493,0.99707675,0.99633586,0.95774317
alitamovie,0.93576986,0.97809243,0.956762,0.8635814,0.98305917,0.8248337,0.96173733,0.9564462,0.96107537,1.0000001,0.91914463,0.9006886,0.9516901,0.94778377,0.954172,0.9685121,0.91992533,0.95834225,0.9592541,0.96586585,0.9572343,0.8817508,0.964971,0.9624786,0.9024873,0.50023264,0.8520915,0.9113461,0.9626712,0.9833055,0.92046267,0.9267568,0.94378865,0.9458904,0.6195455,0.6604714,0.95840174,0.9009019,0.95396966,0.9161324,0.93659776,0.93684745,0.9619145,0.94874835,0.94109344,0.94969255,0.96669686,0.9405917,0.9145701,0.94736415,0.9569986,0.9539101,0.9364309,0.89006585,0.7761578,0.98647517,0.9523561,0.9344194,0.93528926,0.962631,0.9061061,0.9188806,0.9757755,0.9362927,0.95404065,0.84587663,0.9411125,0.9187975,0.93915904,0.8077174,0.96293056,0.37174293,0.9114075,0.9613247,0.78418773,0.8771359,0.36378053,0.9613683,0.93613803,0.8789409,0.9142296,0.93494564,0.9504345,0.9330851,0.8758974,0.9350975,0.8756109,0.95969677,0.92647344,0.96209204,0.9327761,0.96293056,0.87011915,0.919863,0.9554859,0.9349815,0.91749984,0.9531548,0.95388734,0.885559,0.9344856,0.9291774,0.90334684,0.95897055,0.96599793,0.95070326,0.9584876,0.9013188,0.9546392,0.8587654,0.9606254,0.57608193,0.9388722,0.575791,0.9198105,0.94728655,0.9440386,0.81321996,0.9617802,0.9635117,0.94925463,0.9281097,0.9457192,0.85910237,0.9258127,0.9374908,0.93377954,0.9344788,0.9564999,0.8906342,0.94808984,0.97776604,0.9283515,0.81765443,0.9454355,0.9779545,0.91037977,0.95260346,0.95563537,0.94525373,0.96107537,0.9137644,0.91950554,0.9107877,0.9566473,0.93396044,0.9414156,0.67899716,0.9382083,0.8998599,0.9652138,0.94413096,0.9419197,0.7490064,0.9346802,0.9505665,0.9515882,0.9170258,0.9285317,0.93336,0.96107537,0.90634847,0.949458,0.9466342,0.928511
