movie,21bridgesmovie,47metersdown,abeautifuldaymovie,abominablemovie,adastramovie,adogsjourneymovie,aftermathmovie,aftermovie,ahiddenlifefilm,alitamovie,angelhasfallen,angrybirdsmovie,annabellemovie,annamovie,apollo11movie,arcticdogsmovie,arcticmovie,artofracingmovie,avengers,beachbummovie,bernadettefilm,blackandbluemovie,blackchristmas,blindedbythelightmovie,bombshellmovie,booksmart,breakthroughmovie,brianbanksmovie,brightburnmovie,brittanyrunsmov,captainmarvelofficial,captivestatemovie,catsmovie,charliesangels,childsplaymovie,clarathefilm,coldpursuitmovie,countdown,currentwarmovie,darkwatersmovie,detectivepikachumovie,disneyaladdin,disneyfrozen,disneymaleficent,doctorsleepmovie,dolemiteismyname,dontletgomovie,doramovie,downtonabbey_official,dumbo,escaperoom,everybodyknowsmovie,fastandfuriousmovie,fightingwmyfam,fivefeetapartfilm,fordvferrari,freaksthefilm,geminimanmovie,glassmovie,gloriabellmovie,godzillamovie,goldfinchmovie,goodboysmovie,goodliarmovie,gretafilm,halathemovie,happydeathdaymovie,harrietfilm,hellboymovie,hersmellmovie,highlifemovie,highstrungmovie,honeyboymovie,hotelmumbaifilm,httydragon,hustlemovie,hustlersmovie,isntitromantic,itmovieofficial,jayandsilentbob,johnwickmovie,jojorabbitmovie,jokermovie,judythefilm,jumanjimovie,justmercyfilm,knivesout,lalloronamovie,lastblackmansf,lastchristmasthemovie,latenightmovie,lighthousemovie,lionking,littlethemovie,littlewomenmovie,littlewoodsfilm,longshotmovie,lordsofchaosmovie,lucyintheskyfilm,mamovie2019,marriagestory,meettheaddams,meninblack,midsommarmovie,midwaymovie,missbalamovie,missinglinkfilm,motherlessbklyn,onceinhollywood,onthebasisofsex,overcomermovie,peanutbutterfalcon,petsematarymovie,piercingmovie,playingwithfire,playmobilthemovie,pomsmovie,queenandslim,rambomovie,readyornotfilm,richardjewellfilm,rocketmanmovie,scarystoriesmovie,secretlifeofpets,serenityfilm,shaftmovie,shazammovie,spidermanmovie,spiesindisguise,starwars,stormboymovie,stubermovie,taosdfilm,teenspiritmov,terminator,theaeronautsmov,thebestofenemies,thedeaddontdie,thefarewell,thehighwaymen,thehummingbirdprojectfilm,theintrudermovie,theirishmanfilm,thekitchenmovie,thelegomovie,themustangfilm,thenightingalefilm,theprodigymovie,thesunisalsoastar,theupsidefilm,tolkienmovie,toystory,triplefrontier,uglydolls,uncutgems,underthesilverlake,usmovie,wavesmovie,whatmenwant,wonderparkmovie,wrinklestheclown,xmenmovies,yardiefilm,yesterdaymovie,zombieland
21bridgesmovie,1.0,0.95621485,0.9737016,0.9819212,0.98392886,0.9850514,0.99115735,0.9891572,0.99091095,0.9695096,0.9860132,0.983615,0.975803,0.9837731,0.9848851,0.97477186,0.9845839,0.98662996,0.9930142,0.979477,0.9759894,0.97984827,0.9832978,0.98693806,0.9733865,0.9796128,0.9863429,0.9819721,0.98342186,0.98107463,0.99052083,0.9758303,0.98226815,0.9782865,0.9793461,0.97260165,0.9881653,0.9820577,0.98131716,0.9774611,0.97875005,0.97354794,0.96695524,0.975894,0.9895998,0.9756131,0.98159343,0.9812561,0.9814906,0.9788341,0.9840973,0.9785812,0.97254246,0.97719765,0.9744484,0.96575326,0.97842205,0.9732947,0.9868452,0.9876968,0.9718035,0.95929855,0.98435146,0.9746662,0.97196984,0.9787729,0.9684481,0.97686094,0.97582567,0.98145956,0.9896798,0.97578204,0.9679982,0.9886537,0.9820682,0.9853072,0.97933054,0.9862294,0.9796961,0.9849604,0.9695904,0.9908386,0.97206175,0.9756505,0.98068386,0.97920656,0.98199207,0.97411925,0.9796953,0.979451,0.9725869,0.9896798,0.9792757,0.986105,0.98609084,0.98667204,0.98538893,0.9756608,0.9866468,0.9790136,0.98040825,0.97746503,0.97982323,0.98693115,0.9784648,0.987505,0.97366154,0.97203773,0.9769527,0.96431196,0.99465775,0.9834127,0.97932297,0.97398186,0.9732207,0.9917889,0.99721366,0.97853076,0.98213214,0.9930582,0.9775482,0.98563707,0.97750044,0.98047745,0.98348534,0.98446226,0.97242093,0.9824056,0.9729312,0.97200704,0.9766945,0.9763445,0.9771798,0.9759375,0.98251575,0.9809726,0.9797559,0.9687371,0.9909539,0.99141794,0.99091095,0.9797486,0.98454565,0.9750258,0.9691684,0.9763289,0.9738965,0.9806746,0.9780189,0.983283,0.98540264,0.97114533,0.98178184,0.97962964,0.97841257,0.97632504,0.9808432,0.98665434,0.98438627,0.97729677,0.99091095,0.9796198,0.9872341,0.98487765,0.983747
47metersdown,0.95621485,1.0,0.9657249,0.9678168,0.9540146,0.9563891,0.9526419,0.95053154,0.9690154,0.94342315,0.96335363,0.93791467,0.97257066,0.962246,0.96959335,0.9840425,0.9610431,0.95111835,0.9504898,0.9671303,0.9614766,0.9583073,0.9675951,0.9762626,0.9645538,0.938335,0.9594976,0.94073385,0.9648455,0.97045296,0.9422239,0.94759476,0.9681879,0.94926924,0.97215474,0.9574672,0.9713745,0.9619399,0.94942313,0.9455705,0.9666888,0.953245,0.94417256,0.9488835,0.9516955,0.95278513,0.97106767,0.94964325,0.9525804,0.9548369,0.9678053,0.9487165,0.9686519,0.96888924,0.9487357,0.9533372,0.95805293,0.9656687,0.951332,0.95931023,0.966366,0.96606904,0.92736334,0.9751195,0.952092,0.95216733,0.9580806,0.9422601,0.9750396,0.9537761,0.95825636,0.9543251,0.956843,0.9532206,0.9674752,0.93172246,0.94875455,0.9557145,0.9567626,0.9651529,0.9469798,0.96020746,0.97944874,0.9573546,0.9551677,0.95090026,0.9665753,0.9633179,0.9487037,0.9450179,0.96366614,0.95825636,0.93016607,0.9539714,0.9708355,0.9658027,0.97048074,0.9579227,0.9564514,0.96003747,0.9525579,0.9725842,0.9514184,0.96367216,0.9542569,0.9729496,0.9655639,0.9653594,0.9578718,0.93505865,0.95438063,0.9643388,0.95375615,0.946677,0.9484365,0.95557517,0.9584566,0.96090555,0.9606679,0.9585057,0.9770754,0.94177276,0.9610215,0.94527644,0.9714527,0.9489561,0.9478861,0.9589814,0.9474047,0.9332714,0.9616973,0.95224106,0.94616795,0.9342824,0.96318746,0.9754413,0.9349917,0.95123965,0.9549661,0.95481676,0.9690154,0.9618458,0.95051444,0.96002567,0.9658973,0.94698817,0.96641886,0.97577304,0.97403663,0.9592001,0.9584269,0.96064883,0.9521318,0.94976044,0.95362747,0.94888616,0.96326864,0.9439832,0.95531416,0.9452945,0.9690154,0.9482658,0.97359806,0.9673008,0.964846
abeautifuldaymovie,0.9737016,0.9657249,0.9999998,0.97541505,0.98310333,0.97515476,0.9814902,0.9810326,0.98809516,0.96686554,0.9831872,0.9800116,0.9927026,0.9806507,0.98086095,0.98315537,0.98458564,0.9736957,0.97084033,0.9711652,0.98842627,0.98686445,0.9845736,0.9778514,0.9731826,0.971559,0.9777796,0.9727926,0.9880231,0.98519915,0.9777319,0.98499596,0.9800205,0.9777562,0.9837828,0.9825248,0.9822337,0.98665303,0.97172946,0.9753584,0.96893483,0.9867044,0.9797769,0.9849452,0.9750692,0.98532295,0.9794125,0.9791318,0.963257,0.9881193,0.9900682,0.977973,0.98494405,0.97261304,0.9778593,0.97408754,0.98074096,0.9840955,0.98058724,0.9858526,0.98336416,0.97918934,0.95776576,0.98333865,0.9806395,0.98192215,0.9716231,0.96648294,0.9818833,0.9815083,0.9845543,0.98022264,0.97416586,0.97716606,0.9789396,0.9750433,0.97060126,0.9821311,0.9819826,0.98306245,0.9749746,0.9849511,0.97835976,0.9741822,0.987236,0.97785467,0.9755102,0.98253053,0.978337,0.9733017,0.98175716,0.9845543,0.9701616,0.9784986,0.9862305,0.9775493,0.9852901,0.97429585,0.97733974,0.9782014,0.9786198,0.986794,0.97888374,0.9778768,0.955269,0.9923738,0.9787241,0.9812202,0.98485506,0.9731868,0.97337407,0.98496544,0.97189236,0.9747819,0.98288316,0.9800526,0.9760979,0.9794565,0.98612446,0.9739375,0.9851939,0.96401227,0.9664673,0.9737766,0.98985744,0.9667185,0.9832621,0.9811363,0.97746897,0.97586405,0.9838992,0.9730937,0.9755284,0.97204876,0.9793495,0.9856519,0.96691746,0.973408,0.98133963,0.976739,0.98809516,0.98908746,0.98419774,0.98142344,0.98084384,0.97548044,0.9858583,0.9823381,0.9739514,0.9755757,0.9835058,0.9887601,0.9829495,0.9575076,0.9810506,0.9700154,0.9866122,0.98002595,0.97932076,0.9736612,0.98809516,0.9705255,0.98576975,0.9692992,0.98599637
abominablemovie,0.9819212,0.9678168,0.97541505,1.0,0.9754867,0.98284155,0.9835831,0.9778996,0.98812807,0.9689016,0.9836599,0.97595704,0.9792224,0.9797435,0.98123693,0.98366916,0.97863925,0.9738271,0.9799278,0.9707018,0.97372943,0.97136104,0.9828171,0.9898731,0.97759974,0.97180206,0.97527266,0.9686783,0.9800708,0.9882496,0.9803632,0.96739477,0.97784746,0.9756071,0.9802726,0.9706635,0.9850549,0.9798414,0.97390115,0.9757078,0.9743268,0.97685075,0.9678016,0.96748084,0.9806605,0.98072344,0.97910476,0.97701496,0.9669828,0.9740807,0.9852624,0.97058195,0.9776763,0.9736457,0.97433114,0.9682022,0.97446126,0.9795813,0.97805345,0.98275924,0.97056663,0.97345835,0.97531873,0.9799489,0.97202456,0.97226465,0.9705038,0.9665832,0.9724604,0.9769994,0.98415637,0.9659446,0.97034484,0.9827811,0.98350614,0.9672776,0.9717476,0.9732071,0.97272104,0.98548317,0.968404,0.97727025,0.9732521,0.9827824,0.9802574,0.9755935,0.970576,0.9683421,0.976948,0.97392064,0.97595876,0.98415637,0.96605796,0.976382,0.9864503,0.98785454,0.9864819,0.96803474,0.9853521,0.9769836,0.98496836,0.98025185,0.9778444,0.98464435,0.9690016,0.98595256,0.98435,0.98542637,0.9794979,0.9653713,0.9803235,0.9844748,0.96603185,0.9612743,0.9643298,0.97642535,0.98295903,0.9775148,0.9738246,0.98239815,0.9781259,0.96775,0.97891945,0.9695617,0.98539954,0.97461957,0.969717,0.9823696,0.96786433,0.9631618,0.97664833,0.97195625,0.9701151,0.9655453,0.978389,0.9854448,0.9691204,0.96664923,0.98400325,0.9788512,0.98812807,0.97688943,0.9857626,0.98122466,0.9742051,0.9740611,0.9704966,0.9801187,0.98014116,0.9727896,0.98058164,0.9679713,0.9837876,0.9704422,0.9721194,0.9794397,0.9766245,0.9751226,0.9696341,0.95913714,0.98812807,0.9716539,0.99083734,0.97237504,0.98131204
adastramovie,0.98392886,0.9540146,0.98310333,0.9754867,1.0000001,0.98127997,0.98110193,0.9871959,0.98771375,0.98813343,0.98721457,0.98521227,0.9841827,0.98346126,0.9775089,0.97985417,0.97746986,0.99036616,0.972341,0.97058797,0.9817271,0.9909367,0.9748745,0.9752031,0.97765034,0.9849021,0.9869561,0.9736723,0.98915577,0.98060596,0.9791691,0.981068,0.9782608,0.9863757,0.981019,0.9824146,0.98798776,0.9804984,0.9837426,0.9789158,0.9742179,0.9824217,0.9728981,0.98308694,0.9808671,0.9827591,0.97049075,0.97872907,0.9773957,0.98645145,0.9901458,0.9869854,0.9735947,0.966024,0.96819335,0.9899977,0.98696905,0.9826128,0.98008597,0.9872585,0.97425264,0.96392363,0.9695805,0.98204195,0.98427784,0.98028743,0.9649283,0.9808927,0.9781522,0.9913565,0.9864189,0.98851514,0.9858053,0.9767127,0.98655033,0.98336947,0.990159,0.9883841,0.9836934,0.97954446,0.99179846,0.9789628,0.97343934,0.983279,0.9790721,0.9706496,0.9790872,0.9806946,0.977206,0.97453207,0.98292226,0.9864189,0.97768867,0.9740241,0.9892182,0.9785603,0.9804558,0.9726332,0.9748276,0.9895364,0.99066854,0.9781446,0.98634267,0.9809411,0.9639855,0.98851925,0.97532034,0.9802707,0.9820425,0.9811483,0.9845772,0.99055916,0.9828244,0.98580015,0.98071927,0.99111843,0.98808426,0.9857875,0.98342824,0.9776944,0.9845076,0.9748387,0.96589714,0.97959375,0.9840313,0.969767,0.9775795,0.9827012,0.98513395,0.9765522,0.97492594,0.9844434,0.972745,0.9809347,0.98288655,0.98211735,0.98879653,0.98229814,0.98490995,0.9844468,0.98771375,0.985702,0.9864799,0.9873751,0.9783144,0.9775306,0.97609717,0.97537756,0.979717,0.9782108,0.98298675,0.9799294,0.97783315,0.97056013,0.9854579,0.9725366,0.9834604,0.9879674,0.98252034,0.9813018,0.98771375,0.9850062,0.9839182,0.9671964,0.9823014
adogsjourneymovie,0.9850514,0.9563891,0.97515476,0.98284155,0.98127997,1.0,0.9872254,0.97977066,0.9891933,0.9788811,0.9879162,0.98552376,0.97788334,0.98423856,0.97668767,0.9789952,0.98327667,0.9814536,0.9818676,0.9737553,0.9676166,0.9810743,0.9883679,0.9857212,0.97927165,0.9838812,0.9800975,0.98399425,0.9877673,0.9777167,0.98117673,0.9722583,0.9854068,0.98562044,0.9820319,0.9815972,0.98862803,0.9775225,0.98619825,0.9777657,0.97555125,0.9779466,0.97376347,0.9736473,0.9899799,0.9740354,0.983405,0.98921204,0.9726716,0.97667074,0.98596525,0.9786293,0.97893256,0.96153414,0.97337335,0.9786959,0.9783738,0.9825382,0.9876358,0.9876998,0.9732178,0.9699809,0.9766557,0.9798048,0.97672766,0.9834197,0.96337354,0.97652537,0.97826797,0.98851955,0.98757803,0.9845254,0.98150325,0.98748446,0.98336184,0.9812663,0.98335946,0.9827691,0.9815075,0.9875466,0.971275,0.9816862,0.97526383,0.97667044,0.983599,0.97102803,0.98175484,0.9682602,0.98551875,0.97991467,0.97505075,0.98757803,0.9806896,0.9837568,0.9873019,0.9798663,0.9824597,0.97852325,0.9773522,0.98662466,0.986154,0.97672015,0.9786052,0.98326755,0.97771925,0.984878,0.9707831,0.9855391,0.9856124,0.967432,0.98603004,0.98953915,0.9783405,0.9732265,0.97657996,0.9804591,0.9855102,0.98887724,0.97803605,0.98370296,0.98142,0.98321,0.97437537,0.98906076,0.97926795,0.9884079,0.98194206,0.98863465,0.98161256,0.9767717,0.97799224,0.9794476,0.9748199,0.97352433,0.98434,0.9794923,0.9767381,0.9753519,0.9870599,0.981556,0.9891933,0.9822032,0.98426783,0.98465866,0.98251,0.9801736,0.9782916,0.9795024,0.9822265,0.9820235,0.98153377,0.973267,0.97433585,0.9790153,0.9785829,0.9719264,0.9863503,0.98189926,0.9833061,0.9800031,0.9891933,0.99048674,0.9866183,0.98246515,0.98568076
aftermathmovie,0.99115735,0.9526419,0.9814902,0.9835831,0.98110193,0.9872254,1.0,0.9850945,0.9940898,0.9685181,0.98845124,0.9894416,0.9846284,0.98476493,0.9881949,0.9809951,0.9899615,0.98534065,0.98589826,0.97866046,0.97860986,0.98335993,0.9912361,0.9859033,0.98115814,0.98468035,0.98690677,0.9839367,0.98505557,0.98447126,0.98450667,0.9866964,0.9776958,0.9854433,0.98494,0.97887474,0.9879206,0.9863926,0.98662645,0.98838836,0.9735445,0.98445624,0.97056824,0.9815981,0.98929954,0.9813323,0.98581934,0.98807466,0.9782809,0.982995,0.9876426,0.9846359,0.9852613,0.9759859,0.9843401,0.970031,0.979552,0.9843134,0.9901511,0.9910311,0.9777509,0.9737579,0.98639035,0.976574,0.98007107,0.98419803,0.9746013,0.9813841,0.9767809,0.9786476,0.9916779,0.9710728,0.97272277,0.9942491,0.987326,0.98401266,0.9734971,0.98616135,0.9786619,0.98859227,0.96662897,0.9909949,0.9732164,0.9825882,0.993833,0.9794215,0.9759503,0.9824874,0.9870386,0.9841181,0.97928876,0.9916779,0.98615456,0.9905947,0.98906124,0.98834884,0.9897373,0.98052317,0.9883742,0.98514456,0.98206806,0.9841382,0.97854245,0.9885627,0.98024666,0.98880655,0.98109573,0.9803653,0.9858369,0.97556376,0.9895895,0.9871092,0.9791749,0.97590655,0.98120266,0.98619086,0.9896497,0.98327416,0.98421526,0.9947855,0.97769326,0.9851855,0.9813215,0.98216873,0.9844285,0.9801216,0.9893903,0.9861331,0.98185456,0.97434235,0.9861461,0.97719365,0.9791472,0.9781794,0.9837453,0.97962844,0.9757421,0.9754847,0.9963528,0.9894225,0.9940898,0.9865249,0.9902281,0.9780474,0.97138,0.984992,0.9789811,0.98361045,0.9800313,0.98327845,0.99509543,0.9730283,0.9848299,0.97114813,0.98323846,0.9818461,0.9872116,0.9850175,0.98150444,0.98155314,0.9940898,0.98260087,0.9882755,0.9850751,0.9907021
aftermovie,0.9891572,0.95053154,0.9810326,0.9778996,0.9871959,0.97977066,0.9850945,0.9999998,0.9905467,0.97834986,0.98813903,0.9783347,0.982902,0.99050677,0.9838662,0.9687942,0.9814168,0.98652077,0.9800503,0.9774262,0.9780832,0.98640203,0.9787412,0.98240954,0.9697203,0.9859537,0.98752856,0.9821812,0.98699725,0.98075026,0.98801136,0.9786213,0.9769557,0.98449415,0.9822582,0.9812032,0.98658466,0.9914047,0.97688043,0.97772527,0.97831863,0.9737013,0.96646345,0.9716367,0.98400986,0.98213506,0.9755126,0.98124367,0.9795363,0.97646946,0.98947084,0.984346,0.975408,0.9689836,0.98384273,0.969896,0.985705,0.9723531,0.98922986,0.98712224,0.9782547,0.9657184,0.9761335,0.97644967,0.9701003,0.9804591,0.9715631,0.981525,0.9749753,0.9840456,0.9916333,0.98212963,0.96857965,0.98332155,0.97922504,0.98252606,0.9878883,0.98425746,0.9821386,0.98817277,0.9785255,0.9866204,0.96868205,0.9775352,0.9839231,0.9755371,0.9838909,0.9792881,0.9803789,0.98452985,0.9816314,0.9916333,0.9829013,0.9793854,0.9875123,0.98113984,0.9857637,0.96926457,0.98353106,0.98117906,0.9815405,0.9773446,0.9830869,0.984611,0.9779428,0.9903956,0.9796214,0.9728587,0.97447693,0.9674413,0.9920093,0.990422,0.98415375,0.98379624,0.97819227,0.99183434,0.99258983,0.97995585,0.9852832,0.987665,0.979752,0.9796657,0.98062617,0.9748859,0.9785701,0.9828838,0.9750807,0.9862022,0.9698206,0.9739016,0.97481394,0.9859411,0.97921824,0.97838056,0.98249054,0.9815821,0.9808982,0.9760483,0.9862552,0.9881665,0.9905467,0.98371065,0.9839785,0.9745552,0.9648824,0.9799308,0.978954,0.97961986,0.96885276,0.9854218,0.9845278,0.97678,0.9840605,0.98488766,0.9814923,0.9810949,0.98147523,0.9895507,0.9889455,0.98093134,0.9905467,0.98520815,0.98617506,0.9754849,0.9902389
ahiddenlifefilm,0.99091095,0.9690154,0.98809516,0.98812807,0.98771375,0.9891933,0.9940898,0.9905467,1.0000001,0.9794502,0.994802,0.9834059,0.9918969,0.9916409,0.992173,0.988211,0.9951203,0.986394,0.98813903,0.98801816,0.98869616,0.99081373,0.9927655,0.99086267,0.9880831,0.98697966,0.9904805,0.9880513,0.9922354,0.99021393,0.9867381,0.98923844,0.9846891,0.9848663,0.99023247,0.98615354,0.99653566,0.9897813,0.98910815,0.98911357,0.98648953,0.9833939,0.97348315,0.981001,0.991085,0.9907822,0.9889831,0.9893029,0.9860525,0.9856699,0.995561,0.9921048,0.9873012,0.9785037,0.98673964,0.98009604,0.9894728,0.9893018,0.99169314,0.9957137,0.9889292,0.9772124,0.98077625,0.98730564,0.98773724,0.9889187,0.98526394,0.98867047,0.979825,0.9883899,0.9973322,0.98102725,0.9817167,0.9928761,0.993582,0.9844742,0.9814753,0.9892378,0.9836725,0.9938214,0.975861,0.99059427,0.9865021,0.98683923,0.99039274,0.982567,0.98165816,0.98747605,0.99064827,0.9910485,0.9876144,0.9973322,0.98502636,0.9879773,0.99460286,0.9890753,0.9945206,0.9842732,0.98858386,0.9906233,0.9900808,0.9919822,0.9876124,0.99356174,0.983078,0.99638504,0.9877183,0.984947,0.9856424,0.9798869,0.99314713,0.99322927,0.98936605,0.9826681,0.9878774,0.9906363,0.9925575,0.98822,0.9890068,0.9916428,0.988747,0.9869647,0.98960453,0.9826606,0.98973626,0.9823422,0.9897478,0.992967,0.9793979,0.97748494,0.99080306,0.98444176,0.9865704,0.9802681,0.99329036,0.99089295,0.98139316,0.9863592,0.9955192,0.99319714,1.0000001,0.99185795,0.99252266,0.98272055,0.97718346,0.99186575,0.9881739,0.98829347,0.9834099,0.9878751,0.99044853,0.98042583,0.99043757,0.9784578,0.98974615,0.9879207,0.99131054,0.99088633,0.98980707,0.9873131,1.0000001,0.98433346,0.99276364,0.98524475,0.9954994
alitamovie,0.9695096,0.94342315,0.96686554,0.9689016,0.98813343,0.9788811,0.9685181,0.97834986,0.9794502,1.0000001,0.9822262,0.96993464,0.9723026,0.9815792,0.9673343,0.9652242,0.969802,0.98648983,0.9591097,0.95875686,0.970847,0.9825844,0.9627659,0.9660857,0.9732471,0.9856299,0.97922677,0.9756146,0.9816369,0.9684073,0.96851647,0.968568,0.96512145,0.9770497,0.97303426,0.9730417,0.9833176,0.9705142,0.9804634,0.9771222,0.9646008,0.96443915,0.96401066,0.96269965,0.9739567,0.97014433,0.9567867,0.97932047,0.9669976,0.9662341,0.9802545,0.9798732,0.9635858,0.9475044,0.96760565,0.9862169,0.98322684,0.976584,0.9798981,0.98331314,0.959891,0.9533664,0.96055436,0.968569,0.9750665,0.9670169,0.9589239,0.9821506,0.9653132,0.9833997,0.9833556,0.9825075,0.97904706,0.9672122,0.97478527,0.9754942,0.9852498,0.9716636,0.975884,0.97532505,0.98546827,0.96168804,0.9578251,0.97381717,0.96869177,0.9536894,0.9701443,0.9714645,0.9773772,0.9779957,0.9752817,0.9833556,0.9710279,0.9594113,0.98010814,0.9679373,0.96529716,0.9549122,0.95870215,0.9817891,0.9835052,0.9611463,0.9846419,0.98001647,0.9715306,0.97591966,0.958702,0.97249067,0.97608286,0.9701155,0.97696996,0.9848723,0.9809012,0.97319305,0.9730953,0.9790455,0.9751139,0.9776691,0.96440023,0.96685255,0.9694731,0.9763552,0.9652081,0.9743921,0.9706159,0.96845406,0.974176,0.97367126,0.9673869,0.9714734,0.96839714,0.9799042,0.970683,0.96892023,0.9806063,0.9697995,0.97453076,0.97925293,0.97849053,0.97552294,0.9794502,0.97336984,0.9759983,0.97551924,0.9617544,0.9757202,0.9652186,0.96618897,0.9627696,0.97083265,0.97354877,0.9666165,0.9660128,0.97371083,0.98425895,0.97428244,0.97255486,0.98639554,0.97541666,0.9752082,0.9794502,0.9847482,0.9744323,0.9520203,0.97525245
