,Distance
100-10dim,155.49184691343902
100-20dim,153.97087644299432
100-30dim,153.73150773473336
100-40dim,152.84833051690032
100-50dim,152.18775751582498
100-60dim,151.8116052863792
100-70dim,151.1821574182988
100-80dim,152.1975579006625
100-90dim,153.24258733778365
110-100dim,152.58127454986138
110-10dim,153.09820323542937
110-20dim,152.79902825294076
110-30dim,154.21965082914738
110-40dim,153.49103844808874
110-50dim,153.11856812446942
110-60dim,150.9740894678989
110-70dim,152.75421997141606
110-80dim,151.96478956978356
110-90dim,151.57869354047048
120-100dim,152.23627868154864
120-10dim,154.19733666255385
120-110dim,152.60871147215673
120-20dim,153.3489953315602
120-30dim,154.36713253811104
120-40dim,151.5272912947134
120-50dim,152.74435338650747
120-60dim,152.85919477853847
120-70dim,152.41728497632542
120-80dim,152.27720794644574
120-90dim,152.50821664183692
130-100dim,151.86448178060982
130-10dim,155.09722903410122
130-110dim,152.39037291136947
130-120dim,152.7030514729043
130-20dim,154.59947102422248
130-30dim,153.7969029494008
130-40dim,153.31480864000136
130-50dim,152.87954997385734
130-60dim,151.35062599243778
130-70dim,152.61349267334535
130-80dim,151.74123084365425
130-90dim,152.15699351833774
140-100dim,152.40080123355625
140-10dim,155.74170148150947
140-110dim,152.1961433613534
140-120dim,152.0180739928807
140-130dim,152.15468573491532
140-20dim,155.31112632089173
140-30dim,153.39358079580924
140-40dim,153.7188179054671
140-50dim,152.55185112414676
140-60dim,153.64643716434992
140-70dim,152.79517694187035
140-80dim,152.00828655999538
140-90dim,152.93071670958986
150-100dim,152.03313005323966
150-10dim,154.9069185785612
150-110dim,153.3325031388397
150-120dim,152.43864309002754
150-130dim,153.84857924230306
150-140dim,152.15058604847934
150-20dim,153.92190525309664
150-30dim,154.36556420472854
150-40dim,153.74744332392197
150-50dim,152.13298417424207
150-60dim,152.87822644282176
150-70dim,153.0667128563558
150-80dim,152.48937451156922
150-90dim,152.92537458537598
160-100dim,152.6321527642137
160-10dim,155.84968983274578
160-110dim,154.1430723478425
160-120dim,152.26164600271798
160-130dim,152.19405526836783
160-140dim,152.18380544037612
160-150dim,153.06007842016479
160-20dim,155.48053276342546
160-30dim,153.77086437779988
160-40dim,153.8996541968884
160-50dim,152.38570040702925
160-60dim,152.96696649525992
160-70dim,152.95385049879235
160-80dim,152.84381874267743
160-90dim,152.57164909710073
170-100dim,152.55368266692633
170-10dim,154.2268361190135
170-110dim,152.9523694283529
170-120dim,152.97695977105604
170-130dim,152.44029758269272
170-140dim,152.21673049842835
170-150dim,152.81571718573323
170-160dim,152.11748965124767
170-20dim,155.38552788511558
170-30dim,153.38994335390194
170-40dim,154.54970498852322
170-50dim,154.2153606349317
170-60dim,153.5454221663717
170-70dim,152.4379883250029
170-80dim,152.55911447167443
170-90dim,152.38046928395545
180-100dim,153.2400316407048
180-10dim,155.74019002016874
180-110dim,152.5340009110736
180-120dim,152.36094040970355
180-130dim,152.9477278684751
180-140dim,152.34870648758547
180-150dim,152.50184511647703
180-160dim,152.6670877498653
180-170dim,152.29298879011708
180-20dim,156.0007384936411
180-30dim,153.58117157424022
180-40dim,153.59736973500267
