,Distance
10-5dim,159.64047136996925
100-10dim,159.93477018847528
100-15dim,158.88207718638623
100-20dim,158.26927313056953
100-25dim,157.64744744921492
100-30dim,158.70652361624192
100-35dim,157.5901850243735
100-40dim,157.76736209320495
100-45dim,157.3900803084998
100-50dim,156.55391117698426
100-5dim,160.93372865069026
20-10dim,160.10404016630605
20-15dim,158.7173286050609
20-5dim,161.50636245155678
30-10dim,159.79673638577103
30-15dim,158.49172840613605
30-20dim,159.41861775731022
30-25dim,157.99644109850473
30-5dim,159.80296600009484
40-10dim,159.63739890589738
40-15dim,157.54264696729697
40-20dim,158.0469894041026
40-25dim,156.74698652205126
40-30dim,158.02878497764397
40-35dim,157.27878006891586
40-5dim,160.63345919803618
50-10dim,159.90394467632777
50-15dim,157.76377033275688
50-20dim,158.20014625874362
50-25dim,157.35502573831374
50-30dim,156.5640615050169
50-35dim,157.67705147818552
50-40dim,157.65607978232686
50-45dim,158.1206578653429
50-5dim,160.91264639954005
60-10dim,160.1403861071598
60-15dim,159.4210433494639
60-20dim,158.34982677795352
60-25dim,159.01524906161606
60-30dim,157.7777881209112
60-35dim,156.68493066030402
60-40dim,157.23032518386566
60-45dim,157.58911865423136
60-50dim,157.95113957536026
60-5dim,160.55406221786865
70-10dim,160.3524360032394
70-15dim,158.2791774050424
70-20dim,158.20237177047844
70-25dim,158.2817153162527
70-30dim,157.93623541298058
70-35dim,157.83510764107567
70-40dim,157.15811508651055
70-45dim,157.5124752537015
70-50dim,156.20819037967632
70-5dim,160.79962416956232
80-10dim,160.13346370685878
80-15dim,159.20977183915397
80-20dim,158.52103960070934
80-25dim,157.91515214153105
80-30dim,157.61661081770086
80-35dim,158.49117578714154
80-40dim,155.66339128079943
80-45dim,157.15286137975426
80-50dim,156.44930677194404
80-5dim,160.42545923501294
90-10dim,159.44050854253013
90-15dim,159.36344064863724
90-20dim,159.00920770071468
90-25dim,158.000635363885
90-30dim,157.58811069522145
90-35dim,157.67453414203203
90-40dim,157.62591965346388
90-45dim,158.13611889980436
90-50dim,157.05780651748236
90-5dim,160.76294478142023
