Dim,Middle,Code,selected,avg
10-5dim,10,5,160.1403861,0.005882107846
100-10dim,100,10,153.2144059,0.005627710042
100-15dim,100,15,153.0310415,0.005620974894
100-20dim,100,20,153.9708764,0.005655495919
100-25dim,100,25,157.6818741,0.005791804375
100-30dim,100,30,158.8820772,0.00583588897
100-35dim,100,35,158.2426431,0.00581240195
100-40dim,100,40,158.702007,0.005829274821
100-45dim,100,45,157.6475592,0.005790543956
100-50dim,100,50,158.8552185,0.005834902424
100-5dim,100,5,145.4783158,0.005343556136
20-10dim,20,10,153.0879003,0.005623063372
20-15dim,20,15,157.1799164,0.005773366994
20-5dim,20,5,157.5891187,0.005788397381
30-10dim,30,10,151.7283185,0.005573124646
30-15dim,30,15,157.5067252,0.00578537099
30-20dim,30,20,157.7673621,0.00579494443
30-25dim,30,25,160.5540622,0.00589730256
30-5dim,30,5,159.2693083,0.005850112334
40-10dim,40,10,148.9736245,0.00547194213
40-15dim,40,15,154.6676512,0.005681089117
40-20dim,40,20,156.5539112,0.00575037323
40-25dim,40,25,158.2023718,0.005810922747
40-30dim,40,30,157.9533657,0.005801776518
40-35dim,40,35,158.381975,0.005817519743
40-5dim,40,5,154.6525521,0.005680534512
50-10dim,50,10,147.7628923,0.005427470792
50-15dim,50,15,151.6248787,0.005569325205
50-20dim,50,20,155.1673045,0.005699441855
50-25dim,50,25,151.219869,0.005554448815
50-30dim,50,30,157.369036,0.005780313535
50-35dim,50,35,157.5124753,0.005785582197
50-40dim,50,40,159.7967364,0.005869485267
50-45dim,50,45,156.6216922,0.005752862891
50-5dim,50,5,154.3087866,0.00566790768
60-10dim,60,10,146.3235913,0.005374603904
60-15dim,60,15,153.0310415,0.005620974894
60-20dim,60,20,152.3597895,0.005596319174
60-25dim,60,25,151.6038914,0.005568554321
60-30dim,60,30,157.9964411,0.005803358718
60-35dim,60,35,158.1747985,0.005809909954
60-40dim,60,40,159.802966,0.005869714086
60-45dim,60,45,157.9151521,0.005800372896
60-50dim,60,50,158.2454215,0.005812504004
60-5dim,60,5,153.9811529,0.005655873385
70-10dim,70,10,143.6516293,0.005276460213
70-15dim,70,15,151.8842855,0.005578853462
70-20dim,70,20,151.6766336,0.005571226211
70-25dim,70,25,153.5536343,0.005640170222
70-30dim,70,30,157.182356,0.005773456602
70-35dim,70,35,157.1528614,0.005772373238
70-40dim,70,40,158.028785,0.00580454674
70-45dim,70,45,157.0167136,0.0057673724
70-50dim,70,50,157.2787801,0.005776998351
70-5dim,70,5,152.607541,0.00560541932
80-10dim,80,10,140.9896291,0.005178682428
80-15dim,80,15,143.022117,0.005253337631
80-20dim,80,20,151.5099656,0.005565104338
80-25dim,80,25,153.3368621,0.005632207974
80-30dim,80,30,157.7637703,0.0057948125
80-35dim,80,35,158.7159486,0.005829786909
80-40dim,80,40,158.2001463,0.005810841003
80-45dim,80,45,158.0006354,0.005803512779
80-50dim,80,50,158.1337282,0.005808401403
80-5dim,80,5,146.9585114,0.00539792512
90-10dim,90,10,145.242384,0.005334890138
90-15dim,90,15,151.1498652,0.00555187751
90-20dim,90,20,151.2310925,0.005554861065
90-25dim,90,25,153.4542042,0.005636518061
90-30dim,90,30,157.617462,0.005789438457
90-35dim,90,35,158.1361189,0.005808489216
90-40dim,90,40,158.1206579,0.005807921319
90-45dim,90,45,157.4919289,0.005784827508
90-50dim,90,50,160.5028815,0.005895422645
90-5dim,90,5,156.3112929,0.005741461631
