movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
21bridgesmovie,1.73727,1.6064389,2.1460855,1.7232438,0.0,1.1898451,1.8790263,0.5081581,1.5988933,1.5571016,1.6635584,1.6011494,1.9960222,0.5006149,1.3374325,1.0711681,0.8708608,1.6263875,1.5697392,1.5246184,1.9681096,1.1594988,1.205893,1.2941812,1.9890482,0.0,0.0,1.1455442,1.384129,0.8309016,0.0,1.4333832,1.5515797,1.7768011,0.999946,1.3254608,1.4762574,0.783583,0.98997813,1.7252072,1.7538314,1.7687334,1.5958894,1.4827378,0.90662134,1.2665101,1.0230783,1.3778759,1.3897858,1.7959337,1.5428779,1.4088507,1.0070837,1.8702971,0.0,0.5701546,1.087878,1.4723518,0.93997765,0.29060453,1.5186266,1.774243,1.8053429,1.6516441,1.1886556,2.069151,1.6485828,2.0232077,1.52584,1.1911957,1.9535178,1.6080474,0.0,1.3366847,0.8050057,1.7109284,1.316548,1.8456666,1.6465825,1.7352229,1.4171674,2.0524614,1.6182344,1.7173401,1.9226835,1.6415279,1.4887172,1.1703483,2.0870287,1.3213226,1.601445,1.4741857,1.1829928,1.4266901,1.5237925,1.2845534,0.46844804,1.5465362,1.4304787,1.3979665
47metersdown,1.962254,1.6155407,2.3077164,1.9673371,0.0,1.4677393,2.0263097,0.77728885,1.5047792,1.7443436,1.8427917,1.5983075,2.1220527,0.6978383,1.7000421,1.2664394,0.9540289,1.8574415,1.7772635,1.6369447,2.1838021,1.1873177,1.4119037,1.2552028,2.4136899,0.0,0.0,1.4957442,1.7352382,1.0903816,0.0,1.5898081,1.5658915,1.9594038,1.3051,1.5224967,1.8516573,1.1162617,0.85926485,2.0152833,1.9509524,2.133852,1.7634401,1.80587,1.0404704,1.4549912,1.2058344,1.3887343,1.9191209,2.07066,1.875679,1.7681959,1.0344936,2.1834996,0.0,0.6999272,1.0889987,1.4545451,0.8742251,0.23272832,1.4923289,2.0944083,2.2252278,1.7029704,1.415613,1.9400337,1.9213524,2.2418745,1.8304842,1.3933499,2.261715,1.7031294,0.0,1.4904528,1.2358656,1.8758473,1.393516,1.8985931,1.7183788,1.8164581,1.7697643,2.3621721,1.5509871,1.8839009,2.013986,1.7473096,1.6010705,1.3970273,2.322313,1.6523372,1.7410582,1.317943,1.4734523,1.405926,1.3901495,1.400785,0.48500526,1.656724,1.173394,1.6025829
abeautifuldaymovie,1.436552,1.2736274,1.6115925,1.3989704,0.0,0.9368872,1.6301539,0.5487883,1.1708466,1.2004948,1.3105906,1.3679161,1.527161,0.5324381,1.0521593,0.9218186,0.6717883,1.2439123,1.2245146,1.1666648,1.5384309,0.74889904,0.9654272,0.89126223,1.6545874,0.0,0.0,0.98867035,0.9993056,0.7798999,0.0,1.2225252,1.348859,1.2972038,0.7590229,1.0978466,1.2706374,0.7225036,0.6864327,1.3744526,1.3527457,1.4342206,1.2454818,1.212344,0.8789617,0.9861965,0.928965,1.199935,1.2665027,1.4658557,1.2955499,1.177905,0.8794894,1.6120172,0.0,0.5191305,0.719224,1.1574858,0.7688819,0.22169352,1.0898781,1.3736484,1.6044165,1.3318855,0.95408756,1.405556,1.2470005,1.6095406,1.23111,0.9211331,1.7259492,1.3044567,0.0,0.8555987,0.8448834,1.4635885,1.140525,1.3543886,1.2989402,1.2472141,1.3204447,1.6942974,1.2304441,1.4248668,1.5784423,1.2087477,1.1041384,0.927725,1.5804745,1.1639141,1.2253442,1.0452616,0.98403203,0.99464,1.200526,0.9923613,0.3426792,1.0633188,1.1417125,1.2373066
abominablemovie,2.040067,2.0322778,2.5048366,2.1916938,0.0,1.6476691,2.2323527,0.8665285,1.6730103,1.8486894,2.085912,2.1517768,2.265889,0.66079426,1.6937209,1.5226911,0.87242466,1.937313,2.035999,1.6443042,2.3850284,1.3241745,1.5785581,1.5106323,2.4807312,0.0,0.0,1.4355562,1.6666346,1.1758846,0.0,1.6711334,1.8628011,2.0436382,1.1127211,1.6933724,2.1123393,1.2548218,0.9346804,1.8961929,1.9763418,2.3285005,2.1100354,1.7011797,1.1204615,1.5757554,1.5174075,1.650922,1.7572063,2.1938095,1.8034337,1.6238968,1.0640521,2.2861507,0.0,0.73087305,1.196386,1.7233323,1.0167947,0.19265625,1.6192892,2.0418077,2.3055062,1.8065223,1.4248106,2.1227236,1.9076701,2.2753987,1.7427197,1.3982105,2.6200104,2.0335488,0.0,1.6360191,1.1978862,2.2747838,1.6240253,1.9484012,2.081954,1.8498682,1.9623206,2.497332,1.9885575,1.9463766,2.223414,1.9575276,1.7810768,1.2730788,2.3225734,1.8633319,1.587196,1.5361227,1.4863185,1.4314995,1.5883286,1.5988168,0.74039274,1.6444693,1.655631,1.9417539
adastramovie,0.76734465,0.68016505,0.84254813,0.68926257,0.0,0.52367073,0.8311591,0.31108323,0.6724631,0.66732806,0.8009138,0.71719974,0.781545,0.2756836,0.564442,0.54450196,0.3434727,0.73884904,0.67260605,0.6637144,0.84397167,0.5104795,0.6046746,0.4709228,0.86020625,0.0,0.0,0.57133,0.6189184,0.41203016,0.0,0.60581493,0.6598069,0.7385131,0.4293875,0.5402418,0.7243271,0.39397463,0.37554318,0.8198905,0.72871566,0.81891114,0.697635,0.68422306,0.4504486,0.5442926,0.45632306,0.63509065,0.6748663,0.8318855,0.7296437,0.67607945,0.47211018,0.8263781,0.0,0.29892138,0.46567303,0.62845176,0.3872857,0.15242279,0.65074307,0.73135895,0.90258133,0.72448075,0.5004752,0.76204103,0.73915035,0.893994,0.6073858,0.5393223,0.9203237,0.7738315,0.0,0.57310617,0.4473,0.77101165,0.6446027,0.7345746,0.70648,0.7411704,0.7179931,0.9142622,0.6441466,0.69538397,0.79689604,0.6909731,0.6364451,0.4803147,0.899322,0.66503274,0.591188,0.5415205,0.52036005,0.56819856,0.60900736,0.60857755,0.21262752,0.6026406,0.60922784,0.69763803
adogsjourneymovie,4.1287093,4.2902455,6.349092,5.513937,0.0,3.8491712,6.282928,2.472139,5.0530763,4.851092,4.381392,4.5746474,5.7268653,1.8524745,3.5333173,3.43724,1.5960373,5.8841004,4.5900693,4.1566663,6.3964148,4.0540304,4.2805986,4.100551,7.039003,0.0,0.0,4.1467276,3.984908,2.569469,0.0,4.1233654,4.8523126,5.2027087,2.4205124,3.3567834,4.0324244,2.85447,3.0532305,5.349632,4.8943453,5.456761,3.5274732,4.1134315,2.4794478,3.8286924,3.3264315,4.912258,5.3069787,5.728628,4.578087,3.7186642,3.123076,6.868461,0.0,2.0753515,2.8611674,3.695473,3.061564,0.9171276,4.1284533,5.632912,6.4236712,5.2957163,2.6360335,6.2902284,5.145342,4.805369,5.015575,3.3584769,6.5469694,4.771608,0.0,3.5577543,2.7789688,5.455756,4.4404793,4.2812977,4.772353,4.143217,4.713703,5.651365,4.6276565,5.13181,5.5476274,4.8899107,3.434572,3.3546867,6.145149,4.287202,4.0648637,4.1034927,3.126698,4.0090084,3.570076,4.13615,1.2590551,4.566238,4.062858,5.112843
aftermathmovie,0.6037471,0.6065582,0.68832487,0.60171777,0.0,0.42834014,0.67911226,0.2607388,0.5727357,0.5726746,0.63215995,0.5723684,0.6545733,0.2051432,0.4974868,0.4194287,0.26831678,0.6239775,0.55975133,0.50991964,0.7089552,0.38968992,0.44957423,0.40365845,0.7206354,0.0,0.0,0.45794398,0.469134,0.32938233,0.0,0.51352435,0.5266054,0.6004769,0.33869824,0.46909073,0.5806785,0.35434616,0.30397284,0.63142353,0.5847823,0.69128615,0.57158935,0.55089295,0.36583787,0.46708402,0.40517646,0.5362719,0.50626945,0.6532625,0.5725171,0.5538274,0.36398715,0.6863128,0.0,0.2641424,0.38119277,0.5159848,0.3179273,0.115932606,0.5139287,0.64299893,0.7421961,0.5762941,0.41912442,0.68451476,0.6049106,0.7216681,0.48771757,0.4380837,0.7430875,0.63215256,0.0,0.43497348,0.39589444,0.6574184,0.55492663,0.62779063,0.54908794,0.58307886,0.5521984,0.73725325,0.52860045,0.56063926,0.66264135,0.56474596,0.46962243,0.41322932,0.7246414,0.51100236,0.52129334,0.45257998,0.44178563,0.53551614,0.5177308,0.5008713,0.12388699,0.508431,0.5178235,0.56759596
aftermovie,4.3993516,3.624676,5.052236,4.2174964,0.0,3.1157207,4.7077236,1.8049468,3.9449131,3.119248,4.6755953,4.1166816,4.3227687,1.5040922,2.7849717,2.6763859,1.5160803,3.7333558,4.1387753,3.770851,4.879493,2.4751706,2.694414,2.3865056,4.492283,0.0,0.0,2.825891,3.466723,2.5037262,0.0,3.354542,3.1625838,4.3728848,2.2589467,3.373423,4.5380387,2.5873017,2.1100724,3.8760042,4.293367,4.879078,3.5007646,4.03248,2.2331305,2.615148,2.786969,3.7831922,4.3871293,3.9676964,3.3809018,3.6933858,2.714311,5.110315,0.0,1.6998848,2.663968,3.2416837,2.1483698,0.7483738,3.0683713,4.3271413,5.132594,4.172881,2.864655,4.649463,4.0860133,4.857034,3.4990184,2.5374522,5.1553283,4.5069203,0.0,2.9421275,2.70066,4.3737936,3.614091,3.9348083,3.980678,3.873119,4.133454,4.4116497,2.895224,3.9760137,4.7133183,4.3471117,2.8923078,2.5321646,5.173113,3.608479,3.657799,2.905765,2.8226814,3.1409054,3.650845,2.8677325,1.2032238,3.70019,3.7535524,3.7182128
ahiddenlifefilm,0.35424477,0.32883877,0.408709,0.34660238,0.0,0.25564024,0.388315,0.15351468,0.3148199,0.31637007,0.36309898,0.32632512,0.37331825,0.13288222,0.2949301,0.24988958,0.16656959,0.338899,0.32328767,0.29957455,0.38851127,0.22733802,0.2671929,0.22842929,0.41687056,0.0,0.0,0.2667261,0.28000998,0.1831034,0.0,0.29799572,0.29527286,0.32720312,0.19296539,0.26700965,0.33428127,0.19428548,0.17413926,0.35376826,0.33939728,0.38143852,0.32067403,0.31178793,0.21518438,0.25647208,0.22743668,0.29919067,0.3116646,0.36967653,0.3240369,0.31544825,0.2159177,0.38881984,0.0,0.1426438,0.2107177,0.2817308,0.17858432,0.07733753,0.29130897,0.3574245,0.41431814,0.32542795,0.23958647,0.37268394,0.34274957,0.40932763,0.2973233,0.24979277,0.41716778,0.35173443,0.0,0.26474833,0.20743226,0.36711517,0.28903106,0.3459884,0.3240391,0.32630703,0.32372126,0.41993475,0.28779525,0.3311751,0.3853273,0.32210287,0.2806473,0.24041495,0.4103246,0.29271987,0.29880992,0.25362083,0.25994778,0.27472955,0.28767058,0.27642548,0.09456797,0.28738138,0.28582036,0.3188654
alitamovie,1.1039494,1.0961759,1.1636317,1.083133,0.0,0.8079278,1.2598491,0.43280393,0.9166961,1.0177428,1.1314093,1.0596213,1.1479368,0.3681162,0.90079224,0.88686585,0.5316027,1.0445431,0.97852385,0.93500197,1.1938626,0.87213147,0.76111203,0.69506603,1.2213722,0.0,0.0,0.80198914,0.88460904,0.61959726,0.0,1.0119438,0.8378398,1.1220189,0.75626993,0.77527016,1.0268536,0.6381032,0.55309856,1.0368109,1.0516996,1.115437,0.9512741,0.9741489,0.686005,0.80538595,0.70365083,0.8005795,0.98250914,1.1811538,0.9778837,1.0565875,0.7313028,1.2426591,0.0,0.35765564,0.655477,0.9775185,0.5311849,0.19216505,0.9513185,1.1640699,1.2328634,1.0306233,0.8253432,1.060844,1.1459163,1.3146968,0.98193175,0.82184607,1.3188996,1.0788854,0.0,0.8536625,0.6635726,1.1010752,1.0000552,1.0110576,1.100955,1.0112921,1.1102166,1.2515025,0.930854,1.0309875,1.2242953,1.0336415,1.029758,0.68241215,1.2829037,0.9092785,0.9402551,0.964381,0.8494145,0.84537214,1.0457542,0.95220363,0.25495037,0.86138487,0.88863355,1.0172874
