movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
21bridgesmovie,0.43336132,0.5771856,0.0,0.5888965,0.20013411,0.0,0.31740403,0.58760494,0.4662978,0.43319148,0.41961652,0.076090224,0.44941586,0.50898516,0.33751664,0.0,0.6192542,0.71228075,0.3130768,0.5266736,0.55607486,0.0,0.5197325,0.0,0.40482077,0.09261323,0.8070337,0.36915374,0.4887544,0.30513498,0.0,0.4154079,0.35023054,0.18982862,0.50446796,0.038521465,0.45115995,0.41282123,0.3824109,0.32679042,0.42733264,0.36081147,0.19457452,0.0,0.53555495,0.40225655,0.56509835,0.5581979,0.0,0.28922194,0.1922555,0.10632169,0.466187,0.0,0.36884293,0.4096033,0.0,0.034015104,0.0,0.3424024,0.0,0.5469742,0.49865603,0.26095808,0.39088336,0.5379159,0.3812656,0.18209468,0.24246982,0.3972735,0.0,0.5771127,0.40668225,0.29463422,0.3911682,0.3440676,0.47371367,0.39757752,0.26939723,0.4558019,0.47492984,0.0,0.45570698,0.7122102,0.30816004,0.40620583,0.33584657,0.0,0.3018827,0.2786918,0.0,0.19161133,0.2097628,0.5168701,0.30063868,0.2971267,0.06386612,0.547615,0.39737612,0.31644943
47metersdown,0.61964715,0.7716594,0.0,0.6895203,0.6180655,0.0,0.5133963,0.3853989,0.6577928,0.67433095,0.42869726,0.0,0.83292377,0.54495734,0.22229017,0.29739675,0.48593092,0.81450254,0.6229987,0.5379973,0.85329217,0.0,0.4081077,0.0,0.5398649,0.14508593,0.83960193,0.45810813,0.4784059,0.5827954,0.0,0.66719663,0.6072387,0.372722,0.38547102,0.0,0.46192813,0.40507331,0.6109933,0.5326284,0.547893,0.39037025,0.22081661,0.0,0.6459689,0.16928607,0.5032579,0.49205476,0.0,0.3735592,0.29198974,0.18819353,0.64614886,0.0,0.41161814,0.45972988,0.0,0.24520245,0.27082458,0.43180138,0.0,0.5924829,0.14701201,0.57565403,0.37938082,0.6591362,0.4164854,0.5351062,0.4105578,0.78646064,0.0,0.44982934,0.6030656,0.41082937,0.538895,0.5067989,0.509266,0.557147,0.32938552,0.486674,0.81371105,0.0,0.15493667,0.7197277,0.3429931,0.6670521,0.57966846,0.0,0.35670745,0.07875783,0.0,0.2835826,0.20845866,0.80833155,0.2426337,0.5514598,0.1848627,0.58313006,0.28709337,0.1760357
abeautifuldaymovie,0.35606503,0.42031503,0.0,0.4400741,0.37281075,0.0,0.23770058,0.2638313,0.52808505,0.4645532,0.30108365,0.048790604,0.25399292,0.3790592,0.30931804,0.2340905,0.49500692,0.5242924,0.2786785,0.5019106,0.42919594,0.0,0.36464697,0.0,0.5291943,0.23342182,0.7776465,0.3655998,0.39744565,0.40693992,0.0,0.48776528,0.42707852,0.25468624,0.3076465,0.05382905,0.46682787,0.37254173,0.37136668,0.32005382,0.31040403,0.30071983,0.23731561,0.0,0.48392254,0.32221955,0.2863516,0.42869937,0.0,0.45337588,0.19473715,0.12737638,0.48394355,0.0,0.4220071,0.35072994,0.0,0.25071305,0.028342374,0.45831144,0.0,0.3375332,0.38726127,0.25820804,0.16789365,0.44502267,0.3854603,0.44243783,0.20486167,0.36229765,0.0,0.38903615,0.31693822,0.37454206,0.568481,0.26884052,0.40477392,0.37820467,0.215217,0.46701372,0.42224348,0.0,0.082759455,0.43616465,0.2926071,0.2954492,0.42835218,0.0,0.54735005,0.24813022,0.0,0.3113453,0.17916703,0.5267803,0.3328572,0.37159806,0.15797406,0.26651227,0.2727211,0.22004533
abominablemovie,0.7582097,0.5095857,0.0,0.7861432,0.392173,0.0036632419,0.44566834,0.36634785,0.8115904,0.56222796,0.5781568,0.0,0.31630906,0.7065282,0.39500597,0.14223628,0.49085295,1.0476453,0.47185838,0.46927845,0.8878227,0.0,0.49101436,0.0,0.65155727,0.20260824,0.8233692,0.6579478,0.45156756,0.6076412,0.0,0.4727756,0.79772544,0.4950275,0.4076788,0.059772402,0.83427674,0.50921935,0.7479285,0.4462478,0.50298923,0.59603524,0.34377077,0.0,0.72529167,0.44290084,0.70031965,0.61748314,0.0,0.54904735,0.17248754,0.0,0.6009604,0.0,0.5320137,0.6052203,0.0,0.24062003,0.0,0.39461523,0.0,0.9175812,0.54523146,0.1229355,0.3645055,0.861913,0.560351,0.34109458,0.4261741,0.62697715,0.011316549,0.723709,0.5719562,0.34058934,1.0099416,0.08629148,0.3627638,0.46972543,0.37812534,0.5605945,0.5509803,0.0,0.2982341,0.94657767,0.6150202,0.5429908,0.6175088,0.0,0.49418196,0.4346835,0.0,0.5342341,0.0,0.27192026,0.34762642,0.41321325,0.16751546,0.5332673,0.30329132,0.58212745
adastramovie,0.33097923,0.36166322,0.035921216,0.45246094,0.20197168,0.0075040217,0.235089,0.3325555,0.47324938,0.5119925,0.334587,0.18339612,0.35192817,0.30339015,0.34640762,0.23927136,0.48419774,0.5022092,0.41775325,0.3701347,0.4300095,0.0,0.41021618,0.0,0.22797409,0.2148561,0.49744797,0.28885376,0.17241028,0.28987733,0.0,0.38985148,0.36247697,0.046892896,0.3923752,0.14892904,0.31367937,0.37497246,0.32005754,0.34471714,0.2615579,0.29198912,0.15782697,0.0,0.35490113,0.16485733,0.36494288,0.47076106,0.0,0.35608464,0.1775863,0.11374743,0.4418487,0.0,0.4357472,0.25995278,0.0,0.14481872,0.0,0.30450585,0.0,0.3308356,0.3090928,0.28735107,0.15449739,0.54133356,0.3221602,0.20033948,0.10761695,0.29688692,0.0,0.40155137,0.42956075,0.202858,0.37197995,0.09722136,0.15500186,0.39636254,0.3644869,0.3332435,0.398005,0.0,0.24842712,0.37918663,0.31749016,0.25098568,0.4058556,0.0,0.30413514,0.21009906,0.0,0.24460745,0.16970846,0.4539714,0.22991653,0.15391232,0.15105236,0.4599775,0.23524804,0.41561365
adogsjourneymovie,0.7441568,0.84801614,0.0016058562,0.79726654,0.96877974,0.0,0.53277117,0.80496764,0.93665993,0.8447959,0.58468795,0.19119202,0.70581996,0.76622486,0.7633454,0.1609963,1.1969545,1.1929284,0.5572374,1.0003581,1.2073013,0.0,1.0297433,0.0,1.1221976,0.1422988,1.4410455,0.863092,0.5119873,0.5926076,0.0,0.775693,1.0252962,0.61684746,0.3531564,0.0,1.0179751,1.1998072,0.77845824,0.6703093,0.538013,0.9296769,0.1294736,0.0,0.714341,0.45625,0.5626369,1.0313687,0.0,0.593495,0.39522782,0.0,0.48973873,0.0,1.0016227,0.8404477,0.0,0.0,0.21680078,0.8438207,0.0,1.1568118,0.81779337,0.6727769,0.71348095,0.9509457,0.54206467,0.642862,0.45897308,0.6651736,0.0,0.6211447,0.79981965,0.6639631,0.84232724,0.6367152,0.69624454,0.85995424,0.430433,0.8092827,1.0083753,0.0,0.577545,1.2045318,0.9179268,0.9404432,0.26572296,0.0,0.6628363,0.5933594,0.0,0.67797464,0.40653136,0.7152214,0.23202385,0.63432986,0.40306923,1.2158445,0.5191673,0.5481705
aftermathmovie,0.28074035,0.33191058,0.0,0.4248088,0.24006829,0.0,0.19953209,0.23822492,0.34152737,0.29388878,0.22327279,0.0,0.19406669,0.28964,0.30099434,0.10633245,0.3782164,0.4999814,0.25272384,0.3783193,0.4519408,0.0,0.37230512,0.0,0.33227035,0.07848083,0.48548564,0.33702862,0.1780062,0.361503,0.0,0.34364676,0.38054922,0.15589306,0.29313645,0.0,0.31170025,0.38543436,0.3020929,0.37875795,0.23641917,0.26636687,0.08550331,0.0,0.32252017,0.14077766,0.30488962,0.3016097,0.0,0.3345349,0.24309306,0.061491653,0.29095095,0.0,0.26153946,0.29636028,0.0,0.13336885,0.0,0.19886148,0.0,0.21702145,0.1611458,0.21413623,0.14496425,0.36402196,0.33225638,0.33843327,0.22339019,0.3107835,0.0,0.32876498,0.32961735,0.25183004,0.35414284,0.16029401,0.26095065,0.25022343,0.34237802,0.31530058,0.31944016,0.0,0.27790368,0.39931166,0.33156663,0.40472248,0.3744039,0.0,0.27058947,0.20569141,0.0,0.2659123,0.12016001,0.30173808,0.15464912,0.2350786,0.0933483,0.2561322,0.2499034,0.19311097
aftermovie,0.28841856,0.48453948,0.0,0.5205597,0.3942446,0.0,0.4197988,0.294646,0.50847507,0.44794375,0.3789527,0.14122327,0.38889042,0.5838553,0.22310555,0.114383675,0.593161,0.7970864,0.34551364,0.5292142,0.70415545,0.0,0.41496888,0.0,0.3967352,0.17014812,0.6919105,0.41691875,0.2875063,0.34115362,0.0,0.60075676,0.48707503,0.31043473,0.29299128,0.0,0.4071533,0.56957674,0.4936463,0.3791571,0.5296442,0.42477426,0.090856604,0.0,0.5346608,0.26322788,0.4729432,0.6027159,0.0,0.53331745,0.3146076,0.07537935,0.41467056,0.0,0.38678703,0.27306256,0.0,0.06619001,0.0,0.3383147,0.0,0.49585938,0.4065143,0.38808,0.1953622,0.67041284,0.2645625,0.38044205,0.29812708,0.42581362,0.0,0.517327,0.44644326,0.25861374,0.6104027,0.37481177,0.3160277,0.33583048,0.36851722,0.60666806,0.5827818,0.0,0.22467974,0.5477292,0.357369,0.49762315,0.4176583,0.0,0.4372388,0.3305546,0.0,0.25358093,0.28813902,0.505945,0.2781771,0.25640732,0.2341865,0.4782578,0.36876965,0.433064
ahiddenlifefilm,0.18369159,0.21749061,0.0021561151,0.24255407,0.16081758,0.0068358798,0.17268498,0.163649,0.21584247,0.20733434,0.18960574,0.05472587,0.19247586,0.22464588,0.16353783,0.074132815,0.2597054,0.28279233,0.17834783,0.22286105,0.2762352,0.0,0.19644961,0.0,0.21369052,0.078724466,0.30591175,0.17672527,0.16160911,0.1802606,0.0,0.21537325,0.20606823,0.11437004,0.17288263,0.034523167,0.21338886,0.22846146,0.22349508,0.17144543,0.1635875,0.16580302,0.0812785,0.0,0.21655641,0.14248618,0.15827371,0.22850762,0.0,0.20781425,0.08858485,0.04316613,0.1921181,0.0,0.1951111,0.17923117,0.0,0.058834083,0.0085061425,0.17751077,0.0,0.2028953,0.16802254,0.15224786,0.13615611,0.2549554,0.15781218,0.17301668,0.14666286,0.21203591,0.0,0.19721746,0.18060066,0.1653632,0.22836326,0.13176754,0.16376181,0.18695618,0.13024506,0.2035633,0.22111152,0.0,0.12823331,0.24472195,0.16420421,0.21655858,0.1904637,0.0,0.17355824,0.11763096,0.0,0.13724625,0.10534161,0.22477612,0.12003018,0.14981762,0.07600503,0.22664905,0.16356784,0.121350914
alitamovie,0.4997298,0.3817564,0.06479697,0.67593986,0.5145998,0.0,0.41206628,0.29013106,0.47839192,0.7243204,0.54457426,0.15694351,0.31796005,0.4871056,0.36353856,0.43141922,0.45230865,0.90265954,0.4770114,0.6754664,0.6031177,0.0,0.4791974,0.0,0.29677898,0.2912254,0.47674826,0.15879102,0.44650123,0.24416718,0.0,0.48231488,0.34518588,0.2563278,0.46537015,0.14402443,0.24402088,0.6437968,0.6372864,0.5528724,0.17812562,0.41064405,0.15680598,0.0,0.37477854,0.54134244,0.41856351,0.42748964,0.0,0.28283682,0.4515041,0.2979943,0.4433649,0.0,0.3440987,0.49063468,0.0,0.2624579,0.117148675,0.5014933,0.0,0.39047503,0.4651528,0.28588396,0.17279294,0.42503774,0.21169485,0.1546504,0.1841411,0.43716478,0.13581817,0.64332026,0.309662,0.24373049,0.601683,0.21325856,0.30481696,0.40781513,0.39242408,0.68776476,0.5384322,0.0,0.48867533,0.4958704,0.21758392,0.4643723,0.491655,0.0,0.50947887,0.17742261,0.0,0.31514248,0.2513131,0.59304684,0.37804028,0.2027209,0.120018415,0.4021167,0.30219293,0.44768944
