movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
21bridgesmovie,0.7718474,0.8952745,0.7146419,1.4824092,0.97138405,0.22962251,0.14786623,0.9093781,0.93474793,0.0,0.46390948,1.1174115,0.71463144,0.8420067,0.76249766,0.6729542,0.71982306,0.7526569,0.75761217,0.8651228
47metersdown,1.2015378,0.8328905,0.557867,1.4850487,0.91434443,0.48432505,0.3722405,1.4369395,0.8413525,0.0,0.52590334,1.1547786,0.7963403,0.99832594,0.51550364,0.7673647,0.8784921,0.72906584,0.5510462,0.9431326
abeautifuldaymovie,0.8493586,0.8344125,0.4958322,1.0522457,0.51476634,0.26625848,0.3740978,0.89970964,0.59462035,0.0,0.42025584,1.1080687,0.6047754,0.70301974,0.5950402,0.4688254,0.75138944,0.8167213,0.46515748,0.6383881
abominablemovie,0.75605947,0.90100783,0.8976527,1.7543559,0.62677896,0.3251729,0.516147,0.9384631,0.6160258,0.0,0.63178736,1.0060401,1.1360096,0.8444431,0.63594735,0.8678756,1.2197549,1.1773736,0.80480766,1.2520013
adastramovie,0.67601717,0.84084684,0.59858274,0.94095755,0.35089973,0.4517184,0.1664786,0.90192384,0.71728426,0.0,0.46582887,0.7080276,0.5462926,0.7878551,0.5919721,0.36206692,0.54308873,0.7966503,0.54960203,0.58138674
adogsjourneymovie,1.6120973,1.9339678,1.0367843,2.170504,0.9292632,0.35744402,0.16401567,2.0783937,1.5445954,0.0,0.6076817,1.4697778,1.1305215,1.6017569,1.2234242,0.6503587,1.0438838,1.5471022,1.1996021,1.355934
aftermathmovie,0.5699705,0.61535835,0.67522484,1.060861,0.4317526,0.21587689,0.15858227,0.7746049,0.6731673,0.0,0.4768259,0.6985164,0.7553709,0.6276036,0.4719975,0.42459023,0.5918034,0.66689366,0.38959754,0.65726155
aftermovie,0.77856433,0.8906546,0.5224536,1.2974204,0.5842811,0.32898396,0.34240437,0.9746607,0.9574819,0.0,0.61180264,1.0852753,0.6412302,0.6539511,0.53484476,0.6253992,0.83352256,0.61777323,0.82836103,0.9318227
ahiddenlifefilm,0.39059332,0.4554123,0.33430153,0.6333716,0.29783404,0.1827123,0.11177585,0.50248605,0.38777983,0.0,0.25434643,0.4795272,0.3809678,0.38988894,0.31263998,0.30727497,0.37070566,0.43210086,0.30717567,0.3817047
alitamovie,0.5321766,0.8466486,0.43987185,1.0872588,0.56913155,0.28760317,0.0,0.8699045,0.7150144,0.0,0.73196155,0.9144879,0.5373009,1.0233316,0.7853592,0.44479877,0.7118653,0.80845207,0.6554768,0.4290176
amazinggracemov,0.5740048,0.6007667,0.3951367,1.3046441,0.32506606,0.0,0.0,0.67808026,0.11472085,0.60214263,0.34335262,1.0677125,0.10189287,1.0811865,0.56655383,0.5696812,0.5239204,0.6003151,0.59625715,0.2391858
angelhasfallen,0.96954316,1.0165298,0.79671997,1.3563124,0.93343455,0.38943222,0.0841289,1.1824603,0.8540767,0.0,0.78416663,1.091323,0.76936,1.1481619,0.8364415,0.87716335,1.0034306,0.8750188,0.84160626,0.9293249
angrybirdsmovie,1.1092582,1.2965592,0.6368522,1.494623,0.80329704,0.4677675,0.50655323,1.6196905,0.92985433,0.0,0.806726,1.3743947,0.92429066,1.1620214,0.66811186,0.78925085,1.1817614,1.0005727,0.93903464,1.1043146
annabellemovie,1.2742263,1.4680953,0.92625254,2.234035,1.2161055,0.65347457,0.33713046,1.4934602,1.2769603,0.017479803,0.8687891,2.211973,1.3043479,0.8372238,1.2165725,1.443572,1.2410176,1.1894155,0.85963166,1.4713736
annamovie,0.87253845,1.1340432,0.7067097,1.410697,0.5301447,0.26893377,0.07836186,0.8972782,0.83563566,0.0,0.5038309,0.8589149,0.8796011,1.0398365,0.8071456,0.60299677,0.7136227,0.98948526,0.80233485,0.775886
apollo11movie,0.56918424,0.5915492,0.42671078,0.67070603,0.26082173,0.1844363,0.16526419,0.6284785,0.3095704,0.06998539,0.3528091,0.6069517,0.3966618,0.41011012,0.4174762,0.3801036,0.41938448,0.56019884,0.45741722,0.36033678
arcticdogsmovie,0.7333337,0.8909357,0.41067094,0.9253366,0.7216303,0.45183596,0.20015714,0.9554602,0.7642281,0.18115433,0.6064338,0.9487747,0.6707983,0.7026855,0.69453096,0.67118245,0.6923266,0.8398142,0.43930697,0.91499615
arcticmovie,0.90701616,0.97357017,0.6981027,1.3966303,0.63140035,0.31816423,0.2993311,1.0038023,0.8995027,0.0,0.65041655,0.9720696,0.72021025,0.78010905,0.5873832,0.6612654,0.67436963,0.962268,0.63216805,0.74127406
artofracingmovie,0.6977995,0.7547975,0.5463571,0.72599685,0.326495,0.17024706,0.19649322,0.5526694,0.61197925,0.0,0.31487307,0.5336202,0.39876884,0.5089365,0.6411992,0.23508593,0.48852342,0.54055965,0.5870028,0.45032746
avengers,0.7715503,0.7992225,0.46375656,1.1466386,0.7078449,0.10910852,0.21961255,0.74646693,0.73846143,0.0,0.25905278,0.78330976,0.54718626,0.6243672,0.66219974,0.45438975,0.55694896,0.3980779,0.6927027,0.5028941
beachbummovie,0.8058352,1.2141907,0.7505684,1.7554481,0.68073857,0.4924426,0.32653612,1.192342,0.93819827,0.0,0.6383211,1.4664134,0.96406764,0.72051203,0.7718827,0.9193712,1.0118734,1.1185467,0.7593556,1.1023108
