movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
21bridgesmovie,0.8412915,0.45036876,0.39734307,0.59399754,0.30323353,0.49832565,0.57661885,0.0,0.30344695,0.3645201,0.70100456,0.90865505,0.378722,0.4600309,0.44823143,0.6637243,0.30357292,0.34988075,0.7572099,0.6283173,0.4497279,0.47992092,0.56574607,0.4314382,0.28710353,0.7790668,0.3773027,0.7331011,0.26585785,0.36232883,0.6256626,0.27996987,0.3958262,0.67480415,0.0,0.2165978,0.30019563,0.65665066,0.771444,0.38968912,0.5540905,0.6290202,0.11295348,0.7137113,0.56533384,0.3331542,0.4311517,0.0,0.6431491,0.3782264
47metersdown,0.9448001,0.35894167,0.7692636,0.5081559,0.48725688,0.25599098,0.6147955,0.0,0.42250672,0.11372481,0.5951029,0.633341,0.55838835,0.82913053,0.6977854,0.6284851,0.125659,0.20037901,0.70056564,0.8809773,0.6768899,0.51427865,0.56444365,0.50067294,0.2290663,0.74735355,0.44168344,0.5346453,0.5774747,0.5746368,0.5675002,0.43074,0.3482412,0.53901285,0.0847166,0.5054734,0.46509215,0.57489026,0.9761776,0.3432247,0.31969926,0.6547665,0.16592686,0.7956182,0.7834735,0.2953055,0.2501252,0.0,0.55884546,0.59127295
abeautifuldaymovie,0.6844749,0.5439363,0.38234854,0.46331674,0.17400159,0.5038252,0.44642687,0.0,0.31774977,0.33397636,0.7133285,0.8235213,0.3915236,0.71013606,0.5083653,0.3451441,0.19321653,0.0,0.5726702,0.5465549,0.48148423,0.38874644,0.36979675,0.40739974,0.39184326,0.6444794,0.5382276,0.48347104,0.3481466,0.35101557,0.6003552,0.36794466,0.3873266,0.5651899,0.19592214,0.13704117,0.2886042,0.7502326,0.4444409,0.35494417,0.38347495,0.3069623,0.17758384,0.6776862,0.5360043,0.18485644,0.5292071,0.0,0.647889,0.36468244
abominablemovie,0.8923688,0.29935256,0.88012964,0.5980727,0.64522856,0.35742372,1.0991364,0.0,0.3229811,0.4149482,0.83511066,0.7015962,0.4985691,0.5783491,0.6759609,0.6074146,0.09642936,0.22522393,1.1036751,0.8862307,0.20144561,0.40350968,0.6170869,0.77727383,0.6741673,0.8431157,0.45981425,0.7666545,0.6210577,0.42436025,0.8157652,0.29816836,0.2491046,0.8042478,0.0,0.12834945,0.29462248,0.52430105,0.73757595,0.23787937,0.14541197,0.6776965,0.21068068,1.0733831,0.49260795,0.28322554,0.45709157,0.0,0.73013604,0.47643456
adastramovie,0.6678688,0.286397,0.50065804,0.46441343,0.48143038,0.43248266,0.57432556,0.0,0.2661243,0.31381422,0.5002444,0.73922735,0.1864533,0.4923114,0.34184206,0.6532935,0.15502843,0.0,0.67889524,0.62141484,0.29093882,0.39816576,0.41369098,0.4704701,0.29475576,0.5776639,0.3803841,0.42379498,0.24586985,0.50833553,0.59095055,0.28327674,0.48177648,0.55434,0.209627,0.110158324,0.14054115,0.41284356,0.60510385,0.27698687,0.16650948,0.5731497,0.17631121,0.5662531,0.63873327,0.2707562,0.2584435,0.0,0.60326827,0.36591235
adogsjourneymovie,1.2369139,0.6820444,0.7680107,1.1721642,0.72196156,0.44291702,1.0180912,0.0,0.26074204,0.5188187,0.98296326,1.0665315,0.4050113,0.8767903,1.2018043,1.1710461,0.23251052,0.053639278,1.2354858,1.3334898,0.5609663,0.5152956,0.88902044,0.56128186,0.59781253,1.3629744,1.0729748,0.8291553,0.49699232,0.6860766,0.5895442,0.41002107,1.1667002,0.5853785,0.0,0.0478972,0.28119025,0.7619393,1.0137397,0.6037102,0.26698568,0.5864639,0.36657164,1.1119564,0.7559012,0.0,0.6764074,0.0,0.80941445,0.56562304
aftermathmovie,0.59469455,0.35252324,0.37731776,0.33981234,0.30167264,0.35385945,0.561424,0.0,0.32217392,0.26335767,0.40572906,0.68081963,0.26260146,0.35641813,0.3922167,0.48298267,0.22350916,0.09709084,0.49283075,0.63603944,0.35951585,0.37866712,0.3256472,0.35997093,0.3381796,0.52047753,0.35602373,0.29217964,0.21662396,0.27972743,0.49266335,0.3216881,0.39664882,0.58121276,0.087799564,0.08857882,0.17027554,0.414074,0.58813864,0.29381385,0.25585538,0.50073975,0.19680783,0.48859876,0.38418067,0.28019387,0.33716518,0.0,0.48859727,0.42126986
aftermovie,0.92994463,0.48902914,0.63310635,0.54154813,0.34318754,0.4042729,0.52203834,0.0,0.21088222,0.25556856,0.4488216,0.8276229,0.33077767,0.6997075,0.46846017,0.4672327,0.21091858,0.0,0.60158795,0.36533135,0.38446352,0.39860556,0.3867311,0.3746781,0.39403892,0.653821,0.27912334,0.54230917,0.42503518,0.5313218,0.52545625,0.546184,0.35282528,0.48639584,0.06049587,0.18040796,0.3684758,0.65102726,0.5472799,0.3142676,0.27851525,0.5830167,0.17671293,0.75225335,0.45846027,0.22980656,0.43626302,0.0,0.71438533,0.45636165
ahiddenlifefilm,0.43621722,0.2008149,0.25591418,0.25441197,0.1963482,0.19934537,0.33366105,0.0,0.17221852,0.16241026,0.31112573,0.36813742,0.18045104,0.3024528,0.2800849,0.31049857,0.09966396,0.06643379,0.3686625,0.3582325,0.19120264,0.22226714,0.24606301,0.24706185,0.20171203,0.32972807,0.21141006,0.22740915,0.19911006,0.22979186,0.28396887,0.18402688,0.2568944,0.26801002,0.079357915,0.09258035,0.14155257,0.27905214,0.3156277,0.16617572,0.14421326,0.26793796,0.11356162,0.33965784,0.28401637,0.12973177,0.23921803,0.0,0.3205694,0.22748734
alitamovie,1.2727045,0.7204263,0.7154213,0.54520094,0.82319736,0.5132792,1.1033324,0.0,0.48939395,0.4978648,0.8327622,0.93293154,0.29382646,0.86834806,0.4724045,0.72879183,0.14875133,0.0287085,0.6824504,1.0732299,0.5985352,0.42922312,0.5524964,0.91211313,0.23205756,0.9120681,0.44540697,0.44795305,0.34331387,0.43409118,0.53134066,0.36044282,0.82785416,0.8005538,0.119229674,0.240128,0.2209352,0.516599,0.9004796,0.2371367,0.19414079,0.7406013,0.1280866,0.96761143,0.87913686,0.47717714,0.6451254,0.0,0.7638268,0.45622826
