movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
21bridgesmovie,0.47955254,0.38632214,0.65856594,0.7656898,0.36242673,0.3175121,0.42945895,0.34407955,0.6527885,0.3225217,0.348564,0.4115112,0.5652506,0.33475453,0.36739072,0.47930717,0.72408307,0.35668862,0.4476605,0.35768485,0.2532143,0.45313,0.33168244,0.57640374,0.6277958,0.31561428,0.56863725,0.34214792,0.53875715,0.8017938,0.72324616,0.0010590358,0.4666499,0.28198478,0.0,0.29134348,0.6605219,0.54947275,0.70675504,0.5131062,0.0,0.45659077,0.288322,0.86330783,0.0,0.706405,0.0,0.19931166,0.423683,0.30151883
47metersdown,0.69548965,0.36793113,0.6362577,0.7048966,0.0946967,0.41688466,0.39714795,0.06608677,0.4340064,0.35705835,0.09476674,0.2941315,0.42301822,0.27181655,0.48663116,0.39825067,0.66246927,0.083182395,0.46782678,0.35915703,0.74948925,0.47223154,0.38586578,0.36758387,0.40289548,0.31941682,0.6316497,0.40444076,0.68025064,0.62116724,0.6927477,0.025871977,0.42173448,0.20794028,0.0,0.47533756,0.6903522,0.58844066,0.71420515,0.47758564,0.0,0.5353959,0.4758208,0.7103218,0.0,0.6708172,0.0,0.35466546,0.40076625,0.2970023
abeautifuldaymovie,0.5823473,0.18511693,0.63264984,0.7489607,0.15383773,0.39788923,0.4839877,0.24151263,0.43979055,0.27701345,0.3576626,0.22602099,0.50740284,0.27717933,0.54807633,0.58792746,0.60164577,0.27671084,0.49514535,0.3392698,0.25038487,0.5808205,0.38835993,0.28699452,0.3517173,0.43167418,0.5781531,0.14456667,0.5627209,0.52134985,0.4180178,0.04467058,0.33294222,0.37809557,0.0,0.4289646,0.6340164,0.49757913,0.66473794,0.7198335,0.0,0.42893282,0.40668288,0.73953044,0.0,0.5967049,0.0,0.31435275,0.34444043,0.20948744
abominablemovie,1.0405288,0.4819979,0.69468534,1.1410326,0.31320184,0.5259673,0.8868059,0.3569591,0.6333421,0.7581352,0.46695316,0.2405979,0.57028794,0.34386176,1.1077676,0.6076882,0.5677886,0.26768163,0.8866429,0.2639881,0.43918812,0.7924652,0.28740862,0.589566,0.76796544,0.5410412,0.5679952,0.30575186,0.6076708,0.78207254,0.9140881,0.2938441,0.24589624,0.030683357,0.0,0.55116767,0.7449059,0.90242964,0.82977104,0.36699194,0.0,0.5510805,0.58271563,1.0477964,0.0,0.6415141,0.0,0.4716103,0.49103937,0.6901638
adastramovie,0.14001063,0.25938037,0.63654643,0.6360312,0.036972977,0.44044998,0.4478811,0.010808259,0.5231518,0.33590263,0.2942251,0.10665937,0.3216722,0.2807234,0.30855072,0.27012396,0.4926233,0.48911127,0.37957746,0.15577531,0.20591885,0.36057013,0.1399796,0.36200404,0.4877228,0.4485544,0.3694383,0.3827148,0.4889634,0.5646271,0.5200389,0.0,0.37806296,0.11530137,0.0,0.5058007,0.5131807,0.6780246,0.40818414,0.5455452,0.0,0.3098906,0.0,0.6293813,0.0,0.56145936,0.0,0.22391725,0.25358942,0.023716565
adogsjourneymovie,0.8091972,0.53219974,1.2916143,1.276741,0.40809032,0.436252,1.157343,0.50118375,0.82686424,0.5773821,0.3176352,0.43316555,0.7000549,0.48428157,0.65934294,1.0876863,1.2079284,0.60610765,0.7800622,0.5592502,0.8929874,0.54840976,0.74622697,0.64917135,0.7950425,0.8558624,0.71784085,0.86467934,1.1052264,0.91107976,0.8596934,0.0,0.7120757,0.54061806,0.0,1.2793967,0.7243362,0.9116882,0.9775952,0.86231935,0.0,1.1253102,0.15473318,1.3123529,0.0,1.4887958,0.0,0.32370406,0.77471524,0.2894018
aftermathmovie,0.4252143,0.31087103,0.50444025,0.57825685,0.046185076,0.18385074,0.41515353,0.09979141,0.4527629,0.2852909,0.25213823,0.4014431,0.37873334,0.32821652,0.34707037,0.3647377,0.5387945,0.17146443,0.26973626,0.37952772,0.37066728,0.38740566,0.2695182,0.3599658,0.31617633,0.28274363,0.43885064,0.24826108,0.41555005,0.59474593,0.47113287,0.0,0.4284252,0.29809603,0.0,0.33821088,0.5993268,0.50008005,0.47934115,0.5879445,0.0,0.404535,0.19675139,0.6475208,0.0,0.51503813,0.0,0.27271467,0.35670403,0.16771749
aftermovie,0.30354187,0.3413248,0.6758567,0.6362682,0.15096666,0.121316865,0.5878964,0.2095438,0.54125714,0.1785352,0.34710738,0.32375318,0.46331164,0.3029991,0.49441323,0.40807518,0.79325604,0.2503161,0.24922606,0.30296895,0.41356343,0.34816328,0.327462,0.44726294,0.44814256,0.318933,0.527522,0.40551537,0.5168569,0.74815416,0.5768134,0.0,0.47217104,0.2602843,0.0,0.5158445,0.51386833,0.5630606,0.6820009,0.6185837,0.0,0.4158006,0.07434441,0.7868073,0.0,0.6537956,0.0,0.2768368,0.38584217,0.12632205
ahiddenlifefilm,0.2551405,0.18004535,0.34029856,0.35694516,0.12383197,0.15962422,0.26692113,0.12035024,0.27536172,0.18217832,0.14698881,0.16446468,0.25065628,0.1880196,0.23180808,0.23288183,0.3480064,0.16200235,0.21653286,0.18365353,0.19028412,0.26079452,0.1875773,0.24376178,0.244584,0.21334289,0.28205988,0.19787188,0.28207392,0.36626074,0.31273556,0.0,0.24504623,0.17903507,0.0,0.25203583,0.31705153,0.2807351,0.30939683,0.30676255,0.0,0.2364794,0.16954264,0.3450431,0.0,0.31600797,0.0,0.16588637,0.20235191,0.10880412
alitamovie,0.23626487,0.5254812,0.59113777,0.51951593,0.1928172,0.3257484,0.50242203,0.1229342,0.45377547,0.288897,0.37341806,0.26148522,0.39002952,0.42448825,0.21063888,0.38036686,0.8435453,0.04639742,0.4063636,0.41122952,0.09497141,0.5188475,0.26039684,0.4876985,0.28931716,0.24907292,0.507419,0.2309692,0.47001007,0.6519344,0.5946227,0.0,0.6898321,0.07210079,0.0,0.32091427,0.5244511,0.612721,0.6162907,0.67788386,0.0,0.20659018,0.34203398,0.7548983,0.0,0.57126015,0.0,0.27934235,0.23582575,0.0
amazinggracemov,0.20083229,0.3880269,0.59281135,0.8314454,0.0,0.17299134,0.25381824,0.21104228,0.9247236,0.28634444,0.113144904,0.31792605,0.0,0.062073037,0.26791912,0.6527325,1.0467896,0.019228924,0.22795588,0.45010185,0.31712413,0.16065499,0.0,0.56565875,0.4659244,0.18556379,0.7671829,0.97098625,0.22943617,0.97849405,0.53090006,0.0,0.1391631,0.20158286,0.0,0.0,0.40617314,0.74218833,0.7764298,0.8386116,0.0,0.6886793,0.015877955,1.1731871,0.0,0.6014209,0.09481342,0.36453694,0.28160158,0.32721382
angelhasfallen,0.45684317,0.46462253,0.54932415,0.7570297,0.13319805,0.44728735,0.55826014,0.34538695,0.6655017,0.29930672,0.55872846,0.24452561,0.5005028,0.51169384,0.55791986,0.49303672,0.88969094,0.5346711,0.5105799,0.37760547,0.29977506,0.7138108,0.4330144,0.6096293,0.40965915,0.5366532,0.61867434,0.43434456,0.6161709,0.70139676,0.8559201,0.0,0.39927453,0.20858674,0.0,0.49828026,0.8453018,0.7495278,0.8062078,0.82637453,0.0,0.4116076,0.48891875,0.9291128,0.0,0.7375133,0.0,0.3548442,0.81414413,0.16653498
