movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109
21bridgesmovie,0.47098994,0.0,0.29119232,0.20318902,0.19982138,0.092675015,0.3494101,0.2786713,0.47647917,0.0,0.26185882,0.5106869,0.3752224,0.30117244,0.47021937,0.41341692,0.0,0.48055872,0.39770594,0.26147962,0.0,0.39024222,0.28860146,0.4707482,0.35916638,0.35201102,0.33180872,0.50509495,0.14428094,0.0,0.33988926,0.30714113,0.28330916,0.48833853,0.13196963,0.2948166,0.0,0.4539438,0.24937496,0.32080945,0.4911637,0.37916994,0.0,0.45452958,0.39191353,0.074810624,0.0,0.3523016,0.21031556,0.13984798,0.0,0.0,0.0,0.30974835,0.0,0.44085473,0.5257718,0.47298047,0.0,0.0,0.45206836,0.0,0.49628615,0.38024852,0.18814056,0.18973882,0.13426554,0.12015938,0.25490618,0.33448383,0.11330731,0.0,0.38521892,0.15332356,0.0,0.39958033,0.17025542,0.0,0.37903768,0.032764345,0.031003773,0.40928146,0.0,0.25373957,0.26777267,0.35691386,0.40808386,0.4486274,0.06847259,0.29652762,0.3490931,0.3848621,0.24967155,0.06319256,0.0,0.4339659,0.38603333,0.29318365,0.44152516,0.29610604,0.4953679,0.41322425,0.0,0.3869315,0.0,0.0,0.3401631,0.28159374,0.3141937,0.16046706
47metersdown,0.8875503,0.0,0.2592556,0.16125932,0.4569069,0.0,0.40223864,0.4981034,0.52660644,0.0,0.22457477,1.0888977,0.3656093,0.35741177,0.6157573,0.6931079,0.0,0.8450277,0.6054867,0.44604716,0.0055978848,0.7260042,0.48478627,0.75585765,0.34432486,0.3419206,0.54472303,0.6379599,0.16285673,0.0,0.7329408,0.46478036,0.7688717,0.68179524,0.46460342,0.51848537,0.0,0.87712586,0.41882294,0.6290655,0.5363341,0.4877915,0.0,0.82705235,0.22207895,0.0,0.0,0.42417702,0.22291818,0.32310823,0.0,0.0,0.0,0.47938025,0.0,0.54032415,0.864478,0.5975175,0.0,0.026781034,0.75984627,0.022081468,0.588064,0.5026946,0.43809968,0.5523077,0.30464205,0.17946663,0.31454176,0.2699015,0.017583199,0.0,0.2964383,0.41905746,0.11456595,0.4746893,0.111738324,0.05358506,0.19852486,0.22489065,0.14107023,0.43536997,0.0,0.42886367,0.31847423,0.5686192,0.82429075,0.6396202,0.0,0.15952504,0.6517732,0.47448793,0.34272337,0.035926767,0.0,0.5822644,0.2051979,0.62322694,0.74139637,0.35004532,0.6699422,0.36080578,0.0,0.59569377,0.0,0.0,0.34121197,0.40803042,0.41289568,0.2890114
abeautifuldaymovie,0.6482676,0.0,0.41081518,0.18465379,0.34518993,0.13988382,0.40568805,0.3775094,0.5284216,0.0,0.12679619,0.664778,0.42111662,0.25139272,0.4031271,0.45339382,0.0,0.64606255,0.53754526,0.32489586,0.0,0.42628086,0.3026675,0.4834462,0.369343,0.21485676,0.46187246,0.49251786,0.2731512,0.0,0.5217331,0.30013943,0.3819732,0.5293214,0.42700085,0.26427215,0.0,0.7131184,0.19486833,0.476245,0.3254074,0.39184397,0.0,0.4519028,0.29472572,0.19020489,0.0,0.43669477,0.16304323,0.2980875,0.0,0.0,0.0,0.44312394,0.0,0.39796227,0.62885916,0.43073693,0.0,0.0,0.45464098,0.06619191,0.33649355,0.26700065,0.3742392,0.27645576,0.16482708,0.20525196,0.23920703,0.21407321,0.0002481928,0.0,0.3636808,0.4814551,0.028240237,0.52268684,0.3165722,0.0,0.29046392,0.002817547,0.0779965,0.4331105,0.0,0.2210503,0.3768314,0.28753272,0.4708465,0.47278064,0.0,0.41237727,0.506978,0.36512846,0.36971626,0.0,0.0,0.29381633,0.21417764,0.42805728,0.39453948,0.38007873,0.557881,0.3325283,0.0,0.3121648,0.0,0.0,0.22042581,0.2529126,0.41757345,0.13252598
abominablemovie,1.069972,0.0,0.4512416,0.37904292,0.3600173,0.0,0.69270843,0.6912939,0.6645451,0.0,0.24572724,1.0582461,0.97113776,0.43396282,0.8023453,0.88492686,0.0,0.50215507,0.639462,0.4566623,0.0,0.64369965,0.40611815,0.7163539,0.7606262,0.4722387,0.5741194,0.7804036,0.38998908,0.0,0.63123524,0.3913238,0.6290767,0.670904,0.24148193,0.44048393,0.0,0.7947721,0.274948,0.6066143,0.4958648,0.38449264,0.0,0.5866864,0.558421,0.09341148,0.0,0.62570083,0.25215134,0.26667994,0.0,0.0,0.0,0.6516405,0.0,0.8240179,1.2078767,0.65297335,0.0,0.0,0.9740603,0.22993474,0.42375126,0.44273564,0.7635014,0.58580315,0.11875154,0.46955165,0.4800883,0.5149107,0.13828763,0.0,0.53908587,0.45974126,0.0,0.5651567,0.1200812,0.0,0.4598887,0.1825585,0.17850734,0.61717963,0.0,0.5885291,0.49291497,0.29128492,0.76666164,0.61113375,0.0,0.68285453,0.9653926,0.7539577,0.33236298,0.104827076,0.0,0.57129574,0.14216936,0.4058871,0.7951358,0.7135354,0.80808187,0.49604654,0.0,0.674923,0.0,0.0,0.5643782,0.5719818,0.41360468,0.23976985
adastramovie,0.5724446,0.0,0.38738206,0.034934584,0.33050585,0.11357573,0.3485318,0.41987386,0.44622114,0.0,0.1523477,0.4112238,0.39161173,0.22624385,0.31099728,0.2785138,0.0,0.4538643,0.42318052,0.32894486,0.0,0.47059768,0.3629844,0.5334537,0.36034065,0.20515628,0.3420411,0.28147373,0.24561627,0.0,0.42500257,0.25046843,0.40321928,0.38295305,0.2412804,0.27747962,0.0,0.5793591,0.23771098,0.25773683,0.41567266,0.421297,0.0,0.43366694,0.3531307,0.12676352,0.0,0.29885194,0.175359,0.23475711,0.0,0.0,0.0,0.35522416,0.0,0.20811948,0.38934726,0.2989311,0.0,0.0,0.4275003,0.08104688,0.45349848,0.24700499,0.17707358,0.3212558,0.25725582,0.15511207,0.21984828,0.2950876,0.0,0.04364085,0.27538162,0.24271302,0.0067563187,0.16631359,0.14981619,0.0,0.382954,0.0,0.130992,0.40442273,0.0,0.046379972,0.28064597,0.25976765,0.22048332,0.3858851,0.0,0.25906,0.5224923,0.31196305,0.21533805,0.067085005,0.0,0.44494522,0.21686879,0.41398278,0.3802936,0.32733488,0.6231026,0.38775077,0.0,0.3241784,0.0,0.0,0.20726444,0.11440441,0.22477937,0.14039493
adogsjourneymovie,1.3240697,0.0,0.9822955,0.34643263,0.6107267,0.22508748,0.998073,0.8282265,1.0464034,0.0,0.52557546,1.4248991,1.4424314,0.61016214,0.9219254,1.1249324,0.0,1.0980445,0.91561025,0.8625533,0.0,1.1814246,0.73707557,1.5348263,0.71110964,0.77107745,0.8485078,0.70372856,0.42100346,0.0,0.90815973,0.70992476,0.6847618,1.3684776,0.71653104,0.5543641,0.0,1.3766406,0.801104,0.9940165,1.225433,1.0087478,0.0,0.9311395,0.90989053,0.37742785,0.0,0.76753485,0.37512353,0.24159425,0.0,0.0,0.0,0.6090358,0.0,1.1090384,1.3733633,1.0220555,0.0,0.0,1.1974552,0.0,0.5991731,0.40708318,0.75053346,0.64838445,0.42347372,0.30414096,0.9256687,0.31781602,0.28924876,0.0,0.8946207,0.5619981,0.07903232,0.97221774,0.3857187,0.0,0.82048696,0.36444995,0.0,0.9211738,0.0,0.5700278,1.1672727,0.36476228,0.81377876,1.2369518,0.0,1.1213208,0.8299893,1.0343176,0.5941117,0.0,0.0,0.9219601,0.8494323,1.1598591,1.2124667,0.84021443,1.2515395,0.94490296,0.0,0.7665691,0.0,0.0,0.93329066,0.6355653,0.58633775,0.5673231
aftermathmovie,0.5013014,0.0,0.34114304,0.21070343,0.157132,0.19545053,0.4067336,0.31845,0.42802337,0.0,0.1396601,0.5463788,0.36815554,0.28586212,0.4283923,0.30725938,0.0,0.4915918,0.399646,0.25952557,0.0,0.3046363,0.14969137,0.32461962,0.34124464,0.26229423,0.30185667,0.38294885,0.16867101,0.0,0.31843027,0.3254852,0.2582813,0.36301568,0.25953966,0.21221563,0.0,0.57423526,0.34211317,0.15874504,0.39466646,0.34055942,0.0,0.4858958,0.3815319,0.093109876,0.0,0.34514874,0.18830822,0.19373484,0.0,0.0,0.0,0.40393436,0.0,0.40765247,0.45953122,0.47014788,0.0,0.0316433,0.3572281,0.06580175,0.24953198,0.12741044,0.37055913,0.327168,0.15372765,0.18058549,0.3086264,0.20982787,0.039741248,0.0,0.13976842,0.19050767,0.0,0.40368187,0.10721162,0.0,0.41822642,0.044428974,0.11474639,0.31716335,0.0,0.2566464,0.24263829,0.25802597,0.38565037,0.38154823,0.08607369,0.3798242,0.39011326,0.23779434,0.33921108,0.0,0.0,0.34730124,0.26467934,0.34157062,0.46374643,0.22465864,0.46546927,0.2829332,0.0,0.4500585,0.0,0.0,0.23731345,0.32779545,0.16257298,0.20738626
aftermovie,0.50890404,0.0,0.40720603,0.3183931,0.3679959,0.21077877,0.44271174,0.5518399,0.55855167,0.0,0.21404897,0.7392983,0.649292,0.43999803,0.562945,0.5531673,0.0,0.69864595,0.6238669,0.46465057,0.0,0.6250867,0.43118066,0.6101695,0.4057177,0.34966385,0.50188285,0.4841401,0.13475788,0.0,0.4866215,0.37699836,0.547082,0.6836921,0.42691943,0.4539562,0.0,0.7394939,0.28916848,0.45899567,0.6262942,0.5035963,0.0,0.5494685,0.46806034,0.22190177,0.0,0.5133646,0.15120718,0.31117103,0.0,0.0,0.0,0.4208182,0.0,0.34155038,0.74143076,0.4494933,0.0,0.0,0.38901603,0.09166485,0.42223924,0.24465007,0.37691498,0.2685465,0.20264903,0.2410173,0.41363236,0.2472443,0.08434679,0.0,0.31393254,0.43036076,0.0,0.63045174,0.36240754,0.050971344,0.5239021,0.12702306,0.08297628,0.40153977,0.0,0.21857128,0.5451256,0.36348566,0.6388781,0.4749519,0.035275735,0.4877408,0.52532923,0.4506431,0.41020396,0.0,0.0,0.47075674,0.45539033,0.5453246,0.48413318,0.31637108,0.76453817,0.47352734,0.0,0.3717154,0.0,0.0,0.6017855,0.14147365,0.5359701,0.25908998
ahiddenlifefilm,0.28376776,0.0,0.18813409,0.094852306,0.15151739,0.06373294,0.21676695,0.20531027,0.21914108,0.0,0.10472135,0.32469806,0.25938788,0.16206133,0.2365711,0.22109155,0.0,0.2857998,0.25564384,0.17217585,0.0,0.23897403,0.17312156,0.25040704,0.17602228,0.12477949,0.16696754,0.22802335,0.089035034,0.0,0.24216995,0.15936567,0.20707099,0.23987621,0.15190777,0.15962297,0.0,0.30728254,0.14261863,0.18539944,0.2245605,0.19419153,0.0,0.248265,0.18012556,0.04310265,0.0,0.19656105,0.0666594,0.11844389,0.0,0.0,0.0,0.19656199,0.0,0.21288773,0.31351763,0.22382796,0.0,0.0,0.202057,0.050229937,0.197526,0.13566047,0.19321188,0.16938624,0.09674593,0.103169575,0.14232017,0.12075992,0.029165898,0.0,0.17467777,0.15240528,0.00579034,0.19504315,0.093740076,0.0024927575,0.19665362,0.07601663,0.063249946,0.20254675,0.0,0.13859797,0.19356897,0.14508373,0.22571264,0.23240806,0.016806891,0.14695793,0.24802259,0.20106655,0.1580227,0.0,0.0,0.17858958,0.14325605,0.22838452,0.23840031,0.1892971,0.2621056,0.17544742,0.0,0.18051293,0.0,0.0,0.14614736,0.13669257,0.15874544,0.11426623
alitamovie,0.72778577,0.0,0.4907015,0.20451945,0.29432353,0.0810229,0.59269774,0.668474,0.80167174,0.0,0.16273296,1.1515238,0.45844516,0.59180415,0.67799693,0.4640712,0.0,0.7251117,0.5990377,0.40516984,0.0,0.63517195,0.6210288,0.6726999,0.46911067,0.39189157,0.5209662,0.45063356,0.20098366,0.0,0.6494349,0.3205629,0.27784014,0.6480238,0.4471527,0.3572325,0.0,0.71669954,0.18818453,0.28630587,0.6054706,0.71711934,0.0,0.5707401,0.31030396,0.08703256,0.0,0.40471965,0.47837624,0.18095168,0.0,0.0,0.0,0.60983574,0.0,0.6164003,0.8781448,0.7356255,0.0,0.0,0.76434696,0.01068712,0.4294147,0.40155962,0.31168216,0.44170666,0.22507411,0.13497138,0.30054703,0.08121473,0.07141892,0.0,0.5887597,0.4716809,0.18170978,0.5945616,0.3378773,0.0028303917,0.4199643,0.190956,0.1761751,0.41002622,0.0,0.3883304,0.46707472,0.39902657,0.70293385,0.5789732,0.0,0.27650908,0.70495534,0.6653385,0.41232556,0.103160486,0.0,0.62752306,0.19957463,0.57280904,0.5881205,0.2993033,0.8313655,0.42327645,0.0,0.5660503,0.0,0.0,0.33733946,0.367193,0.27491018,0.13521037
