movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129
21bridgesmovie,0.18298627,0.0,0.46187657,0.18898733,0.3308949,0.64366883,0.19135074,0.1819498,0.45751733,0.3782492,0.39601168,0.18968436,0.48628616,0.5401025,0.14398968,0.15039718,0.19938274,0.34002087,0.3201297,0.0,0.3833328,0.051670782,0.49284703,0.43614453,0.40483662,0.34450102,0.36839423,0.42765337,0.0,0.35241425,0.28758496,0.3286388,0.18893075,0.28252104,0.17521942,0.081661925,0.34180826,0.0,0.3457775,0.28058964,0.1384628,0.3770816,0.5169049,0.26008227,0.0,0.24807917,0.33164302,0.420835,0.060642555,0.0,0.46750826,0.278681,0.0,0.0,0.40398255,0.18302855,0.41398445,0.0,0.3030201,0.5894887,0.18128139,0.18668228,0.23283555,0.39213002,0.17459017,0.27451134,0.31470397,0.33017743,0.4111725,0.25359717,0.0,0.0,0.0,0.0,0.34413993,0.008055447,0.22780043,0.13589767,0.08582949,0.2583059,0.32678974,0.2569056,0.07177812,0.3676912,0.7963672,0.2012935,0.379659,0.07459177,0.09806715,0.0,0.06749445,0.27378955,0.42830628,0.3144686,0.4492481,0.38089165,0.222245,0.47168756,0.0023908727,0.0,0.0,0.25512996,0.28617853,0.43140635,0.24802145,0.22508882,0.0,0.0,0.21929798,0.0,0.27101517,0.45681018,0.4206185,0.3022945,0.0,0.101854056,0.29598868,0.039597355,0.0,0.0,0.3671098,0.33847058,0.38415706,0.15457748,0.15693378,0.26246777,0.2732677,0.22826159,0.0,0.358433
47metersdown,0.70807695,0.0,0.325602,0.49899623,0.5003052,0.55588233,0.24025558,0.26315105,0.54784375,0.71623915,0.8074457,0.17437929,0.6454425,0.55821955,0.22632924,0.44436276,0.13674982,0.57928765,0.30601496,0.0,0.27430356,0.30241066,0.5750762,0.46895817,0.5659681,0.6576691,0.5734042,0.4225893,0.0,0.5408978,0.42052943,0.4139188,0.26444644,0.3980318,0.3185073,0.12734118,0.4313828,0.0,0.5063797,0.38850912,0.07501638,0.49491385,0.50608236,0.464802,0.08322846,0.38579857,0.3557296,0.6062168,0.0876871,0.0,0.38033408,0.39088273,0.0,0.0,0.5328219,0.5450496,0.4741495,0.0,0.5482887,0.6201244,0.1922136,0.3963855,0.5567348,0.40060118,0.24535894,0.53133965,0.19037135,0.17081149,0.41563457,0.5861995,0.02780123,0.0,0.0,0.0,0.28608888,0.0,0.3477663,0.3733511,0.19817746,0.42285687,0.33811328,0.17188823,0.0,0.64187914,0.7785802,0.39928216,0.44759506,0.1527822,0.27139977,0.0,0.17192346,0.58671343,0.6099799,0.2995867,0.5853494,0.5519818,0.29690665,0.7123791,0.16158056,0.0,0.0,0.21197832,0.40957758,0.50694793,0.16735601,0.5269726,0.43647578,0.0,0.42340702,0.0,0.24359937,0.6844931,0.21762747,0.18134649,0.0,0.33764863,0.17257482,0.0111961095,0.0,0.0,0.43825853,0.81646353,0.40603533,0.47656018,0.0,0.47833636,0.4157799,0.43737644,0.0,0.7842014
abeautifuldaymovie,0.28654212,0.0,0.29619917,0.3458532,0.26504394,0.36064392,0.27066836,0.42771462,0.5288755,0.4058502,0.3799132,0.34570956,0.39832348,0.39704528,0.30713418,0.2774165,0.1763228,0.5422752,0.47510743,0.0,0.34203175,0.17903614,0.64237607,0.3001421,0.3227576,0.43211877,0.5154231,0.35488987,0.0,0.37931725,0.2384968,0.33834994,0.10989795,0.45299858,0.18598783,0.17537719,0.46227887,0.0,0.43844754,0.25200897,0.041048586,0.4213028,0.4274093,0.26331192,0.0,0.34242508,0.35071862,0.31118882,0.19434527,0.0,0.29261148,0.1657224,0.0,0.0,0.44762102,0.23018298,0.31137952,0.0,0.34560496,0.6047124,0.35278785,0.21286823,0.34291068,0.27996054,0.18174419,0.36290807,0.046074025,0.2095491,0.40505928,0.48149145,0.0,0.0,0.0,0.0,0.32604885,0.12913989,0.107466094,0.10059641,0.20979916,0.30383128,0.29820022,0.22025228,0.0,0.33168688,0.64371336,0.33768556,0.35212225,0.10175577,0.18406798,0.0,0.21106327,0.5225024,0.41149122,0.19311675,0.35148975,0.5078575,0.29058447,0.54528165,0.15838021,0.0,0.0,0.31115583,0.44897798,0.32829475,0.23598757,0.41080135,0.060466915,0.0,0.31603628,0.0,0.28238493,0.40806705,0.33645633,0.17967628,0.0,0.201579,0.22300369,0.034859017,0.0,0.0,0.39868206,0.45795083,0.34193942,0.16574112,0.0390709,0.56871927,0.37774444,0.29978132,0.23338977,0.5885328
abominablemovie,0.5740157,0.0,0.6173398,0.16191235,0.4430476,0.84942883,0.25063464,0.464094,0.4759,0.79638046,0.7558224,0.5118975,0.550628,0.5708926,0.09326615,0.45705542,0.12024979,0.6998192,0.1334771,0.0,0.6466534,0.0,0.9169099,0.32012954,0.6011835,0.8512471,0.5738219,0.5598773,0.0,0.23631828,0.39026737,0.34033787,0.14015767,0.5106622,0.27946767,0.1854656,0.7405369,0.0,0.6973016,0.4643621,0.32190284,0.67815185,0.8278538,0.5734406,0.0,0.5676627,0.6796466,0.5348668,0.4056208,0.0,0.71673733,0.4604363,0.0,0.0,0.62441003,0.63749415,0.9200307,0.0,0.5674805,0.9254774,0.30894217,0.21885388,0.3740265,0.52730525,0.3435014,0.49510866,0.22084671,0.53643227,0.4617646,0.27919987,0.0,0.0,0.0,0.0,0.76345456,0.0010642023,0.24293938,0.2562699,0.16079079,0.20507678,0.54277104,0.42813048,0.0,0.47425637,0.9673437,0.48146194,0.49032503,0.11756055,0.46959782,0.0,0.15902655,0.6576129,0.41440606,0.22293001,0.79456747,0.69088537,0.4106316,0.58689904,0.25438964,0.0,0.0,0.45286766,0.53364,0.4929622,0.0,0.7825077,0.18762301,0.0,0.23936394,0.0,0.06888425,0.54413736,0.31216693,0.4099644,0.20978795,0.04068551,0.2556203,0.0,0.0,0.0,0.34364164,0.7607107,0.6241878,0.3345631,0.22589013,0.78836334,0.6351012,0.45878538,0.28056142,0.7318597
adastramovie,0.52354705,0.0,0.102027655,0.13043836,0.39047173,0.4285318,0.18636684,0.2276523,0.55096006,0.278003,0.44357714,0.20657834,0.35850906,0.37615946,0.0019101361,0.21057537,0.1439917,0.23809315,0.22716594,0.0,0.3417577,0.09572503,0.51023954,0.23482135,0.34943932,0.42277652,0.43293333,0.34640288,0.0,0.27254015,0.30323887,0.26589376,0.051781632,0.21974494,0.2710914,0.16971853,0.2611174,0.0,0.43497753,0.43427956,0.06181919,0.30254117,0.46856716,0.19335215,0.0,0.11318706,0.4589696,0.25022823,0.19816837,0.0,0.31415236,0.19247022,0.0,0.0,0.25197715,0.17801294,0.4435266,0.0,0.2999256,0.5858135,0.06786877,0.26465586,0.2011687,0.14489742,0.18974221,0.22558267,0.0,0.3062024,0.3041427,0.36714193,0.0,0.0,0.0,0.0,0.19598024,0.0033005872,0.28652304,0.23476984,0.15476124,0.13828233,0.29389998,0.27649456,0.0,0.47154295,0.59941614,0.28206274,0.28878725,0.30558023,0.17600086,0.02043513,0.06666732,0.39847952,0.27246958,0.1998348,0.37492064,0.22818354,0.11530558,0.40828243,0.16809154,0.0,0.0,0.3084213,0.41508648,0.14445768,0.10724673,0.31893045,0.09973105,0.0,0.2931643,0.0,0.25673237,0.41057095,0.2568512,0.23449552,0.0,0.1600552,0.23882714,0.083699785,0.0,0.0,0.328056,0.37705457,0.2665917,0.21899287,0.08411076,0.13412426,0.26765916,0.23750031,0.13367094,0.28723508
adogsjourneymovie,1.152641,0.0,0.6941378,0.6644285,0.6944939,1.0536187,0.64333725,0.2685115,0.96112716,0.62594277,0.7538282,0.58932567,0.8746284,0.9184739,0.14977004,0.6039506,0.1177412,0.96261233,0.39267617,0.0,1.1798009,0.34430274,1.525403,0.50641924,0.8537861,0.9813639,0.7382309,0.54460454,0.0,0.4943482,0.5293829,0.6018163,0.1806889,0.5687403,0.82250047,0.44029152,0.7605995,0.0,1.0517259,0.7968415,0.3606563,1.0282123,1.1676916,0.79876834,0.0,0.6511172,0.96999925,0.50667787,0.4523959,0.0,0.73307866,0.7287869,0.0,0.0,1.0973558,0.70197755,1.1892436,0.0,0.85716873,1.1543734,0.2034704,0.40938947,0.49275416,0.52947444,0.4404807,0.35578793,0.28370252,0.625715,1.0473857,0.5628813,0.013539228,0.0,0.0,0.0,0.9046549,0.11814858,0.58096987,0.5775031,0.4975002,0.81202877,0.53269976,0.58218616,0.0,1.0354549,1.4483103,0.6156496,0.5263921,0.0903067,0.49085608,0.0,0.2549138,0.7514855,0.7009116,0.52543026,0.7576736,0.6552789,0.25332883,0.8877225,0.29193762,0.0,0.0,0.33578435,0.6900738,0.8303762,0.1383491,0.8313933,0.19601947,0.0,0.28047994,0.0,0.43626684,0.7236329,0.44646072,0.47256872,0.0,0.030491415,0.7144778,0.11369207,0.0,0.0,0.85843384,0.9406777,0.87909615,0.6193025,0.0,0.90351343,0.9348608,0.5656528,0.19349805,1.1192617
aftermathmovie,0.34664476,0.0,0.21217442,0.23272446,0.26127073,0.3409172,0.18047717,0.18533416,0.2754507,0.26489046,0.39119336,0.25447956,0.46536452,0.41153267,0.011608441,0.17562523,0.14447589,0.3288542,0.13369802,0.0,0.31522965,0.01455606,0.43397224,0.19114286,0.2882381,0.524082,0.33180192,0.25598365,0.0,0.17225628,0.27121118,0.13984206,0.0,0.16520865,0.24223611,0.21911937,0.2631154,0.0,0.32570243,0.21595594,0.041923925,0.3806774,0.32259598,0.272457,0.0,0.10920453,0.3286584,0.22422309,0.076678835,0.0,0.16717377,0.1375965,0.0,0.0,0.3095251,0.2635885,0.34994277,0.0,0.21360284,0.4613566,0.1321245,0.2497529,0.11955629,0.15094751,0.261941,0.20419644,0.09174063,0.22680756,0.17486173,0.22047178,0.0,0.0,0.0,0.0,0.29818332,0.0,0.1807186,0.17848364,0.105641656,0.15881231,0.13572448,0.16954303,0.052363373,0.29323477,0.45003146,0.22543767,0.17472735,0.17488411,0.04445056,0.0,0.0,0.24769932,0.21556082,0.11026499,0.30937374,0.30550456,0.20210713,0.25512442,0.15970996,0.0,0.0,0.19442195,0.38352388,0.23462494,0.042192444,0.24706401,0.04658029,0.0,0.16258383,0.0,0.23432915,0.27442846,0.23066516,0.15566681,0.0,0.077959225,0.13641173,0.049949918,0.0,0.0,0.27904493,0.2690059,0.39866227,0.22678919,0.1748695,0.23734754,0.18772109,0.18323645,0.07742689,0.30011255
aftermovie,0.28206956,0.0,0.4344105,0.27787068,0.26027924,0.41281104,0.34071207,0.15309305,0.5005814,0.59391457,0.47751346,0.46700722,0.49630088,0.52727336,0.08611687,0.2816801,0.21389411,0.36637965,0.1548315,0.0,0.3731236,0.092993766,0.4837046,0.21511304,0.19478858,0.49482906,0.4607826,0.37769288,0.0,0.27682883,0.21984653,0.13637559,0.042349804,0.3147193,0.31593886,0.25160378,0.3937473,0.0,0.39465654,0.32579434,0.24932836,0.5213751,0.49389145,0.16652514,0.0,0.32551944,0.358179,0.3974327,0.31082404,0.0,0.44276398,0.15145628,0.0,0.0,0.4417868,0.28683046,0.45551488,0.0,0.44437388,0.675457,0.22173555,0.17193787,0.2202301,0.29567447,0.27866384,0.4009632,0.0064697107,0.3273342,0.31413877,0.31320286,0.0,0.0,0.0,0.0,0.2882369,0.0,0.20067564,0.13409117,0.0116883945,0.2295689,0.4820866,0.21889809,0.0,0.29151148,0.67320365,0.26963416,0.4102472,0.16456984,0.21765195,0.0,0.18862161,0.40247378,0.26861578,0.20322144,0.4616619,0.52756244,0.20041469,0.48670313,0.08470942,0.0,0.0,0.27650347,0.4446125,0.34740412,0.19694561,0.2785951,0.09958352,0.0,0.2623244,0.0,0.16959275,0.37992457,0.35621294,0.16334829,0.0,0.05840098,0.19422862,0.106291056,0.0,0.0,0.40168977,0.4506492,0.3484286,0.30974847,0.14826505,0.637712,0.37172183,0.3062724,0.07848236,0.4891608
ahiddenlifefilm,0.197308,0.0,0.17262775,0.14477366,0.16054866,0.22216162,0.114926554,0.10964076,0.18314509,0.19683716,0.21820784,0.16513595,0.2301768,0.21964304,0.05213348,0.13683972,0.07376311,0.2088807,0.08490778,0.0,0.1792817,0.084537104,0.26798528,0.14791185,0.1767879,0.25315833,0.2222436,0.15936014,0.0,0.12980989,0.1319601,0.114583895,0.046964515,0.1290373,0.13745037,0.08887422,0.18943852,0.0,0.18760557,0.17888623,0.0468551,0.19940348,0.22510335,0.14259708,0.0,0.14663409,0.18783727,0.16807415,0.08375015,0.0,0.16575742,0.1188442,0.0,0.0,0.19514629,0.1427041,0.2233213,0.0,0.1804603,0.28298146,0.08560693,0.092307225,0.13604939,0.13336466,0.09582932,0.14032029,0.069480725,0.14393035,0.17993373,0.15921016,0.0,0.0,0.0,0.0,0.16561833,0.0,0.10324652,0.10194421,0.065405704,0.12057841,0.14863212,0.1580981,0.0,0.1893102,0.29877418,0.13623995,0.12793297,0.06451984,0.13453473,0.0,0.051843178,0.1728577,0.1587611,0.111079365,0.19375369,0.20109406,0.10061332,0.20509407,0.05886766,0.0,0.0,0.12893653,0.18358961,0.18456209,0.06338336,0.15810019,0.06774755,0.0,0.13633038,0.0,0.120667994,0.18902117,0.13725628,0.13168313,0.0,0.042993072,0.11549071,0.037482444,0.0,0.0,0.1909131,0.22110002,0.18493305,0.13183826,0.07630257,0.1967524,0.17402865,0.12330855,0.055122998,0.2018148
alitamovie,0.52022505,0.0,0.32884228,0.35036814,0.6935489,0.6215054,0.27335224,0.1903925,0.6963082,0.7856784,0.47736788,0.39801466,0.6453937,0.5639534,0.18042028,0.23941822,0.187228,0.5931915,0.288798,0.0,0.57059723,0.2230843,0.80515254,0.40483993,0.54101104,0.84442556,0.6913991,0.61181796,0.0,0.5891896,0.5223016,0.23077264,0.28675905,0.2504469,0.43148175,0.2952036,0.46566582,0.0,0.5722969,0.5529295,0.20966393,0.672837,0.7875263,0.3503886,0.15204088,0.2524415,0.6438303,0.3396222,0.4793813,0.0,0.60708475,0.52789754,0.0,0.0,0.4153333,0.27886567,0.7195072,0.0,0.54808474,0.71245694,0.23791902,0.35685328,0.46397626,0.35209748,0.18904132,0.7768691,0.12730585,0.4748579,0.47901228,0.5772562,0.0,0.0,0.0,0.0,0.28953993,0.0,0.5799543,0.22250983,0.101530686,0.41033688,0.49739495,0.4320187,0.044057697,0.47184747,1.0120449,0.55942345,0.45477748,0.23986681,0.37020472,0.0,0.24582708,0.5428996,0.3665092,0.46722057,0.76969695,0.3903778,0.07942106,0.55187786,0.21800306,0.0,0.0,0.3763214,0.7184338,0.5804548,0.07932864,0.57394254,0.31425473,0.0,0.4497497,0.0,0.39396432,0.6742411,0.51346433,0.40667257,0.0,0.21593922,0.3723397,0.23480265,0.0,0.0,0.5387933,0.5832948,0.38520458,0.3365369,0.23154455,0.3596312,0.43060306,0.29317522,0.32516387,0.57083005
