movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79
21bridgesmovie,0.6169437,0.2909455,0.39224362,0.23374307,0.48795944,0.3489354,0.0,0.5256003,0.39896,0.0,0.30259886,0.56312346,0.39102635,0.75823176,0.51164275,0.6272167,0.36604926,0.42272434,0.53679556,0.333899,0.12367094,0.0,0.5163956,0.0,0.30258718,0.5081165,0.55536973,0.4489397,0.45531872,0.4813349,0.31387314,0.41370595,0.0,0.36910084,0.6605385,0.4138755,0.34613785,0.0,0.09528738,0.29393667,0.4775324,0.46454954,0.0,0.60702384,0.49953088,0.45339563,0.40758815,0.41512161,0.25122675,0.33367488,0.3077394,0.3503335,0.0,0.0,0.45111656,0.39796615,0.3420325,0.10693316,0.25442985,0.27299336,0.5052926,0.0,0.23660283,0.70914847,0.27911073,0.6548245,0.42720097,0.53965366,0.0,0.17722863,0.5416401,0.08444625,0.59111553,0.32717687,0.34771115,0.41433796,0.4268014,0.51696897,0.019073818,0.46518102
47metersdown,0.7109035,0.50818205,0.6830793,0.07224601,0.5983323,0.5538214,0.0,0.6658307,0.5526367,0.0,0.3694288,0.59906095,0.37848458,0.97761565,0.5387911,0.5811796,0.6591897,0.71853346,0.39698547,0.25239256,0.28415972,0.0,0.4684307,0.0,0.27821434,0.6803867,0.87614244,0.6350843,0.5530863,0.6991466,0.26425555,0.6407065,0.08646188,0.6693909,0.685442,0.3479339,0.5960179,0.0,0.13132451,0.11899223,0.5956086,0.7263692,0.0,0.7843214,0.50609976,0.47974762,0.6108568,0.48853835,0.1383707,0.6920507,0.47922555,0.62451816,0.0,0.0,0.3891312,0.7261755,0.36742425,0.2785783,0.43622968,0.019876588,0.40448728,0.0,0.07053846,0.92159855,0.43734223,0.92367613,0.60743344,0.5058071,0.0,0.14010623,0.25509444,0.18826698,0.52785957,0.2667308,0.5260257,0.39869615,0.5243557,0.52258325,0.0,0.622873
abeautifuldaymovie,0.59595054,0.3218471,0.3213787,0.017750537,0.6072991,0.33100444,0.0,0.43244603,0.3457808,0.0,0.17118801,0.4125739,0.31115383,0.4239865,0.53121,0.59970856,0.40298665,0.5070889,0.41723102,0.27879715,0.08612141,0.0,0.37767977,0.014601212,0.4168451,0.26578635,0.46160868,0.286806,0.25424626,0.47954655,0.22519127,0.3951065,0.012083055,0.27313063,0.37119204,0.38981202,0.2684078,0.0,0.0,0.12512219,0.39406314,0.3481459,0.0,0.5320436,0.5158492,0.35434115,0.2656528,0.4871124,0.1958483,0.3933504,0.25963375,0.4660136,0.0,0.0,0.23112702,0.41720593,0.29480603,0.18985473,0.35304883,0.08951325,0.5184659,0.0,0.16814294,0.4142227,0.38748437,0.52231085,0.2688776,0.4081064,0.0,0.26726514,0.44367376,0.1128255,0.6115491,0.20768364,0.33079252,0.3903337,0.2661338,0.58227426,0.00545186,0.563421
abominablemovie,0.95363224,0.74565274,0.60886395,0.12642953,0.9220158,0.3568085,0.0,0.7068886,0.74046516,0.09750283,0.26655692,0.87412,0.32964453,1.1090614,0.8915357,0.60478777,0.4151259,0.67746145,0.55524987,0.21470998,0.06924537,0.0,0.7290126,0.0,0.5538079,0.64435625,0.6190328,0.6468754,0.6188261,0.5457487,0.3622965,0.7430566,0.0,0.5300183,0.7962907,0.52750933,0.333761,0.0,0.22670273,0.0,0.7547123,0.3863639,0.0,0.86639434,0.5366129,0.5626006,0.81569916,0.5172852,0.13536645,0.5813431,0.57767814,0.51456445,0.0,0.0,0.34154916,0.6946529,0.415201,0.42679113,0.4012352,0.1515279,0.6633903,0.0,0.11984998,1.0381529,0.6872253,1.0033213,0.69353443,0.4791667,0.0,0.0,0.39064494,0.0,1.0719568,0.49486387,0.58180594,0.80105627,0.8508581,0.45170686,0.08910757,0.65966576
adastramovie,0.5348785,0.30007476,0.4174589,0.1980392,0.38354924,0.26910734,0.0,0.46187213,0.3165992,0.0,0.234202,0.29662365,0.18493861,0.41803178,0.54718167,0.26299784,0.469922,0.28555405,0.33030918,0.051871486,0.0,0.0,0.37635723,0.0,0.32343623,0.3027774,0.3881792,0.50683886,0.265375,0.30474663,0.23879802,0.3167866,0.0,0.35063928,0.37800056,0.17760292,0.11153445,0.0,0.1122075,0.054633614,0.3766972,0.50961083,0.0,0.46880648,0.24488479,0.39574757,0.36606374,0.32496744,0.25272384,0.18128455,0.31398234,0.39690074,0.0,0.0,0.27297968,0.25435567,0.29848653,0.19371098,0.3639911,0.11516709,0.31444746,0.0,0.21872698,0.44308355,0.36481756,0.5250311,0.36951286,0.44060796,0.0,0.057612434,0.40601966,0.14083639,0.41995916,0.21990617,0.4141899,0.27666816,0.38377842,0.42136732,0.04650431,0.45522723
adogsjourneymovie,1.6089567,1.0733225,0.7057154,0.0,1.3726944,0.31785867,0.0,1.2157283,0.62011546,0.0,0.29610124,1.4171425,0.81889856,1.5341386,1.0540715,1.599825,0.86790574,0.89295465,0.6726039,0.300742,0.028032662,0.0,0.62730616,0.022910489,0.8956339,0.93174,0.89222366,0.86790115,0.81051075,1.3078047,0.5058368,0.9849586,0.0,0.8904139,1.3574274,0.41574973,0.31023312,0.0,0.43918192,0.48045212,0.8274563,0.63541746,0.0,1.4332709,1.1507655,0.92107284,1.1114013,1.2876896,0.2831075,0.28615943,0.50911224,0.5925427,0.0,0.0,0.49472708,0.9756493,0.80706984,0.8274438,0.5186738,0.20021881,0.7235593,0.0,0.15405728,1.0369852,0.6320194,1.5497155,1.3519579,1.1829119,0.0,0.4910545,1.0538319,0.10615449,1.2117763,0.76913,0.8003293,0.9448223,1.0606853,0.95967406,0.0,1.0943974
aftermathmovie,0.40276134,0.17136261,0.4480679,0.1498569,0.4419931,0.36083034,0.0,0.44765574,0.44137782,0.11390297,0.1805737,0.5088729,0.25616133,0.4366335,0.3162115,0.46563253,0.42468527,0.36569285,0.4798732,0.25904393,0.09028128,0.0,0.31262603,0.0,0.31933337,0.513352,0.3928551,0.34774202,0.26676482,0.3405181,0.27844045,0.36932945,0.0,0.34635463,0.4370094,0.2925438,0.20878877,0.0,0.08008279,0.13445808,0.26532575,0.3360632,0.0,0.48718297,0.3511135,0.34788802,0.4423775,0.2875206,0.15230496,0.23895125,0.36050764,0.3791078,0.0,0.0,0.23363279,0.31834596,0.26586047,0.09249218,0.3254452,0.14594865,0.55775446,0.0,0.28749996,0.45473745,0.3520921,0.44532502,0.28741592,0.28866363,0.0,0.07287595,0.33944374,0.13979551,0.38477626,0.17353342,0.17578295,0.33722943,0.21418887,0.51196563,0.06512127,0.4214755
aftermovie,0.72131777,0.29890546,0.33873072,0.12369042,0.65681565,0.4046759,0.0,0.42794436,0.36452514,0.022691421,0.17335783,0.34622476,0.26769772,0.62265915,0.51579887,0.6473221,0.4486799,0.40594733,0.39071196,0.31131867,0.13320705,0.0,0.33956474,0.0,0.483551,0.4829081,0.44417784,0.43655804,0.35404694,0.26543748,0.19885147,0.4665664,0.0,0.2748012,0.57000065,0.44159517,0.18650001,0.0,0.23493114,0.20815669,0.53670543,0.22348481,0.0,0.639895,0.5416131,0.4294448,0.32446006,0.46562093,0.05437619,0.3509253,0.2553869,0.35432738,0.0,0.0,0.36589593,0.39030993,0.37197402,0.21005893,0.3486156,0.19002077,0.5810433,0.0,0.16053168,0.47238883,0.34658432,0.50396717,0.46291575,0.54026234,0.0,0.11429449,0.509252,0.0,0.56821364,0.38487464,0.41764176,0.28168517,0.42136493,0.4645746,0.04722923,0.5468543
ahiddenlifefilm,0.29017878,0.17968771,0.2300275,0.04977722,0.2732665,0.18235596,0.0,0.23023802,0.210788,0.0,0.10019808,0.25452593,0.14892551,0.30222273,0.2403957,0.26709569,0.22122976,0.22692052,0.20333496,0.1388216,0.058985077,0.0,0.19146816,0.01001659,0.18006663,0.2734457,0.2318553,0.21487707,0.1759422,0.227552,0.13228615,0.22971809,0.006960314,0.19171882,0.22347818,0.1783293,0.12637709,0.0,0.03718032,0.0689815,0.2026492,0.17540288,0.0,0.29667974,0.21325222,0.20930189,0.2379559,0.21648574,0.08081171,0.16542384,0.1588858,0.22015645,0.0,0.0,0.15728506,0.17757489,0.16657636,0.11505818,0.18410534,0.08629368,0.2612924,0.0,0.12098332,0.27845863,0.1852518,0.27496627,0.17471544,0.21127002,0.0,0.064343855,0.19945736,0.04870375,0.25763652,0.13757119,0.20150761,0.20728059,0.18405142,0.2473859,0.022501662,0.23108691
alitamovie,0.9935237,0.70771176,0.7105154,0.13492501,0.49133545,0.5769301,0.0,0.726403,0.65348554,0.0,0.17857637,0.49570283,0.32017562,0.8349599,0.8902289,0.50758,0.71056473,0.744791,0.45170882,0.25082767,0.17867911,0.0,0.44597188,0.0,0.3124802,0.3653542,0.60355383,0.7221016,0.4167454,0.5362834,0.28739408,0.77150106,0.0,0.73387396,0.75411934,0.6213382,0.25062513,0.0,0.30098206,0.3364671,0.5954548,0.5662137,0.0,0.91484356,0.49097884,0.6065792,0.32977,0.5542279,0.5221751,0.3106373,0.27125958,0.37778607,0.0,0.0,0.53653646,0.53123295,0.33469176,0.36603037,0.39518705,0.3811062,0.61846894,0.0,0.098219246,0.7646805,0.4474703,0.8617045,0.62282634,0.6965574,0.0,0.12013726,0.2748388,0.069146454,0.67283124,0.27653396,0.58549047,0.24394388,0.79441273,0.5737095,0.1279338,0.6462801
