movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119
21bridgesmovie,0.0,0.23210904,0.6082003,0.58208764,0.40560722,0.2541804,0.28443396,0.49256593,0.53344655,0.3341499,0.0,0.0,0.5324166,0.0,0.23921892,0.042112354,0.2508895,0.25429904,0.44839483,0.3972702,0.31936404,0.5301704,0.23310964,0.29788196,0.31124923,0.41375625,0.087316915,0.0,0.47393554,0.32983756,0.28441548,0.15928201,0.0,0.32469296,0.5684197,0.3983493,0.52430785,0.47727436,0.23028216,0.41203555,0.3988267,0.3905493,0.52529377,0.50398535,0.36175773,0.44520867,0.28644717,0.46854776,0.0,0.3775545,0.0,0.48558307,0.20890903,0.6155651,0.4054573,0.38842845,0.48252442,0.20596704,0.30768746,0.15056506,0.0,0.30346823,0.0,0.0,0.31504542,0.4439666,0.0,0.3160697,0.3032061,0.24946068,0.36470783,0.17112634,0.53713876,0.40331945,0.37671176,0.50992644,0.0,0.4980298,0.0,0.2981884,0.51710665,0.6013247,0.31040162,0.30419883,0.18052624,0.33222544,0.0,0.48622975,0.20237106,0.45565552,0.33347592,0.26542956,0.0,0.4535421,0.28375527,0.0,0.42060584,0.25713876,0.4112382,0.45077026,0.4707592,0.3721972,0.3942046,0.53168523,0.2819984,0.20191659,0.47485828,0.25203055,0.74147534,0.6895071,0.29893702,0.2525658,0.4099357,0.22342622,0.0,0.5083034,0.65494955,0.2961284,0.18191867,0.36540654
47metersdown,0.0,0.15923743,0.37070447,0.6547146,0.24614492,0.3168563,0.20063937,0.4029165,0.45165968,0.5500504,0.0,0.0019491308,0.57761747,0.0,0.1070898,0.11571714,0.2651842,0.08394559,0.35549107,0.648271,0.45583266,0.4583885,0.19467503,0.2163764,0.42294717,0.17305852,0.20639615,0.0,0.25716564,0.43941015,0.34117758,0.23203616,0.0,0.3763864,0.5348852,0.608367,0.49751154,0.49378765,0.36339512,0.34605968,0.34141323,0.17365497,0.47815555,0.4889432,0.26222152,0.41176933,0.47371262,0.5321469,0.0,0.23598048,0.0,0.36409554,0.22176903,0.51197803,0.66814876,0.522442,0.6160181,0.28061688,0.20713487,0.1487772,0.0,0.45150715,0.09607019,0.0,0.12473142,0.29248092,0.0,0.35527486,0.5415415,0.26804644,0.47678047,0.17265235,0.606119,0.47149408,0.5345183,0.4917515,0.0,0.36839044,0.0,0.1762171,0.44835123,0.52366227,0.48629504,0.3734681,0.14157236,0.2668487,0.0,0.3890018,0.34271526,0.43498042,0.31809202,0.26830006,0.0,0.5857647,0.38910332,0.012035925,0.5056567,0.2733794,0.3377199,0.30777517,0.45518604,0.37068093,0.47232333,0.4408862,0.24046499,0.29642525,0.3987634,0.25458682,0.5010419,0.70216966,0.22234467,0.3012659,0.4808644,0.11857973,0.0,0.46791726,0.48790178,0.47429627,0.23350205,0.31695694
abeautifuldaymovie,0.0,0.07147999,0.5946593,0.44161838,0.42390215,0.091162555,0.27690643,0.42731422,0.46251044,0.28934717,0.0,0.03106039,0.32153878,0.0,0.16293901,0.18189207,0.22482947,0.22023512,0.37899858,0.4867893,0.40638548,0.39586717,0.3983465,0.30640846,0.25168487,0.2989876,0.25829032,0.06623753,0.26996735,0.36997706,0.4189584,0.17379275,0.0,0.31842545,0.39052325,0.38903487,0.26083118,0.38178816,0.12646346,0.41528678,0.14144792,0.16807078,0.54060656,0.40035972,0.283914,0.30714834,0.33744186,0.43925357,0.0,0.30452105,0.0,0.32234365,0.087013945,0.54590124,0.50612843,0.43894178,0.31940112,0.19133446,0.39560217,0.15246332,0.0,0.2581272,0.0,0.0,0.25256658,0.23043442,0.0,0.47399053,0.42804772,0.24254744,0.21005668,0.011473352,0.42855123,0.3744556,0.44923446,0.35774583,0.0,0.31998384,0.0,0.123886384,0.37615535,0.450397,0.3912709,0.3178542,0.16328947,0.37238997,0.0,0.36251673,0.21606459,0.3750198,0.43514085,0.2715852,0.0,0.41230565,0.29464763,0.0,0.40022564,0.26635024,0.27302685,0.2543667,0.46415424,0.14148548,0.22461477,0.41362667,0.22136706,0.18120535,0.33444574,0.35898688,0.5321412,0.5885916,0.28737494,0.13289155,0.37400433,0.15887108,0.0,0.32547092,0.4197584,0.23122023,0.2442326,0.4433649
abominablemovie,0.056482375,0.48305807,0.874104,0.868687,0.5302444,0.3599919,0.48478213,0.9592633,0.8617476,0.7042423,0.0,0.19570108,0.6099202,0.0,0.32590982,0.3725794,0.38140577,0.23371166,0.34898385,0.9098764,0.551908,0.50447065,0.43671826,0.71802676,0.59955055,0.54518694,0.2645787,0.0,0.40847433,0.43816042,0.45654166,0.36766016,0.0,0.39511105,0.6710666,0.73774296,0.6338008,0.26554614,0.22559464,0.69922376,0.54149145,0.15803285,0.95513666,0.83913565,0.61801237,0.80271006,0.61673236,0.68524355,0.0,0.22796768,0.0,0.7311308,0.0010762922,0.58836484,0.54595315,0.719893,0.47588763,0.48400462,0.20862883,0.3465762,0.0,0.29075885,0.0,0.0,0.38821882,0.34617308,0.0,0.6137449,0.46392852,0.43359375,0.5306329,0.2865589,0.5110839,0.77658623,0.4038224,0.72459835,0.0,0.8017424,0.0,0.2269499,0.6957656,0.8304487,0.801159,0.1788971,0.02665413,0.5933287,0.0,0.5969905,0.41586044,0.5534188,0.5764471,0.57517827,0.0,0.39152816,0.5208714,0.0,0.9705088,0.48354432,0.36922082,0.40692946,0.7052599,0.70524204,0.4912903,0.69342536,0.5363412,0.21160296,0.65346277,0.35995767,0.7712643,0.6462842,0.2875986,0.593291,0.61157787,0.06701355,0.0,0.6870557,0.81811553,0.68578,0.17514527,1.0821474
adastramovie,0.0,0.091907024,0.467143,0.38064462,0.34589943,0.15907463,0.30110624,0.43449774,0.4837983,0.3066561,0.0,0.0,0.27655038,0.0,0.14905433,0.05643791,0.2915338,0.10325643,0.28349054,0.5033492,0.33036494,0.38651004,0.16719057,0.35443652,0.39047527,0.17987612,0.26219666,0.0,0.301468,0.2773945,0.35899648,0.27321005,0.0,0.31708828,0.42343718,0.47408706,0.44784495,0.21150546,0.31552818,0.27915528,0.2567389,0.21035118,0.42780116,0.41379228,0.2824532,0.30142358,0.27256936,0.5314414,0.0,0.4094008,0.0,0.33451274,0.2215926,0.46368837,0.31592044,0.49589387,0.48501858,0.2931304,0.35346946,0.13117105,0.0,0.31046468,0.0,0.0,0.08418375,0.23419285,0.0,0.39204904,0.4301831,0.020005483,0.13962704,0.022460088,0.24687281,0.2588072,0.49667892,0.37373507,0.0,0.47257328,0.0,0.1183838,0.36620423,0.3200102,0.46325257,0.24488337,0.0,0.32857051,0.0,0.29445082,0.39698535,0.4681195,0.44245243,0.31376475,0.0,0.44565138,0.38308454,0.0,0.54674584,0.25209132,0.32805175,0.42422247,0.37085173,0.23278144,0.25079337,0.38880348,0.25775474,0.18601246,0.28917018,0.1648826,0.4471465,0.27241606,0.12350615,0.20708449,0.30311948,0.1472166,0.0,0.3875904,0.40719715,0.17328002,0.1496562,0.39228198
adogsjourneymovie,0.0055978075,0.59393895,1.1225281,1.0574918,0.7061073,0.35163936,0.6113897,1.1211594,0.74117196,0.86673427,0.0,0.0,0.7402237,0.0,0.30745912,0.55400246,0.4502068,0.25615758,0.50966406,1.2021061,0.8424722,0.79560775,0.58174014,0.85348845,0.7210757,0.62343615,0.74948466,0.0,0.5088295,0.5356084,0.78706455,0.3230323,0.0,0.5723252,0.9149114,0.68715507,0.79817015,0.51060975,0.25144956,0.93643165,0.26146385,0.31737393,1.1366144,1.1304072,0.48537794,0.8339493,0.7056793,1.2264292,0.007223042,0.30414388,0.0,0.94213486,0.3777678,0.86179996,0.83086747,0.3969186,0.93675065,0.6766755,0.4803845,0.63977057,0.0,0.8571312,0.0,0.0,0.22166151,0.20367022,0.0,0.8526907,0.70715606,0.21098761,0.61746305,0.0,0.78735334,0.9628609,0.52230185,0.932121,0.0,0.6636726,0.0,0.49427336,0.70642304,1.1855974,0.9974911,0.5816293,0.015077507,0.5732948,0.0,0.60329604,0.46195185,0.5257707,0.518345,0.68627053,0.0,0.6484704,0.76337945,0.0,0.95232123,0.825328,0.7824362,0.8032272,0.9347785,0.77254283,0.6979054,0.2602957,0.2292438,0.56122804,0.4533567,0.3248268,1.1309264,1.1002436,0.33152354,0.7011026,0.5450301,0.22856736,0.0,0.9179344,0.5320513,0.7417358,0.12248601,0.8804148
aftermathmovie,0.016521022,0.127083,0.39549088,0.37766165,0.28380314,0.20836462,0.17794572,0.29186696,0.3538663,0.2734535,0.0,0.067301854,0.27389356,0.0,0.07469378,0.06482051,0.19229627,0.2126961,0.25455874,0.38344616,0.24410525,0.20223927,0.21088676,0.20892851,0.20428701,0.16269386,0.25253096,0.0,0.16359195,0.21102294,0.19024256,0.10017258,0.0,0.16182867,0.25596428,0.29563218,0.34535626,0.22031194,0.07158662,0.29778984,0.16231549,0.031717338,0.3204121,0.31508988,0.19696137,0.2634456,0.24162726,0.3707939,0.0,0.13091043,0.0,0.19506209,0.056229822,0.30432266,0.26654524,0.259474,0.25918362,0.22021273,0.16340649,0.07602134,0.0,0.16261035,0.0,0.0,0.1271556,0.16106053,0.0,0.23266864,0.22466779,0.22317615,0.20110705,0.0,0.20889042,0.25608924,0.22011092,0.23080829,0.0,0.19144778,0.0,0.06877406,0.30371222,0.34204268,0.30415347,0.20882131,0.08286393,0.21212108,0.0,0.28556156,0.16644801,0.23669557,0.238109,0.27569193,0.0,0.24628203,0.23943955,0.0,0.25241196,0.2718404,0.18531734,0.23297854,0.37479576,0.19537301,0.22805801,0.19519147,0.26018557,0.15574025,0.10774438,0.15088032,0.3510225,0.25315046,0.11839315,0.16721447,0.2467715,0.1696431,0.013569619,0.22122474,0.35080117,0.27311432,0.14743544,0.24889849
aftermovie,0.021898761,0.33765718,0.6073531,0.556439,0.33181465,0.0915976,0.35723865,0.4911924,0.54965866,0.46728638,0.0,0.15174672,0.34541306,0.0,0.23857668,0.22014719,0.40666232,0.32595426,0.39408997,0.59633344,0.45854187,0.37251884,0.2875077,0.22790794,0.39531076,0.38525057,0.4322402,0.0031944504,0.19361423,0.33651644,0.36111593,0.18016797,0.0,0.38149443,0.652464,0.55093116,0.47201046,0.42619222,0.1715453,0.42365363,0.34483245,0.03613358,0.60319597,0.39744833,0.4025816,0.5015284,0.4413303,0.567619,0.0,0.13470781,0.0,0.5921042,0.33165842,0.45144284,0.46270305,0.47340304,0.344242,0.18110248,0.28233936,0.19749255,0.0,0.4002357,0.0,0.0,0.16229108,0.18791693,0.0,0.3467962,0.49591553,0.33256146,0.3943656,0.055730905,0.28209946,0.4392458,0.45694545,0.36582187,0.0,0.48063266,0.0,0.10917309,0.45966518,0.4932701,0.47494337,0.2146592,0.042185035,0.3249224,0.0,0.39980638,0.21977398,0.3301891,0.37491667,0.25515658,0.0,0.54808694,0.24871102,0.0,0.5800013,0.17205189,0.35781315,0.3820274,0.48337814,0.19073825,0.31218717,0.31216204,0.37183613,0.20189834,0.39290664,0.24869181,0.5895465,0.35101765,0.2675625,0.23725328,0.33918667,0.2111335,0.0,0.27823564,0.5117552,0.39039218,0.26958174,0.62353134
ahiddenlifefilm,0.0,0.08396798,0.25195462,0.22790729,0.17520332,0.11435126,0.10626319,0.1969027,0.23243895,0.17586964,0.0,0.021903062,0.18515521,0.0,0.08659057,0.05488509,0.14939383,0.080056846,0.14304416,0.23987752,0.18126038,0.17604162,0.096246615,0.15730588,0.150029,0.14348154,0.121963575,0.0071996762,0.12549508,0.1486846,0.16345584,0.0992829,0.0,0.1390249,0.21565814,0.1880169,0.21824428,0.15827876,0.09329768,0.18993144,0.12175834,0.09188628,0.23069683,0.21405971,0.13837326,0.20483267,0.1717367,0.22827475,0.0,0.12045432,0.0,0.17860723,0.08103922,0.2176385,0.19850533,0.18163644,0.18473192,0.14637637,0.14257906,0.08537485,0.0,0.13876492,0.0,0.0,0.10089455,0.11741027,0.0,0.17986694,0.16636689,0.10105316,0.14381862,0.015555903,0.16542715,0.17037013,0.17477943,0.18305933,0.0,0.20188688,0.0,0.07373079,0.20628175,0.21803863,0.20934165,0.13176179,0.04026737,0.15590882,0.0,0.1881869,0.11659406,0.1820496,0.17662604,0.15162864,0.0,0.1864275,0.1696666,0.0,0.22912319,0.15122655,0.13834795,0.17395109,0.20386599,0.13689768,0.13750318,0.17982922,0.14072849,0.10078786,0.15351771,0.13228193,0.25913253,0.21643227,0.09243957,0.12530097,0.15842502,0.077798165,0.0,0.19947182,0.2003211,0.13672915,0.109145306,0.19269936
alitamovie,0.0,0.24535184,0.92319024,0.6253288,0.5150436,0.26493436,0.62651414,0.6417676,0.48670354,0.3648851,0.0,0.24382164,0.6039093,0.0,0.23173708,0.30735898,0.28426203,0.15776105,0.53517526,0.7596586,0.5456644,0.4570472,0.3520533,0.5352353,0.4212,0.56406254,0.46311653,0.0,0.5226329,0.45668116,0.5326578,0.35740057,0.0,0.45335665,0.7286707,0.7139073,0.44159096,0.31160855,0.41986805,0.6866833,0.4000579,0.41463703,0.48979384,0.6611113,0.38625675,0.7004279,0.5312372,0.6056061,0.0,0.58835876,0.0,0.43966892,0.067737594,0.7228007,0.35290787,0.63933635,0.5307715,0.46454695,0.6662471,0.13728887,0.0,0.47670978,0.0,0.0,0.33426103,0.2346822,0.0,0.6114334,0.39607376,0.3897533,0.3138453,0.0,0.53664,0.3869253,0.26707244,0.45568013,0.0,0.57556576,0.0,0.3695878,0.46598262,0.49131745,0.5995393,0.4612021,0.0,0.64099437,0.0,0.33239418,0.41449836,0.556069,0.638315,0.5064557,0.0,0.5293192,0.40467063,0.0,0.54157025,0.5297434,0.5816673,0.6390532,0.46221542,0.39580983,0.28976324,0.45748055,0.41892102,0.26300412,0.49133363,0.32378945,0.65596664,0.65904605,0.4394841,0.24884234,0.4263438,0.18911374,0.0,0.4983456,0.65520716,0.4478109,0.33159497,0.62996155
