movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169
21bridgesmovie,0.17245819,0.3602123,0.15046489,0.31721035,0.0,0.47807038,0.40415633,0.43937555,0.24657606,0.42139804,0.3208627,0.2276322,0.2245602,0.30959997,0.16971435,0.4093483,0.088301584,0.0,0.36916673,0.2629494,0.29773027,0.0,0.23867601,0.0,0.37339017,0.0,0.28930578,0.15729865,0.0,0.0,0.48632473,0.39740947,0.4469622,0.0,0.23215011,0.17670226,0.05471117,0.4153691,0.53976446,0.49568927,0.23466595,0.05292803,0.0,0.2611656,0.0,0.0,0.14159,0.36872473,0.0,0.40350866,0.0,0.0,0.097481534,0.30744353,0.057562776,0.36740318,0.396134,0.33827198,0.14807582,0.015047279,0.46806923,0.17031094,0.13653328,0.49413425,0.0139436545,0.34299794,0.08989057,0.29884988,0.21945524,0.3610473,0.16718028,0.20812401,0.3456941,0.20410919,0.26878995,0.02269258,0.12832987,0.4678453,0.38070983,0.15871851,0.0,0.3042329,0.2907786,0.0,0.1397963,0.0,0.0581984,0.0,0.32056576,0.50122845,0.1523315,0.27224824,0.13744837,0.0,0.30360213,0.0,0.23253179,0.2567862,0.27604195,0.37052456,0.19457562,0.37272835,0.0,0.4421824,0.39663845,0.0,0.30743408,0.3256026,0.38187626,0.38835865,0.0,0.0,0.2041927,0.43122077,0.24528126,0.0,0.1570279,0.3187319,0.29046673,0.0,0.24025181,0.33005065,0.53161764,0.05206847,0.09134349,0.022090586,0.47416362,0.5038809,0.43543294,0.330923,0.18871884,0.37597677,0.37593144,0.38593134,0.0,0.21369705,0.36771968,0.22359514,0.3835286,0.29568502,0.03950764,0.17614493,0.52349854,0.33322248,0.0,0.42991,0.25480276,0.380757,0.4349565,0.0,0.24861853,0.24254955,0.32832804,0.3302462,0.4672383,0.36528307,0.19158076,0.22460732,0.38418004,0.0,0.22564301,0.37852797,0.112992495,0.33357,0.5690194,0.0,0.34755918,0.35930926,0.0,0.26631403
47metersdown,0.33934158,0.43597662,0.13124424,0.611178,0.0,0.5015674,0.59908855,0.4387599,0.37130773,0.5773831,0.45880467,0.48409024,0.38966152,0.58523875,0.27068248,0.6316863,0.410111,0.0,0.59873253,0.4693705,0.36717704,0.0,0.5415897,0.0,0.1471678,0.0,0.37895858,0.38522655,0.0,0.0,0.47636804,0.5480343,0.48891124,0.0,0.42862022,0.3145036,0.048345707,0.5540264,0.72665423,0.5652768,0.41194934,0.16013181,0.0,0.56812656,0.0,0.1231643,0.359966,0.6438022,0.0,0.28753138,0.0,0.0,0.11573431,0.43766394,0.13669562,0.55022717,0.4060803,0.53167087,0.22980164,0.12661105,0.7408387,0.29672074,0.033729285,0.4755842,0.098073155,0.3997515,0.2592983,0.4040409,0.52340436,0.6109273,0.2975253,0.5883471,0.5715864,0.409942,0.31453505,0.16358605,0.12736627,0.48813614,0.6305209,0.0464452,0.0,0.6197127,0.3902662,0.0,0.019284882,0.0,0.050728656,0.0,0.27042875,0.5812014,0.0,0.63267946,0.36476812,0.0,0.1809551,0.0,0.2398388,0.34925538,0.099687286,0.4505671,0.25000972,0.63311195,0.0,0.7059637,0.35074502,0.0,0.19199896,0.23392376,0.45336905,0.7933382,0.0,0.0,0.57552505,0.5502967,0.15176307,0.0,0.34394333,0.6395242,0.30777055,0.0,0.2871228,0.4827956,0.72107637,0.13306642,0.45275784,0.0,0.7116861,0.49857768,0.89770555,0.43802145,0.4723046,0.47450387,0.10054855,0.49702045,0.0,0.5032662,0.44720078,0.43343708,0.48446548,0.5281893,0.0,0.28253973,0.4303204,0.4258866,0.0,0.21938157,0.41270366,0.0958962,0.4677515,0.0,0.5026708,0.23300901,0.54896843,0.41935506,0.47545305,0.5713991,0.34284765,0.3625498,0.67814666,0.0,0.42134124,0.4336036,0.0,0.7367899,0.6996381,0.0,0.3181532,0.28531733,0.0,0.42132056
abeautifuldaymovie,0.12333132,0.22019714,0.1054748,0.23972678,0.0,0.4365709,0.43029517,0.5101223,0.08300643,0.42615405,0.36757454,0.29463932,0.12894817,0.2907274,0.166916,0.4630578,0.35006648,0.0,0.50837237,0.27334264,0.3485242,0.0,0.121372655,0.0,0.19737348,0.0,0.3718256,0.25099006,0.0,0.0,0.31278297,0.28664643,0.31784308,0.0,0.21928781,0.22327015,0.06303926,0.45645076,0.49319327,0.32926634,0.2904729,0.14163637,0.0,0.44079328,0.0,0.0,0.061968926,0.45092607,0.0,0.28068918,0.0,0.0,0.20691232,0.4214177,0.19201699,0.4340599,0.45558423,0.2712117,0.20236987,0.029162582,0.48451772,0.22305164,0.14615619,0.43181413,0.20971529,0.28120178,0.20921926,0.33794525,0.3243713,0.2783213,0.22346866,0.32484177,0.36926734,0.12939464,0.07584824,0.28418696,0.14528537,0.34110728,0.39782456,0.11954145,0.0,0.2536809,0.27854264,0.0,0.1698822,0.0,0.0,0.0,0.1691158,0.50463027,0.19950153,0.33483762,0.22247347,0.0,0.24536881,0.0,0.17089444,0.23436052,0.26493022,0.40477803,0.22504355,0.38091278,0.0,0.38906407,0.42690706,0.0,0.11785042,0.07648789,0.29853824,0.4631316,0.0,0.0,0.30380625,0.3657314,0.13797995,0.0,0.117146604,0.30417693,0.12077117,0.0,0.39108273,0.29156536,0.48749918,0.11212849,0.25258636,0.0,0.38422525,0.37928146,0.4197339,0.40268698,0.2785688,0.32795194,0.31730416,0.4284567,0.0,0.19696012,0.3057099,0.2532283,0.26568556,0.38859215,0.0,0.1988549,0.45652968,0.2814169,0.0,0.17912978,0.32288006,0.29760513,0.38618076,0.0,0.36322302,0.21586157,0.3466787,0.38621345,0.3907013,0.29935947,0.31845772,0.18967925,0.48314625,0.0,0.19403815,0.29012182,0.11282102,0.36612564,0.5056063,0.0,0.21593025,0.26341495,0.0,0.2896412
abominablemovie,0.2700406,0.30321413,0.21765313,0.5705015,0.0,0.7876843,0.9073351,0.7885885,0.44479465,0.67483693,0.393288,0.60529387,0.29915974,0.30923915,0.37957257,0.70909435,0.43092373,0.07065252,0.45859045,0.3862711,0.6835495,0.0,0.52659065,0.0,0.54384047,0.0,0.6437473,0.023769917,0.0,0.0,0.3303853,0.30080357,0.55084527,0.0,0.29894885,0.39163613,0.0,0.3970933,0.6341327,0.44727767,0.457481,0.21504448,0.0,0.61768234,0.07560483,0.21312928,0.14703742,0.63309735,0.0,0.41799402,0.0,0.0,0.26330283,0.5924846,0.22817433,0.55533177,0.8782617,0.31776735,0.30466813,0.07344703,0.8649691,0.27933103,0.41382068,0.61819094,0.22268008,0.7279802,0.32614034,0.5176882,0.5131159,0.38794053,0.09986898,0.22673385,0.48245084,0.15195926,0.4016051,0.0,0.07204195,0.5453093,0.42843443,0.07692993,0.0,0.58533245,0.36151597,0.0,0.28223842,0.0,0.34573135,0.0,0.22064495,0.81370884,0.103713766,0.3736999,0.29768205,0.0,0.2972901,0.0,0.12700096,0.2248449,0.33907104,0.5344439,0.12148059,0.7515757,0.0,0.6061661,0.61803913,0.0,0.20208113,0.1313295,0.39929816,0.758514,0.010467665,0.0,0.48730475,0.37948617,0.34170225,0.0,0.16592693,0.439658,0.3210495,0.0,0.66920227,0.5626236,0.48141226,0.090872325,0.16374211,0.045008734,0.5660024,0.4387723,0.799278,0.6648019,0.24492177,0.365028,0.18773489,0.38894016,0.0,0.37163514,0.25002316,0.39759913,0.39830047,0.42305958,0.0,0.2848271,0.5198795,0.26909333,0.0,0.23343715,0.50499743,0.31789285,0.7553834,0.0,0.52922183,0.45013773,0.41282815,0.49961105,0.4985408,0.6190026,0.2431792,0.52351815,0.6140929,0.0,0.28521416,0.52004313,0.35090715,0.7051076,0.8457804,0.0,0.3851504,0.42229477,0.0,0.5028759
adastramovie,0.13348296,0.14418755,0.06349252,0.3081619,0.0,0.36496726,0.40076998,0.40300325,0.19691168,0.40557098,0.41397154,0.23519182,0.2890775,0.2887502,0.1223527,0.44490188,0.15953882,0.0,0.41323504,0.37382492,0.30356255,0.0,0.15012416,0.0,0.14160702,0.0,0.2674146,0.18595782,0.0,0.0,0.29359642,0.13355786,0.2699083,0.0,0.1700636,0.22585298,0.022389205,0.2813274,0.44936886,0.2602453,0.089117065,0.090494856,0.0,0.29684955,0.0,0.0,0.19683677,0.34944195,0.0,0.4067049,0.0,0.0,0.05763181,0.30265087,0.13742575,0.4687583,0.2631882,0.23461929,0.23833464,0.10297015,0.3378152,0.27983174,0.11497507,0.4288981,0.1939053,0.21580668,0.10956809,0.22305134,0.2735792,0.20910968,0.083339505,0.3984474,0.37920722,0.28443238,0.2295661,0.09785434,0.17603964,0.3403943,0.5104834,0.18429483,0.0,0.28843272,0.26283157,0.0,0.13179846,0.0,0.15965363,0.0,0.22162056,0.41770095,0.24130999,0.42153648,0.05755131,0.0,0.2622514,0.0,0.15892236,0.14996362,0.11774733,0.3719008,0.1123733,0.30365044,0.0,0.34692922,0.38166618,0.0,0.13240328,0.2358624,0.29510215,0.35386553,0.0,0.0,0.29933667,0.34371826,0.18349753,0.0,0.32218084,0.4548857,0.21283768,0.0,0.4400818,0.39547175,0.3575112,0.1510759,0.29093736,0.0,0.360645,0.29882696,0.4971841,0.46751764,0.22279076,0.41209242,0.26359537,0.4781392,0.0,0.2697254,0.22733504,0.26317456,0.33157897,0.28872707,0.0,0.3838597,0.32713863,0.38710663,0.0,0.27105856,0.33876503,0.23740311,0.36217636,0.0,0.18449451,0.21632963,0.29401463,0.32701352,0.35961598,0.22282153,0.14775266,0.24015597,0.46296874,0.0,0.25655892,0.15977398,0.016117547,0.36619568,0.41654408,0.0,0.12941177,0.24483582,0.0,0.26738387
adogsjourneymovie,0.28315464,0.7500514,0.3004179,0.72179204,0.0,1.1500144,0.6368257,1.1344373,0.3088222,0.8166947,1.0127579,0.72624505,0.4067302,0.6105788,0.18493634,0.99191594,0.60764563,0.0,0.9920186,0.4668508,0.8800053,0.0,0.2673111,0.0,0.57026374,0.0,0.91606826,0.3228652,0.0,0.0,0.577021,0.6009435,0.6468843,0.0,0.55231464,0.25806907,0.32269073,0.82607716,0.8635232,0.8896475,0.54481375,0.47992426,0.0,0.41896617,0.289243,0.0022490025,0.055370532,1.17347,0.0,0.92201334,0.0,0.0,0.37434316,0.8556638,0.07974644,1.1712041,0.84573245,0.51303065,0.60103506,0.19936071,0.9635655,0.7889202,0.0,0.8955395,0.52705383,0.8217818,0.42251348,0.8392914,0.73745584,0.25642776,0.52530086,0.5519327,0.8475457,0.48442182,0.36008912,0.32014242,0.28392556,0.98880607,1.1451263,0.39081368,0.0,0.6704928,0.5668138,0.0,0.3021848,0.0,0.2589152,0.0,0.45477542,1.0914472,0.13339673,0.5791476,0.48871368,0.0,0.35055307,0.0,0.45772007,0.12879208,0.33997977,0.88292754,0.6191375,0.80597013,0.0,0.7253316,0.83211625,0.0,0.68874174,0.23074195,0.5765389,1.1467327,0.0,0.0,0.550985,0.70884943,0.4540765,0.0,0.3128944,0.7552664,0.75209695,0.0,0.9382455,1.0110021,0.86546034,0.0,0.1206786,0.099509686,0.9386563,0.95374674,0.9473207,0.8942479,0.42689496,0.8446773,0.28497094,1.0122265,0.0,0.22829041,0.4785738,0.35690123,0.44893473,0.98488504,0.0,0.6549396,1.2362316,0.60375106,0.0,0.8147449,0.8382381,0.3586603,0.795624,0.0,0.6482626,0.47442272,0.43570474,0.89638394,0.7139417,0.5699901,0.5504732,0.49340442,0.83439535,0.0,0.42613602,0.61920786,0.0,0.81572896,1.2147651,0.0,0.6771945,0.56717944,0.0,0.8872165
aftermathmovie,0.17721035,0.28759947,0.02122392,0.2791768,0.0,0.3249195,0.32111162,0.39628717,0.16510731,0.3530101,0.22292386,0.23611632,0.16898125,0.2045142,0.116128966,0.3853332,0.20910902,0.0,0.3013395,0.23689619,0.27043143,0.0,0.34974656,0.0,0.19248667,0.0,0.18687017,0.13232432,0.0,0.0,0.275295,0.23384327,0.22717394,0.0,0.18964164,0.13619827,0.06957598,0.32578644,0.36743915,0.27436078,0.23030469,0.13790892,0.0,0.17419523,0.0,0.036197037,0.07479918,0.2520842,0.0,0.24967529,0.0,0.0,0.19247767,0.31099004,0.13600275,0.30439115,0.336822,0.22678313,0.28674048,0.0,0.39952752,0.19361344,0.073906325,0.23701975,0.0521631,0.23690782,0.19872473,0.26212105,0.291473,0.09757437,0.16066134,0.13568522,0.25209263,0.123484075,0.19819686,0.114242956,0.11475258,0.31597254,0.3251896,0.091392055,0.0,0.20036581,0.20913348,0.0,0.024467807,0.0,0.1283047,0.0,0.26430175,0.37495115,0.1836832,0.30340979,0.11991278,0.0,0.07664929,0.0,0.19493811,0.15061712,0.061573252,0.27653283,0.2303491,0.22697268,0.0,0.30305934,0.14160447,0.0,0.07529572,0.13377541,0.20676924,0.35136303,0.0,0.0,0.13478674,0.20806004,0.065288484,0.0,0.14361453,0.37819707,0.0673503,0.0,0.30978972,0.17274177,0.21156879,0.012186685,0.11069827,0.0,0.3154927,0.20237218,0.3834579,0.3088883,0.16918027,0.25442386,0.13678014,0.20854712,0.0,0.176658,0.23182309,0.22512741,0.18913643,0.1940386,0.0,0.15853626,0.28502735,0.19716427,0.0,0.17568356,0.19838512,0.18306343,0.17594662,0.0,0.20480737,0.067936406,0.16845551,0.29019907,0.30617177,0.19701536,0.1498622,0.1340352,0.3805458,0.0,0.0036671795,0.24480289,0.023353685,0.3162775,0.372029,0.0,0.20678787,0.12859985,0.0,0.2629642
aftermovie,0.12794743,0.4217587,0.091307096,0.31484145,0.0,0.47014573,0.50654346,0.42452332,0.17908536,0.42583558,0.39902556,0.43309316,0.21053617,0.33965203,0.20903863,0.43808138,0.18837973,0.0,0.3949089,0.29510462,0.36448175,0.0,0.3222731,0.0,0.339776,0.0,0.29387325,0.10733864,0.0,0.0,0.2201894,0.3319355,0.4443914,0.0,0.13935564,0.16630544,0.057007775,0.41995597,0.38810676,0.3686486,0.29825112,0.18335667,0.0,0.34201217,0.032842845,0.0,0.18352109,0.39484152,0.0,0.49826097,0.0,0.0,0.14333706,0.3290948,0.12909001,0.50917447,0.456348,0.18389389,0.3059224,0.11856812,0.5639654,0.35478312,0.044500843,0.42445594,0.16613545,0.36361438,0.20168555,0.40342298,0.39198533,0.21591833,0.2513994,0.28145304,0.47342688,0.20729308,0.23779848,0.119996674,0.1635336,0.37753513,0.3938105,0.19853038,0.0,0.3285483,0.27104142,0.0,0.07808486,0.0,0.03327124,0.0,0.39270782,0.6209194,0.1521298,0.27338737,0.23955211,0.0,0.05875387,0.0,0.18393448,0.2506399,0.30622917,0.37732816,0.11788093,0.4142425,0.0,0.4977982,0.3293505,0.0,0.15464224,0.26647332,0.52918375,0.53248423,0.0,0.0,0.19126908,0.36767066,0.13217357,0.0,0.3293647,0.4075192,0.2785567,0.0,0.32145786,0.34724075,0.44539872,0.0,0.1373838,0.0,0.5009953,0.2905697,0.5375348,0.47076377,0.18167317,0.17102882,0.20927554,0.19550839,0.0,0.22597721,0.22033015,0.28663367,0.4243945,0.34138918,0.0,0.22364262,0.4881951,0.34873638,0.0,0.22922298,0.41508448,0.26734295,0.3119821,0.09405166,0.17762052,0.3198609,0.3510982,0.40891525,0.4315706,0.38365787,0.20598276,0.24379572,0.5015326,0.0,0.19500506,0.33851108,0.14069545,0.38212883,0.5272649,0.0,0.24030074,0.27463675,0.0,0.40740538
ahiddenlifefilm,0.081051014,0.12770316,0.06343001,0.15162247,0.0,0.21151914,0.17938922,0.22084561,0.072259314,0.18594135,0.17058761,0.12642452,0.11522856,0.13430762,0.06299286,0.1688774,0.13083273,0.0,0.19659832,0.13491035,0.15384275,0.0,0.10328071,0.0,0.115102746,0.0,0.13445805,0.054214202,0.0,0.0,0.15552431,0.1410594,0.14669046,0.0,0.10571718,0.09330302,0.049681764,0.18336672,0.18984863,0.17160666,0.1363445,0.09528382,0.0,0.12897782,0.0,0.0,0.06558451,0.17537032,0.0,0.15145856,0.0,0.0,0.05770939,0.15011162,0.061912306,0.20098606,0.18272713,0.1255354,0.10819947,0.04341485,0.22311845,0.11879899,0.046060517,0.1852208,0.08916424,0.15256472,0.0992849,0.15964457,0.13208178,0.105032094,0.088711165,0.13451843,0.16663703,0.106193304,0.09887457,0.044747274,0.051342666,0.18338305,0.18715611,0.04792251,0.0,0.13863704,0.1091607,0.0,0.061413523,0.0,0.0553902,0.0,0.12188673,0.21764539,0.091656566,0.12546462,0.08270784,0.0,0.08942291,0.0,0.087609336,0.0841543,0.0861479,0.16360757,0.05193449,0.15593636,0.0,0.17555358,0.1461283,0.0,0.07868549,0.08084236,0.14162059,0.21651444,0.0,0.0,0.102901585,0.16552027,0.07428734,0.0,0.09179475,0.1756166,0.10946098,0.0,0.17061538,0.1269241,0.18945011,0.037775785,0.063081205,0.009962887,0.19412081,0.14817084,0.21793249,0.16781487,0.10180579,0.1442036,0.11645135,0.17270511,0.0,0.113614105,0.15124911,0.12584142,0.13175602,0.14990415,0.0,0.11026837,0.20076045,0.13193928,0.0,0.11403753,0.15781038,0.1240287,0.15930764,0.0,0.12932082,0.090812616,0.14731015,0.17644371,0.161688,0.12769426,0.10268625,0.107707515,0.19322369,0.0,0.09344748,0.15063198,0.048163064,0.1462975,0.23630823,0.0,0.14006212,0.10729281,0.0,0.1521095
alitamovie,0.14210774,0.49803534,0.012023183,0.54620326,0.0,0.7583358,0.5744679,0.59976023,0.24057229,0.67460006,0.46613923,0.2801512,0.5824127,0.5221122,0.53062445,0.7139545,0.3851025,0.007862119,0.58948123,0.6812423,0.4664783,0.0,0.3558963,0.0,0.46565986,0.0,0.40907198,0.1177461,0.0,0.0,0.5700071,0.5257936,0.5485771,0.0,0.33470675,0.53841794,0.021799447,0.5074723,0.7631639,0.4666777,0.3497,0.31399965,0.0,0.5833,0.0,0.09490855,0.21055987,0.52194977,0.044670407,0.41897947,0.0,0.0,0.06193106,0.569722,0.18628156,0.68741983,0.49227965,0.6000944,0.39046893,0.07287634,0.6381609,0.2472656,0.05463203,0.8140126,0.27290237,0.6301015,0.19855078,0.21576026,0.5627575,0.28200656,0.2274878,0.24282457,0.4228665,0.4287069,0.19964454,0.17918476,0.14677122,0.50385886,0.68264997,0.2222032,0.0,0.3790065,0.5079831,0.0,0.0,0.0,0.22504734,0.0,0.19567207,0.50788605,0.29963043,0.62442756,0.12379382,0.0,0.26068726,0.0,0.47774857,0.4071124,0.2262559,0.34643033,0.24496903,0.39280838,0.0,0.5347069,0.54307425,0.0,0.19314034,0.51231164,0.32308412,0.8444455,0.0,0.0,0.39617538,0.6253561,0.3822279,0.0,0.29800114,0.6560949,0.32022023,0.0,0.5994157,0.49401537,0.4899228,0.17431436,0.39452314,0.13113359,0.6730265,0.69480675,0.6318042,0.9141313,0.17806704,0.6526982,0.43836978,0.48464304,0.0,0.4162493,0.6702853,0.37004653,0.28621137,0.53800154,0.016043622,0.36573386,0.5661364,0.43054578,0.0,0.43799147,0.6403304,0.54018164,0.5275429,0.0,0.5171023,0.2202587,0.3889622,0.51960224,0.61723655,0.2723697,0.18459748,0.35922858,0.5653908,0.0,0.37546134,0.6438155,0.19324957,0.38704205,0.63548386,0.0,0.44038823,0.5062121,0.0,0.3458923
