movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179
21bridgesmovie,0.09865482,0.14174056,0.18570505,0.0,0.20237717,0.168982,0.21013044,0.39259735,0.0,0.1845284,0.37510923,0.39323938,0.10570399,0.31946462,0.4937018,0.0,0.28293523,0.5035842,0.22458598,0.27051607,0.10086074,0.06790595,0.10611797,0.0,0.21062486,0.1945189,0.32821706,0.33014935,0.28325123,0.38834584,0.36908033,0.0,0.22174819,0.038175017,0.3946042,0.1606634,0.32677788,0.2687866,0.35218447,0.3259522,0.0,0.32382995,0.23619413,0.112817585,0.0,0.0,0.07599665,0.13054398,0.16389449,0.52065057,0.22899726,0.06468498,0.13766736,0.3069691,0.20671101,0.17080867,0.0,0.4345228,0.012327103,0.23767996,0.0,0.28582075,0.0,0.38549235,0.32421058,0.023056062,0.44569328,0.18693258,0.3513806,0.21175398,0.0,0.0,0.27585438,0.36261007,0.35232016,0.17554465,0.31198692,0.17478184,0.31658712,0.112880275,0.27169448,0.31308383,0.0,0.0,0.54858047,0.0,0.29949996,0.2709176,0.22539108,0.08198614,0.0,0.304038,0.0,0.41272455,0.12407057,0.2690694,0.0,0.12217061,0.29781097,0.50285655,0.31533095,0.49963385,0.21287327,0.28035206,0.21787499,0.36448145,0.18831933,0.0,0.22096822,0.17023222,0.18883213,0.28573805,0.27859157,0.25746754,0.066994324,0.37195143,0.22022876,0.19197041,0.28694853,0.0,0.25056094,0.5115611,0.4095897,0.45351768,0.32872492,0.04766623,0.16647814,0.094517246,0.34037593,0.0,0.33899865,0.0,0.2049061,0.0,0.38832992,0.0,0.07333599,0.0,0.4020819,0.4534726,0.17286946,0.45390403,0.24580868,0.27062106,0.22648335,0.2066884,0.321243,0.47988364,0.2408225,0.44746828,0.0,0.30184346,0.061584022,0.2319771,0.23987561,0.23741451,0.44302624,0.36864242,0.10253772,0.22842567,0.25130743,0.06072268,0.34056878,0.33482888,0.3404779,0.21850547,0.080319494,0.17202568,0.0,0.26682237,0.34901544,0.31286886,0.0,0.44436055,0.0,0.42214435,0.5159286,0.0,0.17810836,0.21468839
47metersdown,0.10706348,0.13610917,0.7143675,0.0,0.49942654,0.3591408,0.32062584,0.37641254,0.0,0.43159404,0.3977724,0.39021665,0.45521066,0.4045983,0.58389765,0.0,0.18175802,0.35747573,0.31274977,0.23764226,0.28170487,0.20267245,0.08285572,0.0,0.32914922,0.23552684,0.5317617,0.38094047,0.32593155,0.36743295,0.48603976,0.0,0.32579023,0.15031932,0.40841067,0.0,0.6631259,0.3809752,0.39758724,0.42313936,0.0,0.45437595,0.23267303,0.20664862,0.0,0.0,0.060196027,0.22175473,0.17098036,0.5954827,0.14296469,0.32697007,0.058095627,0.6764466,0.22530629,0.35858497,0.0,0.26235282,0.11280853,0.301679,0.07232597,0.3374192,0.0,0.3530406,0.27271718,0.0,0.4571299,0.50844747,0.3469391,0.18264411,0.0,0.0,0.45416626,0.3392857,0.4096788,0.24997337,0.451145,0.35105744,0.5435875,0.34442896,0.087040335,0.47879192,0.0,0.0,0.53331953,0.0,0.102618724,0.32404968,0.1321693,0.32809177,0.0,0.47996348,0.0,0.3596006,0.24650532,0.5501582,0.0,0.20387444,0.35118383,0.6410765,0.44119912,0.37483937,0.22459905,0.24474108,0.28624168,0.5150715,0.4106449,0.0,0.36741126,0.17908731,0.03155993,0.31728444,0.40508083,0.070225224,0.0,0.43836808,0.19140851,0.10380473,0.23493578,0.0,0.2938776,0.6335757,0.2780797,0.39220023,0.33457893,0.0,0.07960824,0.03869153,0.3787214,0.032113243,0.34240887,0.0,0.41263053,0.0,0.43413353,0.0,0.052113295,0.0,0.488959,0.39681682,0.34677505,0.6186451,0.39799905,0.32031685,0.20178148,0.36966696,0.31874514,0.61608064,0.20146395,0.47167873,0.0,0.6282254,0.0,0.27385846,0.40837106,0.53341156,0.5978565,0.41809732,0.13277297,0.5095459,0.6006892,0.18694705,0.32141483,0.39901006,0.5321811,0.19149223,0.35165638,0.3689884,0.0,0.26273105,0.39108998,0.35897642,0.0,0.21544203,0.0,0.6015725,0.4822634,0.0,0.16776964,0.24054667
abeautifuldaymovie,0.15532258,0.105427116,0.23755781,0.0,0.17093065,0.21891382,0.21128336,0.30119476,0.0,0.24590202,0.3779272,0.2607555,0.2834669,0.17924166,0.4768749,0.0,0.24150649,0.47537002,0.37709498,0.11164847,0.11646513,0.17548022,0.0069760857,0.0,0.20314312,0.120335855,0.4503528,0.2735851,0.2525105,0.31986955,0.4283633,0.0,0.18042259,0.11439249,0.40776908,0.056661606,0.33244205,0.24785018,0.33627188,0.24722774,0.0,0.33622825,0.14011456,0.22431749,0.0,0.0,0.14876533,0.16621748,0.1181714,0.38735318,0.21347669,0.15885228,0.1242971,0.38359198,0.22608463,0.092750855,0.0,0.3209442,0.0,0.20941624,0.0,0.32036945,0.0,0.32739934,0.3182448,0.055953518,0.40141302,0.14375603,0.1279306,0.14145108,0.0,0.0,0.21506189,0.17751946,0.2749768,0.16176546,0.29386944,0.122366965,0.28236634,0.3149413,0.02232439,0.24910712,0.018182276,0.0,0.37410903,0.0,0.21656989,0.30253568,0.18325166,0.1259151,0.0,0.21558876,0.0,0.3598582,0.13289851,0.274931,0.0,0.13136238,0.25690156,0.48677573,0.3106603,0.32496372,0.0691645,0.19036373,0.15945609,0.34677517,0.24974468,0.0,0.19507545,0.06526129,0.18113716,0.22498982,0.28018305,0.29663193,0.06523873,0.44652978,0.13742493,0.13515384,0.2634194,0.0,0.24556725,0.29778394,0.29139623,0.25553837,0.23200351,0.024993557,0.18935938,0.17393218,0.19303274,0.067304686,0.07026222,0.0,0.29194745,0.0,0.32364488,0.0,0.17261635,0.0,0.31193492,0.27524585,0.21339904,0.38446426,0.21791138,0.22531818,0.3305861,0.23030055,0.22650048,0.35492083,0.26305595,0.35738295,0.0,0.33453062,0.1600971,0.30766454,0.2535793,0.35899034,0.34433287,0.37758902,0.14319469,0.22957708,0.29622114,0.07490873,0.3330486,0.3036181,0.34207353,0.1483767,0.29577896,0.23699832,0.0,0.16251992,0.1993684,0.2667996,0.0,0.36646205,0.0,0.40307125,0.495885,0.0,0.19895142,0.15236929
abominablemovie,0.20428565,0.21696973,0.5522808,0.0,0.40729758,0.30559555,0.4973677,0.9898477,0.0,0.34271106,1.0050577,0.58812404,0.48195985,0.5091869,1.0052937,0.0,0.33034083,0.77959025,0.49951872,0.21002215,0.31222817,0.19357286,0.2991641,0.0,0.32117543,0.32825366,0.50144297,0.70593417,0.86895514,0.5250354,0.83237517,0.0,0.51497257,0.24161913,1.0076811,0.43521434,0.6178578,0.77292705,0.64884126,0.49622348,0.0,0.70286256,0.41161558,0.43502417,0.0,0.0,0.17505503,0.1697098,0.13014965,0.81450665,0.32216477,0.55812746,0.3359197,0.9103032,0.3981983,0.6039693,0.0,0.7736888,0.009270256,0.47045237,0.0,0.7442568,0.050563257,0.7123173,0.5409331,0.0,0.61697745,0.60119295,0.44832116,0.4003973,0.0,0.0,0.44881248,0.6738182,0.5143353,0.46481755,0.6972826,0.16714111,0.5827096,0.1830573,0.24936524,0.50912046,0.03722851,0.0,1.1506039,0.0,0.49494365,0.26305526,0.09836282,0.12427444,0.0,0.41101626,0.0,0.879108,0.13211422,0.4532952,0.0,0.48042953,0.5156884,1.1423036,0.5885414,0.65556866,0.19649793,0.36899987,0.31820288,0.54319257,0.42058843,0.0,0.48743165,0.1841263,0.43793604,0.5626916,0.5004235,0.6334761,0.15422232,0.65641886,0.38005438,0.22723952,0.58963627,0.0,0.6489595,0.7850565,0.9168653,0.5985287,0.47276536,0.2734647,0.44307473,0.10553548,0.60287166,0.0,0.29647484,0.0,0.31346765,0.0,0.79669714,0.0,0.23466162,0.0,0.70832956,0.69181466,0.3678097,0.92257416,0.45645058,0.43718976,0.5868253,0.5067633,0.47996825,0.8213336,0.35243487,0.57553184,0.0,0.85020244,0.0,0.6284015,0.42220083,0.7635068,0.71149284,0.81530535,0.0816184,0.49953672,0.41227388,0.16594216,0.5273622,0.73466504,0.5574005,0.5533053,0.5611011,0.30928484,0.0,0.094394326,0.48667857,0.5035067,0.0,0.71206015,0.0,0.6377968,0.7880546,0.0,0.20922098,0.14325503
adastramovie,0.11316887,0.19001856,0.25974023,0.0,0.13454103,0.27942938,0.24116077,0.36570325,0.0,0.3421744,0.28077748,0.23231114,0.29952696,0.23680888,0.67671776,0.0,0.24769332,0.42357123,0.3400922,0.22511484,0.2632634,0.13937828,0.028941657,0.0,0.31352025,0.20932503,0.3820418,0.26006162,0.32949132,0.32273608,0.45445266,0.0,0.1959259,0.15341942,0.5445317,0.08483193,0.43603608,0.4395342,0.40345356,0.345364,0.0,0.27523264,0.22367123,0.09794067,0.0,0.0,0.17180295,0.1301159,0.093452536,0.6198644,0.19868806,0.07842566,0.23753862,0.5246297,0.22121137,0.2709586,0.024015412,0.27401525,0.0,0.16453746,0.07511013,0.31101942,0.0,0.40691537,0.25902343,0.0,0.42534152,0.3561466,0.21932188,0.13198131,0.0,0.0,0.31337816,0.1842764,0.41929016,0.19947986,0.25125223,0.17263606,0.38578698,0.27970144,0.19715874,0.3468234,0.0,0.0,0.39207715,0.0,0.18266074,0.24903789,0.00594094,0.26678297,0.0,0.23660237,0.0,0.2165652,0.0068965238,0.2400164,0.0,0.15964639,0.2150836,0.48772505,0.47991696,0.28762215,0.22875807,0.15666744,0.29410535,0.52769727,0.26764315,0.0,0.3081409,0.12833503,0.15648764,0.20791596,0.20361783,0.21837941,0.0,0.47519496,0.23941496,0.0971909,0.14112566,0.0,0.38508007,0.3685659,0.35899386,0.3429159,0.3738161,0.0,0.12055108,0.032774635,0.36918154,0.01190325,0.23791343,0.0,0.23674034,0.0,0.38878733,0.0,0.11414653,0.0,0.2844921,0.41219744,0.12883243,0.44306344,0.28337744,0.3973059,0.34070158,0.285851,0.27054915,0.5086392,0.23873197,0.3990826,0.0,0.41892642,0.08552638,0.35503107,0.2837059,0.29069293,0.49652848,0.33526316,0.03700407,0.33562988,0.32561395,0.086775705,0.33772245,0.34651968,0.3073891,0.23387676,0.2872345,0.26672783,0.0,0.27220047,0.03681428,0.30087212,0.0,0.51416326,0.0,0.32914352,0.4399503,0.0,0.18137252,0.17091605
adogsjourneymovie,0.48050874,0.55662966,0.48341617,0.0,0.5476965,0.21343651,0.74266756,0.75374526,0.0,0.48698533,1.2407104,0.34050453,0.36644557,0.53753376,1.4442424,0.0,0.5393648,0.9007067,0.5260383,0.462301,0.29794174,0.0,0.15325108,0.0,0.6322107,0.47518292,0.6597664,0.75106263,0.9586886,0.97649425,1.2488854,0.0,0.40509135,0.2665812,1.1693491,0.5877354,0.9119281,0.94160664,0.8915196,0.6963238,0.0,1.1965946,0.7611032,0.26394963,0.0,0.0,0.0,0.0,0.40150294,0.9551197,0.55909556,0.22480516,0.38883206,0.7037945,0.37545937,0.32447898,0.0,1.0024185,0.0,0.50522566,0.016883362,0.5857807,0.0,0.7859984,0.47635293,0.0,1.0390198,0.79603434,0.7747863,0.5828417,0.0,0.0,0.6705554,0.58052903,0.66389585,0.5840088,0.8112064,0.19616467,0.6374001,0.22893268,0.61433214,0.74626005,0.016659988,0.0,1.2806023,0.0,0.18834595,0.7343076,0.2061248,0.46513823,0.0,0.9169507,0.0,0.9514781,0.21449846,1.0119975,0.0,0.26250243,0.5800613,1.1386489,1.32327,0.49060655,0.49739927,0.5840789,0.6553722,0.7253988,0.36310458,0.0,0.84244037,0.31704617,0.20575279,0.9140615,0.6292894,0.5855151,0.10402463,0.98887885,0.26693693,0.5109612,0.40336862,0.0,1.0236368,0.98271257,0.77386296,0.5133801,0.92118657,0.019950094,0.376162,0.24620344,0.77221817,0.13147208,0.32378474,0.0,0.4775575,0.0,0.84829617,0.0,0.036047656,0.0,0.683378,0.77366114,0.49006468,0.9818044,0.48376712,0.7621972,0.8287368,0.52372247,0.19918431,0.85168767,0.39372265,0.56771564,0.0,0.9819676,0.0517166,0.78119355,0.43339786,0.7684369,0.8235541,0.9777014,0.20476255,0.9630862,0.69113696,0.0,0.8067961,0.9035654,1.1017839,0.5123242,0.4474672,0.34456939,0.0,0.39428738,0.6054337,0.6312815,0.0,1.1161923,0.0,0.76541233,0.9256109,0.0,0.45548645,0.23957396
aftermathmovie,0.1035904,0.12728556,0.29252756,0.0,0.13891488,0.17828567,0.10538247,0.2254282,0.0,0.27133718,0.30906,0.16118495,0.18420407,0.17089115,0.4237763,0.0,0.2617108,0.39687505,0.31595793,0.2164922,0.06506017,0.14657496,0.0017385958,0.0,0.22165307,0.13097577,0.2664408,0.33400336,0.27056208,0.18581063,0.27307332,0.0,0.17514025,0.14009929,0.31628442,0.0,0.33229893,0.3286909,0.23302425,0.2727224,0.0,0.28879714,0.16984706,0.11762149,0.0,0.0,0.19709241,0.0,0.098155886,0.44323575,0.09319759,0.112925336,0.28294674,0.30416766,0.20943049,0.25784194,0.0,0.25557825,0.10653844,0.24676728,0.0915774,0.26728237,0.0,0.23087324,0.21688257,0.08115834,0.27368587,0.21293037,0.15135828,0.14759095,0.0,0.0,0.19627704,0.22427043,0.22931524,0.12173453,0.24131978,0.24498352,0.2687123,0.15664533,0.09503665,0.23131602,0.041045263,0.0,0.34412608,0.0,0.07344681,0.22590846,0.11083278,0.17210042,0.0,0.3176633,0.0,0.27955794,0.20716077,0.27761927,0.0,0.009609433,0.20634918,0.33929268,0.31221026,0.27108768,0.097932026,0.24947572,0.25539207,0.33860746,0.18754461,0.0,0.35099083,0.12714875,0.18469356,0.2925187,0.30347332,0.21840921,0.0010909894,0.24011216,0.1940219,0.24203116,0.159666,0.007866247,0.23986402,0.25982696,0.21498254,0.30869406,0.26270604,0.0001739175,0.15779646,0.090487,0.28033522,0.038744386,0.16637243,0.0,0.18928066,0.0,0.3103816,0.0,0.11336389,0.0,0.2202699,0.26377925,0.21894841,0.26244748,0.18874243,0.22735202,0.21825147,0.19414225,0.27929538,0.2890168,0.13287064,0.21007675,0.004382167,0.3422736,0.06628685,0.19787821,0.23329985,0.29666364,0.18178958,0.2903736,0.11929357,0.33065003,0.30632627,0.12238469,0.2826111,0.31931242,0.22698523,0.13858669,0.22983779,0.15270169,0.0,0.14003144,0.10591417,0.2262359,0.0,0.32455957,0.0,0.28592438,0.25229815,0.11673848,0.18835288,0.15623239
aftermovie,0.20399734,0.09480836,0.25163192,0.0,0.16733176,0.22806033,0.22321676,0.32635486,0.0,0.20585938,0.44889274,0.30543047,0.2772102,0.29734552,0.46386656,0.0,0.29606488,0.4786547,0.24943921,0.21621065,0.22163703,0.20475519,0.08752157,0.0,0.21296173,0.18421446,0.28878558,0.36024988,0.39198932,0.28183135,0.47796762,0.0,0.29603216,0.09478655,0.44481888,0.050484393,0.5995842,0.43520343,0.37492958,0.35573575,0.0,0.38159984,0.14256588,0.20709619,0.0,0.0,0.07546325,0.0,0.09985543,0.47962862,0.19209298,0.21659213,0.34468183,0.5994811,0.2097206,0.30236724,0.0,0.33495438,0.09919112,0.36666095,0.0,0.37825492,0.09864584,0.37547055,0.24665214,0.088728465,0.3252087,0.31913668,0.29655412,0.1312817,0.0,0.0,0.2962306,0.28859308,0.23290823,0.35832497,0.3662749,0.30987728,0.32255074,0.1563747,0.28139845,0.32253516,0.0,0.0,0.61605066,0.0,0.26609474,0.40651384,0.18222737,0.18700439,0.0,0.37553295,0.0,0.19586194,0.13815883,0.27095896,0.0,0.09525834,0.2693557,0.52773464,0.32519644,0.46200392,0.19199482,0.31947717,0.27556717,0.3040597,0.32395828,0.0,0.25907567,0.104047135,0.15697895,0.31614587,0.28681964,0.36106098,0.025377557,0.31670976,0.2146991,0.25931227,0.3255882,0.0,0.28091967,0.48966196,0.35708115,0.51350474,0.39261168,0.006456519,0.14185897,0.018739397,0.2753548,0.0,0.2281536,0.0,0.35844758,0.0,0.3609445,0.0,0.13619724,0.0,0.40066096,0.40117127,0.24144606,0.4406575,0.27189463,0.2805344,0.16491237,0.30798462,0.23837833,0.45400342,0.15024078,0.29702666,0.0,0.506515,0.078370266,0.24531627,0.33939648,0.34583265,0.5182978,0.3533894,0.19917777,0.40945834,0.32191426,0.24230014,0.3889478,0.41549763,0.37872377,0.14594588,0.33193433,0.20206138,0.0,0.19220984,0.31163993,0.2631034,0.0,0.44656432,0.0,0.3528796,0.4820004,0.024314566,0.26657963,0.12653686
ahiddenlifefilm,0.060147732,0.094472915,0.12574834,0.0,0.10075011,0.10192784,0.11596157,0.15871786,0.0,0.12430566,0.18708129,0.13467951,0.08313478,0.1234615,0.24389954,0.0,0.13972592,0.21272214,0.13765144,0.09813762,0.06503928,0.06638524,0.017003378,0.0,0.12175735,0.09724241,0.12459035,0.1606089,0.1541328,0.14728993,0.18237673,0.0,0.099352516,0.05859349,0.2098386,0.056923047,0.17443277,0.15641923,0.14749849,0.14617552,0.0,0.16005124,0.108306214,0.06194611,0.0,0.0,0.06528791,0.036066514,0.06444828,0.18620709,0.09621506,0.05263806,0.08981304,0.18496549,0.11072932,0.099387236,0.0,0.15447356,0.02843622,0.12732661,0.0,0.12452345,0.0,0.16167356,0.12790301,0.0104166735,0.1801456,0.13986914,0.103208855,0.095677435,0.0,0.0,0.14850046,0.13349673,0.13747576,0.08244473,0.15230614,0.09950936,0.15750441,0.086947575,0.0832483,0.13052611,0.0023252121,0.0,0.2176686,0.0,0.094880685,0.12787239,0.08068101,0.08828223,0.0,0.15958053,0.0,0.14394547,0.06469737,0.13179572,0.0,0.061199684,0.13626517,0.20728613,0.17922564,0.16062814,0.08923173,0.11599896,0.11463504,0.17013171,0.103366956,0.0,0.13576734,0.057871096,0.08959362,0.13329616,0.13556252,0.10926269,0.030372668,0.19128914,0.13235,0.109991126,0.102309644,0.0,0.15361819,0.1833531,0.15954039,0.17375411,0.15798876,0.022866437,0.09111619,0.04513392,0.1533901,0.017708514,0.10444772,0.0,0.11199856,0.0,0.18620487,0.0,0.0713245,0.0,0.16684143,0.17108315,0.12119587,0.1905209,0.1187161,0.14784202,0.12925676,0.10484278,0.12945628,0.17460848,0.1022322,0.17153898,0.0,0.18377714,0.034860715,0.14372426,0.09783807,0.1581337,0.16783002,0.15810317,0.077442564,0.15609856,0.13853768,0.041449513,0.16560431,0.17375198,0.15237084,0.09259929,0.12532403,0.090887345,0.0,0.0865732,0.10881334,0.12888551,0.0,0.18341187,0.0,0.16692846,0.1759157,0.0,0.11055563,0.076320544
alitamovie,0.08824054,0.14207463,0.43854135,0.0,0.2501177,0.47473043,0.61186516,0.5334758,0.0,0.67959625,0.4824047,0.30701298,0.38382217,0.33577585,0.72033876,0.0,0.4123825,0.5351425,0.5997622,0.23803079,0.27507392,0.4485038,0.0,0.0,0.6495028,0.42624038,0.5200225,0.51445895,0.47166258,0.4798836,0.39712408,0.0,0.17081647,0.25433096,0.7327217,0.24595281,0.29579514,0.39845306,0.48911563,0.47768006,0.0,0.67514634,0.5761625,0.20820764,0.0,0.0,0.119277045,0.16502675,0.12778592,0.78079367,0.36954615,0.042058535,0.290742,0.69413364,0.2600428,0.34037906,0.046603017,0.47412586,0.1002263,0.25097623,0.035608087,0.5095449,0.0,0.4881128,0.39030892,0.035778828,0.52457523,0.6109855,0.42663404,0.033210933,0.0,0.0,0.61432254,0.21491629,0.6519463,0.10665539,0.41975403,0.3045302,0.4951343,0.35244438,0.2862841,0.49782407,0.0051180883,0.0,0.78173363,0.0,0.20509604,0.2972556,0.5228458,0.27326494,0.0,0.47848684,0.0,0.39960632,0.3916368,0.35402504,0.0,0.327472,0.1543008,0.6829197,0.7208022,0.5199402,0.26354304,0.22278205,0.59012175,0.5989592,0.26248953,0.056781366,0.41967666,0.39302126,0.46060413,0.2787748,0.17862415,0.5721372,0.0,0.5106097,0.35490555,0.06993032,0.052031823,0.0,0.57541955,0.6186694,0.33752385,0.55095744,0.568527,0.054643217,0.20678003,0.06710189,0.46959087,0.29904747,0.4713292,0.0,0.22849938,0.0,0.5192583,0.0,0.09354673,0.0,0.55580217,0.37281916,0.45879197,0.6579581,0.15618335,0.46739483,0.2827633,0.24792835,0.42434466,0.6973479,0.26855272,0.33180255,0.0,0.7609844,0.22111073,0.47615883,0.48081776,0.45798743,0.6392281,0.67983973,0.3265359,0.51940346,0.29590833,0.0,0.5913187,0.66676456,0.79973215,0.26931217,0.35249856,0.49480203,0.0,0.36100283,0.3452274,0.47660765,0.0,0.3312449,0.0,0.5890117,0.4226694,0.0,0.32114395,0.24044499
