movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
21bridgesmovie,0.7387589,1.0246406,0.9978147,0.4284739,0.0,0.64165723,0.5293064,0.67362714,0.5559777,0.69172925,0.83719444,0.9893408,0.0,0.3366068,0.43894106,0.7802494,0.4566802,1.1328549,0.33358836,0.4904132,0.0,0.09930173,0.9501816,0.0,0.78657407,0.41767603,0.6519873,0.7429282,0.4850728,0.2859495
47metersdown,1.1980419,1.3981919,1.2197378,0.45544556,0.0,0.99716896,0.81025064,0.68884,0.30773786,0.78775764,1.0556298,1.1952349,0.0,0.18166947,0.79364836,0.86250633,0.7684841,1.6040738,0.55094236,0.60422736,0.0,0.0,0.9894263,0.0,1.3979846,0.91797966,0.83282185,0.89175665,0.44707632,0.3826855
abeautifuldaymovie,0.7064079,1.0162004,0.9187321,0.33530533,0.0,0.7776394,0.40778616,0.45816287,0.37603,0.6048307,0.8012005,1.0475188,0.0,0.6123469,0.5792097,0.6036102,0.6099005,0.7918519,0.51606196,0.48876888,0.0,0.15564837,0.77788496,0.0,0.7128212,0.61829495,0.48678443,0.6856525,0.64823544,0.28775707
abominablemovie,1.4692897,1.6792799,1.1819911,0.77427024,0.0,1.1602963,0.4121181,0.9865036,0.51111734,0.6874478,1.0658083,1.0361071,0.0,0.7330839,0.5325189,0.78945076,0.59060013,1.5470747,0.6262041,0.5498684,0.0,0.0,0.9523376,0.0,1.1679312,0.73041433,0.3963092,0.70678735,0.5116836,0.44636878
adastramovie,0.76876646,0.8761903,0.7634205,0.24708287,0.0,0.7217214,0.36879835,0.57629013,0.19498053,0.41633943,0.9485055,0.66627705,0.0,0.4014902,0.43336928,0.3357159,0.4883979,0.72211486,0.27329206,0.3691041,0.0,0.06754111,0.49644482,0.0,0.513837,0.46559364,0.2783532,0.5823883,0.49793923,0.28498897
adogsjourneymovie,1.7576596,2.3452861,1.5910339,0.6544936,0.0,1.1190614,0.9930953,1.6188065,1.0892062,1.1990699,1.2885785,1.9646488,0.0,0.2879279,0.9065019,0.7469745,1.0812371,2.1265414,0.9248638,0.48699325,0.0,0.32927856,1.3393474,0.0,0.9531336,0.9998569,0.6802112,0.98412764,0.5344817,0.5383587
aftermathmovie,0.60609484,0.85998154,0.5611455,0.29939592,0.0,0.49408132,0.31032383,0.27594063,0.3948684,0.43537527,0.5783817,0.6590445,0.0,0.31867728,0.46041286,0.43125713,0.3424337,0.6901314,0.3000599,0.37210926,0.0,0.0,0.616186,0.0,0.47705558,0.40175715,0.32726306,0.44506094,0.38870043,0.26298654
aftermovie,0.779251,0.9661781,0.8499503,0.26793775,0.0,0.6847468,0.4081911,0.6790746,0.40365657,0.56763047,0.7772659,0.86397326,0.0,0.39320722,0.6917871,0.47480807,0.63532716,0.8341013,0.39825177,0.6103795,0.0,0.0,0.7345879,0.0,0.6429617,0.49596277,0.5907556,0.47671816,0.5577527,0.13927881
ahiddenlifefilm,0.37355018,0.5202956,0.43828675,0.17161979,0.0,0.3225147,0.23030055,0.28128806,0.2164326,0.3142231,0.3766944,0.4477441,0.0,0.20128062,0.2741809,0.31801206,0.2465843,0.45058468,0.19366811,0.18406321,0.0,0.038168,0.3547373,0.0,0.31456375,0.2568374,0.25253317,0.29880914,0.2225284,0.14661767
alitamovie,0.81804186,1.614155,0.8097176,0.47730637,0.0,0.8950134,0.6827985,0.47838113,0.60034513,0.75715023,1.0242412,1.1136605,0.0,0.408316,0.5325731,0.3867696,0.8283067,1.0744827,0.5452813,0.39210105,0.0,0.20165516,0.7069987,0.0,0.8765616,0.4530821,0.33027354,0.64376074,0.77613646,0.64252734
angelhasfallen,0.69586766,1.3245885,0.98791134,0.31753668,0.0,1.1482463,0.5470454,0.6226996,0.4958544,0.9833226,1.143934,1.1605998,0.0,0.53676116,0.3791803,0.61012393,0.4707253,1.1433064,0.36710238,0.56539196,0.0,0.07530912,0.99637747,0.0,0.8197865,0.41188,0.5849195,0.95059216,0.7763298,0.32619432
angrybirdsmovie,1.6000099,2.334355,2.131587,0.36956254,0.0,1.4742819,0.89753014,1.3968763,0.62186587,1.0966156,1.8682586,2.035467,0.0,1.1548249,0.630002,1.3174338,0.59118235,1.6621443,0.90228474,0.8159,0.0,0.12008486,1.3874974,0.0,0.94023293,1.0385096,1.0454946,1.0310446,0.82207626,0.266728
annabellemovie,1.4158363,1.9919331,1.5604534,0.60723245,0.0,1.4233011,0.6331892,1.1742891,0.9142573,1.3026717,1.1873964,1.4343752,0.0,0.7664398,0.63675714,1.1382918,1.0337995,1.5599074,0.83601975,0.8067754,0.0,0.07286947,1.4230973,0.0,1.0187232,0.8431673,1.0002393,1.0557264,0.8327881,0.5483928
annamovie,0.65549564,1.0992575,1.0941737,0.31177795,0.0,0.8066452,0.43835792,0.60646653,0.41645914,0.866232,0.704949,0.9298085,0.0,0.23929742,0.7158972,0.52011395,0.48355186,1.0142059,0.43696415,0.46220174,0.0,0.20577832,0.81437784,0.0,0.635053,0.5047481,0.60047674,0.7969465,0.43769753,0.46312225
apollo11movie,0.3921948,0.56542015,0.5273362,0.14876863,0.0,0.46208823,0.3331669,0.3946338,0.38234892,0.46034315,0.5162662,0.6777941,0.0,0.3735979,0.35925025,0.2516675,0.25539532,0.5966265,0.2720673,0.09017926,0.0,0.15907806,0.5024856,0.0,0.4280717,0.14839712,0.30928913,0.26576155,0.25774556,0.24766885
arcticdogsmovie,0.8308575,1.1220443,0.99140453,0.3782146,0.0,0.9406306,0.49656627,0.56524074,0.37585428,0.6963162,0.9145577,0.87756926,0.0,0.3834875,0.6564458,0.46546206,0.44872046,1.0839012,0.4996528,0.47442493,0.0,0.17100406,0.8523282,0.0,0.7429313,0.57359326,0.4729674,0.67484653,0.62715715,0.3249667
arcticmovie,0.6382344,0.75676167,0.62623996,0.23926018,0.0,0.5574166,0.34537455,0.3851463,0.3386024,0.51883644,0.6696751,0.63408923,0.0,0.31132618,0.3047179,0.5585956,0.4265415,0.7929589,0.27790928,0.50060993,0.0,0.0,0.6037046,0.0,0.593108,0.43211678,0.49763373,0.44780764,0.35196275,0.11502234
artofracingmovie,1.0978203,1.3002906,1.0177912,0.37771153,0.0,0.9790287,0.4912629,0.6210414,0.5317511,0.40947592,1.0976822,0.873808,0.0,0.3643274,0.5583234,0.6830798,0.5071078,1.1782672,0.31686664,0.35136592,0.0,0.10813611,0.6211349,0.0,0.84981745,0.67013997,0.41046962,0.53345174,0.536253,0.462283
avengers,0.43256015,0.87214124,0.8119491,0.25689626,0.0,0.45409247,0.31086046,0.58406323,0.538128,0.42862728,0.5097467,0.6943426,0.0,0.39653572,0.2593354,0.4709422,0.41051388,0.70582414,0.38442123,0.3670227,0.0,0.0,0.63258356,0.0,0.41763437,0.1871342,0.40925226,0.54468155,0.37387824,0.10480522
beachbummovie,0.57374066,0.77373135,0.57784534,0.12836963,0.0,0.67891395,0.3195633,0.37859723,0.48939276,0.80614585,0.5414562,0.9193069,0.0,0.2792225,0.48042238,0.1846796,0.37696007,0.84736174,0.3803172,0.18358184,0.0,0.07480188,0.6235572,0.0,0.64268273,0.23135975,0.47535643,0.24038586,0.2155455,0.468816
bernadettefilm,0.7732018,1.3452785,1.1447856,0.4518825,0.0,0.8214619,0.5320803,0.5738202,0.4504944,0.59853333,1.1119983,1.1618139,0.0,0.81784654,0.45307392,0.8103166,0.2684248,0.8361728,0.3817833,0.5536559,0.0,0.0,0.82978255,0.0,0.6845791,0.52074,0.5112796,0.76269805,0.48082954,0.5425491
blackandbluemovie,1.2314259,1.8382485,1.991529,0.5164777,0.0,1.3467561,0.7508369,1.0327185,0.95242405,1.1751308,1.5027976,1.907809,0.0,1.0135359,1.0003978,1.4558513,1.432823,1.6774474,0.95580757,0.6978721,0.0,0.322744,1.6400211,0.0,1.1072057,0.6025865,1.0884559,1.4804428,1.1587873,0.54883045
blackchristmas,0.84814537,1.0410298,0.9729773,0.36625484,0.0,0.43754655,0.3776857,0.7888566,0.6078497,0.6207545,0.87548894,1.0606002,0.0,0.53039235,0.5588201,0.7225483,0.62516296,1.0726017,0.3119408,0.3000822,0.0,0.049465187,0.7476699,0.0,0.61713016,0.5036218,0.6292262,0.655774,0.34467638,0.07273348
blindedbythelightmovie,0.41476536,0.73227036,0.5695154,0.2820276,0.0,0.5327796,0.29117104,0.2861249,0.27590287,0.41426298,0.5607656,0.5710161,0.0,0.32363373,0.3759172,0.38447797,0.44543996,0.54750377,0.21481766,0.35869697,0.0,0.09686939,0.53221273,0.0,0.45354855,0.28993133,0.23817742,0.4737843,0.40101165,0.1702787
bombshellmovie,0.96772945,1.0811555,1.0764747,0.52360684,0.0,1.1320182,0.25304377,0.7841344,0.74567086,0.7083034,1.023889,1.0493208,0.0,0.38898745,0.34976816,0.68960506,0.5320514,0.90352535,0.20579506,0.36544535,0.0,0.15291636,1.0954832,0.0,0.60924375,0.6808597,0.44530648,0.50371987,0.4824549,0.26378262
booksmart,1.0285091,0.16357708,0.1967685,0.0,0.0,0.0,0.11079542,0.0,0.17365724,0.0,0.27426606,0.67727447,0.0,0.0,0.36700982,0.24920887,0.0,0.62786484,0.03174018,0.21034332,0.0,0.0,0.0,0.18480234,0.0,0.0,0.0,0.39823028,0.093445025,0.0
breakthroughmovie,1.3695024,2.2654812,2.1934254,0.41495407,0.0,1.4200879,1.0629545,0.88223386,0.92701423,0.74237055,1.8382866,2.0690386,0.0,0.65501165,1.2421467,1.1082313,1.2368003,2.152021,0.44067484,0.7086248,0.0,0.1252094,1.4265176,0.0,1.0965515,0.4409425,0.49653175,1.1314937,1.3689284,0.65146405
brianbanksmovie,1.1138344,1.5550841,1.0606384,0.40323627,0.0,1.0760283,0.51681364,0.38730022,0.52456176,0.8926103,1.1090996,1.0966614,0.0,0.5901375,0.6169919,0.9752217,0.5292396,1.4591187,0.42437857,0.76839226,0.0,0.0,1.117887,0.0,1.1490725,0.48895016,0.91425,0.84319854,0.6757455,0.28092614
brightburnmovie,0.818576,1.2712071,0.9769617,0.40234807,0.0,0.7909992,0.6501358,0.5329597,0.6042332,0.7796262,0.8114557,1.1416385,0.0,0.5344911,0.6585915,0.9731184,0.6677015,0.8469919,0.5370568,0.37684724,0.0,0.283794,0.9286822,0.0,0.84824944,0.49109486,0.6912005,0.9141652,0.6191608,0.22740844
brittanyrunsmov,0.528519,0.8034036,0.57086736,0.20734152,0.0,0.47031555,0.45950308,0.53064984,0.3120884,0.4830474,0.70538044,0.7314582,0.0,0.3591831,0.33507854,0.39206332,0.36944962,0.7199008,0.32508713,0.26712048,0.0,0.1493618,0.50734216,0.0,0.28387403,0.3386281,0.32525444,0.4841067,0.36067688,0.23893346
captainmarvelofficial,0.8314812,1.203289,0.92124027,0.43253446,0.0,0.74077094,0.30504906,0.52265835,0.67379767,0.63909703,0.9604819,0.86317515,0.0,0.52957827,0.5327889,0.65061814,0.46759218,0.76754457,0.63062894,0.21269555,0.0,0.0,0.54080814,0.0,0.6505125,0.3854346,0.36646,0.6576929,0.55897975,0.12881133
captivestatemovie,1.0607394,1.461915,1.2259576,0.5820697,0.0,0.6120212,0.54832095,0.8380133,0.41239628,0.82297915,1.0342491,1.181203,0.0,0.7692761,0.66216063,1.0432956,0.6659013,1.1098832,0.4358586,0.6272661,0.0,0.12991263,0.91421175,0.0,0.614574,0.83878005,0.8402934,0.77431107,0.66253316,0.435975
catsmovie,0.81415516,1.503673,1.5559595,0.60851204,0.0,0.8895845,0.7270067,0.7499249,0.7112986,1.123832,1.5210485,1.1735429,0.0,0.68790054,0.8532864,0.8979363,0.796015,1.1800787,0.35727525,0.77776957,0.0,0.29921213,1.3716683,0.0,0.7813305,0.82538605,0.70397365,1.3117647,0.50326264,0.44697165
charliesangels,1.4185919,2.4515119,2.2211678,0.7895173,0.0,1.0819695,1.1581534,0.9809086,0.8003702,0.7278556,1.3135774,1.989114,0.0,0.86538494,0.7428612,1.3667942,1.0329752,1.5321244,0.89378285,1.1040671,0.0,0.08928161,1.2108788,0.0,1.4463042,1.0167038,0.83116996,1.4372956,0.5083245,0.35857838
childsplaymovie,1.4828173,2.1550844,1.8436589,0.23674531,0.0,1.0076216,0.62742805,1.3681052,0.4467471,1.2046692,1.7579343,1.9013928,0.0,0.35510194,0.7373906,1.5014098,0.73105806,2.2583175,0.8814454,0.46103537,0.0,0.17010234,0.76135874,0.0,1.1349465,1.0239407,0.34901887,0.91881526,0.9739754,0.1671754
clarathefilm,1.3468413,1.8763368,1.5513608,0.27034038,0.0,0.022445899,0.874461,1.461713,0.46976367,0.06380387,0.67203456,1.7426685,0.0,0.9382392,0.16542599,0.89561826,0.1308161,1.9289355,0.81948894,0.23339318,0.0,0.0,0.3392298,0.0,0.7901399,0.39898595,0.57754135,0.724732,0.23799907,0.20520334
coldpursuitmovie,0.45810932,0.74318373,0.72298986,0.1358556,0.0,0.52510595,0.3308944,0.5186668,0.3139232,0.61917704,0.65887034,0.7371807,0.0,0.33897594,0.45400274,0.56561375,0.27763426,0.60837704,0.4520265,0.36614105,0.0,0.110027924,0.6335995,0.0,0.34485072,0.40317327,0.4315584,0.45347762,0.4033323,0.21877809
countdown,1.145141,1.6200073,1.713227,0.5772859,0.0,1.2946566,0.54086727,0.83199036,0.9876096,0.9088335,1.163513,1.6651329,0.0,0.75282145,0.689747,1.264596,0.61967933,1.7567335,0.36142272,0.70216364,0.0,0.0,1.2412586,0.0,1.0605931,0.8233588,0.9179591,0.93076104,0.56964177,0.5003067
currentwarmovie,1.02838,1.3591609,0.9969205,0.3251475,0.0,0.74620616,0.64582604,0.53343236,0.7607571,0.83696336,1.0167234,1.1386179,0.0,0.42233613,0.72703123,0.71813804,0.8011739,1.51585,0.64438874,0.56986326,0.0,0.18749982,0.9690249,0.0,1.0122498,0.6243867,0.6235002,0.84874237,0.39333856,0.3995826
darkwatersmovie,1.3427461,1.5131706,1.2781489,0.72639155,0.0,0.8953047,0.5762465,1.0558323,0.35341033,1.2015157,1.2279282,1.1488241,0.0,0.7238463,0.5027314,0.90145254,0.91105855,1.2782081,0.34528428,0.524104,0.0,0.22337134,0.9863259,0.0,0.87640375,0.67626655,0.7014102,0.80001074,0.72602874,0.40311137
detectivepikachumovie,0.9216571,1.3005962,1.0178266,0.53806686,0.0,1.174206,0.58807075,1.0880972,0.7933129,0.8469637,0.9661962,1.4786371,0.0,0.7601951,0.85832196,0.60859483,0.82737327,1.2533463,0.75455135,0.4021691,0.0,0.23569262,0.84060585,0.0,0.82574743,0.7284725,0.67945635,0.51960707,0.6209473,0.49255803
disneyaladdin,1.1687423,1.6005455,1.3483598,0.49073568,0.0,0.9848611,0.6319664,0.9667455,0.72063553,1.0072031,1.0453293,1.3999975,0.0,0.60878587,0.88634014,1.2101347,0.80359316,1.4052278,0.5916497,0.6602619,0.0,0.5797527,1.0515778,0.0,0.75788516,0.6636437,0.8161979,0.9192513,0.795287,0.40143737
disneyfrozen,1.5106827,2.0652087,1.4067261,0.37289187,0.0,0.7840873,0.8614842,1.0132518,0.96256065,1.1581995,1.460174,1.3836178,0.0,0.33582503,0.889919,1.1881185,1.1308815,1.5301205,0.6230773,0.63944703,0.0,0.34960797,0.834628,0.0,0.87101704,0.4248682,0.5100061,0.75483817,0.7420374,0.33900866
disneymaleficent,0.9543351,1.43945,1.1445911,0.420224,0.0,0.7954788,0.47895852,0.8237955,0.6230082,0.8113132,0.87580514,1.0684448,0.0,0.55862737,0.75440806,1.0133418,0.5893683,1.0922796,0.48520064,0.57454306,0.0,0.4697052,0.7091832,0.0,0.60230505,0.49627984,0.543875,0.7338,0.5419319,0.43192843
doctorsleepmovie,0.8308847,1.0541669,1.0269883,0.3510317,0.0,0.6803609,0.5417654,0.5521655,0.29856217,0.88303906,0.7700709,0.9425726,0.0,0.29584786,0.5712443,0.7611102,0.4783855,1.0921402,0.36633915,0.50373816,0.0,0.23128489,0.6928567,0.0,0.7474097,0.5649757,0.6865745,0.8342368,0.38434672,0.23866783
dolemiteismyname,1.179002,1.5497782,1.3717866,0.43827057,0.0,0.85559905,0.69765854,0.84634835,0.7944052,0.5787241,1.2337689,1.4250495,0.0,1.1613966,1.0962237,1.130768,0.704745,1.0122803,0.75631046,0.727036,0.0,0.10046645,0.83034724,0.0,0.721412,1.1650746,0.9295,0.8435662,0.4811514,0.43351158
dontletgomovie,1.0926944,1.241519,1.3258374,0.50703907,0.0,0.52268976,0.4860678,1.0708021,0.7953557,0.8083921,0.99348426,1.4262737,0.0,0.5679579,0.67698985,0.8470914,0.81494784,1.3023354,0.40634102,0.2626236,0.0,0.13915323,0.884009,0.0,0.6749756,0.5836325,0.7825568,0.79872215,0.46240675,0.13722736
doramovie,0.8880602,1.1500602,0.8864816,0.33152765,0.0,0.67373,0.29998338,0.60699654,0.37529418,0.677898,0.9003123,0.9492408,0.0,0.5250205,0.37510443,0.6514786,0.3823474,0.96625245,0.45955282,0.35379085,0.0,0.0,0.8216336,0.0,0.6454715,0.4449082,0.32493374,0.5134966,0.43897605,0.14929447
downtonabbey_official,1.5729724,2.3688455,1.7349937,0.88418645,0.0,0.9497577,0.5972337,1.0483882,0.797502,1.316539,1.4574258,1.7377735,0.0,0.7023618,0.77131903,1.1076274,0.678847,2.163578,0.52018625,0.2625698,0.0,0.103350036,1.0995321,0.0,1.0353132,0.77974534,0.6921784,1.1329453,0.5678394,0.7413491
dumbo,0.8378068,1.1687131,0.96697843,0.35948536,0.0,0.6743356,0.43603256,0.61620396,0.5334695,0.63428116,0.80297184,0.92292726,0.0,0.4417263,0.6298253,0.8323872,0.52078235,0.9335096,0.37596422,0.47564042,0.0,0.43376285,0.6695844,0.0,0.51993704,0.41785637,0.46661362,0.65084,0.51273286,0.36310318
escaperoom,0.8942167,1.3488541,1.2280922,0.3259517,0.0,0.92470765,0.68960375,0.6496037,0.60948724,0.87409216,1.0604926,1.2752669,0.0,0.58437026,0.75337946,0.9836106,0.80502284,1.0358038,0.6442812,0.49006382,0.0,0.17044018,1.0358665,0.0,0.8201862,0.82718444,0.83720195,0.9341754,0.821926,0.3854036
everybodyknowsmovie,0.6535812,0.8811207,0.7755485,0.37709308,0.0,0.49701723,0.34609798,0.4288256,0.2881077,0.63918906,0.6904559,0.681294,0.0,0.27840197,0.51172745,0.45972922,0.38578874,0.7604321,0.16896266,0.22032157,0.0,0.065363,0.5615983,0.0,0.5205462,0.34326735,0.3958914,0.3912444,0.3193786,0.24161287
fastandfuriousmovie,1.0748876,1.6942768,1.9485652,0.7370993,0.0,1.1530843,0.43927944,1.3243538,1.2966269,1.268285,1.5568407,1.813208,0.0,0.71148825,0.9137793,1.0812724,1.3260393,1.0938705,0.38750082,0.711987,0.0,0.13850476,1.6337183,0.0,0.9614923,0.81287694,0.49524787,1.146837,1.2905853,0.5182715
fightingwmyfam,0.93313706,1.7747092,1.3563178,0.116006605,0.0,1.0494609,0.80896574,1.0230122,0.65571856,1.072633,0.97216856,1.3849071,0.0,0.2931884,0.68830425,0.94285077,0.8904854,1.5425843,0.5490084,0.43428588,0.0,0.11944257,1.0108016,0.0,0.92990386,0.479912,0.45279917,0.8303874,0.6970051,0.55498123
fivefeetapartfilm,1.4015774,1.5137563,1.6380582,0.59929365,0.0,1.4595834,0.9971712,1.2301778,1.2209185,0.8194111,1.4510489,1.8710228,0.0,0.8623578,1.332793,0.7966323,1.0932043,1.8029038,0.993995,1.1886159,0.0,0.047141932,1.295621,0.0,0.98938316,0.98288155,1.2481387,1.101287,0.7934978,0.5359946
fordvferrari,0.70165664,0.82350034,0.7081264,0.364555,0.0,0.42746845,0.36150354,0.42821845,0.2872838,0.24431103,0.6757447,0.6488894,0.0,0.40680197,0.24871562,0.43487948,0.4711686,0.6804202,0.32986253,0.16868187,0.0,0.012265095,0.36311263,0.0,0.45062995,0.30515203,0.34864822,0.55322325,0.2712186,0.2542764
freaksthefilm,0.9037721,1.0737128,1.0252523,0.5068117,0.0,0.7765572,0.5236254,0.70196605,0.2637071,0.728862,0.7669407,1.0473415,0.0,0.35836187,0.5211114,0.7178377,0.49983728,0.9282015,0.47612387,0.49035388,0.0,0.090526454,0.7187661,0.0,0.5811147,0.5704948,0.76930964,0.68628806,0.5085772,0.25516114
geminimanmovie,1.0433842,1.3415155,0.9483282,0.16354853,0.0,0.89608645,0.56609136,0.6864213,0.6068301,1.1310961,0.770319,1.3354306,0.0,0.54342157,1.0216758,0.91568977,0.8322647,1.1721162,0.5386662,0.39563048,0.0,0.16014723,1.0947331,0.0,1.0143312,0.6502542,0.6675788,0.8701519,0.745823,0.39550826
glassmovie,1.0168726,1.3139358,0.898442,0.4551013,0.0,0.7582345,0.60012454,0.5564305,0.43340546,0.70240706,1.0515295,1.0608014,0.0,0.75144315,0.7114124,0.7582534,0.54615325,1.0440236,0.41834366,0.11946969,0.0,0.041076206,0.67111385,0.0,0.81484693,0.5891508,0.34403977,0.5045779,0.5491177,0.55996037
