movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_187,feature_188,feature_189
21bridgesmovie,0.029894477,0.40894833,0.5585476,0.2582394,0.064280435,0.0,0.0026741708,0.0,0.19381638,0.0,0.0,0.3495928,0.22147478,0.4396707,0.350339,0.17541653,0.0,0.22964846,0.0,0.24325599,0.40206212,0.12992042,0.0,0.20445703,0.4011847,0.44872355,0.4877969,0.46093267,0.42791492,0.2639123,0.0,0.0,0.38798788,0.1622042,0.0,0.0,0.25101256,0.012502264,0.5131781,0.4677854,0.2929485,0.36358184,0.25295296,0.2711385,0.31162006,0.5195807,0.30446392,0.0,0.3525041,0.3384773,0.21680385,0.38959694,0.6313232,0.27705884,0.3948907,0.35078403,0.0,0.27564526,0.1091346,0.6344981,0.32340097,0.0,0.31479624,0.0,0.24782112,0.021403626,0.1541071,0.27905035,0.35069346,0.32827553,0.0,0.43643832,0.43364596,0.41036248,0.2831293,0.30061582,0.0,0.0,0.52815354,0.0,0.50477046,0.53564495,0.45762074,0.22702086,0.0,0.29960203,0.34754628,0.60397583,0.22164543,0.39456898,0.046920393,0.15431485,0.06292613,0.1766512,0.27599588,0.0,0.0,0.26642567,0.38071996,0.4172917,0.30234364,0.38861635,0.4824171,0.30415893,0.29497528,0.30309373,0.58077276,0.55587506,0.3612516,0.24076702,0.6982749,0.0,0.44124633,0.25449204,0.51311725,0.4227374,0.4553456,0.44492957,0.21082816,0.14741227,0.29529905,0.27677453,0.3085637,0.0,0.42518142,0.46183822,0.0,0.54558706,0.43269566,0.0,0.32542923,0.5513691,0.11380438,0.49934566,0.34350902,0.0,0.45886758,0.26797262,0.36865684,0.3150365,0.16080952,0.26711628,0.44172812,0.1592031,0.5728094,0.29142743,0.0,0.6227129,0.13564923,0.29727978,0.0,0.17825234,0.2777137,0.54038113,0.4130789,0.37764415,0.4454756,0.51654106,0.0,0.06929237,0.3763277,0.13753898,0.36572683,0.281438,0.0,0.23452958,0.45751223,0.0,0.28523067,0.41196337,0.15487458,0.16690484,0.0,0.09247306,0.21198277,0.0,0.20879622,0.46976787,0.31390524,0.6372219,0.0146992495,0.30342022,0.41378033,0.35690236,0.3318892,0.25737235,0.12866554,0.19433983,0.1822035,0.36651492
47metersdown,0.116301015,0.5668918,0.32035425,0.6210396,0.13221665,0.0,0.15148161,0.0,0.22881867,0.0,0.0,0.47087002,0.3522016,0.4789497,0.39753962,0.20979804,0.0,0.14306742,0.0,0.36186326,0.37042716,0.0,0.0,0.07559846,0.6076043,0.6073995,0.7238179,0.5805664,0.42257696,0.2808053,0.0,0.028583582,0.5408926,0.18426512,0.0,0.1563093,0.16560811,0.0,0.8375993,0.34622794,0.21904267,0.48767048,0.7325884,0.33147156,0.5598865,0.46455795,0.3680667,0.0,0.5613259,0.3046783,0.3244897,0.47137052,0.6250661,0.3252979,0.4672633,0.48308113,0.0,0.43291155,0.41049293,0.7256434,0.37730247,0.0,0.37555444,0.106982455,0.5429754,0.10195658,0.07107512,0.34751946,0.2765226,0.48171157,0.0,0.4484905,0.39715737,0.47511995,0.20794335,0.24010882,0.0,0.0,0.1518403,0.0,0.2616275,0.68161494,0.61875093,0.4435465,0.0,0.24881049,0.49065667,0.58292836,0.51903284,0.5107688,0.14328949,0.13850413,0.2785153,0.07143982,0.44017467,0.0,0.0,0.3358273,0.5378647,0.40386432,0.46855268,0.38376692,0.68305755,0.360214,0.39812407,0.30603823,0.6083034,0.548016,0.5151659,0.1545332,0.43798858,0.0,0.5993817,0.15893556,0.31341922,0.33069512,0.42727542,0.3334096,0.35288176,0.276083,0.36703518,0.0,0.3472299,0.0,0.2932671,0.4496192,0.0,0.7051738,0.3714009,0.0,0.3022247,0.74610126,0.15067267,0.54655564,0.25701463,0.040954594,0.49623877,0.27667695,0.32181782,0.4964197,0.21900968,0.5320186,0.46540284,0.22234017,0.64194036,0.09357487,0.0,0.62490666,0.19782212,0.39535478,0.0,0.204831,0.24420214,0.6064502,0.38696927,0.5700074,0.37484878,0.7723005,0.0,0.1812677,0.33779663,0.0,0.32314032,0.3500015,0.0,0.3916708,0.621882,0.0,0.33282605,0.28278238,0.31034204,0.11385271,0.0,0.25244525,0.0,0.0,0.02788158,0.34358466,0.3666178,0.62832046,0.0,0.41672316,0.47945517,0.5765163,0.36780298,0.42402548,0.0,0.20328829,0.33802322,0.21909155
abeautifuldaymovie,0.0,0.43691155,0.3205847,0.33728865,0.1496071,0.0,0.023191474,0.0,0.27077767,0.0,0.0,0.3010917,0.276179,0.44810173,0.33918008,0.114525154,0.0,0.12990731,0.0,0.19888656,0.19345428,0.11207178,0.08543051,0.17815535,0.37871,0.5217919,0.4408833,0.33489358,0.49320066,0.1993159,0.0,0.041446935,0.30652344,0.039536614,0.0,0.04283849,0.3139455,0.0,0.5571799,0.3011789,0.21269704,0.35015693,0.3067333,0.24099645,0.30057794,0.39835346,0.1646522,0.0,0.36315924,0.26377064,0.09908538,0.4735825,0.45252588,0.21183313,0.24862435,0.34946647,0.0,0.23422612,0.10549718,0.47881418,0.2853809,0.0,0.37529138,0.1270891,0.352198,0.022141669,0.12623538,0.29106337,0.1987597,0.310067,0.0,0.42318338,0.28339696,0.31586295,0.24687594,0.27440667,0.0,0.0,0.2586097,0.0,0.35872388,0.4820456,0.33046377,0.22071533,0.0,0.18275402,0.3760274,0.3449139,0.1325594,0.1484595,0.075412214,0.12586237,0.12893315,0.20480554,0.3087157,0.0,0.0,0.27905172,0.33668685,0.38653573,0.31191334,0.43528485,0.46954286,0.33289164,0.1771209,0.2573688,0.4791202,0.49698654,0.45166564,0.09878597,0.3721228,0.0,0.3546195,0.28597957,0.27309227,0.3373703,0.26358154,0.32320818,0.10317205,0.14277898,0.17709067,0.21634123,0.27157894,0.0,0.34209135,0.4877668,0.0,0.3197536,0.4713389,0.0,0.22796015,0.5171393,0.15222567,0.36764193,0.06926754,0.0,0.26820555,0.1536388,0.16060655,0.27717474,0.14676806,0.29218352,0.40690058,0.12713675,0.3894541,0.22142065,0.0,0.4595196,0.20396471,0.20605129,0.0,0.21658881,0.11168063,0.43476272,0.26391175,0.26352674,0.3725139,0.36029652,0.0,0.014001356,0.27223274,0.0,0.29327008,0.26150697,0.0,0.21736191,0.42607388,0.0,0.1978963,0.18116078,0.1525106,0.15811092,0.0,0.061823167,0.33382252,0.0,0.13015878,0.39666295,0.17629363,0.514899,0.23750792,0.2598128,0.4148246,0.4806623,0.47691816,0.21453194,0.04214092,0.32296094,0.0039199386,0.251969
abominablemovie,0.01571209,0.6428951,0.5405636,0.6205833,0.067036755,0.0,0.040754437,0.0,0.14603238,0.0,0.0,0.5156387,0.25050175,0.85720015,0.49477684,0.22465074,0.0,0.3575002,0.0,0.30668432,0.27023503,0.13827336,0.18009436,0.19951446,0.5325974,0.60435516,1.0299019,0.6682979,0.7443108,0.4358737,0.0,0.0,0.52162814,0.0,0.0,0.26690295,0.38450676,0.0011666678,0.9078782,0.41015154,0.33376625,0.51651144,0.5699354,0.37342933,0.62126553,0.53887606,0.40335542,0.0,0.5597532,0.41465923,0.27621216,0.5577672,0.7172299,0.63640225,0.59088415,0.56842047,0.0,0.5734432,0.20139872,0.65419406,0.5656877,0.0,0.56697667,0.13624723,0.34599382,0.0564778,0.32757595,0.49503765,0.5901278,0.5144615,0.0,0.68293244,0.5084305,0.6952529,0.14823693,0.36347702,0.0,0.0,0.32432356,0.0,0.32102984,0.6657712,0.47728246,0.26627368,0.023228465,0.2279589,0.3627502,0.5183775,0.29860327,0.41494602,0.052915286,0.21971647,0.12370674,0.04991367,0.72783226,0.0,0.0,0.35815907,0.4001826,0.5347407,0.47086236,0.6872358,0.7185153,0.48625603,0.43983287,0.19692759,0.827319,0.86918414,0.57454234,0.2645737,0.7200727,0.0,0.72304505,0.32152852,0.4540146,0.29741988,0.6651415,0.59329224,0.3607003,0.03796777,0.42625684,0.24492571,0.45674163,0.0,0.32160804,0.39242575,0.0,0.494947,0.42073396,0.0,0.3100658,0.7270833,0.1383369,0.46248364,0.17409968,0.0,0.48454297,0.2967823,0.23212107,0.29930627,0.58356667,0.5549951,0.7031115,0.35466424,0.6502284,0.44668242,0.0,0.6697351,0.37641948,0.29558322,0.0,0.4837472,0.041994046,0.8912624,0.29033166,0.6212954,0.76213205,0.60534346,0.0,0.0045288485,0.5426018,0.0,0.3819785,0.5030094,0.0,0.5557589,0.78349686,0.0,0.51602626,0.49121377,0.3742404,0.21005602,0.0,0.39239797,0.15754835,0.0,0.25430208,0.47215253,0.45273823,0.78487283,0.0,0.38472342,0.5110039,0.5906114,0.6836606,0.31382102,0.06619406,0.31156766,0.06504909,0.40408286
adastramovie,0.0,0.2635611,0.30874506,0.22577354,0.1978356,0.0,0.0,0.0,0.16545992,0.0,0.0,0.27712178,0.069107644,0.35374632,0.35285488,0.12999173,0.0,0.06872643,0.0,0.2157943,0.2882463,0.05974214,0.01094671,0.113193944,0.42326555,0.27775326,0.5537228,0.3247192,0.35034102,0.1382388,0.0,0.0,0.3735318,0.081647016,0.0,0.0,0.15135205,0.0,0.4392023,0.16930948,0.17793353,0.1640183,0.35355672,0.42820352,0.42282525,0.46055204,0.22827591,0.0,0.3063258,0.24371639,0.23660979,0.3992356,0.47553506,0.29093796,0.29595396,0.27591205,0.0,0.28744364,0.12533607,0.37032586,0.2959684,0.0,0.30655175,0.1225763,0.24581018,0.05880878,0.1976789,0.2830178,0.3032401,0.28282863,0.0,0.32066625,0.3197869,0.3042282,0.085429594,0.18408823,0.0,0.0,0.20957987,0.0,0.35358322,0.45527732,0.37200868,0.18931496,0.046658497,0.10842772,0.29145893,0.3492444,0.17584062,0.3621723,0.14519465,0.077216655,0.23300636,0.12798193,0.2959643,0.0,0.0,0.18048523,0.42845076,0.27242252,0.21872172,0.34479713,0.409312,0.21656436,0.2213013,0.20298965,0.480242,0.354183,0.5110939,0.13582927,0.3711558,0.0,0.34393114,0.14183791,0.32089785,0.28192458,0.30699435,0.34989485,0.29568872,0.32066134,0.31469575,0.23293519,0.31422597,0.0,0.32540324,0.28097305,0.0,0.36933535,0.20514381,0.0,0.22337471,0.46363705,0.113607205,0.5161112,0.11685915,0.0,0.36948916,0.2116805,0.29656008,0.2849709,0.16896296,0.37528798,0.51350415,0.1935917,0.35634035,0.08419655,0.0,0.4473863,0.2539074,0.2808777,0.0,0.23465294,0.12796208,0.49343514,0.28336155,0.1630515,0.31492645,0.46524802,0.0,0.0,0.23399933,0.06664252,0.32795048,0.36551756,0.033396512,0.2322483,0.4496114,0.0,0.2763702,0.24174462,0.08238778,0.22961047,0.0,0.17340562,0.04984361,0.0,0.08060489,0.27409285,0.2198408,0.4282676,0.00820003,0.15891598,0.36929116,0.37445813,0.25883356,0.28486204,0.15027599,0.20476492,0.1373551,0.31413904
adogsjourneymovie,0.0654692,1.0228652,1.125649,0.51516926,0.17789878,0.0,0.028989293,0.0,0.2365516,0.0,0.0,0.67334986,0.34249297,0.7415172,0.69295573,0.22979377,0.0,0.2894216,0.0,0.422178,0.40796804,0.06949215,0.13016456,0.31594297,0.929189,0.84603035,1.3219173,1.0051839,0.9311283,0.3751117,0.0,0.0,0.73219055,0.43717816,0.0,0.0,0.72436076,0.23264699,0.8167768,0.5314986,0.29487967,0.73437434,0.7012401,0.8071274,0.63336754,0.8730175,0.32696888,0.0,0.88945484,0.9277724,0.5984288,0.7268858,1.0023558,0.9910174,0.8480672,0.83292377,0.0,0.8051015,0.25782594,1.063008,0.5359507,0.0,0.9709792,0.3025278,0.7144371,0.39339978,0.24632835,0.8612509,1.0700836,0.96545076,0.0,0.6284261,0.733762,0.8802943,0.20617722,0.6842927,0.0,0.0,0.48011073,0.0,0.61819917,1.0270736,0.65446633,0.6590262,0.0,0.79397255,0.7320933,0.8272312,0.29133892,0.6010998,0.103773735,0.47603533,0.547664,0.1361608,0.755241,0.0,0.0,0.632905,0.8607673,0.14919762,0.42410704,0.8110723,1.0897015,0.77760893,0.6606548,0.50404286,1.4433327,1.4183685,1.1401737,0.50788736,0.959063,0.0,0.8424923,0.7386173,1.1116939,0.58855164,1.0197216,0.6880566,0.45349568,0.36402756,0.40678254,0.44065708,0.5906212,0.0,0.7657921,0.83559495,0.0,1.0088924,0.8340368,0.0,0.29344758,1.2040313,0.46845227,1.0260592,0.5162098,0.0,0.61935437,0.37814838,0.522136,0.631921,0.5503967,0.5229406,1.2094394,0.72342736,0.8564454,0.53686935,0.0,1.014838,0.670105,0.8360951,0.0,0.6140775,0.36093813,1.1077266,0.70427066,0.7464782,0.8450322,1.0969784,0.0,0.0,0.8094624,0.22175637,0.79188466,0.41876096,0.0,0.2447358,1.0057266,0.0,0.300151,0.40653476,0.34286007,0.097703904,0.0,0.33636847,0.5465913,0.0,0.3268533,0.6968183,0.5633252,1.2439309,0.0,0.5600821,1.1249586,0.9519698,0.65466225,0.5783963,0.15312098,0.9188405,0.14701237,0.7417803
aftermathmovie,0.0,0.26906985,0.29199114,0.26992768,0.07384221,0.0,0.0,0.0,0.15396036,0.0,0.0,0.20160279,0.09252703,0.2984787,0.20317692,0.036021158,0.0,0.13612671,0.0,0.13526806,0.20282164,0.019881416,0.0012936089,0.012853942,0.34653094,0.32217562,0.30087972,0.28730214,0.31069374,0.08658739,0.0,0.0,0.25896317,0.093401365,0.0,0.028068755,0.23623672,0.024133239,0.31393424,0.1428676,0.18051979,0.30628425,0.23178357,0.21621035,0.2839269,0.38806945,0.12100066,0.0,0.3487668,0.17449686,0.2292426,0.23825753,0.2991329,0.23214874,0.18677217,0.19330473,0.0,0.26158518,0.07320645,0.37185997,0.07007291,0.0,0.30102533,0.05445754,0.16304487,0.050374992,0.05406125,0.20008396,0.28046724,0.24353378,0.0,0.23633628,0.26746225,0.2526195,0.14343072,0.2142252,0.0,0.0,0.13361885,0.0,0.15236394,0.32564095,0.20412523,0.18870929,0.0,0.18543552,0.28722718,0.18543394,0.14404516,0.1939469,0.05097992,0.10575723,0.17138095,0.1290973,0.24149191,0.0,0.0,0.0756922,0.20014101,0.17213728,0.17288575,0.24087209,0.32849306,0.19174679,0.12900452,0.17209375,0.46668616,0.3793511,0.35545254,0.13539009,0.36168545,0.0,0.36827764,0.1796392,0.26248273,0.17132622,0.26864445,0.2181085,0.07693958,0.07474728,0.21511303,0.16553009,0.22317533,0.0,0.24241203,0.2696563,0.0,0.2761609,0.2562332,0.0,0.1357585,0.43504012,0.06393306,0.3352904,0.19226377,0.0,0.2846096,0.090669096,0.18604642,0.24427393,0.13835411,0.25798008,0.30993378,0.16275474,0.21422918,0.18280669,0.0,0.30799183,0.06501992,0.19948877,0.0,0.21740185,0.11256303,0.30730215,0.20397182,0.22748555,0.29858527,0.35368243,0.0,0.019321803,0.20502682,0.0,0.18781456,0.26829988,0.0,0.12812938,0.25450704,0.0,0.17649458,0.20785943,0.1370912,0.12110424,0.0,0.14625676,0.18403639,0.0,0.06610169,0.24165909,0.18535371,0.37323895,0.0,0.12648493,0.32431674,0.22326635,0.30006802,0.21748193,0.010753605,0.27081853,0.11876683,0.14859134
aftermovie,0.0,0.43675768,0.45001033,0.35901424,0.08701024,0.0,0.0,0.05666229,0.3278828,0.0,0.0,0.3041425,0.11344097,0.4609096,0.33364114,0.22063924,0.0,0.18036701,0.0,0.34673056,0.19869989,0.2565784,0.10724023,0.09663353,0.42872968,0.22444081,0.57056224,0.31609815,0.39695618,0.33497268,0.0,0.0,0.43189058,0.0,0.0,0.036632106,0.47530293,0.074910246,0.49069583,0.37860873,0.20445147,0.34538376,0.18761696,0.42775023,0.43597606,0.40793654,0.25688747,0.0,0.30755463,0.31123075,0.26614553,0.3827529,0.5402912,0.26139456,0.28140274,0.39562717,0.0,0.29735145,0.17833313,0.4089791,0.36551464,0.0,0.37752354,0.0640872,0.41456395,0.042719737,0.16323008,0.31157365,0.29291108,0.32390293,0.0,0.37976193,0.22002953,0.45057094,0.2857378,0.15780073,0.0,0.0,0.35276198,0.0,0.37720352,0.4176932,0.35410056,0.19017425,0.001989908,0.1918735,0.45241365,0.5169892,0.25687012,0.28248245,0.021843808,0.1921079,0.26587316,0.17142747,0.3903474,0.0,0.0,0.11968669,0.4623462,0.29819575,0.4049519,0.33573094,0.6006383,0.14447539,0.19643253,0.18605748,0.45308766,0.46699092,0.48228467,0.18437335,0.58834904,0.0,0.42810005,0.20091297,0.37267098,0.27995735,0.44667453,0.30841765,0.2138846,0.11281462,0.3085821,0.2454648,0.2318743,0.0,0.1794768,0.43395886,0.0,0.46955723,0.426998,0.0,0.34482118,0.49421844,0.20692983,0.43737602,0.16530076,0.0,0.45704666,0.36389723,0.10737561,0.31350452,0.22122562,0.3611271,0.47287837,0.27358544,0.43465355,0.22510569,0.0,0.44671485,0.14921239,0.14935611,0.0,0.30012584,0.37959486,0.4764099,0.45153493,0.33567896,0.36522532,0.53694487,0.0,0.0,0.41821885,0.0,0.2489527,0.4005794,0.0,0.19114915,0.47312808,0.0,0.14608832,0.2596495,0.17089106,0.20709074,0.0,0.16526788,0.1879152,0.0,0.14635403,0.4659208,0.2679649,0.5933433,0.023918003,0.37399668,0.38948858,0.31311473,0.3467577,0.16322826,0.10309879,0.16952966,0.12886302,0.12928075
ahiddenlifefilm,0.002922615,0.15554222,0.1650442,0.12891096,0.04971429,0.0,0.0016202331,0.0,0.09282185,0.0,0.0,0.12597556,0.07467699,0.18220958,0.11691745,0.0654459,0.0,0.06583573,0.0,0.09541227,0.109354615,0.04499394,0.02564416,0.05541257,0.18403135,0.16875312,0.20648557,0.15310268,0.1717011,0.10012513,0.0,0.0,0.1437341,0.045749355,0.0,0.020289127,0.11793072,0.01497939,0.19709095,0.110662796,0.11393988,0.14508843,0.12838128,0.11768055,0.1549454,0.15736347,0.099191755,0.0,0.14380865,0.11816769,0.083383135,0.16313013,0.18983993,0.1545359,0.12855825,0.1403672,0.0,0.13789538,0.06154398,0.19271077,0.106616944,0.0,0.16399631,0.025844604,0.13500394,0.020332666,0.060037546,0.12022723,0.14057627,0.15428092,0.0,0.16639805,0.14234906,0.15534547,0.07259418,0.11160425,0.0,0.0,0.10659305,0.0,0.12472437,0.18816686,0.15345286,0.09961265,0.0,0.095594175,0.15357724,0.15975593,0.08932464,0.13085401,0.051968735,0.07092589,0.08185378,0.06801691,0.12713337,0.0,0.0,0.08563965,0.13860455,0.12573269,0.11529335,0.15907958,0.18894845,0.12246509,0.09606334,0.10345124,0.2194923,0.20255025,0.17310962,0.078304276,0.19990116,0.0,0.14943647,0.11305436,0.16019258,0.1276329,0.1761151,0.1367356,0.08709923,0.04508564,0.12118113,0.1127381,0.1086898,0.0,0.125675,0.14127384,0.0,0.17230573,0.13748008,0.0,0.10585512,0.20343311,0.064116254,0.18460743,0.074605905,0.0,0.15835388,0.10230793,0.107396066,0.12246921,0.08630487,0.13219886,0.18175125,0.09649017,0.18508478,0.08681513,0.0,0.2006837,0.086638264,0.11999105,0.0,0.1041695,0.06581204,0.1983699,0.1445269,0.15616834,0.16914761,0.19864282,0.0,0.010273419,0.13493562,0.008209133,0.11619305,0.14669701,0.0,0.09721775,0.17589888,0.0,0.11075169,0.12622432,0.07644138,0.078803256,0.0,0.07751267,0.081442446,0.0,0.07473304,0.13085395,0.12912133,0.1889053,0.0,0.11773968,0.18069045,0.15985817,0.15322207,0.11538577,0.023251921,0.105652794,0.05862254,0.11581768
alitamovie,0.102563135,0.57549727,0.586442,0.39176515,0.14391936,0.0,0.0,0.0,0.5723353,0.0,0.0,0.37411642,0.13578574,0.5770932,0.6662791,0.21399795,0.0,0.22450039,0.0,0.44339308,0.55361015,0.19504055,0.005983237,0.12167211,0.82578486,0.676443,0.93751556,0.7114354,0.6546331,0.29204145,0.0,0.0,0.6759428,0.18960029,0.0,0.04476872,0.3744231,0.0,0.94262254,0.31846347,0.4090235,0.46393907,0.6137258,0.49653223,0.6441615,0.55445945,0.4387431,0.0,0.57401884,0.5883295,0.32285914,0.85434985,0.8085819,0.67000455,0.5219397,0.57738966,0.0,0.43932158,0.38192573,0.6453495,0.24589399,0.0,0.42504615,0.3259783,0.40609285,0.0,0.3366413,0.6266563,0.37585008,0.8419631,0.0,0.48652548,0.62109894,0.6909324,0.24306089,0.28469792,0.0,0.0,0.43053243,0.0,0.6901631,0.861268,0.67185706,0.3443795,0.0,0.45158702,0.35570148,0.6677474,0.22163537,0.61325336,0.12932643,0.24602333,0.1812499,0.29746997,0.56642526,0.0,0.0,0.369125,0.60258645,0.5479071,0.44038537,0.57893807,0.6350409,0.50595915,0.4881615,0.22611356,0.7161813,0.6068979,0.79322946,0.3335533,0.635908,0.0,0.5356943,0.43397492,0.38289574,0.6504097,0.56441826,0.45659345,0.50410783,0.11626519,0.3367513,0.3295829,0.40336388,0.0,0.6036872,0.3797132,0.0,0.54797256,0.5407151,0.0,0.31648162,0.9122167,0.2203756,0.9217355,0.06591704,0.0,0.6523154,0.30625346,0.48610222,0.5954843,0.21412015,0.5397085,0.80318725,0.40442464,0.7174285,0.26278248,0.0,0.8747038,0.22247359,0.52073884,0.0,0.43167353,0.188613,0.8741861,0.2688078,0.5067244,0.62342936,0.78849614,0.0,0.111995794,0.7191421,0.0,0.6994486,0.44671655,0.0,0.34089556,0.7093697,0.0,0.28934103,0.1488948,0.31672412,0.23258021,0.0,0.16872156,0.066147044,0.0,0.2266296,0.51244783,0.4515574,0.7727923,0.13135107,0.5501362,0.6027247,0.42120975,0.50023913,0.5325718,0.12810004,0.2422017,0.19460215,0.39311638
