movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69
21bridgesmovie,0.401266,0.66898257,0.47754484,0.46562994,0.4342127,0.54416126,0.33767283,0.19693665,0.0,0.63042116,0.44950306,0.49163902,0.52654535,0.0,0.46373233,0.1941751,0.45342293,0.43424752,0.16273165,0.5920556,0.066714376,0.3348801,0.42268252,0.0,0.41935208,0.34076017,0.6755893,0.63602674,0.6475015,0.2848798,0.6968722,0.30464453,0.7281938,0.19853343,0.5106322,0.4327593,0.20402013,0.40936244,0.0,0.5742826,0.59608907,0.3579446,0.62519217,0.49166787,0.29038808,0.7094657,0.5519452,0.5819711,0.6583065,0.5586519,0.44193906,0.5541914,0.6032166,0.0,0.38089028,0.4999505,0.13459499,0.2940441,0.34485397,0.0,0.482217,0.0,0.53242403,0.46478444,0.51719654,0.0,0.44431663,0.5341261,0.0,0.4451486
47metersdown,0.70123553,0.32765436,0.7054121,0.5159423,0.8645552,0.7479321,0.28993946,0.14022611,0.0,0.6364911,0.59865975,0.6046106,0.12008947,0.0,0.7426242,0.2289365,0.1868754,0.46259603,0.20550317,0.44609287,0.0,0.5451473,0.49238944,0.0,0.31825235,0.73804545,0.69580144,0.8032323,0.40796983,0.5824566,0.85231256,0.6533717,0.5942014,0.26677662,0.33762705,0.6475552,0.40569496,0.67323637,0.0,0.5443429,0.58853287,0.46641636,0.7105502,0.66088307,0.25060394,0.9783145,0.53600776,0.72438735,0.5072077,0.6491966,0.5973595,0.6589457,0.71113926,0.0,0.38345274,0.58097196,0.36400944,0.54401463,0.41663513,0.0,1.0810759,0.0,0.42210287,0.5773865,0.46532777,0.0,0.49262348,0.46969712,0.0,0.3479307
abeautifuldaymovie,0.2721013,0.54216194,0.4610438,0.2735699,0.52634424,0.43536836,0.18088731,0.1765245,0.0,0.5706325,0.6136163,0.5164119,0.462879,0.0,0.64446044,0.19650744,0.5575243,0.46864226,0.14755177,0.34005943,0.17194688,0.28227448,0.57809913,0.0,0.46757865,0.36854765,0.53098315,0.3474825,0.49703592,0.2193623,0.6872324,0.32471552,0.537781,0.28664985,0.5035914,0.3010656,0.35445112,0.34407493,0.0,0.39893526,0.592399,0.34186548,0.49654067,0.46271238,0.35761377,0.807059,0.40761063,0.58349353,0.3957348,0.5193994,0.36250737,0.55070263,0.57265145,0.0,0.52543974,0.53551054,0.2801503,0.24118754,0.29229876,0.0,0.4537379,0.0,0.46906787,0.5233439,0.19214475,0.0,0.39090905,0.30778128,0.0,0.2586181
abominablemovie,0.5432532,0.8415235,0.82528335,0.52857524,0.6554545,0.36806422,0.5458795,0.43681335,0.0,0.92501926,0.942874,0.696565,0.59442395,0.0,0.91577935,0.34362704,0.72280484,0.47232622,0.21744207,0.47094235,0.4089355,0.51751214,0.6496371,0.0,0.75350076,1.0007471,0.8107548,0.66385156,0.7516699,0.22913666,0.9315005,0.36360458,0.86242074,0.47705987,0.42460093,0.7893526,0.465353,0.7536403,0.0,0.364927,1.0461247,0.80276567,1.0682684,0.44777063,0.32692915,0.9616151,0.63106537,1.074929,0.8826527,0.59227836,0.8162034,0.7364117,0.8474143,0.0,0.48964834,0.5318201,0.37309414,0.61649996,0.729608,0.0,0.6476843,0.0,0.8546197,0.81589544,0.65168023,0.0,0.9716041,0.6033727,0.0,0.84734327
adastramovie,0.43127674,0.5099748,0.5713667,0.3388389,0.37793496,0.48946777,0.31436828,0.31286538,0.0,0.5554517,0.6169205,0.46436882,0.38667753,0.0,0.35313985,0.15765302,0.37193453,0.44992754,0.34131333,0.2735392,0.23122078,0.36917803,0.31602004,0.0,0.37946573,0.39159817,0.44207272,0.37734187,0.31824863,0.28203848,0.6197401,0.17453797,0.51943016,0.20974946,0.40545556,0.46407205,0.4141981,0.2141676,0.0,0.4694714,0.6036053,0.41165233,0.6319747,0.5256757,0.23534936,0.50761056,0.30879268,0.45561114,0.4458944,0.42101175,0.48761955,0.40313601,0.4522024,0.0,0.35412753,0.44976658,0.43256354,0.31760538,0.35871258,0.0,0.55129397,0.0,0.43902636,0.35222113,0.33564076,0.0,0.3771153,0.5218526,0.0,0.3337178
adogsjourneymovie,0.410701,0.5470505,1.4463669,0.57069445,0.78963876,1.1505941,0.25981998,0.10312785,0.0,0.62936383,1.0835476,1.0776306,0.9057886,0.0,1.3165087,0.17307408,0.9330382,0.6357575,0.22092265,0.921237,0.010634054,0.34289026,0.9446449,0.0,1.007035,0.8925807,1.184278,0.82770675,1.6314986,0.5552803,1.2379631,0.3262321,1.0500135,0.9013866,0.7415885,1.1961354,0.30456066,0.592647,0.0,1.4213719,1.0710678,0.6049418,1.0674293,0.7876698,0.5771895,1.3127054,0.45730227,1.0056093,0.72900313,1.192155,1.1050555,1.2022253,1.2376462,0.0,0.7345194,1.158919,0.7533848,0.9701006,0.87390953,0.0,0.99015754,0.0,0.81119645,0.9539069,0.48955822,0.0,0.5135879,0.9925578,0.0,0.3932248
aftermathmovie,0.35846636,0.3405034,0.4001373,0.24763662,0.35238925,0.4953974,0.21158451,0.14764042,0.0,0.4352326,0.3829657,0.32655317,0.31621534,0.0,0.34632355,0.079784274,0.31088006,0.33114174,0.15800369,0.26852837,0.0,0.2890451,0.3316917,0.0,0.43747625,0.46429715,0.45400897,0.37837517,0.43312967,0.23968397,0.48908553,0.16804686,0.49854755,0.1755237,0.31908977,0.4045542,0.29592967,0.3593679,0.0,0.43350047,0.4338495,0.24561785,0.44362065,0.33375004,0.18232471,0.48557016,0.30795282,0.5335252,0.3275626,0.46179956,0.24297169,0.48764136,0.477462,0.0,0.3132618,0.37498587,0.29286098,0.40842634,0.33135062,0.0,0.4758095,0.0,0.43825698,0.46199006,0.35120183,0.0,0.29247382,0.4170962,0.0,0.32490528
aftermovie,0.550603,0.3494269,0.5920965,0.32341266,0.33036414,0.6003991,0.22423589,0.25924078,0.0,0.54409,0.5499049,0.30750245,0.5052131,0.0,0.5179883,0.36501828,0.44909713,0.47780332,0.200342,0.33797592,0.04192629,0.272317,0.45860067,0.0,0.60388625,0.5379791,0.50835025,0.41484293,0.520396,0.3286432,0.63708735,0.3568639,0.54362106,0.3966756,0.607405,0.41362247,0.48422652,0.3355667,0.0,0.6359078,0.36748284,0.42755568,0.5255655,0.50657046,0.24715737,0.61653954,0.44101378,0.52917844,0.36401263,0.52448046,0.31626883,0.5331086,0.46571738,0.0,0.550217,0.35998768,0.3650787,0.36136067,0.34368196,0.0,0.49407727,0.0,0.5891796,0.5911157,0.3185294,0.0,0.32636386,0.53644013,0.0,0.3894535
ahiddenlifefilm,0.21734287,0.24249592,0.23889126,0.18120211,0.21496567,0.249569,0.13399026,0.08910564,0.0,0.2604056,0.2531933,0.2207742,0.21318942,0.0,0.282212,0.08456857,0.21405867,0.22712651,0.095282815,0.19301416,0.033903636,0.16565846,0.19601586,0.0,0.22017756,0.2378931,0.26592928,0.23205562,0.2797264,0.16094504,0.30479646,0.12543875,0.26840308,0.14689441,0.20755225,0.212235,0.18455927,0.18894431,0.0,0.24938427,0.2557783,0.1872677,0.31204638,0.19549462,0.13220468,0.32969075,0.1748583,0.28716788,0.22171128,0.2415745,0.20823288,0.25498104,0.27620286,0.0,0.21084113,0.22254097,0.15048371,0.192967,0.18278402,0.0,0.25616157,0.0,0.24249141,0.2480412,0.19235322,0.0,0.22152007,0.22301483,0.0,0.15271753
alitamovie,0.81662387,0.8660783,0.59873044,0.35715768,0.45304346,0.783115,0.28218868,0.18135986,0.0,0.68013513,0.7446699,0.49301082,0.5655444,0.0,0.48069856,0.30511603,0.81059647,0.66029215,0.09260487,0.56220436,0.24797405,0.6115648,0.61294496,0.0,0.7176651,0.7031143,0.6844129,0.70487475,0.5762455,0.42563307,0.78397566,0.28493735,0.92121583,0.44063962,0.44975355,0.5093518,0.49614054,0.4828965,0.0,0.80472463,0.8714673,0.63362396,0.6933937,0.61337054,0.24862626,0.7389493,0.7598258,0.566532,0.67379475,0.51723987,0.8473402,1.1085693,0.63462204,0.0,0.4764927,0.78891826,0.3654979,0.5490516,0.5963471,0.0,0.95878667,0.0,0.7360591,0.48389044,0.43207967,0.0,0.38771927,0.90809953,0.0,0.66646117
