movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159
21bridgesmovie,0.0,0.4083754,0.32163593,0.24339114,0.39940608,0.2770353,0.2697782,0.46633217,0.3819871,0.0,0.47938144,0.49575147,0.30137315,0.102924734,0.06119102,0.49645454,0.2113638,0.6210446,0.23135923,0.2320907,0.2590511,0.04618078,0.16051033,0.0,0.48211864,0.3881037,0.3319411,0.17524908,0.16889781,0.35154796,0.0,0.0,0.22221586,0.4717633,0.17162801,0.0,0.23665601,0.28624722,0.496781,0.25967276,0.30959633,0.67207986,0.25039032,0.50682616,0.42310375,0.3738765,0.12901242,0.28389278,0.12106065,0.19715375,0.12307378,0.3572773,0.41264108,0.0,0.3171163,0.36802867,0.0,0.26719365,0.15228485,0.18704337,0.37459713,0.0,0.23442376,0.543782,0.0,0.47975305,0.27040336,0.32070363,0.40979427,0.063633956,0.35099146,0.0,0.35596693,0.0,0.0,0.2914787,0.37079054,0.4480562,0.0,0.34193873,0.25003096,0.2973485,0.30264002,0.26700234,0.17841205,0.40975177,0.12797916,0.23286049,0.03318838,0.43498352,0.0,0.037563812,0.19094536,0.0,0.44079408,0.36627814,0.3124561,0.32249293,0.55081713,0.40934956,0.060056787,0.0,0.33634683,0.3914556,0.19037725,0.0,0.50265396,0.19875759,0.0,0.47432247,0.32036215,0.37094003,0.19997886,0.3661534,0.396488,0.43871722,0.18930043,0.28285334,0.2957229,0.4853624,0.44448,0.13892694,0.3535876,0.5023482,0.5158495,0.32341915,0.17028895,0.37880185,0.33491364,0.34831148,0.0,0.0,0.0,0.14637591,0.0,0.0,0.4328018,0.31110063,0.27733198,0.43437448,0.5829322,0.0,0.0,0.18534671,0.34099102,0.5830465,0.38919595,0.0,0.49922985,0.15210627,0.0,0.38472947,0.3196778,0.0,0.16557445,0.22317837,0.4692676,0.24344638,0.20919278,0.4291927
47metersdown,0.0,0.57200193,0.45234,0.3976638,0.30228797,0.4784835,0.20495524,0.34536147,0.4697232,0.0,0.5530855,0.779675,0.4991711,0.09864859,0.0,0.48978132,0.40212908,0.7390783,0.067013174,0.40112692,0.2955722,0.15051916,0.119780004,0.0,0.38120055,0.42289093,0.41607922,0.30258286,0.47889546,0.2776956,0.0,0.0,0.32840297,0.50183326,0.3013536,0.0,0.28541812,0.41310453,0.44165596,0.25867182,0.314788,0.692963,0.3132107,0.49488384,0.5514016,0.34079036,0.3176289,0.30754858,0.1727234,0.3307497,0.24653624,0.5646673,0.67545235,0.0,0.28078127,0.16698298,0.0,0.31418303,0.11169092,0.15524206,0.5840039,0.0,0.3441092,0.46625552,0.0,0.56861776,0.3133692,0.27936804,0.49993563,0.0,0.3108067,0.0,0.29758596,0.0,0.0,0.07031776,0.5599997,0.3882521,0.0,0.20426457,0.48132113,0.39198107,0.28097856,0.3853311,0.43499318,0.29574037,0.009274988,0.26138064,0.013410843,0.29926282,0.0,0.0,0.45072943,0.0,0.55978197,0.44994965,0.33784917,0.28908375,0.45561194,0.5809401,0.04368527,0.0,0.4895241,0.37314892,0.027771292,0.0,0.46568152,0.1698756,0.0,0.4819389,0.20426124,0.5357087,0.39516333,0.35362577,0.4814853,0.45380715,0.20820715,0.59935874,0.22795117,0.39268082,0.56115675,0.3922087,0.30649045,0.4033422,0.40417147,0.31577477,0.36216536,0.4641176,0.46474126,0.114418685,0.0,0.0,0.0,0.05508974,0.0,0.0,0.30238244,0.17485723,0.2340765,0.53879595,0.6023261,0.0,0.0,0.1633871,0.23870678,0.516392,0.45782185,0.0,0.45144105,0.21980356,0.0,0.48797885,0.36891574,0.0,0.019555302,0.2522717,0.3825367,0.21567021,0.36518165,0.5558367
abeautifuldaymovie,0.0,0.4718648,0.33502814,0.14312895,0.37785858,0.35960025,0.2777617,0.37574902,0.2809551,0.0,0.43760192,0.4354652,0.26463068,0.0,0.0,0.40181202,0.03670805,0.36726204,0.10407038,0.23354255,0.1841674,0.0020900527,0.18387625,0.0,0.4304393,0.2814925,0.2753042,0.24449462,0.33409992,0.29511824,0.0,0.0,0.32249203,0.45001394,0.32257104,0.0,0.2604298,0.3674057,0.24432895,0.32883477,0.26590616,0.4366922,0.2731721,0.44045871,0.45875233,0.33716497,0.15994772,0.2951591,0.18907829,0.24717377,0.09750359,0.3164662,0.34237462,0.0,0.25651628,0.3116392,0.0,0.20991811,0.0,0.30193648,0.33366627,0.0,0.2493981,0.21064667,0.0,0.30477783,0.37055922,0.21991195,0.39302334,0.14858608,0.23960471,0.0,0.25766894,0.0,0.0,0.0,0.37340418,0.29004598,0.0,0.32278487,0.29815546,0.3898307,0.4301902,0.32439122,0.20194028,0.28867802,0.018802738,0.26995054,0.0,0.33776242,0.0,0.03357938,0.27885705,0.0,0.3976061,0.22812606,0.3593693,0.30707166,0.22675769,0.29220098,0.03596421,0.0,0.41411716,0.34310025,0.19930084,0.0,0.30330265,0.22381607,0.0,0.478888,0.14402744,0.39303958,0.101371706,0.20618679,0.41237766,0.38786384,0.16934714,0.31828594,0.23462215,0.22589815,0.49000034,0.23091942,0.32244214,0.29750788,0.26641172,0.2874474,0.30205202,0.39531767,0.34937862,0.2481934,0.0,0.0,0.0,0.088673756,0.0,0.0,0.29561976,0.3155302,0.26577884,0.3965308,0.56031007,0.0,0.0,0.13141921,0.31115472,0.42624587,0.34783545,0.0,0.40968573,0.21682505,0.0,0.27615604,0.26487792,0.0,0.22200081,0.2646502,0.37041023,0.4073467,0.26745328,0.252563
abominablemovie,0.0,0.81632996,0.89955103,0.3545194,0.50730634,0.5596644,0.25771964,0.60190713,0.46607363,0.0,0.8909817,0.9295296,0.4505517,0.029498044,0.0,0.6875755,0.2912008,0.62003237,0.12279619,0.34060878,0.34594873,0.15888366,0.26183206,0.0,0.8306156,0.7371473,0.16750604,0.40984067,0.4989108,0.3658912,0.0,0.0,0.4936848,0.69989103,0.67705303,0.0,0.5281789,0.78699607,0.7143713,0.73024285,0.1709902,1.129677,0.44497466,0.85885084,0.6383883,0.8994525,0.30886334,0.6301485,0.41017798,0.28417614,0.12090603,0.25137103,0.6151085,0.0,0.24160871,0.45186284,0.0,0.5327415,0.3996497,0.29100946,0.7359735,0.0,0.4927967,0.701382,0.0,0.63540024,0.6113172,0.40875825,0.5511651,0.16395189,0.31066263,0.0,0.52658427,0.0,0.0,0.31526974,0.8322546,0.40039974,0.0,0.7094361,0.6304545,0.71516055,0.7648578,0.53538316,0.32605502,0.42682946,0.21166052,0.5808676,0.13859585,0.6756618,0.0,0.0,0.35759836,0.0,0.6537637,0.4804257,0.5435202,0.59692836,0.8550082,0.7513874,0.0,0.0,0.7318476,0.40540734,0.015717326,0.0,0.5613481,0.641942,0.0,0.69718486,0.39319447,0.429241,0.23104393,0.5341686,0.7196583,0.73717964,0.11356005,0.5456003,0.37549227,0.5705822,0.68949693,0.37744898,0.6637009,0.78299266,0.60598385,0.53689593,0.64089483,0.7303274,0.7075753,0.5819998,0.0,0.0,0.06455013,0.05544605,0.0,0.0,0.69324833,0.47279423,0.33648127,0.6906736,0.94457835,0.0,0.0,0.28262532,0.14673637,0.760317,0.53376573,0.0,0.7369279,0.39812395,0.0,0.661761,0.34105805,0.0,0.11773966,0.31611794,0.9087649,0.41740003,0.30576164,0.64358056
adastramovie,0.0,0.48179638,0.40194115,0.29696897,0.29928726,0.25033462,0.23740633,0.4056046,0.3833957,0.0,0.32727534,0.4682747,0.21183197,0.08766666,0.05527179,0.44751894,0.19365568,0.41000196,0.15802896,0.2547055,0.10237687,0.12881811,0.23294975,0.0,0.3869769,0.216314,0.11885423,0.13950334,0.30944327,0.31136772,0.0,0.0,0.29778603,0.29474312,0.17440782,0.0,0.15414429,0.1751828,0.45123038,0.2569598,0.26300994,0.5369287,0.20426092,0.387732,0.3742702,0.45363346,0.05008746,0.27091864,0.23537232,0.29472828,0.15782739,0.34041467,0.3725166,0.0,0.24775079,0.27095023,0.0,0.28392234,0.104400694,0.15218103,0.21962912,0.0,0.31736162,0.40478867,0.0,0.24940206,0.37517452,0.19896443,0.37102714,0.0076977555,0.3078522,0.0,0.28074598,0.0,0.0,0.12812948,0.35109654,0.29455656,0.0,0.2626749,0.20918284,0.32442546,0.2561521,0.2509315,0.13473786,0.3042161,0.105538405,0.1812374,0.06107028,0.2805096,0.0,0.09747236,0.24284178,0.0,0.4189196,0.21155892,0.31837925,0.25362206,0.29133403,0.3689916,0.035182994,0.0,0.3631154,0.3022603,0.20446788,0.0,0.21623425,0.20606728,0.0,0.4149525,0.09764981,0.30627358,0.1713451,0.15494892,0.31375575,0.33849314,0.106564365,0.42486,0.11372748,0.31718576,0.3998634,0.259453,0.25237605,0.2405315,0.34569204,0.33027515,0.347125,0.26789594,0.26115078,0.28024516,0.0,0.0,0.0,0.048352793,0.0,0.0,0.33849707,0.21963327,0.15907289,0.54993826,0.6168821,0.0,0.0,0.08060679,0.17788906,0.30173385,0.2958583,0.0,0.41721112,0.101391666,0.0,0.330462,0.2187212,0.0,0.027900321,0.32576728,0.37298074,0.26008525,0.11931381,0.34280002
adogsjourneymovie,0.0,1.2898313,0.68058527,0.60276395,0.5763698,0.69718015,0.5811048,1.1138119,0.46735463,0.0,0.84706295,1.3830483,0.80888844,0.44663885,0.10552315,1.243851,0.24100016,1.047685,0.3729841,0.5653124,0.63142747,0.23378995,0.3050669,0.0,1.0043294,0.8207338,0.7045446,0.2935712,0.5547846,0.5769828,0.0,0.0,0.53221196,1.0429517,0.30109277,0.0,0.35843366,0.54210573,0.6925185,0.835606,0.5864889,1.203984,0.9149629,1.126144,1.1646012,0.74328977,0.43879175,0.67650926,0.2966595,0.37445953,0.34779653,0.8112929,1.1991025,0.0,0.2861236,0.8868964,0.0,0.89727044,0.20289418,0.47655347,0.8356381,0.0,0.39460987,0.63095206,0.0,0.8624467,0.7825248,0.91263044,0.7695526,0.7109892,0.7593987,0.0,0.62494546,0.0,0.0,0.29424587,0.98604625,0.7457304,0.0,1.0580848,0.633953,0.91847235,0.5612837,0.58618873,0.40315244,0.82342565,0.24023017,0.32013667,0.14361052,0.84229785,0.0,0.0,0.5925292,0.0,0.99535006,0.69669324,1.1255448,0.8108008,0.8700297,0.636096,0.07181505,0.0,1.0019339,0.88451755,0.6683558,0.0,0.83335114,0.72839063,0.0,1.027884,0.38497445,0.48491204,0.7144642,0.9887202,0.61884946,1.145307,0.25839508,0.7814434,0.106728,0.8291126,1.2503526,0.32877028,0.5127662,0.86827546,0.6872901,0.8080388,0.6128479,1.0056965,0.8367249,0.80660105,0.0,0.0,0.0,0.0075637856,0.0,0.0,1.0901958,1.129831,0.45187202,0.89918,1.459032,0.0,0.0,0.3807765,0.656612,1.1603376,0.80468047,0.0,1.0808944,0.58376455,0.0,0.6770668,0.8136163,0.0,0.24276586,0.61843693,0.9082921,1.1784676,0.46904907,0.55119467
aftermathmovie,0.0,0.42569616,0.2713041,0.15391369,0.25358164,0.26934725,0.1982889,0.29450262,0.21203747,0.0,0.36449942,0.43248796,0.22368152,0.04643204,0.0,0.4332667,0.15213604,0.42276224,0.15546484,0.25911605,0.13023748,0.004821372,0.12530495,0.0,0.2981832,0.31430426,0.17679122,0.19918764,0.09173219,0.26972157,0.0,0.0,0.22130014,0.30222994,0.1386334,0.0,0.1750384,0.33625957,0.08341502,0.2920484,0.16804896,0.43051335,0.31957325,0.38540298,0.33509028,0.29458264,0.16238526,0.30376288,0.13978374,0.2348337,0.13183054,0.29976016,0.37131932,0.0,0.07751484,0.20600551,0.0,0.3132822,0.067634955,0.20212445,0.20804654,0.0,0.3101658,0.2523917,0.0,0.37101683,0.25917625,0.2189397,0.33500782,0.067604855,0.266804,0.0,0.27266943,0.0,0.0,0.09379887,0.28355333,0.28866762,0.061909482,0.31514063,0.267015,0.24474566,0.23388514,0.19143438,0.15740839,0.2624926,0.0861819,0.2641126,0.0041795606,0.19015707,0.0,0.0032786606,0.23326834,0.0,0.3673456,0.1792985,0.17977075,0.26417074,0.2556659,0.33832657,0.050004434,0.0,0.35991022,0.3394727,0.13763726,0.0,0.31645092,0.22643304,0.0,0.37115327,0.1487812,0.22904569,0.18980746,0.33178788,0.31608683,0.35880223,0.091183595,0.17544624,0.16216317,0.3001088,0.4257654,0.14264935,0.19227585,0.3644208,0.1892384,0.18227932,0.28354686,0.35107344,0.25898945,0.19082105,0.0,0.0,0.0,0.043869432,0.0,0.0,0.22248973,0.28749657,0.21112813,0.309035,0.5041034,0.0,0.0,0.09084554,0.21143238,0.33836436,0.26415613,0.0,0.3042983,0.14445291,0.0,0.27963048,0.19568148,0.0,0.061067995,0.15723146,0.25226972,0.2834697,0.17273317,0.26858616
aftermovie,0.0,0.57189703,0.3115818,0.20180355,0.2752319,0.3308804,0.19130176,0.32271892,0.2573736,0.0,0.38915208,0.46152958,0.17229448,0.054084495,0.0,0.56580204,0.20934267,0.46303847,0.21286584,0.21887,0.1059533,0.09088509,0.248606,0.0,0.5154004,0.48756465,0.28187752,0.3008392,0.2873632,0.20842846,0.0,0.0,0.34724113,0.40273744,0.17953636,0.0,0.17799863,0.54146284,0.3415478,0.32684803,0.18103915,0.46812758,0.50088745,0.41669083,0.5430978,0.46178773,0.20006704,0.40715724,0.25421092,0.23152722,0.14122352,0.18495537,0.47251678,0.0,0.1758504,0.24749646,0.0,0.3378786,0.28546,0.19503829,0.39128944,0.0,0.45762458,0.31860185,0.0,0.4298004,0.40845367,0.13297951,0.42000267,0.060255617,0.28738657,0.0,0.27011386,0.0,0.0,0.15370402,0.22833736,0.33563545,0.0162119,0.41021264,0.34623986,0.46696755,0.23987877,0.20364812,0.24020207,0.37543958,0.14837906,0.32187706,0.0,0.36718556,0.0,0.03206142,0.3106131,0.0,0.5297905,0.37367862,0.38904557,0.30690113,0.399993,0.46682423,0.0,0.0,0.36644125,0.31671432,0.09401649,0.0,0.4566313,0.34179744,0.0,0.41878805,0.18710949,0.24220414,0.16331284,0.33217788,0.3630193,0.40356258,0.13492927,0.22974956,0.20378365,0.30312973,0.48346886,0.20521042,0.37024096,0.34526116,0.31120336,0.25603107,0.4130668,0.33655664,0.408136,0.28166866,0.0,0.0,0.0,0.0,0.0,0.0,0.36729538,0.36521274,0.31133875,0.41205156,0.5993592,0.0,0.0,0.06010691,0.20987763,0.46725613,0.44281164,0.0,0.46515688,0.25440302,0.0,0.40566912,0.16755632,0.0,0.041693587,0.36759156,0.45374534,0.316367,0.044819236,0.32201073
ahiddenlifefilm,0.0,0.19968492,0.1522017,0.07865013,0.15222546,0.12346855,0.09557532,0.16836074,0.13749894,0.0,0.17630585,0.2206138,0.11990762,0.035467852,0.00825416,0.20811349,0.0773502,0.19893658,0.06637021,0.11004156,0.06986853,0.028134935,0.06683731,0.0,0.19096093,0.15061851,0.10684787,0.086970955,0.114830464,0.12107521,0.0,0.0,0.13460983,0.18034977,0.10493646,0.0,0.08724738,0.16030394,0.14900921,0.13288563,0.097788975,0.22855617,0.14002642,0.20555755,0.19863155,0.15708527,0.07785351,0.1362786,0.07907133,0.110001534,0.049752787,0.14008231,0.19157192,0.0,0.07641471,0.11556542,0.0,0.14315489,0.0569113,0.104998894,0.15364727,0.0,0.12984483,0.15294854,0.0,0.17420597,0.15324637,0.102552265,0.17833112,0.05035546,0.14386979,0.0,0.12638107,0.0,0.0,0.043798182,0.17539762,0.13706821,0.0,0.17626673,0.13601899,0.14687674,0.11881016,0.103489995,0.085230954,0.1416074,0.055271536,0.095349,0.01202563,0.12738363,0.0,0.015521155,0.119163126,0.0,0.18168946,0.13664576,0.13077311,0.12620981,0.15038544,0.16174711,0.009569965,0.0,0.1527244,0.13263856,0.10053121,0.0,0.15171762,0.110266924,0.0,0.18249229,0.08723922,0.1259733,0.07778935,0.13716242,0.17298555,0.16561085,0.07571481,0.1432094,0.09057913,0.15186884,0.19572175,0.08737928,0.1272395,0.149306,0.14591835,0.14342754,0.12766089,0.15826422,0.15345635,0.1182749,0.0,0.0,0.0,0.028510395,0.0,0.0,0.1512481,0.118489765,0.0948237,0.17477305,0.25799555,0.0,0.0,0.05773259,0.12399298,0.18276317,0.15735012,0.0,0.18304904,0.06864516,0.0,0.13733551,0.11894842,0.0,0.031633575,0.1251948,0.17154598,0.1571284,0.077612825,0.14198285
alitamovie,0.0,0.55199134,0.5981741,0.43318203,0.5192691,0.53807604,0.40526968,0.6464059,0.6403447,0.0,0.46627545,0.9035763,0.48971555,0.0775249,0.0023169531,0.5499552,0.17973378,0.7294722,0.2188061,0.38792402,0.2652032,0.20016594,0.18497165,0.0,0.3667817,0.43894187,0.23710081,0.26471132,0.522226,0.4536715,0.037818983,0.0,0.51929563,0.5275803,0.28589574,0.0,0.55200136,0.41440645,0.6484528,0.46128207,0.3207612,0.7624294,0.27344275,0.703416,0.6719853,0.5989719,0.21918964,0.54706764,0.12489392,0.3705025,0.1721546,0.6119464,0.6231607,0.0,0.20429769,0.43979305,0.0,0.48562607,0.1562568,0.3909786,0.34828782,0.0,0.39094853,0.582319,0.0,0.5558882,0.36755568,0.44552964,0.59737945,0.0,0.5993487,0.0,0.5031551,0.0,0.0,0.026565284,0.41486368,0.38905102,0.025919266,0.4915355,0.4122011,0.49591652,0.3940215,0.34125906,0.27218828,0.49983087,0.2487514,0.32536554,0.24362738,0.3388824,0.0,0.109261476,0.43120497,0.0,0.6036246,0.47973928,0.5286198,0.60681343,0.55139893,0.60642046,0.022054698,0.0,0.57778764,0.5503672,0.4429202,0.0,0.61202973,0.31135055,0.0,0.6645384,0.049492426,0.16832592,0.3069658,0.3671373,0.42675465,0.72061914,0.33353284,0.52554727,0.26883382,0.59345204,0.58154196,0.50584584,0.35743675,0.5469139,0.3517962,0.48825786,0.39021653,0.6343193,0.5140623,0.32848445,0.0,0.0,0.0,0.0714496,0.0,0.0,0.38929197,0.46208712,0.19649307,0.6365744,0.7314818,0.0,0.0,0.2624409,0.43255618,0.7517733,0.6514543,0.0,0.7261035,0.25378704,0.0,0.39855212,0.38975134,0.0,0.11137847,0.5157121,0.6459057,0.4595334,0.32834607,0.34037188
