movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59
21bridgesmovie,0.61680746,0.5936246,0.50052536,0.0,0.45827854,0.7783919,0.37109172,0.27255362,0.3833173,0.35879946,0.44558796,0.5602236,0.23810367,0.43279928,0.44597808,0.48676085,0.75504655,0.59562427,0.0,0.52871543,0.42510507,0.33793506,0.522599,0.17205477,0.45216292,0.4939858,0.2626846,0.19055995,0.7195256,0.42979723,0.3761601,0.0,0.21911171,0.39658955,0.6446089,0.51999503,0.40340987,0.52641594,0.50706047,0.4333454,0.4245383,0.59312236,0.0,0.3616779,0.508872,0.51321524,0.55866486,0.42239594,0.41844898,0.4695121,0.7748941,0.6735241,0.44471616,0.54244924,0.36497068,0.026096934,0.0,0.5348152,0.62138927,0.4370253
47metersdown,0.7313921,0.7481698,0.6929694,0.0,0.6559953,0.75863075,0.7301126,0.58401865,0.7191815,0.73373365,0.59225535,0.7591999,0.47346714,0.4021116,0.9349462,0.43645966,0.9407285,0.8769806,0.0,0.8793279,0.35442144,0.5562531,0.49508342,0.40607575,0.4097765,0.7170104,0.39478478,0.16893464,0.99577063,0.7995321,0.63978684,0.0,0.16618595,0.56933403,0.41558358,1.0092945,0.5815475,0.7348175,0.5782366,0.18505354,0.5807147,0.7682796,0.0,0.5458231,0.3718215,0.9249206,0.62274057,0.51060927,0.78536636,0.6810864,1.0221533,0.664826,0.9040775,0.48673618,0.5083081,0.19977437,0.0,0.6426121,0.50404084,0.39482784
abeautifuldaymovie,0.33596388,0.5102865,0.40798753,0.0,0.39082098,0.5076659,0.34040838,0.43684742,0.22685826,0.38365886,0.25917765,0.50552595,0.3390801,0.28914392,0.46129158,0.41861418,0.63509303,0.49622086,0.0,0.4847061,0.32774162,0.34996974,0.40596956,0.4452696,0.32208782,0.3962253,0.1953508,0.17215393,0.6494832,0.5773311,0.2721607,0.0,0.13667041,0.24740677,0.22864276,0.5525266,0.30271906,0.55457604,0.34729955,0.1740578,0.49173823,0.24370202,0.0,0.5462341,0.38204205,0.6894245,0.49677408,0.3537195,0.44714975,0.4277577,0.68313867,0.42193592,0.48749572,0.536467,0.29349637,0.12199181,0.0,0.18735263,0.41772857,0.22164239
abominablemovie,0.8669136,1.1612437,0.67560285,0.0,0.9352504,0.8790469,0.56448716,0.5668636,0.70224124,0.72693384,0.6036701,1.2259295,0.3632172,0.57055527,0.8863416,0.44599855,1.4482504,0.92212504,0.0,0.7843702,0.5311907,0.48452094,0.772998,0.6324599,0.50406903,0.82520473,0.64387524,0.20683308,0.9921005,0.79265034,0.42036507,0.0,0.19844723,0.6098704,0.5540508,0.9907721,0.40271503,1.0978119,0.9887422,0.31196323,0.6822354,0.59745795,0.0,0.62469923,0.7253026,1.3038776,0.8949335,0.68099827,0.9714871,0.95668876,1.2378677,0.9567357,0.6173549,0.5740479,0.6885595,0.61388904,0.0,0.6763114,0.93235916,0.4760061
adastramovie,0.35390642,0.6213651,0.49389267,0.0,0.48570636,0.5636779,0.28064266,0.4099576,0.38476098,0.48986915,0.5017649,0.5114059,0.3007955,0.3416288,0.5128655,0.32346565,0.5023728,0.50820494,0.0,0.38672182,0.45045766,0.37594107,0.38030875,0.20499353,0.29760212,0.46437708,0.32005367,0.08427003,0.51170444,0.39772475,0.2795891,0.0,0.27368924,0.33236617,0.311195,0.6039736,0.15014333,0.26417878,0.4315655,0.16510731,0.44760805,0.3949061,0.0,0.3980306,0.38749892,0.53589505,0.46717906,0.23289403,0.29815048,0.49214903,0.7239526,0.4155426,0.4864006,0.51705927,0.24591266,0.18188488,0.0,0.35860062,0.52430487,0.43855536
adogsjourneymovie,1.0526192,1.4141182,0.8242115,0.0,1.0562801,1.2643777,0.6274108,0.98813593,1.1807395,1.2082676,0.75796354,1.3303459,0.6829401,1.1814854,1.1851902,0.7323196,1.2935964,1.15747,0.0,1.4492866,0.97636783,0.58623207,0.9366099,0.6069754,0.4093501,0.90182436,0.6338644,0.19055508,1.4016906,0.90744853,0.7791263,0.0,0.75265855,1.0701962,0.7925566,1.4398164,0.779803,0.807337,1.08903,0.7241915,0.8670781,0.6957573,0.0,1.7392837,0.80502963,1.440578,1.3306495,0.6797349,1.1799465,1.2091094,1.6092231,1.1252707,1.4850155,0.65802234,0.54491353,0.2111184,0.0,1.1156745,1.0313281,0.9085131
aftermathmovie,0.4860787,0.39410093,0.3923101,0.0,0.36660087,0.6524142,0.25468376,0.24389827,0.38598847,0.35472223,0.26264232,0.44670793,0.3217324,0.39208964,0.5234996,0.43615264,0.68919617,0.34575668,0.0,0.533439,0.3701037,0.31507877,0.37843773,0.12584019,0.36986944,0.3970168,0.1953324,0.13972293,0.6093855,0.37520963,0.28327572,0.0,0.20803419,0.2657156,0.39256284,0.51436657,0.32092577,0.40371037,0.40025258,0.3075576,0.2696938,0.38744172,0.0,0.27089018,0.39155096,0.4905228,0.4211689,0.35827145,0.5061647,0.32464683,0.6534788,0.39271542,0.327941,0.40182197,0.2872288,0.056969948,0.0,0.31250858,0.5149602,0.23227638
aftermovie,0.34205613,0.30749145,0.32990706,0.0,0.28306666,0.6233208,0.2424604,0.3588406,0.3391834,0.41322497,0.26135874,0.5404874,0.2905215,0.38872415,0.5553067,0.29132098,0.71547145,0.33004498,0.0,0.36112496,0.4821218,0.19835666,0.28875598,0.19015323,0.23154843,0.4324015,0.46439523,0.1572789,0.42256805,0.48552454,0.19879295,0.0,0.26191318,0.30061942,0.38444075,0.46816698,0.22969343,0.31481948,0.31090143,0.18166547,0.28728056,0.42015588,0.0,0.48115987,0.42316067,0.6667207,0.5841645,0.40005505,0.36876142,0.36748922,0.80062634,0.39710814,0.39540452,0.3830456,0.2516247,0.06784437,0.0,0.308297,0.54072726,0.24790363
ahiddenlifefilm,0.22684832,0.25145417,0.19464944,0.0,0.18554153,0.28021008,0.14551222,0.13945419,0.17710239,0.17598952,0.1515106,0.23985255,0.14252754,0.15991424,0.2544429,0.18947774,0.30161548,0.21931912,0.0,0.23426497,0.182699,0.17204405,0.18850935,0.14916739,0.14213088,0.19489856,0.12783109,0.06619019,0.29138786,0.2245904,0.14644638,0.0,0.06542579,0.14174348,0.16570619,0.28600842,0.15161961,0.20534635,0.19306043,0.11268961,0.18923944,0.18337373,0.0,0.20774142,0.19227904,0.27430433,0.23732644,0.17796753,0.22164467,0.19713789,0.34017128,0.21809596,0.22075678,0.18242896,0.13691868,0.05166868,0.0,0.18174042,0.2032106,0.16633083
alitamovie,0.63948876,0.90938497,0.61999923,0.0,0.56643754,0.842715,0.56672996,0.7823788,0.58990806,1.001513,0.7200563,0.86894286,0.57136154,0.6800497,0.66986936,0.56823754,0.8636864,0.6584255,0.0,0.74072057,0.510372,0.2691147,0.57737815,0.3011581,0.62920463,0.65683675,0.44296718,0.036252152,1.2401992,0.71805733,0.6002979,0.0,0.4643067,0.6899471,0.44880745,1.1492196,0.39893672,0.56843746,0.61237544,0.119658306,0.64320856,0.9328552,0.0,0.721138,0.6907048,0.9263734,0.7938152,0.35346547,0.56049454,0.7551785,1.087215,0.84753966,0.7011061,0.56125724,0.3249802,0.2983855,0.0,0.78036654,0.98255813,0.6459876
