movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
21bridgesmovie,0.6305805,0.32825637,0.16332918,0.09208813,0.55012304,0.31559426,0.6688392,0.0,0.4789319,0.46137363,0.18627244,0.0,0.21910603,0.26105067,0.27013782,0.2772141,0.44461468,0.29586193,0.34658745,0.35988757,0.39271018,0.16524659,0.4201742,0.2089245,0.7875451,0.14379932,0.0,0.46419778,0.5082527,0.5008575,0.57677746,0.24925885,0.4578929,0.22359984,0.5636341,0.53734684,0.48210025,0.58370626,0.0,0.3457156,0.3911486,0.34353024,0.6527033,0.38438812,0.53410476,0.39115047,0.106206134,0.17947258,0.42485264,0.44085732,0.34511036,0.124841854,0.34391302,0.0,0.0,0.22097343,0.041888192,0.21169803,0.51071906,0.5414558,0.3243399,0.37670058,0.18943469,0.46904346,0.46392527,0.52595025,0.14541,0.6264464,0.0,0.43917283,0.12853746,0.24586491,0.24509527,0.27280176,0.33092168,0.4349177,0.24736717,0.24287905,0.47184578,0.6933324,0.37916806,0.19026327,0.30666798,0.04120718,0.3662386,0.45183286,0.37729624,0.36980775,0.08889815,0.24669933,0.182957,0.47578666,0.38731027,0.3769335,0.45411813,0.3470156,0.0,0.0,0.37842438,8.4167346e-05
47metersdown,0.6985806,0.69135916,0.0,0.08658634,0.81992155,0.5257159,0.66132224,0.0,0.23301965,0.79722816,0.28360003,0.0,0.30379972,0.26965323,0.47076264,0.63875663,0.5860013,0.45599398,0.6535341,0.3862435,0.5414359,0.27881742,0.78223366,0.38232777,0.9248954,0.10243288,0.0,0.5176753,0.68878955,0.6114108,0.6231668,0.3281915,0.6483289,0.43031108,0.736245,0.61568147,0.77461994,0.6015478,0.0,0.6921146,0.35557026,0.4284789,0.91278833,0.66427714,0.8508844,0.3841136,0.1520063,0.1474831,0.6059826,0.4728018,0.36107486,0.2741492,0.36867902,0.0,0.0,0.4848843,0.029784186,0.39594513,0.73608917,0.57604176,0.6615481,0.35740602,0.011408058,0.6744124,0.35999075,1.0641879,0.13749032,0.5445032,0.0,0.50908417,0.2148,0.3028701,0.40260303,0.35786447,0.7414097,0.29992044,0.45529,0.37111455,0.5096215,0.7113566,0.4036563,0.50293016,0.28448388,0.26858887,0.451771,0.51754177,0.6085056,0.39330727,0.09305447,0.12229278,0.23196596,0.7464555,0.60942906,0.66228247,0.5270358,0.3644568,0.0,0.0,0.67983496,0.30007175
abeautifuldaymovie,0.4049739,0.25333294,0.0,0.06924469,0.44124252,0.34634823,0.48902547,0.0,0.23843536,0.45945773,0.24913128,0.0,0.11818377,0.24402189,0.45524618,0.30902264,0.35304666,0.25282633,0.45571226,0.18793736,0.32754368,0.11656386,0.37952015,0.19829945,0.6419599,0.18357015,0.0,0.45657516,0.39812848,0.3120038,0.39009273,0.12937288,0.31428087,0.16438654,0.59456414,0.3889361,0.5521129,0.4593088,0.0,0.25053912,0.2557474,0.2022887,0.48790014,0.24288478,0.50605667,0.39359242,0.10496907,0.0,0.33728424,0.29475802,0.37123525,0.12887004,0.413542,0.0,0.0033561431,0.11769745,0.11634678,0.19452423,0.5651597,0.4372429,0.3368717,0.24261124,0.0,0.5284953,0.29734465,0.5554914,0.12302538,0.43073064,0.0,0.23362896,0.22398093,0.20381413,0.27190647,0.13062456,0.4770356,0.21668655,0.45112348,0.17081244,0.36235157,0.61046666,0.44588414,0.30413166,0.30290115,0.22322534,0.3843536,0.34250492,0.25395447,0.22977892,0.0,0.06006176,0.26803377,0.50178295,0.35408893,0.5741222,0.37178922,0.26299298,0.0,0.0,0.37196907,0.06778453
abominablemovie,0.7106809,0.44739372,0.027205864,0.0,0.88296795,0.4513584,0.8637537,0.0,0.507301,0.7766366,0.4733299,0.0,0.3220656,0.23932992,0.33629775,0.3189528,0.37325633,0.32832363,0.7148952,0.6359044,0.6659102,0.13107887,0.75546664,0.1565131,0.8433597,0.007695077,0.0,0.55364054,0.9129666,0.7353322,0.88819057,0.24152598,0.73135865,0.28381178,0.72713274,0.73742163,0.8248894,0.7775621,0.0,0.701157,0.67862123,0.4082194,0.8402497,0.4922677,0.8521168,0.68370414,0.057783946,0.12947871,0.70984566,0.40918154,0.46751794,0.2448607,0.75924426,0.0,0.0,0.2904966,0.12259132,0.47093275,0.72879857,0.74043643,0.66836005,0.28626645,0.17670496,0.72496015,0.66609097,0.97634196,0.40665016,0.48984852,0.0,0.6560603,0.20499457,0.49285805,0.60848284,0.43273303,0.5332889,0.28492188,0.46494222,0.34889784,0.98752546,0.7039272,0.52546674,0.36294773,0.48559693,0.4594946,0.44673774,0.7372456,0.44044763,0.64887387,0.0,0.4452132,0.4768029,0.70365626,0.8783773,0.80486095,0.63518363,0.5872367,0.0,0.0,0.84805155,0.043504085
adastramovie,0.5919811,0.4183801,0.08730969,0.14152813,0.42440873,0.3521354,0.45416614,0.0,0.29153624,0.4889605,0.43367103,0.0,0.20769353,0.29000112,0.4318044,0.29508215,0.37900898,0.3629571,0.38241577,0.31174827,0.4899026,0.016262822,0.38781917,0.34791523,0.6952051,0.12654081,0.0,0.37728027,0.5233268,0.4260953,0.30126154,0.2776147,0.30805504,0.22525541,0.4360795,0.4205317,0.41539562,0.41891116,0.0,0.48123333,0.33990014,0.31421462,0.52295816,0.26978272,0.43655336,0.29542357,0.092980504,0.0,0.50447553,0.29502982,0.3946794,0.099157214,0.45150474,0.0,0.0,0.2081106,0.0,0.28783435,0.36192068,0.35349917,0.42135966,0.29129404,0.17217204,0.62811655,0.40107694,0.66308534,0.0,0.29105225,0.0,0.2939187,0.1035166,0.16924803,0.31601742,0.22135305,0.47260118,0.2586592,0.2834798,0.05214168,0.42973846,0.58868283,0.36229047,0.30062684,0.30098423,0.14223108,0.34893033,0.42664322,0.3211254,0.42975235,0.0,0.14359221,0.21283123,0.42872083,0.41675594,0.48180175,0.30938673,0.2224799,0.0,0.0,0.2861071,0.12105207
adogsjourneymovie,1.400986,0.7736562,0.08323931,0.33340344,1.6151042,0.40213054,1.3874091,0.0,0.45425308,1.1998445,0.54070187,0.0,0.62033695,0.47825438,0.6474461,0.5238234,1.3569372,0.92814285,0.6626759,0.55328125,0.8414876,0.12156911,1.0156984,0.5074957,1.5957642,0.41967586,0.0,0.84260315,0.9316421,0.9489671,0.9922045,0.54151374,0.77088237,0.68828803,0.9797077,1.2068468,1.2910756,0.9068331,0.0,0.72199833,1.0517753,0.43888852,1.3130387,1.0125821,0.70526874,0.9306379,0.10469243,0.0,0.74045384,0.77202725,0.5454785,0.4005606,0.60993737,0.0,0.0,0.5608685,0.048447024,0.3773803,1.4255567,1.2325666,0.72942454,0.34714687,0.07798316,1.2530842,0.64624524,1.1751308,0.21821338,0.94320077,0.0,0.6543358,0.39067233,0.5251689,0.6201582,0.31343135,0.7193013,0.18296751,0.88013136,0.668968,1.1603675,1.3730716,1.1354588,0.69779503,0.83360875,0.4716773,0.7634907,0.69322646,0.68521214,0.5099558,0.0,0.24273029,0.34632254,1.3663399,1.1287432,1.1499509,0.97221166,0.6373227,0.0,0.0,1.1714551,0.20436727
aftermathmovie,0.29924282,0.3334217,0.0,0.1514012,0.39986265,0.17525259,0.48070738,0.0,0.18420482,0.45697564,0.22575277,0.0,0.25693431,0.20354722,0.31564674,0.3177035,0.24787483,0.2236903,0.30238336,0.21681564,0.28935948,0.1164909,0.39316663,0.1825769,0.47479475,0.14652781,0.0,0.31124496,0.39645466,0.40535676,0.32240388,0.22901368,0.31010622,0.13799798,0.3960152,0.32420865,0.4559191,0.2942896,0.0,0.38732067,0.25075904,0.28967372,0.4668638,0.22368628,0.35550517,0.38179934,0.025186323,0.0,0.35133213,0.3514671,0.23677026,0.11846121,0.25245595,0.0,0.0,0.13147189,0.116694614,0.1951735,0.4135399,0.35421425,0.24990703,0.29146785,0.07971851,0.448675,0.25356105,0.4765755,0.14019355,0.29768458,0.0,0.25688857,0.0923268,0.12977354,0.2094191,0.14678043,0.31948432,0.22830604,0.17674702,0.12261805,0.36568987,0.43395892,0.27394372,0.32374057,0.30870166,0.2273796,0.22050439,0.25223896,0.32955006,0.2278096,0.0,0.14680928,0.18541613,0.4073124,0.29613137,0.47430077,0.4284565,0.23564497,0.0,0.0,0.26132995,0.09158625
aftermovie,0.55835086,0.40223366,0.07294734,0.19442491,0.6883458,0.39450294,0.5353812,0.0,0.24236414,0.52406216,0.27975762,0.0,0.2667327,0.14827675,0.24814206,0.31579608,0.28521475,0.359495,0.30572146,0.20066316,0.33995625,0.17309879,0.6646373,0.15063165,0.64119,0.10106372,0.0,0.48002872,0.5953817,0.41650128,0.29445636,0.209803,0.49437883,0.30659592,0.4772513,0.50939393,0.46743947,0.4382609,0.0,0.48607787,0.29019776,0.27235946,0.5447237,0.27829388,0.3722686,0.29781365,0.2109307,0.03127024,0.54403573,0.3794614,0.30520925,0.3340679,0.32430807,0.0,0.0,0.33643353,0.13143995,0.17142394,0.45669478,0.53927517,0.21051478,0.2428437,0.11015117,0.5294123,0.22480083,0.56330854,0.059152495,0.39807355,0.0,0.29202825,0.08424914,0.23220967,0.25202784,0.042118244,0.33774394,0.13353522,0.30403817,0.24279833,0.525115,0.55613035,0.42379174,0.2302297,0.28891185,0.17959718,0.33980986,0.194754,0.2839205,0.3494333,0.0,0.19173646,0.26500785,0.47437584,0.3884237,0.4387625,0.3756016,0.30588284,0.0,0.0,0.38155776,0.19801639
ahiddenlifefilm,0.23322022,0.1777646,0.028556103,0.058961816,0.23668748,0.15004502,0.25263464,0.0,0.12954813,0.21014597,0.13365433,0.0,0.10541221,0.08502319,0.13993768,0.13331766,0.1739578,0.12877598,0.17706059,0.12147944,0.16933294,0.065001324,0.20541088,0.11332862,0.30587262,0.068234675,0.0,0.18133183,0.2261,0.20505983,0.17114133,0.13057306,0.16878384,0.10692235,0.19938281,0.21187136,0.23537783,0.21081737,0.0,0.16378845,0.16050524,0.12824441,0.25744843,0.14352009,0.2193747,0.17192046,0.039822347,0.0,0.17935836,0.16420807,0.16393821,0.077434026,0.16455397,0.0,0.0,0.111138895,0.03106794,0.10366603,0.21552317,0.21057545,0.16555282,0.11389687,0.054278012,0.22200063,0.16571939,0.27315098,0.06369448,0.19231586,0.0,0.16909225,0.05602698,0.110299915,0.12891759,0.10026977,0.18590148,0.08926439,0.1622569,0.09686883,0.1961818,0.2597421,0.17928615,0.14016277,0.126455,0.098020166,0.17718607,0.15459374,0.1612606,0.16840622,0.008549106,0.058424436,0.110872,0.21171978,0.16299659,0.21190174,0.16963662,0.13762483,0.0,0.0,0.16961485,0.06975733
alitamovie,0.61142987,0.68169147,0.0,0.3409169,0.58501697,0.5915227,0.7172657,0.0,0.33756125,0.8611954,0.56292546,0.0,0.35211596,0.39839664,0.49303314,0.4149673,0.40863,0.46858284,0.53872234,0.28120717,0.39566514,0.21754174,0.67307323,0.30348894,1.2728679,0.0717542,0.0,0.61341375,0.7836041,0.6367868,0.42224655,0.46732447,0.6252934,0.17435072,0.63585544,0.61090887,0.6658361,0.65470934,0.0,0.707063,0.36526996,0.34607983,0.8636603,0.5948064,0.693403,0.34442902,0.30609342,0.20382078,0.65629214,0.6257311,0.5774733,0.29509887,0.6674133,0.0,0.0,0.608338,0.0,0.28857672,0.47382367,0.58224016,0.54079527,0.47116798,0.15431152,0.8828722,0.5278227,0.904121,0.0,0.646319,0.0,0.51070595,0.4964378,0.2356587,0.23298356,0.3359317,0.55671704,0.47681627,0.42603207,0.188076,0.7486205,0.94380313,0.6965685,0.58461636,0.4924712,0.25083143,0.34169132,0.2989228,0.55920154,0.4432788,0.0049225213,0.26610973,0.44136024,0.5225383,0.63826007,0.62188804,0.5190996,0.32381797,0.0,0.0,0.556728,0.20262037
