movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
21bridgesmovie,0.70640147,0.34134758,0.8659064,0.42113847,1.0635135,0.8340031,0.77295655,0.746737,0.84232485,0.4584766,0.0,0.8119977,0.6370008,0.7414592,0.9530096,1.033196,0.6520764,0.6180449,1.1087523,0.86017126
47metersdown,0.5273946,0.2460452,1.22543,0.4099357,1.1933148,1.1521058,0.80915374,1.1944,0.7876977,0.41702566,0.0,0.644804,0.92722917,0.7967046,0.58717567,0.7801961,0.62296206,0.57090074,0.8781555,1.028582
abeautifuldaymovie,0.4389902,0.35795832,0.6753407,0.35974395,0.89401984,1.0139312,0.5580289,0.73374134,0.8889224,0.3868238,0.0,0.6673751,0.73170006,0.66399354,0.8930864,0.74994075,0.39161944,0.6986348,0.9322092,0.8264925
abominablemovie,0.757496,0.4003952,0.95183414,0.6322761,1.257926,1.0893207,0.98642236,0.9945681,1.2396345,0.6698193,0.0,0.47024438,1.2530829,0.9624407,1.3302768,1.0975491,0.68907386,0.78164274,1.9024864,1.4375881
adastramovie,0.42143086,0.21146405,0.8313435,0.34134525,0.78315014,0.73639685,0.5566355,0.72609276,0.67149687,0.3739893,0.0,0.57035094,0.6145265,0.55054754,0.72993445,0.745465,0.52176386,0.6126334,0.954546,1.0312624
adogsjourneymovie,0.7770384,0.48489332,1.4985566,0.1221702,2.1936462,1.7409103,1.3903329,1.5622495,2.2691326,0.927978,0.0,0.765834,1.4587845,1.2956827,1.4226469,1.6101042,0.70622665,1.6309459,2.181208,2.393767
aftermathmovie,0.4846315,0.23367533,0.6368163,0.2926524,0.7947784,0.520817,0.62161356,0.57864845,0.6727878,0.30547225,0.0,0.5407977,0.6440689,0.60896695,0.5931876,0.67637783,0.3043279,0.46635762,0.86520517,0.8385568
aftermovie,0.44690302,0.36745355,0.50038844,0.4244274,1.1530166,0.7654735,0.6315075,0.8360737,0.88887155,0.49028558,0.0,0.56136703,0.70972085,0.65813625,0.86892164,0.6994457,0.3709393,0.8624151,0.7684065,0.927581
ahiddenlifefilm,0.25961995,0.1256598,0.38671583,0.16663632,0.426457,0.38727635,0.35064566,0.3402187,0.38223398,0.21123531,0.0,0.26951298,0.34237784,0.31813562,0.4046391,0.42498007,0.19578105,0.34928226,0.49694192,0.5100281
alitamovie,0.61819017,0.32358402,0.86523676,0.29606628,1.4443347,1.1447768,0.9716762,1.0031002,1.3078247,0.7779297,0.0,0.70138913,0.80763584,0.800957,1.1079518,1.1307158,0.5227033,1.2576413,1.3313372,1.3822842
angelhasfallen,0.6178063,0.3653304,0.9102616,0.71768403,1.1579671,0.7635929,0.8518567,0.7838035,0.8084755,0.53448766,0.0,0.65424037,0.97998744,0.8449717,0.7224592,0.9219035,0.2070501,0.93893737,1.1416534,1.2077117
angrybirdsmovie,1.4463967,0.55671376,1.2134268,0.2511477,2.5389726,2.5324101,1.0092633,1.3518584,1.7772261,0.15618744,0.0,1.662538,1.7179193,1.5928487,1.5918647,1.5336713,0.92530376,1.8703309,1.5323626,2.2677643
annabellemovie,0.769894,0.45021912,1.1051707,0.6010783,1.7597401,1.5828702,1.4339843,1.2564046,1.2229959,0.9224058,0.0,0.83507484,1.328891,1.06172,1.3497192,1.3487475,0.72150093,1.1461182,1.7433003,1.9988645
annamovie,0.5231398,0.25549078,0.73551464,0.34403968,0.95686084,0.80253035,0.64483786,0.7703472,0.9555795,0.47945184,0.0,0.4962414,0.66673076,0.71413946,0.882784,0.9483979,0.4022525,0.76753813,0.9237581,1.0368898
apollo11movie,0.42983854,0.219558,0.53145546,0.15516804,0.63861805,0.50944024,0.5018228,0.6102562,0.5456022,0.31130853,0.0,0.4691146,0.39433232,0.50403124,0.49077633,0.57742304,0.27279985,0.3912538,0.6395653,0.54304135
arcticdogsmovie,0.5004486,0.25096843,0.7643526,0.28396377,1.0698411,0.8516854,0.6867966,0.8117706,0.7415199,0.20168234,0.0,0.49404037,0.61225414,0.7109619,0.6848132,0.74369204,0.4893123,0.65301263,0.7288613,0.93129015
arcticmovie,0.4450449,0.2901095,0.6927943,0.49810362,0.6019111,0.6011506,0.5562901,0.6365219,0.6874062,0.5361112,0.0,0.50199765,0.53828955,0.62541527,0.77112186,0.66697687,0.40610838,0.718389,0.92159384,0.85501295
artofracingmovie,0.5677547,0.27076846,0.9476158,0.4117574,0.98256963,0.86091024,0.786604,0.7194625,1.0433831,0.44303086,0.0,0.8500375,0.767305,0.8141013,0.967989,1.0200768,0.55379266,0.70445764,1.1956384,1.2662494
avengers,0.5195353,0.25134295,0.62572855,0.2834122,0.6622047,0.5182217,0.54214257,0.47247872,0.68363357,0.3849055,0.0,0.48463374,0.35857537,0.48217016,0.65437025,0.8029338,0.42066842,0.4625986,0.7352808,0.5939426
beachbummovie,0.46708694,0.19479266,0.7351801,0.2750945,0.8692139,0.73883694,0.65245944,0.6724262,0.72881585,0.34035823,0.0,0.5574168,0.6541599,0.75725394,0.7304164,0.9787016,0.32801187,0.6132047,1.0209547,0.77914166
