movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_187,feature_188,feature_189,feature_190,feature_191,feature_192,feature_193,feature_194,feature_195,feature_196,feature_197,feature_198,feature_199,feature_200,feature_201,feature_202,feature_203,feature_204,feature_205,feature_206,feature_207,feature_208,feature_209,feature_210,feature_211,feature_212,feature_213,feature_214,feature_215,feature_216,feature_217,feature_218,feature_219
21bridgesmovie,0.14869414,0.30460638,0.38856223,0.2815645,0.0,0.29723766,0.0,0.0,0.24577785,0.1839064,0.0,0.29250854,0.17992605,0.28514633,0.0,0.38374755,0.31763005,0.0,0.35854352,0.33635908,0.21205634,0.3048924,0.18636449,0.27924472,0.12239132,0.16516022,0.24342656,0.44585893,0.19066867,0.4884517,0.38910115,0.0,0.088202044,0.24619229,0.0,0.0,0.4260729,0.0,0.28246197,0.0919835,0.44099978,0.21288426,0.0,0.34428093,0.22669145,0.43850186,0.22655465,0.1624918,0.008494528,0.0,0.0,0.33057,0.08481333,0.4479224,0.2882623,0.4556264,0.4589361,0.0,0.4370336,0.15711617,0.0,0.42334387,0.21226609,0.37326658,0.25776094,0.0,0.0,0.0,0.16632967,0.25974146,0.18549614,0.124770276,0.3217777,0.39309058,0.0,0.13464577,0.33926833,0.0,0.14332183,0.28604224,0.63181007,0.25100544,0.0,0.0,0.49355334,0.33994937,0.3037638,0.3021914,0.0,0.19517681,0.0,0.14042635,0.30867913,0.24346802,0.49042517,0.5083536,0.48878264,0.19421853,0.40245542,0.0,0.0,0.43886825,0.35554266,0.3854432,0.025803464,0.3502482,0.38705918,0.45874047,0.32644647,0.28487575,0.04405773,0.0,0.5694516,0.11686857,0.2813919,0.41370106,0.40051576,0.17894872,0.10221949,0.117947415,0.11699924,0.4407182,0.0,0.27989975,0.26746958,0.12792821,0.0,0.26046193,0.34852645,0.29540038,0.0,0.25094998,0.44915438,0.48116758,0.16672218,0.4316994,0.32352498,0.31598124,0.34504196,0.24118505,0.45024273,0.3685607,0.27308983,0.22271962,0.36083484,0.3272876,0.3196681,0.32131994,0.39143735,0.28369614,0.0,0.0014516432,0.11573309,0.20128484,0.0,0.55652595,0.5005366,0.28478777,0.0,0.23399357,0.3120369,0.45891863,0.09747803,0.1515666,0.18512306,0.25092188,0.40441445,0.3693349,0.4330222,0.18449014,0.0,0.2154967,0.52355635,0.48074234,0.19003357,0.2476299,0.22984827,0.48944142,0.22616166,0.0,0.36601302,0.0,0.1673079,0.26731881,0.36591658,0.11118511,0.0,0.37887013,0.29712158,0.33055794,0.41286722,0.2634907,0.23293395,0.14065261,0.41529804,0.0,0.21699123,0.34354803,0.14700712,0.40711832,0.20974244,0.2756548,0.49006113,0.0,0.0,0.14699392,0.118674606,0.060877167,0.34895307,0.28526634,0.3450858,0.3337155,0.4067764,0.0,0.039655257,0.38199013,0.20374216,0.27692312,0.35069284,0.31358567
47metersdown,0.12669836,0.4246187,0.48897585,0.315375,0.0,0.42458245,0.0,0.0,0.30349165,0.12608033,0.0,0.41209134,0.2792112,0.25718778,0.0,0.5117882,0.4140709,0.0,0.48134044,0.57973784,0.3533693,0.2303417,0.26421034,0.25667065,0.0,0.11867309,0.4883285,0.37239832,0.254527,0.5434074,0.41093215,0.0,0.24853277,0.42125615,0.0,0.0,0.48027188,0.0,0.44816446,0.0,0.41225663,0.13631913,0.0,0.395229,0.43649712,0.6403738,0.31976703,0.42982176,0.05992516,0.0,0.0,0.5107778,0.16477883,0.48870727,0.4159334,0.27119124,0.658533,0.0,0.51270944,0.2890402,0.0,0.3244706,0.25281522,0.5224545,0.5822699,0.0,0.0,0.0,0.1556327,0.20884594,0.3875377,0.1993814,0.449222,0.46824256,0.0,0.11793679,0.42799705,0.0,0.06057799,0.5230077,0.56713015,0.46929732,0.16304038,0.10877922,0.59231454,0.2986112,0.31082729,0.24502008,0.0,0.26386717,0.0,0.06698388,0.39981037,0.25830805,0.6331902,0.6094904,0.6460526,0.0737001,0.35366958,0.0,0.0,0.4957309,0.48189074,0.5057471,0.1237889,0.45926332,0.36555824,0.5846496,0.14810233,0.18533748,0.2621807,0.0,0.642647,0.17919199,0.31977764,0.58951074,0.6182104,0.3721534,0.30794463,0.03645669,0.00252074,0.54675275,0.0,0.4272407,0.098137006,0.1520003,0.0,0.11258708,0.3234364,0.5526278,0.12955225,0.26387218,0.51343346,0.4685298,0.08634861,0.63805795,0.43311247,0.41540337,0.43181428,0.31875774,0.31697366,0.39273056,0.24619159,0.1935984,0.6639932,0.37431782,0.47211537,0.28873408,0.40460944,0.36025473,0.0,0.0,0.09708784,0.4685156,0.0,0.659709,0.63370806,0.6316004,0.14240414,0.23556271,0.5711557,0.42986414,0.17421181,0.076693,0.23243453,0.37519872,0.36547723,0.3812622,0.5306405,0.43697706,0.0,0.40192062,0.5571711,0.49356073,0.3941934,0.24374811,0.5693026,0.34394503,0.15837526,0.084433116,0.47805986,0.042105734,0.3477841,0.2463039,0.35634667,0.13504167,0.0,0.62337583,0.40370694,0.21733354,0.5411881,0.578608,0.3213168,0.09446985,0.61854297,0.0,0.1753336,0.43492135,0.16784553,0.40595168,0.21352214,0.3735127,0.6169204,0.0,0.0,0.10263143,0.0,0.006397007,0.18015674,0.49051163,0.3312536,0.5042056,0.6380186,0.0,0.12931657,0.4261006,0.22651881,0.45676786,0.49462494,0.30267435
abeautifuldaymovie,0.12047114,0.28298292,0.3494225,0.24247396,0.0,0.37199786,0.0,0.0,0.17260289,0.21813215,0.0,0.425222,0.13051951,0.18926698,0.0,0.27689475,0.347512,0.0,0.24093673,0.29768318,0.27116382,0.19839607,0.22407739,0.21693818,0.024533613,0.24569644,0.2163734,0.40213582,0.14706625,0.45504853,0.42677742,0.027627701,0.16943821,0.2327917,0.0,0.0,0.23113798,0.0,0.2674585,0.0,0.26504025,0.224316,0.0,0.31007555,0.26750264,0.42195922,0.18918934,0.16602176,0.14062957,0.0,0.0,0.32980332,0.0075824345,0.2682545,0.32005814,0.33005565,0.43601668,0.024416815,0.45680878,0.15708877,0.030265402,0.39256763,0.09572865,0.27121615,0.3591593,0.0,0.0,0.0,0.28044462,0.2589641,0.15760729,0.07710569,0.36113724,0.3708899,0.0,0.0062412396,0.2550552,0.0,0.16086116,0.33209795,0.40478817,0.1527428,0.02621223,0.013607521,0.43652582,0.2463625,0.3001108,0.17693278,0.0,0.21910605,0.0,0.10198627,0.34695533,0.25248975,0.36230126,0.40546668,0.38155696,0.20057826,0.25125107,0.0,0.0,0.4350358,0.20978847,0.3272674,0.07312532,0.31950146,0.4178834,0.39721677,0.28313944,0.25920564,0.171559,0.0,0.4764664,0.19235076,0.25616595,0.38148195,0.49576497,0.13913935,0.118402556,0.031197064,0.05754579,0.36552426,0.0,0.23656863,0.12884368,0.014678493,0.0,0.27170166,0.26276374,0.17620374,0.0,0.27891916,0.41949403,0.4394644,0.09580675,0.31014222,0.24322328,0.21977611,0.40616623,0.14293124,0.26272655,0.3346416,0.18680242,0.2534533,0.46525583,0.46896803,0.3787767,0.35611492,0.36588737,0.262179,0.0,0.0,0.19823748,0.40445137,0.0,0.4997118,0.30229366,0.40144825,0.08457888,0.19398919,0.3698215,0.383061,0.14763238,0.0775621,0.07671175,0.18120843,0.19048749,0.28909397,0.41617745,0.2399387,0.0,0.1872557,0.5526426,0.31680396,0.17804003,0.16554156,0.35130048,0.31674603,0.13161303,0.07518471,0.35081574,0.0,0.20367754,0.23299855,0.37422672,0.124848105,0.0,0.42483965,0.14521617,0.22625129,0.21300253,0.34592772,0.32167277,0.100975394,0.44331118,0.0,0.21168217,0.37363786,0.13548411,0.31665203,0.13810328,0.20774618,0.36360103,0.0,0.0,0.08159823,0.18232532,0.13771243,0.30768722,0.3059932,0.3389108,0.3782903,0.36155564,0.03957801,0.14069515,0.33237785,0.16231851,0.24363756,0.39478105,0.19107352
abominablemovie,0.40050063,0.5805059,0.6344821,0.56095433,0.0,0.62649083,0.0,0.0013815276,0.40925524,0.17785004,0.0,0.6298172,0.18176726,0.4335189,0.0,0.698347,0.5035853,0.0,0.5271216,0.638773,0.5453976,0.5277917,0.35608098,0.31554526,0.119959824,0.11835372,0.45748162,0.5100915,0.18589893,0.86079043,0.60226184,0.0,0.17917404,0.30383474,0.0,0.0,0.4630219,0.0,0.66912276,0.0,0.7673192,0.2210468,0.0,0.63449657,0.3566053,0.64370084,0.45726392,0.43991223,0.25670165,0.0,0.0,0.6269038,0.08376832,0.8084711,0.5016442,0.49645403,0.8082492,0.0,0.74006385,0.2615337,0.0,0.5388898,0.18547906,0.49256557,0.8018338,0.0,0.0,0.0,0.18621027,0.5110148,0.40675914,0.306971,0.33841878,0.68759394,0.0,0.2767894,0.505496,0.0,0.1274944,0.67011297,0.7967245,0.32778016,0.0,0.07536197,0.47331122,0.63753957,0.623775,0.585497,0.0,0.34932426,0.0,0.08989967,0.64240986,0.5591169,0.5654163,0.7888136,0.5114401,0.045082092,0.627281,0.0,0.0,0.6335932,0.47265816,0.49559155,0.0,0.52343935,0.68788517,0.7885864,0.3635223,0.16739963,0.11889665,0.0,0.81745267,0.07204881,0.5484925,0.3679371,0.8360137,0.25043643,0.49369913,0.0,0.19617282,0.86461455,0.0,0.5130231,0.13155703,0.2239751,0.0,0.12628229,0.4249665,0.3860462,0.0,0.50088674,0.8595779,0.6423126,0.032073073,0.595812,0.39825562,0.35117927,0.64014834,0.24948926,0.51879025,0.85573745,0.17524353,0.2958594,0.5359939,0.5903195,0.57039356,0.53149647,0.5887735,0.5170673,0.0,0.0,0.35954028,0.771485,0.0,0.64627266,0.6481118,0.7644194,0.042365886,0.21600546,0.39623833,0.7069991,0.11832053,0.11753044,0.07569744,0.61775243,0.32830796,0.40457702,0.80565166,0.61277664,0.0,0.3390037,0.6421006,0.86716896,0.3580725,0.14977653,0.6254086,0.57954144,0.36159733,0.013510405,0.67151296,0.17172825,0.49598876,0.5097343,0.4775899,0.07668105,0.0,0.59033513,0.1489864,0.6339752,0.486647,0.5858274,0.3818982,0.23165525,0.61983997,0.0,0.078219436,0.60018075,0.2691173,0.67642164,0.2588845,0.6382399,0.79814667,0.0,0.0,0.12320665,0.30955586,0.12357624,0.5572972,0.57646984,0.3562993,0.49512976,0.5311864,0.0,0.21121255,0.7121832,0.507725,0.4108039,0.4717507,0.49770322
adastramovie,0.05480823,0.30264774,0.36440843,0.21390931,0.0,0.25949115,0.0,0.0,0.07409599,0.12483602,0.0,0.471789,0.28516415,0.26694983,0.0,0.33141962,0.3718047,0.0,0.33504176,0.2719357,0.29581523,0.35637847,0.20945492,0.31899107,0.0721626,0.16445945,0.22832656,0.17064795,0.15518868,0.38755658,0.35876322,0.0,0.16507378,0.22415507,0.0,0.0,0.3046421,0.0,0.28492057,0.0,0.49268934,0.09356482,0.0,0.26927754,0.351357,0.39543828,0.1712163,0.19546784,0.18392432,0.0,0.0,0.33116066,0.10333038,0.29957983,0.23357022,0.2730667,0.34045118,0.0,0.18794851,0.16028573,0.0,0.39837223,0.10178444,0.2707132,0.33364034,0.0,0.0,0.0,0.21666355,0.21285686,0.30837235,0.1032278,0.3060736,0.4938982,0.0,0.0,0.31391692,0.0,0.02721959,0.28845865,0.5115822,0.1829897,0.15517493,0.0,0.2679231,0.21088608,0.21226704,0.11488325,0.0,0.100320436,0.0,0.058288,0.23995538,0.23837402,0.3085769,0.33804384,0.30785608,0.18092461,0.26286325,0.0,0.0,0.46481276,0.36465567,0.26877856,0.0,0.26769197,0.5098395,0.35409737,0.22857532,0.22263369,0.029499104,0.0,0.6017223,0.20926008,0.2765916,0.31014916,0.35760736,0.0525803,0.28823942,0.027037464,0.113817945,0.25612226,0.0,0.17150392,0.21338734,0.05344867,0.0,0.25793442,0.3006902,0.32585844,0.0,0.41094223,0.42004204,0.352549,0.16204523,0.45309377,0.42109624,0.26499712,0.27380812,0.28451318,0.33776787,0.3417371,0.16721499,0.119756564,0.39136866,0.3691978,0.2952835,0.38929883,0.31613916,0.29698136,0.0,0.036572367,0.12905961,0.34712002,0.0,0.47052705,0.47347635,0.47396353,0.054070815,0.18329425,0.2792051,0.2836743,0.19749902,0.048834026,0.18334424,0.26670396,0.25760695,0.31489873,0.40740258,0.23707503,0.0,0.20678262,0.51707226,0.43834457,0.14726679,0.12156209,0.26453036,0.40419796,0.14576611,0.0,0.3150164,0.19291344,0.25829503,0.27388954,0.25807267,0.07604599,0.0,0.20590058,0.20900838,0.36808497,0.4049082,0.3149535,0.26965174,0.14988911,0.465465,0.0,0.2742913,0.3568062,0.026247218,0.30533552,0.19948366,0.26342654,0.40447208,0.0,0.0,0.0,0.06712443,0.04148137,0.31546834,0.4209031,0.26491156,0.308483,0.30302233,0.0,0.19312236,0.2759884,0.21834618,0.22331508,0.42934552,0.19898249
adogsjourneymovie,0.3546666,0.6106976,0.9437209,0.50415146,0.0,0.61843395,0.0,0.0,0.4885338,0.38364387,0.0,0.90046483,0.9032885,0.4405119,0.0,0.6389564,0.7730872,0.0,0.6228499,0.8618913,0.54785997,0.78520864,0.53432536,0.30164236,0.0,0.26624534,0.9842644,0.55990314,0.5071554,0.9962695,0.8620869,0.21570103,0.35259464,0.7154484,0.0,0.0,0.9800362,0.0,0.8990882,0.0,0.85911584,0.48799348,0.0,0.6365528,0.924347,1.0469025,0.29172713,0.32664385,0.086738504,0.0,0.0,0.605785,0.50706846,0.8469428,0.60277176,0.7976147,1.0019519,0.17229435,0.9738644,0.19102706,0.0,0.54886496,0.25011593,0.6371498,0.5302372,0.0,0.0,0.0,0.12579991,0.39523983,0.6738824,0.013371399,0.43028858,0.67988884,0.0,0.03658242,0.81346375,0.0,0.14909026,0.5769786,1.1651906,0.3735795,0.41746786,0.21301524,0.6889406,0.95805043,0.45831564,0.4781358,0.0,0.31607613,0.0,0.039487213,0.75589865,0.3632212,0.9142069,1.067119,1.1315011,0.0,0.58832514,0.0,0.0,1.0034368,0.5938147,0.44692665,0.12081805,0.65548676,0.8535952,1.107451,0.8415118,0.7995822,0.46382794,0.0,0.96885633,0.6194869,0.873615,0.7352885,0.97129965,0.15994018,0.4859131,0.0,0.3671748,1.0216262,0.0,0.9465945,0.34602648,0.20611219,0.0,0.60130984,0.58153963,0.9195214,0.0,0.56818986,1.0655829,1.1672946,0.24308646,1.0525098,1.1488622,0.3055403,0.57323825,0.5774857,0.71836305,0.54800147,0.47352573,0.52167296,1.1303469,0.8328081,0.894919,0.58553123,0.9130267,0.6659383,0.0,0.014193827,0.21637285,0.9297557,0.0,1.0577493,1.1549572,1.0261632,0.4874614,0.5240515,0.78012544,0.9425264,0.44724143,0.31869045,0.3249547,0.8011637,0.48536745,0.70005107,0.67356956,0.5036144,0.0,0.27245334,1.06979,1.1751719,0.48279548,0.60850894,1.0655775,0.80961514,0.59608227,0.100555114,0.74242705,0.0,0.6464219,0.7422977,0.53785896,0.16676591,0.0,0.7305746,0.7351139,0.7195269,0.8044448,0.94055617,0.53094983,0.4421851,1.0404264,0.0,0.6397012,0.5854939,0.15511787,0.62385356,0.4769083,0.7762906,1.1929547,0.0,0.0,0.28101388,0.13824323,0.1124175,0.890786,0.91060364,0.42444497,0.9800271,0.74121463,0.036047954,0.17601761,1.196733,0.6978742,0.6686209,1.033157,0.5609581
aftermathmovie,0.11965721,0.2565511,0.31104884,0.22520979,0.0,0.17213619,0.0,0.0,0.11945116,0.10465703,0.0,0.18773861,0.0887472,0.12832887,0.0,0.18151212,0.22972862,0.0,0.21295094,0.15352145,0.18387595,0.2156487,0.20606077,0.17671242,0.051265106,0.114200346,0.15645592,0.28414848,0.15654416,0.2680289,0.25062048,0.0,0.13958824,0.13832495,0.020278053,0.0,0.19385523,0.0,0.2629948,0.0,0.30193794,0.14714545,0.0,0.16082351,0.2800863,0.2855462,0.1637166,0.14613764,0.018609324,0.0,0.0,0.291012,0.061922174,0.31179866,0.20575687,0.20486231,0.2922284,0.046413366,0.26413667,0.08424536,0.0,0.13101304,0.054043863,0.22955975,0.24828796,0.0,0.0,0.0,0.059778266,0.08745198,0.19042113,0.006663932,0.3101942,0.26667488,0.0,0.018177923,0.17166603,0.0,0.05297834,0.23094928,0.23884317,0.10836026,0.010842489,0.07741602,0.23887122,0.15724969,0.14750239,0.1661799,0.0,0.123944074,0.0,0.1460581,0.22867943,0.116435744,0.3405917,0.26108924,0.24801904,0.10015545,0.122716114,0.0,0.0,0.34524432,0.14097606,0.26460332,0.056543812,0.270897,0.29165754,0.24347906,0.23198208,0.13184428,0.09890774,0.0,0.38312957,0.11211606,0.25625584,0.2967645,0.33305192,0.12648723,0.19178095,0.0,0.075120665,0.23771277,0.0,0.14525835,0.19057335,0.08193557,0.0,0.09317135,0.15154178,0.25098103,0.0,0.2189926,0.3388595,0.27970093,0.06051973,0.34098977,0.21702637,0.17102583,0.28777346,0.1779214,0.23642015,0.269606,0.20319813,0.06646437,0.31165928,0.2497097,0.25335196,0.24580649,0.2899282,0.22059084,0.0,0.00031566806,0.05482626,0.17103043,0.0,0.37227297,0.2624417,0.29392576,0.05593173,0.05601441,0.23502031,0.286035,0.12914026,0.052392997,0.026990008,0.20733382,0.17349695,0.27325192,0.3219595,0.1675449,0.0,0.2317425,0.34538963,0.26656288,0.1650342,0.15262574,0.28930554,0.31949934,0.20514932,0.05925958,0.26362312,0.059086442,0.14195618,0.18497053,0.25699258,0.048798606,0.0,0.24641009,0.22923526,0.21826737,0.3064572,0.26847893,0.18541941,0.057243537,0.35591376,0.0,0.111048914,0.24385023,0.12838764,0.26101777,0.105813,0.17790446,0.30531114,0.0,0.0,0.0064578773,0.0756481,0.046934098,0.16573778,0.24240834,0.16045402,0.2620405,0.31603137,0.06975784,0.11483391,0.3207553,0.17519695,0.1767665,0.2630636,0.18332504
aftermovie,0.10608425,0.24390674,0.3942198,0.23671375,0.0,0.35038355,0.0,0.0,0.08040153,0.14126953,0.0,0.35563838,0.09437188,0.25513119,0.0,0.33815062,0.29892647,0.0,0.28242537,0.33917427,0.21598886,0.27104414,0.22701396,0.3133008,0.0,0.299846,0.25263077,0.4144422,0.0909258,0.33416262,0.348545,0.13574137,0.11789289,0.35163403,0.0,0.0,0.3811662,0.0,0.26207224,0.0006695541,0.35555524,0.18302035,0.0,0.31882665,0.33185077,0.32542762,0.27227488,0.26393816,0.017809132,0.0,0.0,0.39751703,0.029986884,0.38269988,0.37303016,0.32382047,0.289124,0.027779974,0.5276572,0.073912084,0.0,0.38158005,0.060225572,0.30610818,0.3331319,0.0,0.0,0.0,0.13204125,0.26502335,0.23715064,0.15910512,0.28633636,0.31990686,0.0,0.027036117,0.40036514,0.0,0.11340307,0.32509154,0.43544233,0.2592905,0.018883843,0.21209335,0.3023835,0.38123864,0.24321945,0.2869468,0.0,0.176889,0.0,0.1704473,0.33219773,0.16350949,0.32893232,0.43786657,0.366125,0.07142254,0.29500955,0.0,0.0,0.4559399,0.3595437,0.25691494,0.024624765,0.30788273,0.34408405,0.39273846,0.43147054,0.21937339,0.18999934,0.0,0.5707794,0.10441361,0.2671116,0.367045,0.48640484,0.2052198,0.16338134,0.047214393,0.2053083,0.48210594,0.0,0.23044638,0.19614024,0.11001212,0.0,0.35446844,0.35238257,0.29758456,0.0,0.21552595,0.5470991,0.37909603,0.0,0.43588215,0.32080784,0.19552481,0.219782,0.24139665,0.3102809,0.32804626,0.24614963,0.24586685,0.3220043,0.35988873,0.2717894,0.39630222,0.2673836,0.42040032,0.0,0.12170535,0.16668507,0.29671952,0.0,0.39606312,0.5254266,0.40069383,0.056300797,0.12079847,0.30231968,0.37070101,0.028509162,0.14667106,0.07996019,0.21766709,0.19983669,0.2822861,0.46202728,0.28274214,0.0,0.1483598,0.4436404,0.39724663,0.29972395,0.115413554,0.4064304,0.36225298,0.21958447,0.07021723,0.3888591,0.027958337,0.10452798,0.3319369,0.3043063,0.07951268,0.112048246,0.2215293,0.2753838,0.37668967,0.2999135,0.33160138,0.31476048,0.21634057,0.2731533,0.0,0.18180835,0.25819513,0.2016665,0.36766115,0.1911152,0.2528534,0.47727585,0.0,0.0,0.14863487,0.012843501,0.16804758,0.21585697,0.3074185,0.41156906,0.3591953,0.2993307,0.010368201,0.17099997,0.44825193,0.2315314,0.21777928,0.28792074,0.1409159
ahiddenlifefilm,0.07808924,0.105127126,0.14670876,0.08616522,0.0,0.111984536,0.0,0.0,0.05327565,0.06010603,0.0,0.1437497,0.07372033,0.07435718,0.0,0.12810344,0.110681,0.0,0.11214687,0.12363201,0.1063167,0.10545324,0.09351967,0.08501763,0.0074854293,0.053939357,0.09712383,0.12285779,0.07994272,0.16145593,0.12600908,0.0036555275,0.046576776,0.09826429,0.0,0.0,0.14092739,0.0,0.11509502,0.0,0.13680223,0.053745642,0.0,0.11869329,0.10509054,0.13149999,0.07716364,0.07704334,0.028909976,0.0,0.0,0.12985995,0.04908669,0.13479994,0.11980151,0.12372447,0.14334297,0.006956372,0.14312865,0.06139496,0.0,0.11624159,0.052285835,0.10871339,0.11781952,0.0,0.0,0.0,0.049066804,0.067872904,0.095402315,0.029985595,0.11910801,0.14027752,0.0,0.009484618,0.119141795,0.0,0.047100216,0.11097532,0.16933449,0.08129291,0.016744474,0.019966494,0.12268922,0.12211676,0.09171896,0.08937574,0.0,0.05843516,0.0,0.044988964,0.12220358,0.077972844,0.13933127,0.14977254,0.13368724,0.04136783,0.100319415,0.0,0.0,0.14640044,0.10280874,0.11974301,0.016124878,0.10470542,0.13701116,0.13985687,0.095646694,0.084921,0.05226401,0.0,0.17095444,0.05135087,0.115763485,0.14310049,0.14946924,0.07253355,0.07916264,0.0,0.040662818,0.12816945,0.0,0.12125486,0.066731445,0.039860673,0.0,0.08228269,0.10703773,0.11731565,0.0,0.11359961,0.16565488,0.14490835,0.040558487,0.15378617,0.10266019,0.089218855,0.11154571,0.071211696,0.112957165,0.12931474,0.085063435,0.06591335,0.1493927,0.125153,0.121105365,0.11855604,0.1285498,0.117622264,0.0,0.0075832414,0.05048565,0.12261213,0.0,0.16326553,0.15245773,0.16194199,0.027763134,0.06957479,0.119646944,0.13957404,0.03778073,0.053392135,0.04597236,0.10060973,0.097435705,0.11207224,0.1386545,0.09169902,0.0,0.08218392,0.16398741,0.14402594,0.09203473,0.07166007,0.14243491,0.12877005,0.06435058,0.015062396,0.12816261,0.0023114772,0.08795668,0.09148067,0.106062055,0.044564348,0.0,0.1239377,0.08331042,0.10979289,0.12298246,0.13182797,0.09656791,0.0485192,0.14511076,0.0,0.07272098,0.10763005,0.053639486,0.13438366,0.0575195,0.097301506,0.14516394,0.0,0.0,0.034080274,0.025875183,0.033681825,0.115869194,0.12945504,0.10198761,0.13104573,0.13391127,0.0,0.037831105,0.14007503,0.07168423,0.11357893,0.13809264,0.0812565
alitamovie,0.31071934,0.48063216,0.6001212,0.23700674,0.07529491,0.461704,0.0,0.022905152,0.2916448,0.20942473,0.0,0.4109928,0.21919265,0.37722102,0.0,0.331495,0.16677783,0.0,0.4035282,0.44934285,0.50316685,0.45656905,0.45760968,0.48811793,0.0,0.36258,0.22989304,0.50047123,0.3569078,0.413905,0.47375113,0.0865191,0.08280191,0.3513511,0.0,0.0,0.5310411,0.0,0.55330384,0.0,0.7260232,0.37658256,0.0,0.5445183,0.61481607,0.3227332,0.16555478,0.12991197,0.16382045,0.0,0.0,0.46803838,0.07125096,0.492613,0.40741444,0.40392664,0.5727375,0.0,0.5257278,0.18768561,0.0,0.690221,0.2323116,0.58795017,0.61831045,0.0,0.0,0.0,0.18150681,0.33612445,0.3599596,0.03408311,0.48229837,0.6091136,0.0,0.23730762,0.28587902,0.0,0.09790607,0.48212472,0.78095096,0.28379568,0.13673125,0.0,0.28466853,0.26457515,0.3802201,0.25699115,0.0,0.29458654,0.0,0.28770256,0.4166307,0.3787048,0.6381399,0.63848096,0.5134975,0.11739356,0.17791031,0.0,0.0,0.6785994,0.48987296,0.4770546,0.0,0.5562052,0.781202,0.43535683,0.4569937,0.26194364,0.2208615,0.0,0.7009504,0.32981974,0.32827336,0.727519,0.6421698,0.18374763,0.3035364,0.33832055,0.08643125,0.6450526,0.0,0.4636704,0.23491013,0.19266136,0.0,0.29497784,0.45426628,0.46249774,0.0,0.6030687,0.6507374,0.47451788,0.05897724,0.7097372,0.32259807,0.22003561,0.33126208,0.18438466,0.5518725,0.41798204,0.24727312,0.3725238,0.6536147,0.78057,0.65396315,0.51748794,0.49024993,0.38635775,0.016716935,0.055442512,0.2792559,0.42388728,0.0,0.67302173,0.5780164,0.68965757,0.0,0.37535477,0.24190193,0.36510795,0.15542845,0.043727957,0.31651476,0.33498073,0.43273428,0.4773219,0.42321137,0.4281245,0.0,0.19419856,0.65715903,0.7238269,0.45635542,0.32005703,0.46121064,0.46373445,0.34666133,0.06127496,0.46659517,0.12995481,0.28854918,0.3743414,0.29508203,0.07264326,0.083959125,0.4774778,0.39130935,0.60153484,0.4076731,0.5726281,0.44178185,0.16527463,0.6916677,0.0,0.34478644,0.47321826,0.33140624,0.45621642,0.17677404,0.4473811,0.55089325,0.0,0.0,0.0,0.04195672,0.14259225,0.50975597,0.63917756,0.53175277,0.44898838,0.62557846,0.0,0.23871785,0.34819403,0.3300031,0.24378476,0.73220706,0.38741532
