movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89
21bridgesmovie,0.5631531,0.3412291,0.41478977,0.37844297,0.2571206,0.49779347,0.58097947,0.66279185,0.0,0.3562833,0.0,0.3167948,0.49270365,0.39326197,0.5054285,0.34930843,0.4054677,0.27286392,0.4591499,0.52887654,0.45841563,0.25368115,0.42305315,0.16262466,0.0,0.0,0.40872705,0.59363985,0.26048326,0.112422615,0.2640387,0.15317841,0.54388845,0.0,0.0,0.0,0.5642166,0.2998568,0.057005316,0.46765348,0.0,0.41451278,0.25366288,0.06055112,0.2041349,0.29888928,0.41306317,0.0940147,0.31477323,0.5306066,0.6289413,0.15386775,0.36629295,0.60157657,0.102612466,0.30054766,0.4569924,0.28656015,0.30373314,0.3951268,0.47046903,0.0,0.2923633,0.27644736,0.48555773,0.45755932,0.0,0.386599,0.0,0.4418189,0.5730222,0.121429786,0.05607854,0.3751065,0.3006316,0.3546007,0.63284606,0.2011599,0.23334047,0.2993836,0.20714784,0.17769258,0.16077131,0.3967408,0.2535294,0.4311042,0.08119437,0.29529983,0.4428401,0.603248
47metersdown,0.6427558,0.8108229,0.47779173,0.7460382,0.29079297,0.49179414,0.64764094,0.5542692,0.0,0.82215005,0.0,0.35987082,0.67605186,0.3498776,0.6558231,0.36499816,0.38422352,0.38857484,0.7815212,0.6347422,0.38275707,0.6112152,0.7888065,0.22394875,0.0,0.0,0.6223216,0.82627356,0.3035575,0.06456725,0.1872628,0.13321334,0.42959628,0.009431974,0.0,0.0,0.6757589,0.49060506,0.019576127,0.09126069,0.0,0.7876345,0.2241599,0.16941848,0.03833347,0.3278272,0.6608922,0.0,0.3537698,0.6861393,0.7536982,0.32229924,0.6020037,0.6048054,0.23668681,0.48364997,0.40009275,0.2998087,0.41643086,0.8536894,0.5136452,0.0,0.31958953,0.44132113,0.5381183,0.54339594,0.0,0.31674066,0.0,0.68671,0.48529845,0.11398943,0.16712177,0.44346645,0.4926075,0.6067393,0.59951794,0.49038497,0.31579667,0.20241971,0.2855134,0.21541741,0.20648879,0.3548003,0.6086044,0.58447194,0.21065009,0.649414,0.49737865,0.47768798
abeautifuldaymovie,0.50944537,0.562704,0.41726044,0.54257107,0.41048908,0.5053573,0.66253436,0.55058116,0.0,0.56416583,0.024233397,0.3990548,0.62303203,0.4058627,0.51534724,0.5083486,0.2453676,0.28792238,0.67242503,0.5274877,0.48781255,0.27423355,0.44523346,0.27625382,0.0,0.0,0.45393842,0.62907374,0.41295815,0.3330218,0.47495452,0.2119621,0.5541469,0.00031604897,0.0,0.0,0.2979547,0.20972446,0.0,0.27050322,0.0,0.4406378,0.2883234,0.084306076,0.24256329,0.2905551,0.5582206,0.0,0.34311977,0.57515675,0.6455282,0.31907782,0.4024882,0.56638473,0.0,0.31019965,0.33168244,0.26851797,0.3910598,0.5401984,0.58513075,0.0,0.42556795,0.4472332,0.40904856,0.54188275,0.0,0.40234485,0.0,0.5144307,0.43365952,0.28594837,0.07080987,0.40673777,0.37990946,0.45058513,0.5710244,0.3500748,0.2874695,0.33311126,0.24587268,0.28235775,0.10449512,0.4026475,0.30490133,0.59124905,0.10625595,0.4149056,0.5228299,0.5668802
abominablemovie,0.704091,0.6331888,0.4607161,0.89609843,0.622878,0.7497332,0.9921836,0.9648136,0.0,0.6069437,0.0,0.59812707,0.83154243,0.65123415,0.79401875,0.879032,0.45448464,0.37508386,0.8472208,0.70940924,0.5024857,0.5630024,0.8632367,0.517386,0.0,0.0,0.6827147,1.0051296,0.20153452,0.22166361,0.5867945,0.33160743,0.8500739,0.0,0.0,0.0,0.49218005,0.60238206,0.0,0.45525172,0.0,0.71712995,0.3204937,0.18431999,0.15180716,0.6822083,0.93818176,0.08961717,0.5880051,0.49120933,0.8814317,0.21898498,0.5355309,0.8394132,0.0046447236,0.48956802,0.6113415,0.499041,0.4222489,0.8315942,0.7718106,0.0,0.4440976,0.5177659,0.83768463,0.8654964,0.0,0.40527022,0.0,0.80172575,0.8655814,0.5904741,0.06914213,0.82858014,0.5254518,0.51956856,1.0840131,0.53079426,0.4970405,0.3848321,0.6553569,0.53192174,0.12574404,0.53356683,0.6385091,0.79931307,0.29735753,0.7479246,0.6832479,0.87443787
adastramovie,0.47379437,0.41580138,0.39734128,0.33767614,0.25633782,0.3724391,0.46021637,0.47223735,0.017411234,0.42503616,0.07639161,0.29518312,0.65162426,0.28146163,0.5446166,0.42391217,0.33099386,0.3043167,0.5409782,0.429544,0.2934494,0.2353394,0.31760556,0.069959134,0.0,0.0,0.22767188,0.6275097,0.18392566,0.18257745,0.31136224,0.1887252,0.52194166,0.058074676,0.0,0.072019115,0.44628945,0.3642325,0.0,0.2043833,0.028720433,0.28421646,0.22137037,0.049297698,0.35110837,0.2879483,0.41829336,0.0,0.3675371,0.42448667,0.41819847,0.24269187,0.3448513,0.57350606,0.07846011,0.36886045,0.25706822,0.16849408,0.24525525,0.4606177,0.4086074,0.0,0.30914554,0.42083687,0.29847482,0.4665476,0.0,0.23867749,0.0,0.39681554,0.4319259,0.113959156,0.0,0.40451998,0.14544655,0.370333,0.56634307,0.21300562,0.099144794,0.4200082,0.25079867,0.15094852,0.23786363,0.37096396,0.2962302,0.4894872,0.21469031,0.48030454,0.34232914,0.39010775
adogsjourneymovie,1.0913543,0.9310726,0.92434573,1.1435697,0.62244105,0.74873513,1.212139,1.3924608,0.0,1.111552,0.010765873,0.55600303,1.4118598,0.98532057,1.1568344,1.145434,0.8343192,0.8245674,1.3764634,1.1723535,1.2765886,0.58242214,1.1682973,0.58586055,0.0,0.0,0.87054366,1.4692651,0.4378432,0.30233008,0.6251695,0.34321564,1.1085017,0.0,0.0,0.0,0.8629699,1.0147312,0.0,0.563988,0.0,0.9095656,0.9360387,0.09872256,0.35253054,0.9452505,1.0287393,0.014864204,0.6757793,1.3417096,1.2719308,0.7410577,1.0461735,1.2906945,0.21022414,0.89830196,0.7197787,0.73944515,0.8330961,1.4793926,1.0853033,0.0,1.016079,0.9198329,1.0162908,0.8519087,0.0,0.5440954,0.0,1.2395478,0.8223292,0.5753648,0.19130248,1.2130058,0.78446966,0.81043196,1.1761848,0.5340881,0.4060267,0.8103726,1.100153,0.29179624,0.5531121,0.6891366,0.67877495,0.76426935,0.24771205,0.84829086,1.3229012,1.2290109
aftermathmovie,0.29560938,0.35869116,0.28337565,0.3104681,0.25965792,0.32870257,0.45177442,0.47547618,0.0,0.41699216,0.0,0.22585398,0.40468803,0.3929691,0.3923435,0.43219322,0.28116143,0.28371182,0.38258535,0.35455173,0.2514866,0.22025466,0.22403444,0.2555973,0.0,0.0,0.3933612,0.50686765,0.14377241,0.21193463,0.27311766,0.03261946,0.39658654,0.14192997,0.0,0.0057955245,0.25436178,0.3118305,0.0,0.26284203,0.0,0.3308384,0.13883682,0.18407393,0.20456302,0.16000362,0.34757012,0.011465514,0.26059118,0.42572573,0.3569758,0.19098061,0.25381193,0.37613845,0.07965846,0.14820908,0.3020125,0.20650299,0.23866348,0.40874252,0.41724342,0.0,0.17349695,0.38934493,0.25304738,0.36177772,0.0,0.2850514,0.0,0.23542817,0.39579692,0.19184268,0.108318076,0.5124118,0.2575482,0.31572586,0.4333138,0.2679486,0.097831845,0.24380758,0.28821176,0.28862903,0.08789849,0.2538395,0.2494322,0.32819548,0.05416379,0.352777,0.4085144,0.43563434
aftermovie,0.46064392,0.37879235,0.27108604,0.5129935,0.26529244,0.38033697,0.58632326,0.51883096,0.0,0.51749665,0.0,0.2908833,0.43095163,0.318496,0.45565394,0.36911398,0.33161756,0.32204643,0.5188961,0.48228002,0.42814147,0.34590128,0.39604992,0.17349485,0.0,0.0,0.28453326,0.66993976,0.29499263,0.24077478,0.20181507,0.21067362,0.3492003,0.10119134,0.0,0.0,0.51100963,0.36829415,0.0005843707,0.2836379,0.0,0.3491625,0.34518504,0.044901215,0.2074988,0.21115111,0.44562417,0.0,0.3758975,0.40969345,0.50066364,0.41433582,0.4231644,0.5850072,0.0,0.25384843,0.2480967,0.3462122,0.25176832,0.51440835,0.51152813,0.0,0.33004326,0.30840242,0.51025295,0.42734343,0.0,0.3559124,0.0,0.29465503,0.4119741,0.2058655,0.046683885,0.39364958,0.29463592,0.4139465,0.7153488,0.2919589,0.08873186,0.35409686,0.21536905,0.22477117,0.15041475,0.43655667,0.24570689,0.36388588,0.15510134,0.46614242,0.43334097,0.36654165
ahiddenlifefilm,0.20614637,0.18871944,0.17423153,0.18565457,0.12029056,0.1881793,0.21878782,0.23451671,0.0,0.2198313,0.0,0.13862985,0.2327748,0.15535751,0.20537877,0.19223513,0.12775962,0.14480908,0.220854,0.21180087,0.1692507,0.12860802,0.19472319,0.10081382,0.0,0.0,0.15887289,0.2594464,0.11603682,0.089776084,0.12724912,0.05724549,0.19942538,0.012450143,0.0,0.0,0.18625663,0.13638224,0.0,0.1209388,0.0,0.1920605,0.12778196,0.046728984,0.07723783,0.13624743,0.20742044,0.004236815,0.13522986,0.21653503,0.21438515,0.109778345,0.16547361,0.23832658,0.016990101,0.14038046,0.14443766,0.13133423,0.13047358,0.21572956,0.2138525,0.0,0.14427356,0.17149822,0.1808615,0.1787853,0.0,0.11244079,0.0,0.17660458,0.19764698,0.1140638,0.030631337,0.18045235,0.13908383,0.17593427,0.27884927,0.13688335,0.07855954,0.14443947,0.1304472,0.07894592,0.060289476,0.15787613,0.13417396,0.16845764,0.05860766,0.19056296,0.20114592,0.20422238
alitamovie,0.85531515,0.74929696,0.41707516,0.7352465,0.3972188,0.7595762,0.8903286,0.9934331,0.0,0.6583206,0.0,0.55824316,1.0493789,0.39207363,0.7780882,0.7984834,0.3213219,0.4409665,0.89301914,0.7347066,0.5396335,0.40378618,0.58852845,0.15266189,0.0,0.0,0.78188866,0.89348185,0.10219019,0.03478391,0.66923106,0.06486677,0.9276931,0.09276674,0.0,0.0,0.5577184,0.5576241,0.0,0.5111842,0.0,0.4947872,0.32897747,0.031455725,0.36083758,0.60235393,0.66952825,0.023193782,0.2814922,0.73106223,0.78560996,0.48892522,0.5699526,0.8758853,0.053142793,0.5323829,0.25856122,0.42616355,0.2918913,0.6490079,0.57841724,0.0,0.41748512,0.6839263,0.5974983,0.67158616,0.0,0.30117553,0.0,0.5964891,0.52020293,0.47728822,0.0,0.7675648,0.4427761,0.6696023,0.8007347,0.69910586,0.18552646,0.31739607,0.39840877,0.54012775,0.22202931,0.42324877,0.64621264,0.46702734,0.26217026,0.5488258,0.9229604,0.86705244
