movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
21bridgesmovie,0.6983873,0.31126228,0.23789068,0.20766528,0.57553715,0.5174167,0.79191935,0.75907594,0.33472574,0.598559,0.0,0.402061,0.60333246,0.6791259,0.58282936,0.42290327,0.0,0.5823633,0.67570996,0.57551366,0.4979947,0.47675416,0.5934637,0.29366493,0.90205455,0.662636,0.503289,0.0,0.48893028,0.5702891,0.7195365,0.6892571,0.54653955,0.6550188,0.18289253,0.5645168,0.6449988,0.4302528,0.6729115,0.38473633
47metersdown,0.80572164,0.5146797,0.27620637,0.0992954,0.5464351,0.7657686,0.81691754,1.0106785,0.38788733,1.0227249,0.0,0.4796598,0.70112723,0.7326367,0.731267,0.41554996,0.0,0.6808172,0.83767354,0.7250381,0.6265606,0.5165656,0.7893927,0.34322417,1.0029895,0.6196653,0.902475,0.0,0.60690373,0.6393407,0.83065,0.49597862,0.79465777,0.733448,0.32124254,0.37889466,0.76312894,0.44905975,0.810985,0.30341643
abeautifuldaymovie,0.6500503,0.39991197,0.3039376,0.0,0.51984453,0.56845605,0.66808844,0.8635778,0.37165755,0.7150037,0.0,0.28233367,0.4041758,0.65016174,0.64360577,0.1584703,0.0,0.587845,0.54799503,0.53460217,0.55323863,0.5351662,0.52526045,0.42937377,0.810333,0.5068955,0.36647278,0.0,0.47812182,0.39486077,0.50869805,0.65612453,0.5188934,0.6879411,0.26613733,0.37145904,0.8714963,0.3761068,0.5221726,0.3647563
abominablemovie,1.10949,0.19041465,0.49141246,0.13467857,0.8615773,1.2204736,1.0644555,1.4012054,0.3713709,1.2395011,0.0,0.40741104,0.6884822,1.4051732,0.9771603,0.64684117,0.0,0.8103965,1.195622,0.86544347,1.0919131,0.5091424,0.9035223,0.7713052,1.1495202,1.0763481,0.6872853,0.0,0.9404514,0.67256224,1.358622,0.7579573,0.9642096,1.1304104,0.2005702,0.7572017,1.0510294,0.74983954,0.8465632,0.41538408
adastramovie,0.5095912,0.3804095,0.2621497,0.08590376,0.5151478,0.8510251,0.51484895,0.58470607,0.2684257,0.6419603,0.071681425,0.2763471,0.6661919,0.6921172,0.47813135,0.30125707,0.0,0.44823486,0.5435147,0.5281565,0.62574154,0.38316014,0.66636723,0.19604681,0.8246902,0.74857795,0.37987745,0.0,0.50318825,0.4455092,0.5258247,0.665955,0.4746432,0.6667342,0.32897905,0.19130807,0.58820266,0.22009598,0.6657412,0.14446521
adogsjourneymovie,1.337788,0.5741221,0.5789025,0.015604119,1.2949804,1.7924029,1.200182,2.130011,0.69308823,1.7186319,0.0,0.5452671,1.225236,1.5635477,1.1338964,0.4620144,0.0,1.2737842,1.5283384,0.989478,1.3409858,1.0748676,1.1251137,1.083369,1.799452,1.5600617,0.7830863,0.0,1.201908,0.45571756,1.520306,1.3820337,1.1663182,1.2201642,0.44078884,0.6342112,0.9555239,0.60022366,0.67353797,0.5621816
aftermathmovie,0.46771008,0.34316406,0.11835221,0.0,0.45287094,0.65769017,0.5085167,0.64789075,0.25756434,0.67547274,0.0,0.2355207,0.43674022,0.6129767,0.40099254,0.16586915,0.0,0.35897407,0.5087687,0.37428376,0.43843812,0.42350733,0.50364894,0.35687405,0.5611322,0.48866984,0.29877794,0.0,0.35393918,0.40751326,0.45527565,0.4906644,0.38197404,0.5382897,0.18908566,0.27780983,0.48764813,0.20746528,0.4224707,0.26587525
aftermovie,0.43726158,0.3445274,0.22769679,0.0076674437,0.62906384,0.6546978,0.6020403,0.7870377,0.24639611,0.77225715,0.0,0.34806418,0.599505,0.6372863,0.5187841,0.33895218,0.0,0.5948339,0.7618327,0.5807738,0.64317226,0.5993282,0.5667432,0.27623305,0.82546055,0.5313624,0.47818023,0.0,0.38677058,0.33491513,0.613644,0.3382392,0.51690507,0.5197392,0.30482492,0.28021708,0.540959,0.29196286,0.5087165,0.22793695
ahiddenlifefilm,0.2777091,0.14060287,0.11287987,0.01416297,0.22220823,0.28516975,0.3152151,0.37761384,0.13989241,0.32850567,0.0,0.15768982,0.2296519,0.32191128,0.24128251,0.12798734,0.0,0.24678996,0.2860968,0.22816975,0.26098943,0.20884268,0.25427994,0.15868828,0.36745265,0.28834695,0.17754386,0.0,0.22922377,0.1986,0.28866944,0.27517718,0.2189199,0.29895696,0.10456779,0.16254157,0.29860517,0.15131824,0.2581209,0.1184257
alitamovie,0.8048613,0.5796025,0.33019838,0.059444103,0.681796,1.0560538,1.1558694,0.95735544,0.48649433,1.0746956,0.0,0.6160508,0.9578506,1.2065028,0.69783497,0.49734375,0.0,0.6887041,1.0987718,0.73912907,0.81735766,0.8007302,1.0019451,0.43661618,1.4905151,0.81171167,0.67927074,0.0,0.6947172,0.64742047,0.9594519,1.1248366,0.8960133,0.8383323,0.49857417,0.6749052,0.8882899,0.60839105,0.6639717,0.161191
