movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
21bridgesmovie,0.0,0.38092816,0.7518046,0.91273063,1.0339794,1.5716578,1.115608,1.0046976,1.7198708,1.2870619
47metersdown,0.0,0.40890843,1.06913,0.8685526,1.3492148,1.7266221,1.3102381,0.95320344,1.7275751,1.49874
abeautifuldaymovie,0.0,0.26523173,0.7177917,0.69354445,0.8261266,1.0978526,1.076369,0.99914694,1.6438501,1.2239147
abominablemovie,0.0,0.26307684,0.6851169,0.90615904,1.6411854,1.3694608,1.3522031,1.5866479,2.321405,1.4944422
adastramovie,0.0,0.20018573,0.6053541,0.7007031,0.79570013,1.176466,0.94097865,0.7930654,1.3867372,1.1328943
adogsjourneymovie,0.0,0.3113801,1.0985525,1.3209342,1.7291844,2.7303576,1.6833884,2.1904054,3.577699,1.9955431
aftermathmovie,0.0,0.15850663,0.563633,0.6091675,0.71673584,0.89557385,0.8207464,0.73227346,1.3097836,0.8076071
aftermovie,0.0,0.37502858,0.6187972,0.6036219,0.75418735,1.1601305,1.0383284,0.79872334,1.4873517,1.2028561
ahiddenlifefilm,0.0,0.15286285,0.3488393,0.34613842,0.47481632,0.5990683,0.5122148,0.47721884,0.7770266,0.5711201
alitamovie,0.0,0.055119306,1.0398012,0.9195244,1.1825967,1.488445,1.2796409,1.0325971,1.7180594,1.4020437
angelhasfallen,0.0,0.47547022,0.7658489,0.9484791,1.2573111,1.8057569,1.2430425,0.9680039,1.8600532,1.4761497
angrybirdsmovie,0.0,0.6316456,1.121384,1.4072995,1.894609,2.5414758,2.3892365,2.5892346,4.3458714,2.7451687
annabellemovie,0.0,0.37208006,1.0888795,0.9571107,1.4266617,1.6740022,1.5152297,1.6408657,2.6056113,2.1889982
annamovie,0.0,0.3667933,0.85890305,0.89806634,1.0268835,1.3491521,1.1638186,1.0702249,1.6321551,1.1844833
apollo11movie,0.0,0.33890963,0.3468234,0.51351476,0.6939702,0.8583018,0.758796,0.7591629,1.0744888,0.65034837
arcticdogsmovie,0.0,0.30010596,0.7319094,0.64815223,0.94182205,1.239749,1.0411134,0.795275,1.3864627,1.1768639
arcticmovie,0.0,0.35189024,0.6363226,0.5120832,0.6460972,0.861864,0.8110297,0.7684911,1.0781083,0.7886972
artofracingmovie,0.0,0.18845147,0.8840265,0.8706531,1.041364,1.6663953,1.1366525,0.93461967,1.6391302,1.2761376
avengers,0.0,0.20942748,0.691131,0.6676448,0.755018,1.0051236,0.90231323,0.92833436,1.3070817,0.93941265
beachbummovie,0.0,0.322785,0.5910479,0.4707471,0.9111723,1.0221028,0.93413925,0.9274813,1.31656,0.774284
bernadettefilm,0.0,0.35562482,0.58276045,0.9164778,1.0563257,1.2363403,1.0858481,1.2001431,1.6171787,1.2492107
blackandbluemovie,0.0,0.3985454,1.3679363,1.2597064,1.7573457,2.6679244,1.8384455,2.1806302,4.001812,2.6378975
blackchristmas,0.0,0.2869635,0.7803081,0.78632617,1.1541129,1.2679217,1.2134471,1.0771359,1.6143601,1.0930717
blindedbythelightmovie,0.0,0.29233038,0.543691,0.45422775,0.6468287,0.77713495,0.7541647,0.61667323,1.0619197,0.8363485
bombshellmovie,0.0,0.32790697,0.7376754,0.87804496,1.2840984,1.397053,1.3822051,1.1186008,1.5719229,1.246479
booksmart,0.0,0.0,0.0,0.0,0.0,0.9493162,1.5682802,0.0,0.1739942,0.07548533
breakthroughmovie,0.0,0.3172328,1.3315574,1.0465153,2.1514568,2.5759099,2.2603555,2.1135285,3.5574112,2.0012004
brianbanksmovie,0.0,0.40972933,0.9386847,1.2356514,1.1002853,1.3520812,1.3543023,1.402335,1.9453987,1.5558445
