movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139
21bridgesmovie,0.0,0.0,0.41856864,0.0,0.31071562,0.0,0.45338675,0.0,0.32258576,0.45727345,0.0,0.25450242,0.29966933,0.12147254,0.0,0.4756916,0.23651926,0.0,0.59972936,0.344379,0.21642746,0.20244263,0.45811057,0.5471944,0.21769191,0.15330534,0.0,0.094613396,0.28356853,0.3782145,0.35582823,0.47605816,0.3690241,0.17628056,0.0,0.34218353,0.17136273,0.0,0.25894344,0.07853775,0.46871954,0.07278883,0.3261987,0.40538204,0.0,0.47432312,0.4029092,0.47509927,0.37756553,0.2936082,0.5565813,0.45059615,0.20644405,0.31180817,0.39412042,0.53385687,0.17723125,0.0,0.15067588,0.06842129,0.3808878,0.40091625,0.29736328,0.56908405,0.3198203,0.3603742,0.47726557,0.61643344,0.46050787,0.41270193,0.43060365,0.0,0.4815224,0.0,0.38855547,0.2304517,0.0,0.33641753,0.4790261,0.12017308,0.0,0.14494371,0.0,0.35275647,0.2930534,0.16972129,0.30254996,0.0,0.52912337,0.2666477,0.0,0.025538148,0.44641748,0.45674172,0.4102476,0.20725115,0.39367968,0.36283463,0.38052586,0.31826097,0.0,0.5125142,0.21178365,0.0,0.5647621,0.0,0.10015404,0.0,0.37674478,0.3236409,0.27111885,0.36954552,0.328816,0.14696886,0.40708673,0.014550723,0.0,0.1345784,0.33728904,0.48550865,0.6278455,0.0,0.0,0.5387491,0.09823659,0.40399328,0.44448808,0.21649909,0.0,0.56404674,0.38238636,0.49933723,0.263418,0.51196796,0.25992075,0.5336383,0.3613302,0.36010525,0.03439225,0.35534912
47metersdown,0.0,0.117155194,0.4436181,0.0,0.44543707,0.0,0.52153087,0.0,0.673538,0.46366823,0.0,0.41407323,0.5145685,0.19116391,0.0,0.7333831,0.42467603,0.0,0.5249209,0.41059077,0.30604026,0.3373391,0.7657606,0.56883985,0.21501459,0.22748372,0.0,0.29451114,0.3683469,0.5346153,0.48319283,0.63253546,0.50024915,0.31762823,0.0,0.5375152,0.23396999,0.0,0.24471566,0.0,0.6657981,0.17307144,0.41279525,0.53127134,0.0,0.5087297,0.6096043,0.3921692,0.61104506,0.14679615,0.7771763,0.44094923,0.26223987,0.57522196,0.3920159,0.6801062,0.4002267,0.0,0.18105918,0.077433474,0.5540128,0.5002651,0.43442392,0.5032646,0.64475113,0.5214076,0.5421483,0.75397,0.4171722,0.51135296,0.5787638,0.0,0.59046113,0.0,0.49045658,0.31905273,0.0,0.37243018,0.5422738,0.1743085,0.0,0.36976847,0.0,0.45283577,0.26578078,0.10490233,0.35642377,0.0,0.69325143,0.30542696,0.0,0.19709374,0.5817289,0.47550258,0.39848348,0.48336223,0.6321128,0.38531834,0.56035984,0.09843354,0.0,0.60172886,0.43589568,0.02358292,0.666044,0.03651408,0.2400856,0.0,0.5117763,0.75327945,0.3663703,0.65554774,0.37538362,0.0,0.4225453,0.14529106,0.0,0.3683082,0.48844624,0.49732837,0.65261334,0.0,0.0,0.5992948,0.112105705,0.2046439,0.27452043,0.32914567,0.0,0.5340767,0.33670253,0.5635576,0.36027718,0.93127066,0.23237275,0.6386276,0.37203464,0.4353662,0.2626569,0.40047592
abeautifuldaymovie,0.0,0.0,0.3230558,0.0,0.38389677,0.0,0.38562113,0.0,0.39562908,0.38678652,0.0,0.22787395,0.41997752,0.10260085,0.0,0.3526618,0.15094762,0.0,0.30287296,0.24471693,0.334551,0.2289914,0.5275417,0.3352557,0.05640972,0.16555376,0.0,0.09707906,0.39411744,0.44689006,0.32726023,0.42977986,0.22465993,0.36383095,0.0,0.38708484,0.23288214,0.0,0.18808389,0.04071797,0.57945347,0.068300694,0.3164997,0.3881683,0.0,0.23507108,0.34163,0.46008885,0.25331894,0.095863484,0.45719236,0.327106,0.045869447,0.32759848,0.45028964,0.50449157,0.22413579,0.0,0.14841904,0.15870379,0.34819213,0.39110243,0.12483848,0.521085,0.5141052,0.20126082,0.40195015,0.511795,0.47871935,0.3808161,0.48562655,0.0,0.39715204,0.0,0.49889183,0.25529984,0.0,0.3021721,0.500409,0.17480047,0.0,0.22049823,0.0,0.4203821,0.1632324,0.0927477,0.21984944,0.0,0.48489434,0.24367023,0.0,0.16630231,0.18843685,0.37842008,0.4015999,0.2657407,0.48176497,0.35543203,0.44632724,0.2445341,0.0,0.51077664,0.22764298,0.026002629,0.40823865,0.0,0.11619063,0.018864227,0.2522189,0.41157484,0.27452025,0.33908865,0.08583413,0.041258406,0.37022585,0.017733593,0.0,0.22768861,0.45142448,0.3173546,0.458428,0.0,0.0,0.39033872,0.13022281,0.28065363,0.41155165,0.14619367,0.0,0.53135884,0.34764975,0.5033142,0.24397227,0.45676303,0.3044934,0.3661585,0.32431486,0.4292219,0.039905913,0.17808798
abominablemovie,0.0,0.0,0.4872074,0.0,0.40822366,0.0,0.76242477,0.09109135,0.6697697,0.9117962,0.0,0.31257105,0.6009626,0.456612,0.0,0.7916668,0.48797092,0.0,0.41407585,0.3762612,0.3866442,0.27037734,0.7937589,0.9137426,0.249231,0.22328694,0.0,0.0632205,0.7665612,0.7324764,0.5204032,0.8788807,0.5956472,0.3635188,0.0,0.568511,0.081953265,0.0,0.59928805,0.0,0.70719194,0.08388727,0.4235453,0.69692636,0.0,0.8550659,0.6916926,0.56934816,0.64900637,0.3219636,0.95801234,0.5819943,0.3228321,0.24822274,0.54833573,1.1237372,0.3549136,0.0,0.038242307,0.09963913,0.4563603,0.4996362,0.38405687,0.73969054,0.8671161,0.63411254,0.37849292,0.91983086,0.5588066,0.5636299,0.48242155,0.10801637,0.6638383,0.0,1.0318242,0.5216688,0.0,0.531388,0.86395496,0.34992087,0.0,0.29165563,0.0,0.4634709,0.3051476,0.18942721,0.2788303,0.0,0.70602816,0.38124993,0.0,0.2414605,0.7127657,0.7389335,0.55997705,0.30220535,0.54478246,0.5405036,0.53963095,0.42472592,0.0,0.5937498,0.64918584,0.0,0.7323538,0.12112995,0.29742074,0.0,0.47058174,0.6688921,0.3314729,0.6047478,0.43856743,0.0,0.6423067,0.071017966,0.0,0.3417949,0.6074706,0.45097098,0.84955204,0.0,0.0,0.7609067,0.048987564,0.34571424,0.75750786,0.2523737,0.0,0.6493574,0.41545758,0.9503388,0.5273588,0.79273057,0.679021,0.97812504,0.6248624,0.5442409,0.025985057,0.46083748
adastramovie,0.0,0.0,0.301804,0.0,0.2581142,0.0,0.36769465,0.0,0.34893677,0.5123928,0.0,0.21908759,0.43210724,0.18921128,0.0,0.43468997,0.1415296,0.0413673,0.3697799,0.26795137,0.17412788,0.2308628,0.47327784,0.39853463,0.17093907,0.2368641,0.0,0.037649333,0.24512823,0.4105417,0.33448675,0.44171238,0.28226647,0.18115254,0.0,0.34109092,0.080399096,0.0,0.26947618,0.0,0.47647947,0.19621783,0.25287524,0.3987048,0.0,0.4585483,0.36454836,0.40356648,0.406282,0.20163655,0.45361766,0.30039972,0.14643216,0.26084763,0.43035927,0.4741962,0.14858587,0.0,0.01549415,0.037347678,0.2278828,0.411917,0.22755174,0.35747924,0.486658,0.4154212,0.2799804,0.44769722,0.3460297,0.43442354,0.47972372,0.03425176,0.30706745,0.0,0.41781068,0.27005458,0.0,0.31147796,0.57698935,0.13032639,0.0,0.2572832,0.0,0.5071728,0.28619948,0.1795411,0.20832264,0.0,0.52320665,0.36518958,0.0,0.07149652,0.3044225,0.51804745,0.46392497,0.2775681,0.40286234,0.3728329,0.4103326,0.31077594,0.0,0.37991136,0.22837487,0.0,0.44347894,0.0,0.22418371,0.08442786,0.30944455,0.46524706,0.26908606,0.29080912,0.22011882,0.07274633,0.37948763,0.04165881,0.0,0.22917181,0.3449319,0.26880267,0.39784762,0.0,0.0,0.4518976,0.03210002,0.22013837,0.40831867,0.16463807,0.0,0.40308848,0.25064838,0.48386046,0.2660951,0.40345722,0.36453718,0.49904084,0.35467768,0.39786968,0.056670107,0.13478157
adogsjourneymovie,0.0,0.010196087,0.9155773,0.0,0.7574894,0.0,1.0579602,0.0,0.57638747,1.2831777,0.0,0.42301178,0.76024055,0.4628235,0.0,1.2406641,0.24724486,0.0,0.79490274,0.5801313,0.7111329,0.4936442,0.9825128,0.9840354,0.46209183,0.5501261,0.0,0.0,0.57850504,1.2282888,0.44683358,1.4325067,1.0941423,0.64685094,0.0,1.1086006,0.10689016,0.0,0.39658594,0.0,1.2074555,0.06208495,1.0788634,0.83736223,0.0,1.1091878,0.9530975,1.0271208,0.885407,0.42840475,1.2388402,1.1828914,0.4772779,0.80191535,1.0711979,1.2126243,0.4174093,0.0,0.25611573,0.18559352,0.65057147,0.6506785,0.6252486,1.1602186,1.3857448,1.1612748,1.0965829,1.5632347,1.0038341,1.1531212,1.0288848,0.0,1.052529,0.0,1.0277259,0.6996781,0.0,0.84662867,1.3980345,0.08051504,0.0,0.60841405,0.0,0.7443967,0.9329017,0.30950806,0.7272195,0.0,1.1458669,0.7625679,0.0,0.13658428,0.84276444,1.2627349,0.7395107,0.7503206,1.314513,0.76272374,1.0627377,0.50575036,0.0,1.0273007,0.6461441,0.0,1.275685,0.0,0.11434091,0.042593427,0.848123,1.5528558,0.702461,0.8553374,0.9867971,0.0,0.98162997,0.22019105,0.0,0.5816783,1.0704242,1.2397877,1.1529818,0.0,0.0,0.90270066,0.22769915,0.51581854,0.8214235,0.6525246,0.0,0.96476066,1.0482432,1.0752822,0.82572985,1.1327982,0.7730859,1.5728682,0.7349205,0.9495595,0.33733204,0.60887885
aftermathmovie,0.0,0.0,0.26432475,0.0,0.29053697,0.0,0.28432378,0.0,0.30623546,0.3707905,0.0,0.20117599,0.2283542,0.0687938,0.0,0.32590383,0.1897956,0.0,0.35623002,0.23031299,0.21768296,0.13018563,0.37943095,0.33098814,0.08358282,0.09599737,0.0,0.05063452,0.25936502,0.31891313,0.18851155,0.33488825,0.26493812,0.18723023,0.0,0.33223426,0.13573033,0.0,0.18662459,0.04688138,0.39017925,0.07394569,0.1742839,0.26765278,0.0,0.39863738,0.27578345,0.31948736,0.3010277,0.16953218,0.37251747,0.30876058,0.11721714,0.2650772,0.30874202,0.31387335,0.05428575,0.0,0.049240284,0.13766907,0.302089,0.21361165,0.2936272,0.37458083,0.32402298,0.18377973,0.2986311,0.4178981,0.36584824,0.2997577,0.3860316,0.0,0.32559955,0.0,0.37017554,0.18572316,0.0,0.17195052,0.37523732,0.099052,0.0,0.15901017,0.0,0.43144128,0.22763649,0.069987744,0.1308928,0.0,0.3823681,0.35339946,0.0,0.040175755,0.3236275,0.40684345,0.25395334,0.23688239,0.2891633,0.27424297,0.42096505,0.16183221,0.0,0.31546524,0.2273894,0.04627081,0.30915576,0.0,0.16276117,0.0,0.23385245,0.45069984,0.17326656,0.24461621,0.21563795,0.067795694,0.31177562,0.0,0.0,0.16133694,0.3053729,0.2534462,0.36789572,0.0,0.0,0.286516,0.0992781,0.2819356,0.3048505,0.18935736,0.0,0.32151982,0.26477325,0.38966918,0.18490948,0.38536662,0.23283881,0.3941953,0.19752783,0.2765011,0.050912462,0.2550012
aftermovie,0.0,0.0,0.3521512,0.0,0.41966006,0.0,0.35364503,0.0,0.35336617,0.4263593,0.0,0.22828536,0.37572262,0.23625143,0.0,0.41622555,0.14966047,0.12473428,0.37364882,0.40010548,0.19930111,0.30680653,0.67441016,0.53643805,0.058293715,0.19406444,0.0,0.2220598,0.30079463,0.43173465,0.3530353,0.5310763,0.3849736,0.17020562,0.0,0.39314836,0.19865525,0.0,0.3584609,0.0,0.62855315,0.1620327,0.42001405,0.39212707,0.0,0.5711592,0.3477105,0.56218505,0.56266814,0.16468082,0.54119366,0.26546222,0.14506835,0.26301172,0.47612923,0.5917159,0.25505906,0.0,0.18250693,0.0,0.5439311,0.39287406,0.35619515,0.6341646,0.5938656,0.44209817,0.48391837,0.6455683,0.4382171,0.5346774,0.3535479,0.0,0.41050658,0.0,0.38713473,0.27244475,0.0,0.19057421,0.4941037,0.15645918,0.0,0.114542484,0.0,0.42718503,0.24214117,0.16791405,0.2818363,0.0,0.57161444,0.28706008,0.0,0.11403347,0.34203896,0.5217346,0.53750104,0.36481333,0.2857592,0.2862866,0.5239478,0.27966285,0.0,0.4840777,0.24473003,0.04421319,0.4750727,0.0,0.10198829,0.0,0.21999195,0.48430103,0.35233185,0.4198074,0.3237878,0.086175516,0.44166142,0.0,0.0,0.15067278,0.44422352,0.3534192,0.5969303,0.0,0.0,0.52377635,0.0,0.24851754,0.4436823,0.24693695,0.0,0.45091346,0.34915295,0.54770744,0.3759247,0.51265836,0.45554915,0.5570362,0.2640995,0.42520875,0.0775784,0.22423393
ahiddenlifefilm,0.0,0.0,0.13536721,0.0,0.134411,0.0,0.14138794,0.0,0.1165349,0.17494026,0.0,0.10779177,0.14165221,0.074124366,0.0,0.18079737,0.0566571,0.0,0.14851034,0.11707719,0.0938491,0.07420335,0.19988266,0.17534801,0.046260912,0.06130556,0.0,0.026917182,0.096801,0.13687678,0.13169175,0.19338584,0.12956037,0.10462733,0.0,0.13645746,0.056117766,0.0,0.09192882,0.0137493,0.18602622,0.035089105,0.11817975,0.13453738,0.0,0.17357904,0.14584629,0.15885028,0.1498433,0.07197868,0.20748737,0.15518531,0.06328814,0.09709153,0.13961844,0.19948871,0.07739322,0.0,0.047331475,0.029375343,0.1546328,0.13767359,0.111402646,0.19345808,0.17664555,0.12930802,0.1563553,0.20267549,0.1542335,0.17428586,0.15215382,0.0,0.16267301,0.0,0.16039748,0.097719654,0.0,0.12703957,0.18237382,0.053460557,0.0,0.085125506,0.0,0.15528896,0.11105941,0.04678926,0.09454661,0.0,0.18430847,0.12061995,0.0,0.03020928,0.15111959,0.1907984,0.15983705,0.1182241,0.15746865,0.149148,0.16762453,0.093933776,0.0,0.1621935,0.1058758,0.0,0.18821241,0.0,0.071966976,0.0,0.11225852,0.18946628,0.099701546,0.14145273,0.1162471,0.024101444,0.15282549,0.023052407,0.0,0.07441788,0.13131888,0.14753197,0.19495948,0.0,0.0,0.16143689,0.019197278,0.107007496,0.1540346,0.081394084,0.0,0.17157401,0.14422755,0.1893883,0.10347901,0.17775597,0.11383655,0.21444932,0.12910075,0.13559245,0.035105847,0.09300562
alitamovie,0.0,0.0,0.51789314,0.0,0.33606124,0.0,0.39688116,0.0,0.62634385,0.64749455,0.0,0.5027497,0.70389915,0.3375659,0.0,0.798753,0.018910216,0.06925709,0.40858793,0.6990164,0.34197804,0.43664926,0.78282046,0.51174855,0.123081155,0.28710413,0.0,0.15601495,0.38088876,0.68864614,0.56621295,0.74357593,0.5844473,0.2674582,0.0,0.555224,0.35774106,0.0,0.2857293,0.0,0.6836148,0.301758,0.5421491,0.4270048,0.0,0.67863613,0.75812,0.6103763,0.45155692,0.3175199,0.63756007,0.57483864,0.21552257,0.54327345,0.53463215,0.70044327,0.26255703,0.0,0.076239154,0.05191491,0.50630337,0.5447237,0.28665268,0.71023643,0.6318442,0.6416367,0.66821396,0.6862894,0.3419193,0.66901493,0.54011947,0.0,0.39944836,0.0,0.44589096,0.2931003,0.0,0.53170544,0.75878465,0.10714476,0.0,0.38437182,0.0,0.77847147,0.34075677,0.25879437,0.41365603,0.0,0.6372228,0.4650393,0.0,0.22299603,0.44051206,0.59266645,0.6064238,0.52307403,0.50441533,0.5344852,0.6642881,0.2779646,0.0,0.57952,0.421197,0.0,0.6183225,0.0,0.32525295,0.13761443,0.43921396,0.6057378,0.47385427,0.52649796,0.3403707,0.0065805027,0.71684456,0.10057798,0.0,0.23892134,0.34053558,0.46018204,0.65839875,0.0,0.0,0.4050482,0.25563323,0.4087275,0.51070166,0.39971665,0.0,0.55829865,0.39315197,0.6658848,0.5024349,0.5531495,0.5987606,0.6608323,0.69184846,0.6656893,0.3192454,0.35753697
