movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_187,feature_188,feature_189,feature_190,feature_191,feature_192,feature_193,feature_194,feature_195,feature_196,feature_197,feature_198,feature_199,feature_200,feature_201,feature_202,feature_203,feature_204,feature_205,feature_206,feature_207,feature_208,feature_209
21bridgesmovie,0.27039272,0.0,0.14933228,0.46565187,0.35536888,0.34900084,0.12052181,0.0,0.13220179,0.37470093,0.31381053,0.2674954,0.23813528,0.45286572,0.3242608,0.28893766,0.5178986,0.4047438,0.36914274,0.033783548,0.35657933,0.32331765,0.38694206,0.0,0.5074567,0.3403023,0.0,0.024283476,0.22895078,0.27681,0.0,0.44460174,0.32567775,0.33913818,0.14862901,0.22422536,0.3893847,0.29190966,0.0,0.21806668,0.3622681,0.38194367,0.009677729,0.15686242,0.3858657,0.30776125,0.23582496,0.3274004,0.22072761,0.39503068,0.32875386,0.0,0.4206387,0.097181275,0.30653957,0.0,0.2292423,0.3041158,0.3997208,0.34208497,0.17072591,0.47573203,0.15261503,0.12848602,0.33157167,0.30069837,0.3861627,0.3602547,0.0,0.14153096,0.10564655,0.113193326,0.30518845,0.32398057,0.29593495,0.0,0.13073136,0.0,0.38664573,0.0,0.51461047,0.3065819,0.11402063,0.03569092,0.3317261,0.61479336,0.35972023,0.10908908,0.41554484,0.3018469,0.32842317,0.3616977,0.0,0.28751716,0.0,0.41618353,0.0,0.3169018,0.10343794,0.16394287,0.36288166,0.021609798,0.36108953,0.28765893,0.35139158,0.26346537,0.023889821,0.37755558,0.0,0.34900236,0.26090103,0.43145412,0.35336247,0.0,0.0,0.15449934,0.34338877,0.12708142,0.3574558,0.0036833882,0.3339619,0.22380511,0.3306356,0.3140685,0.29145944,0.0,0.21536323,0.0,0.20543681,0.0,0.3716136,0.0,0.0,0.39828965,0.29172972,0.45183656,0.052218564,0.19814484,0.0,0.0,0.13643552,0.25491104,0.062278204,0.2695275,0.49819738,0.0,0.20228474,0.15321612,0.0,0.20592037,0.22039574,0.12411025,0.33362067,0.15359065,0.3410048,0.0,0.31770742,0.24720064,0.3781239,0.0,0.37977657,0.28328848,0.0,0.28351545,0.14035624,0.094140865,0.09823331,0.3990627,0.25329792,0.49011308,0.14966975,0.27669486,0.2249256,0.0,0.2305443,0.20644455,0.43170336,0.22751404,0.41415146,0.3319289,0.31342974,0.44341514,0.0,0.0,0.22235999,0.23311716,0.11361186,0.23675516,0.4435779,0.24382737,0.22897166,0.3656466,0.0,0.0,0.16722189,0.19497328,0.0,0.44605485,0.33301216,0.056356326,0.038032807,0.43369395,0.020127535,0.0,0.43200952,0.36860847,0.3949985,0.49882326,0.39812714,0.105355605
47metersdown,0.21869723,0.0,0.20104867,0.47797775,0.47616857,0.6035818,0.1567337,0.0,0.08470643,0.68686986,0.57940155,0.2704742,0.32570937,0.6401969,0.4750321,0.063590206,0.6729714,0.34744793,0.38260898,0.15131514,0.37698135,0.55919456,0.42516473,0.0,0.58039117,0.5403608,0.0,0.06170137,0.18257177,0.2891369,0.0,0.43025246,0.49497002,0.4356734,0.3616475,0.29428145,0.5117988,0.49570042,0.0,0.19400717,0.5522178,0.43957826,0.4003267,0.55283695,0.45632425,0.5070575,0.35118428,0.2224984,0.28121325,0.4485492,0.6103785,0.0,0.6042106,0.0,0.6248677,0.06911814,0.3746166,0.26914114,0.5931852,0.33203503,0.41910306,0.5667947,0.1896632,0.05516408,0.36087427,0.6115031,0.44677007,0.5999928,0.0,0.25148645,0.15682808,0.082274996,0.39893958,0.51054126,0.31747752,0.0,0.37220645,0.0,0.52581793,0.0,0.68779933,0.192316,0.31492567,0.049216285,0.47084367,0.7953286,0.6271384,0.11005912,0.63032687,0.33809522,0.5210217,0.37234387,0.0,0.43644986,0.0,0.5605303,0.0,0.3808102,0.0,0.44797534,0.31725785,0.014243201,0.671263,0.5882017,0.58811206,0.35937834,0.099938035,0.43083444,0.0,0.55935276,0.27194536,0.7613408,0.45535243,0.05268117,0.0,0.1668944,0.5423919,0.2794175,0.45252043,0.15243757,0.42768073,0.16988613,0.5449042,0.5770812,0.5438085,0.0,0.3627753,0.0,0.43586713,0.0,0.5899781,0.036157485,0.0,0.35065612,0.33230972,0.57955986,0.07245171,0.30740803,0.0,0.0,0.0,0.4874274,0.17461395,0.17699286,0.5555462,0.0,0.2581883,0.15849623,0.0,0.16109012,0.4745799,0.40907225,0.5649627,0.22870262,0.5749084,0.0,0.39483076,0.19582339,0.7161191,0.0,0.3002842,0.6406607,0.0,0.3455429,0.14305574,0.011771247,0.22092329,0.35865325,0.37925798,0.5469641,0.0874438,0.5026989,0.0984882,0.0,0.5285247,0.4388317,0.43443838,0.21644951,0.48360667,0.29703262,0.5128214,0.7178776,0.0,0.0,0.39790982,0.5089455,0.22438873,0.32788038,0.52692395,0.2686932,0.22154737,0.42500955,0.0,0.0,0.5008154,0.3225757,0.0,0.58719754,0.51655614,0.050379787,0.008085813,0.6293027,0.11188937,0.0,0.57200587,0.39149365,0.6401,0.5823856,0.48933887,0.3280884
abeautifuldaymovie,0.25890562,0.0,0.19485785,0.25563574,0.2196337,0.46547437,0.19495085,0.0,0.13358197,0.43849626,0.31702232,0.17065689,0.22376624,0.4655336,0.3865649,0.13802625,0.29253697,0.29397643,0.3688992,0.15549241,0.27275848,0.43119866,0.49682155,0.0019976408,0.52808535,0.35964,0.0,0.14943734,0.14765896,0.2222996,0.0,0.44341233,0.37748665,0.31968695,0.18220264,0.31928962,0.2481569,0.39674416,0.0,0.19438197,0.26764795,0.49319062,0.10435028,0.26144892,0.38017166,0.34200168,0.27837417,0.25381225,0.12590495,0.27503687,0.41910967,0.0,0.46709827,0.022696882,0.33041215,0.09545923,0.33833155,0.25006887,0.45073125,0.35626063,0.2141177,0.37498862,0.17329866,0.029694056,0.2791315,0.24008226,0.2789478,0.3139695,0.0,0.31107578,0.092712596,0.1734128,0.33581135,0.37022436,0.35128564,0.0,0.22662303,0.0,0.35465294,0.0,0.42685,0.2896191,0.24290098,0.12478635,0.25703996,0.48654535,0.39096668,0.075189985,0.56619626,0.23807894,0.26816046,0.45439762,0.0,0.29259115,0.0,0.43405065,0.0,0.30381867,0.050687857,0.10882555,0.25478533,0.0,0.44094026,0.35431322,0.34072217,0.29515135,0.15238805,0.39984632,0.0,0.41334566,0.3050105,0.45341846,0.27606714,0.051697016,0.0,0.14327222,0.3663734,0.16815028,0.27896112,0.099368714,0.37998712,0.10885062,0.25157073,0.61770546,0.35564673,0.0,0.26555172,0.0,0.29832783,0.0,0.39190757,0.0,0.0,0.32281372,0.36378062,0.402098,0.102379315,0.26379412,0.0,0.0,0.109486,0.49634045,0.13883287,0.12093719,0.53488934,0.0,0.367218,0.2171474,0.0,0.17793727,0.3323137,0.27115613,0.37074682,0.19057009,0.46195313,0.0,0.33563957,0.2304031,0.43594807,0.0,0.30286625,0.39377525,0.0,0.33438367,0.12622526,0.030593954,0.12681885,0.40932047,0.2160263,0.4647308,0.23039682,0.49033737,0.1178084,0.0,0.26633587,0.20937051,0.32926857,0.2559367,0.32960635,0.43221384,0.19095634,0.43994197,0.0,0.0,0.20763713,0.23291582,0.18462339,0.17594239,0.24960679,0.24113077,0.2509928,0.39046186,0.012273324,0.0,0.32343796,0.050792523,0.0,0.42334083,0.30347207,0.14825521,0.0,0.44922528,0.05489417,0.0,0.48356616,0.36833993,0.34662703,0.4772799,0.39654297,0.23764747
abominablemovie,0.43043613,0.0,0.21452163,0.7366587,0.6584345,0.6057966,0.11433362,0.0,0.0,0.8700799,0.8552796,0.37707645,0.18692872,0.62985086,0.4360705,0.2806288,0.8682303,0.47590727,0.6512673,0.11733213,0.1991825,0.47695988,0.5347543,0.0,0.7669711,0.40069342,0.0,0.0,0.47380006,0.33358827,0.0,0.8504747,0.58053493,0.50356644,0.54076964,0.46528602,0.70062375,0.37974566,0.0,0.41431487,0.5010929,0.5453345,0.24825118,0.42194262,0.5999499,0.622098,0.4314229,0.2517658,0.3075605,0.51584905,0.76940936,0.0,0.59580535,0.05850267,0.5188841,0.04341959,0.36008886,0.32473215,0.5747167,0.4959722,0.29478544,0.5870455,0.12048218,0.15364507,0.46336144,0.6324738,0.77192813,0.56365556,0.0,0.32328242,0.37040487,0.35164875,0.5249237,0.41523224,0.74039817,0.0,0.22023842,0.0,0.5807337,0.0,0.87686574,0.82917213,0.33362976,0.0,0.5006249,0.74509066,0.7616205,0.178083,0.62826943,0.5894839,0.6225572,0.5154034,0.0,0.30145717,0.0,0.5172226,0.0,0.5055624,0.08218806,0.40354317,0.5287152,0.0,0.51190543,0.3906592,0.59319854,0.44266894,0.049637455,0.48205176,0.0,0.55565524,0.6718119,0.6318899,0.48202106,0.01148624,0.0,0.24335343,0.66052586,0.30406353,0.40836418,0.45467615,0.37273538,0.3693257,0.35231382,0.632939,0.3930986,0.0,0.26987085,0.0,0.3029636,0.0,0.50298905,0.0,0.0,0.6236239,0.4664624,0.6437767,0.06611308,0.51425284,0.0,0.0,0.2285182,0.59437615,0.4014004,0.35950848,0.72390866,0.0,0.46858147,0.0767267,0.0,0.5030492,0.56001735,0.60761935,0.5410652,0.24333504,0.6310128,0.0,0.74460876,0.44567335,0.7068837,0.0,0.56718427,0.45102304,0.0,0.64783275,0.28478938,0.0,0.25124,0.75757825,0.52562356,0.81499195,0.19082497,0.34212887,0.25500333,0.0,0.40837437,0.46952665,0.7061395,0.095671095,0.6998897,0.5602557,0.4600176,0.62399006,0.0,0.0,0.13635695,0.47978076,0.37907135,0.3330349,0.28816205,0.39849538,0.4056563,0.32548517,0.0,0.0,0.49231103,0.15743119,0.0,0.74259627,0.7920954,0.15113471,0.1785603,0.56897706,0.18614435,0.0,0.5955231,0.7619594,0.48579204,0.64605176,0.857376,0.38316998
adastramovie,0.26706588,0.0,0.12919174,0.33331448,0.32824552,0.34180254,0.1325388,0.0,0.13704428,0.37019455,0.43523514,0.307321,0.34906435,0.33648497,0.2403916,0.0877331,0.3896643,0.2522664,0.2969525,0.0,0.25024012,0.27541074,0.24390115,0.0,0.35898072,0.1656326,0.0,0.031951953,0.20924135,0.26340955,0.0,0.43299755,0.35190427,0.31751895,0.21192732,0.26584023,0.3245586,0.25217938,0.0,0.17665389,0.27780795,0.4120989,0.08503742,0.23173355,0.27063385,0.30314994,0.2881524,0.06979712,0.20636228,0.21990685,0.20274296,0.0,0.33160734,0.058880545,0.118220165,0.065629065,0.30883878,0.285047,0.44305566,0.17821045,0.17915078,0.38995707,0.14616653,0.0,0.24385598,0.28632104,0.3533675,0.3387981,0.029671079,0.1990264,0.112589374,0.14502108,0.17116125,0.23934416,0.16228577,0.0,0.16483857,0.026057472,0.3984899,0.0,0.3709324,0.34074298,0.20079249,0.0,0.27021015,0.4262598,0.42524952,0.113148294,0.3438025,0.30788893,0.33919516,0.35835925,0.0,0.16048387,0.0,0.36360115,0.0,0.327568,0.0,0.2888309,0.19458264,0.0,0.3328229,0.29119492,0.33451238,0.1960805,0.051423375,0.2669587,0.0,0.36450437,0.3481419,0.34627354,0.20366651,0.065913916,0.0,0.12217621,0.4586423,0.24116786,0.25138462,0.1391829,0.38289484,0.24291307,0.2951147,0.3999377,0.17204623,0.0,0.1326432,0.0,0.30270827,0.0,0.38745373,0.0,0.0,0.34277663,0.26873165,0.32381678,0.05459944,0.11513546,0.0,0.0,0.055357445,0.3089384,0.20967904,0.26263562,0.38777316,0.0,0.32962906,0.19809307,0.0,0.21018194,0.3483205,0.18838035,0.35964054,0.110955834,0.34480363,0.0,0.27101606,0.16368069,0.30289805,0.0,0.26661623,0.28222224,0.0,0.35952494,0.16806304,0.0,0.18985425,0.31979674,0.29169005,0.37082002,0.092150494,0.36072212,0.089929536,0.0,0.23249593,0.35211855,0.35045612,0.13056506,0.3889086,0.14616942,0.21168517,0.3166293,0.0,0.0,0.019691037,0.40456244,0.13330138,0.28732076,0.3175674,0.17801474,0.25508806,0.3386374,0.04148213,0.0,0.26532382,0.097014725,0.0,0.3356652,0.29521522,0.0,0.0,0.36321023,0.05642852,0.0,0.40008867,0.27798477,0.29552603,0.3919322,0.3728699,0.10862303
adogsjourneymovie,0.52599627,0.0,0.27073616,0.98914605,0.34598187,0.7690666,0.09005563,0.0,0.092381425,0.7593367,0.73240024,0.45665652,0.45662457,1.1996924,0.51894206,0.27599937,0.85339016,0.38204962,0.5627025,0.013985919,0.5603972,0.6107921,0.8220439,0.0,0.97066104,0.7519701,0.0,0.39234713,0.17520976,0.6053741,0.0,0.87622535,0.685001,0.64082134,0.19730899,0.68288743,0.67593616,0.73653066,0.0,0.42941123,0.42933345,1.086779,0.031364318,0.51488197,0.8937945,0.89743793,0.42159182,0.19844232,0.28467202,0.42301652,0.90314853,0.0,0.7960812,0.0,0.5983976,0.20648304,0.46637243,0.86534935,0.9842018,0.5895449,0.5966621,0.6882599,0.6996186,0.0,0.5390099,0.7473743,0.98205715,0.8100941,0.0,0.486484,0.40860793,0.41964218,0.51467323,0.41517016,0.6649884,0.0,0.49365273,0.0,0.7502745,0.0,1.014412,0.62247485,0.22150342,0.0,0.64810765,1.0997251,0.93068933,0.2656156,0.74292386,0.6222924,0.76899225,0.70368963,0.0,0.49579337,0.0,1.0513877,0.0,0.60035384,0.1728326,0.58261967,0.5926449,0.0,0.55997777,0.870423,0.7229721,0.37654513,0.21279222,0.42064312,0.0,0.8010151,0.618826,0.83697075,0.60032874,0.09775876,0.0,0.4206368,0.64479977,0.57208997,0.524812,0.09954044,0.60578173,0.75218236,0.5573777,0.9451684,0.5142595,0.0,0.4204207,0.0,0.4328117,0.0,0.72047395,0.0,0.0,0.4872785,0.5296346,0.97704446,0.24984297,0.31404823,0.0,0.0,0.14933555,0.6790016,0.42967868,0.42030644,0.9289115,0.0,0.71869916,0.29341635,0.0,0.5524089,0.89484584,0.28159043,0.80949664,0.18793315,0.67872745,0.0,0.98218775,0.1700465,1.3398468,0.0,0.8502453,0.7594478,0.0,0.6731751,0.3844436,0.15904856,0.7261688,0.8411714,0.51794237,0.85042053,0.27592918,0.9880896,0.3775573,0.0,0.65981907,0.7005486,0.9376567,0.19100532,0.71615094,0.70296985,0.65164816,1.2421708,0.0,0.0,0.28273335,0.55067384,0.507463,0.55306077,0.74711585,0.3176335,0.57407504,0.61720794,0.0,0.0,0.29879436,0.24101801,0.0,0.88634276,0.6396722,0.085905,0.09927425,1.121232,0.25287297,0.0,0.9957016,0.88680047,0.9147765,1.2230788,1.0632082,0.28505528
aftermathmovie,0.1975166,0.0,0.15294884,0.2951525,0.17667536,0.27174678,0.07840155,0.0,0.025388552,0.35932222,0.3524102,0.26385024,0.20371678,0.31553274,0.2810674,0.13000545,0.41154534,0.21216825,0.2764726,0.07423426,0.24496545,0.2916044,0.2549815,0.0,0.3493895,0.28154296,0.0,0.06518796,0.16766587,0.20678705,0.0,0.23116095,0.27925396,0.28457433,0.17907156,0.19318767,0.29567617,0.2282697,0.0,0.15517709,0.27437663,0.32069364,0.094137214,0.18413396,0.29590693,0.21989886,0.14443928,0.20538996,0.17616257,0.3253492,0.22075696,0.0,0.31858897,0.068278074,0.19637153,0.07023693,0.28567737,0.23646282,0.30020508,0.2793934,0.2540385,0.2716397,0.15325622,0.011850613,0.19262272,0.29044244,0.26442832,0.21304044,0.0,0.19362043,0.14126486,0.08334365,0.20579901,0.23840721,0.2531409,0.0,0.16571854,0.0,0.3490084,0.0,0.2855668,0.18647437,0.11924666,0.07025015,0.20156732,0.335741,0.289857,0.030987531,0.32508442,0.23267181,0.2071294,0.22350526,0.0,0.23873636,0.0,0.26785487,0.0,0.25196448,0.0,0.21111524,0.28971282,0.0,0.30012247,0.2611789,0.29141542,0.17083076,0.062364183,0.2420809,0.0,0.33415803,0.21682052,0.30818713,0.22997211,0.09623932,0.0,0.16431037,0.28036413,0.20463367,0.26005164,0.12600735,0.18023406,0.18158895,0.16047698,0.3209397,0.20045899,0.0,0.16155694,0.0,0.1873217,0.0,0.27964357,0.0,0.0,0.28980365,0.2477645,0.27834037,0.062263835,0.15261795,0.0,0.0,0.07939392,0.26094592,0.18722737,0.1391387,0.41224325,0.0,0.22341302,0.1049056,0.0,0.26879954,0.22900054,0.24535018,0.33257025,0.08514632,0.29439086,0.0,0.2166081,0.11200218,0.2797754,0.0,0.23358715,0.21518052,0.0,0.24463153,0.081604324,0.0,0.09137397,0.3549388,0.22928095,0.28990963,0.058817353,0.30538553,0.12472807,0.0,0.15830553,0.23259288,0.26176178,0.14671598,0.2667804,0.2680417,0.25794703,0.4182987,0.0,0.0,0.12386323,0.25524157,0.15676647,0.15082589,0.29880768,0.21539968,0.2005997,0.23669504,0.0,0.0,0.25117388,0.107602045,0.0,0.32155585,0.32472828,0.12186227,0.19056877,0.324098,0.10894281,0.0,0.3950045,0.27125463,0.29366988,0.35754934,0.3301443,0.08213182
aftermovie,0.29235947,0.0,0.21680704,0.49463362,0.35674766,0.40712613,0.20051797,0.0,0.081509955,0.36462092,0.3528421,0.27291852,0.22246426,0.36629695,0.3607822,0.0,0.46887293,0.16333318,0.3969727,0.15232177,0.32765266,0.27245963,0.36785087,0.0,0.43595785,0.3465141,0.0,0.0377032,0.13652232,0.11611834,0.0,0.33634523,0.4427566,0.3030926,0.08026123,0.2090675,0.1552282,0.27871835,0.0,0.10976146,0.33272943,0.37206396,0.08889596,0.24353378,0.34247947,0.3163485,0.12088529,0.06793847,0.17896502,0.34970278,0.40080357,0.0,0.33788013,0.11959508,0.287997,0.05495436,0.24468227,0.3800098,0.33168462,0.35663548,0.24638657,0.42317078,0.31410784,0.0,0.3653557,0.27977538,0.42384902,0.24869342,0.0,0.24955468,0.17381619,0.22767177,0.33418527,0.29038483,0.3257183,0.0,0.21416514,0.0,0.32368088,0.0,0.42922932,0.20813365,0.19612052,0.0,0.32273006,0.39698243,0.33688188,0.05338495,0.32346997,0.23726521,0.27378252,0.2711268,0.0,0.2710184,0.0,0.2411773,0.0,0.23031534,0.0,0.27246204,0.20985621,0.0,0.22182539,0.28713134,0.24923827,0.15079723,0.15429935,0.31491324,0.0,0.27276206,0.25483048,0.30997658,0.2404525,0.09127065,0.0,0.22942792,0.34195894,0.3161081,0.29351562,0.0829736,0.24613523,0.12334812,0.15991989,0.3968385,0.23083715,0.0,0.09026015,0.0,0.20752737,0.0,0.26920676,0.0,0.0,0.40659288,0.2779855,0.40651312,0.09167538,0.14316536,0.0,0.0,0.026539505,0.37350777,0.3045707,0.25903276,0.4732465,0.0,0.34192628,0.06489653,0.0,0.3239934,0.31049234,0.20322746,0.47516668,0.0,0.262295,0.0,0.25036994,0.19649528,0.33396095,0.0,0.38402343,0.41195807,0.0,0.3116602,0.18125677,0.02978675,0.043447882,0.33069652,0.26148444,0.41398704,0.122213155,0.4750087,0.110795796,0.0,0.19023077,0.32492238,0.32711107,0.35138762,0.29402766,0.37575158,0.27416536,0.517899,0.0,0.0,0.13216998,0.24615249,0.1640608,0.30933124,0.24217887,0.24117315,0.024265448,0.38100252,0.022281911,0.0,0.33972687,0.208277,0.0,0.34034166,0.41762647,0.1290691,0.034461245,0.29924774,0.1032645,0.0,0.3206038,0.3902403,0.27694404,0.48621508,0.17503254,0.107687205
ahiddenlifefilm,0.08489413,0.0,0.053624485,0.14255676,0.1056422,0.13571091,0.04741466,0.0,0.025446836,0.15404478,0.13654733,0.093899935,0.08539526,0.15228027,0.114343405,0.02994859,0.1702691,0.07361531,0.11848651,0.01696686,0.09673018,0.1282106,0.123099245,0.0,0.15944763,0.113407955,0.0,0.03784218,0.07953117,0.07624379,0.0,0.14414516,0.14200757,0.12316894,0.07422596,0.115587406,0.12769872,0.11294883,0.0,0.06530524,0.11264834,0.16002524,0.05226293,0.07606126,0.12867208,0.12670985,0.082409814,0.064399175,0.054639835,0.12477383,0.11807292,0.0,0.1411645,0.031204248,0.104322866,0.021864384,0.092511855,0.11225104,0.14257567,0.11853722,0.07727307,0.1422044,0.06531942,0.014585697,0.1052604,0.13420543,0.12736478,0.122410454,0.0,0.08898321,0.05885845,0.059926182,0.10682374,0.107645944,0.1139127,0.0,0.066657625,0.0,0.13279778,0.0,0.16061604,0.100386426,0.069775805,0.0132516725,0.11191209,0.170749,0.14496733,0.03615232,0.15039259,0.110392466,0.11586927,0.114223935,0.0,0.08684636,0.0,0.13935626,0.0,0.09868151,0.0,0.10195127,0.10748568,0.0,0.14007185,0.10647053,0.12637956,0.07759002,0.023122875,0.11722961,0.0,0.1343513,0.11553797,0.1421733,0.10381699,0.023569465,0.0,0.06904422,0.11646642,0.08116172,0.11076445,0.047323845,0.1120684,0.06818686,0.09291562,0.15511505,0.10816739,0.0,0.058030948,0.0,0.09310404,0.0,0.118782684,0.0,0.0,0.11656991,0.09465142,0.14186235,0.037432626,0.0640105,0.0,0.0,0.027791953,0.12904269,0.079842955,0.0869293,0.15032734,0.0,0.10052224,0.05014313,0.0,0.07438827,0.114937775,0.09271301,0.12606034,0.050955363,0.12532492,0.0,0.1315105,0.068225026,0.15563121,0.0,0.1161257,0.12703818,0.0,0.10769129,0.05538576,0.012053614,0.058330767,0.116269305,0.09166347,0.14904144,0.047517076,0.14227417,0.04529554,0.0,0.079857126,0.10910934,0.13957293,0.07508394,0.12269954,0.118517265,0.10739502,0.15545364,0.0,0.0,0.073403545,0.10746954,0.051357787,0.09960053,0.11761313,0.075919345,0.0662355,0.11780648,0.0,0.0,0.115627766,0.03594347,0.0,0.14602488,0.12574564,0.03783367,0.023742031,0.13971941,0.023640327,0.0,0.14240915,0.12572421,0.118666716,0.16705112,0.14430575,0.05684236
alitamovie,0.3720012,0.0,0.27931482,0.54495245,0.5076125,0.5772326,0.19396473,0.0,0.10363415,0.48719904,0.58052415,0.42552277,0.49812135,0.64851993,0.38584647,0.032707855,0.6467068,0.27707657,0.57766473,0.026398772,0.48573446,0.46963668,0.37646666,0.0,0.6807479,0.49240237,0.0,0.23195443,0.3368696,0.37741792,0.0,0.73264253,0.6525289,0.40625018,0.3599488,0.63200366,0.56371564,0.59926087,0.0,0.18096112,0.40157184,0.5726194,0.29226682,0.4284912,0.4541155,0.30037916,0.41208428,0.22722878,0.37362757,0.6196344,0.46439695,0.0,0.472584,0.09987838,0.46048552,0.16813475,0.53179955,0.40223268,0.5252795,0.48799092,0.39382595,0.56556326,0.22399461,0.12565297,0.48257276,0.5557561,0.4799386,0.5161095,0.0,0.23125176,0.22845827,0.10126709,0.33460364,0.56066036,0.5235272,0.0,0.16355948,0.0,0.6185748,0.0,0.6799158,0.36078012,0.3723577,0.18648225,0.46102425,0.5578727,0.71000564,0.16843629,0.52849275,0.30518597,0.46410623,0.49426153,0.0,0.20963487,0.0,0.7146743,0.0,0.44565105,0.061545976,0.31503183,0.3621573,0.0,0.55995536,0.4488678,0.45890877,0.29950118,0.07725303,0.41026273,0.0,0.4220552,0.5906603,0.5163986,0.55477655,0.17726544,0.0,0.19935097,0.71511227,0.3961894,0.64517903,0.053331807,0.5489524,0.39743984,0.43084142,0.7153692,0.4948497,0.0,0.30930972,0.0,0.42706656,0.0,0.47996444,0.0,0.0,0.4479632,0.61906934,0.5897308,0.2457547,0.36169872,0.0,0.035753142,0.112877,0.36904413,0.2504217,0.31783184,0.7620617,0.0,0.5533672,0.35783976,0.0,0.2776895,0.647959,0.39176914,0.5207223,0.042393055,0.5617251,0.0,0.35006392,0.40054697,0.61550194,0.0,0.405621,0.6077932,0.0,0.42923117,0.20583779,0.0,0.12048445,0.65437555,0.28089243,0.64702713,0.12422179,0.6266311,0.2712687,0.0,0.35523432,0.42892456,0.5846992,0.29450455,0.42737573,0.16597377,0.41489455,0.60425484,0.0,0.0,0.14481375,0.54910564,0.3415623,0.44115868,0.50682616,0.35731447,0.31313825,0.6874431,0.08973221,0.0,0.45887786,0.2789636,0.0,0.41970912,0.44378692,0.0,0.0,0.5642756,0.0033227438,0.0,0.62687874,0.5743233,0.49346346,0.59109926,0.5282231,0.23613065
