movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_187,feature_188,feature_189,feature_190,feature_191,feature_192,feature_193,feature_194,feature_195,feature_196,feature_197,feature_198,feature_199
21bridgesmovie,0.3624167,0.32748544,0.45751807,0.101423435,0.35158074,0.31096146,0.36577505,0.0,0.18731065,0.15320595,0.0,0.107215434,0.44503036,0.41815546,0.0,0.33998138,0.395054,0.19996154,0.5204847,0.0,0.0,0.32941583,0.12435171,0.13929233,0.33790737,0.0,0.057790753,0.18511483,0.071381986,0.08858504,0.22562838,0.0,0.2667932,0.08586294,0.358723,0.3249882,0.2872402,0.4380065,0.45753172,0.24259526,0.46460593,0.26560017,0.36731684,0.4345033,0.4189816,0.264974,0.31516773,0.32242817,0.4853908,0.24730304,0.4341544,0.5230873,0.38925827,0.22441766,0.0,0.32638073,0.24062364,0.42090726,0.26280844,0.08402713,0.0,0.48713762,0.18285085,0.25935233,0.48554382,0.43220216,0.14792843,0.44221175,0.37529913,0.24468806,0.10693187,0.0,0.19634339,0.12651837,0.302335,0.35598356,0.51702386,0.11488791,0.34309676,0.29861507,0.30935165,0.09317651,0.30642283,0.0,0.0,0.314067,0.43787423,0.37987426,0.2782693,0.28040174,0.19770442,0.16931325,0.42634022,0.0,0.12824209,0.38274747,0.18353912,0.48386106,0.31516644,0.40039787,0.14947198,0.40033576,0.51425546,0.0,0.43205515,0.1588356,0.08439994,0.19844784,0.23250951,0.2140634,0.23657364,0.09888007,0.26080635,0.19810805,0.32291794,0.07465214,0.29317918,0.41302732,0.45015705,0.23629242,0.28760463,0.40341336,0.391684,0.031802393,0.27001852,0.0,0.0,0.15401556,0.22810578,0.47851238,0.16378552,0.43932664,0.34529394,0.0,0.32559848,0.25640786,0.15809534,0.39032316,0.1480098,0.42244682,0.08902449,0.3224642,0.3495763,0.35521817,0.35211888,0.23659708,0.3158248,0.1309908,0.26727703,0.0,0.35011083,0.0,0.4691344,0.33262056,0.29165703,0.35906547,0.0,0.31314787,0.2974829,0.0,0.0,0.44646874,0.46087855,0.18431298,0.16719721,0.2097463,0.5584659,0.33303547,0.004865221,0.0,0.5041513,0.19582663,0.3718387,0.37303403,0.47033393,0.26863518,0.0,0.0,0.33607864,0.13510585,0.33854744,0.2714094,0.0,0.4282984,0.07232566,0.16290362,0.25876272,0.45923418,0.14055447,0.32254103,0.0,0.25768948,0.18610826,0.044405647,0.54091287,0.33394644,0.0,0.34063762,0.4504506,0.36710066
47metersdown,0.48737064,0.3169278,0.54293495,0.39486098,0.3908289,0.42328045,0.6158248,0.0,0.2683658,0.0,0.0,0.010371808,0.56096166,0.6163392,0.016579734,0.44233924,0.4665273,0.4545033,0.61524934,0.116075665,0.0,0.55631375,0.13595071,0.36749142,0.3898117,0.0,0.35839644,0.067055255,0.24563056,0.0,0.45804182,0.0,0.58413756,0.0746722,0.47387856,0.67899024,0.13142751,0.5188094,0.6510678,0.15586908,0.48325697,0.39561245,0.6507331,0.40858465,0.33457804,0.49484688,0.35993347,0.42598066,0.5436229,0.3264258,0.46640357,0.5240628,0.36799031,0.40156356,0.0,0.4787531,0.3222072,0.38293833,0.31889075,0.29874215,0.0,0.64341253,0.20449264,0.5611927,0.5732044,0.49699816,0.3535511,0.4647138,0.6710006,0.5342405,0.22725935,0.008775212,0.008132989,0.054501608,0.44114077,0.44668904,0.7544154,0.1002256,0.36849105,0.4272253,0.45000947,0.29425701,0.46902603,0.0,0.0,0.38506508,0.68815976,0.38047972,0.042956352,0.2659938,0.2223744,0.36634287,0.6188442,0.17678565,0.1403518,0.6672972,0.4135915,0.37656435,0.69812906,0.48036835,0.48319122,0.45065752,0.7473067,0.0,0.4058294,0.38450512,0.2020478,0.12334741,0.3307771,0.35553202,0.3788062,0.1274363,0.30640608,0.23620266,0.41176954,0.117772676,0.1528022,0.5900898,0.75978506,0.27956665,0.4296321,0.66248864,0.68772984,0.1383528,0.10736432,0.0,0.0,0.4086471,0.45247826,0.6783364,0.39458632,0.32341796,0.383134,0.1826848,0.5038967,0.52122205,0.5165504,0.5028769,0.20741908,0.56144,0.2390888,0.54598916,0.36714613,0.5503476,0.5826942,0.35695794,0.1638995,0.4704728,0.25762066,0.0,0.5700374,0.0,0.56649417,0.377428,0.29617757,0.64950967,0.0,0.65560436,0.19659247,0.0,0.0,0.5842338,0.74247366,0.4484145,0.16357103,0.2445604,0.5932395,0.33180597,0.09211569,0.0,0.5918885,0.37876287,0.33887148,0.54037464,0.5791354,0.37789217,0.0,0.0,0.49441302,0.13918863,0.38586023,0.47567302,0.0,0.37021077,0.046973284,0.16920476,0.29660755,0.5743426,0.46728373,0.36929345,0.0,0.2707221,0.6298319,0.017540438,0.6470139,0.4787937,0.0,0.4604964,0.58370554,0.41037628
abeautifuldaymovie,0.42290452,0.3133434,0.37411684,0.1269779,0.1988172,0.28561667,0.36820126,0.0,0.11474045,0.16178207,0.0,0.0,0.40416,0.35446647,0.0,0.35704294,0.36979258,0.3030433,0.45717683,0.0007934198,0.0,0.3703164,0.0,0.060292765,0.2838882,0.0,0.08718465,0.14023831,0.24839461,0.0,0.18391284,0.0,0.3580329,0.19999088,0.26349986,0.38664237,0.20995659,0.36234072,0.4197984,0.172021,0.40050903,0.22994882,0.37251842,0.345705,0.42578527,0.19238251,0.35094643,0.3200715,0.4840736,0.37104744,0.2663766,0.45807916,0.33124983,0.21995234,0.0,0.3658527,0.13031885,0.28200704,0.27375066,0.05467856,0.0,0.55292034,0.17044576,0.20372283,0.44016758,0.35336226,0.17738026,0.30011252,0.24715833,0.31070223,0.24540238,0.0,0.14316162,0.034977384,0.21520187,0.28314263,0.36966032,0.008500274,0.32965738,0.33531028,0.25053668,0.26364258,0.41815695,0.0,0.0,0.06779406,0.45583025,0.36637926,0.23221064,0.27001563,0.2923681,0.17472123,0.41530117,0.07552725,0.13727097,0.46266884,0.02608626,0.3190058,0.3492043,0.35763904,0.21864209,0.38895556,0.534746,0.0,0.36160746,0.051901765,0.10596947,0.23883937,0.34069818,0.17471974,0.2153292,0.14505212,0.24896647,0.1778552,0.3708003,0.0,0.1209045,0.45914295,0.39632672,0.23750317,0.3168056,0.29441214,0.42204285,0.06720531,0.07724051,0.0,0.0,0.17559898,0.27484885,0.35720727,0.14232449,0.45452973,0.32779217,0.1055848,0.34822974,0.36259025,0.22054555,0.28868008,0.06322265,0.36761242,0.17206678,0.36428624,0.19059068,0.29151994,0.3378646,0.31941494,0.10311133,0.224626,0.25761324,0.022859298,0.41720897,0.0,0.4932301,0.32991523,0.18216,0.36739224,0.0,0.28899804,0.23920687,0.0,0.0,0.44705263,0.43573302,0.24334954,0.17341399,0.23829123,0.5461918,0.22039448,0.027640117,0.0,0.33317563,0.21738358,0.23334113,0.38782665,0.42092898,0.3865999,0.0,0.0,0.2579339,0.0,0.26515162,0.22705834,0.0,0.34839085,0.04141388,0.28882635,0.2984622,0.39070815,0.10599805,0.37608713,0.0,0.33773485,0.26654133,0.018337965,0.4770782,0.2660232,0.0,0.2351403,0.41092095,0.29192194
abominablemovie,0.5620406,0.5373453,0.6240783,0.060462654,0.4317677,0.3619585,0.24679938,0.0,0.36592165,0.22071877,0.0,0.13857825,0.7774646,0.45567364,0.0,0.47797936,0.48158297,0.45559603,0.67110556,0.04850295,0.0,0.53319204,0.0,0.2007612,0.61072063,0.0,0.13870966,0.10386485,0.4275639,0.11506278,0.37087417,0.0,0.5517154,0.3592514,0.32957995,0.69075704,0.3506707,0.54760903,0.5940845,0.4044304,0.7658725,0.4975186,0.591259,0.56850445,0.5885435,0.49215287,0.3544493,0.6821516,0.5444893,0.43565005,0.4357233,0.75550044,0.41702393,0.18960184,0.0,0.49999082,0.07711765,0.6685017,0.25727582,0.095416956,0.0,0.6466894,0.21848623,0.4549558,0.6354617,0.56945676,0.30238453,0.43942535,0.51478535,0.5310062,0.11483113,0.0,0.42790887,0.06515948,0.4300136,0.5823715,0.8208676,0.0,0.3976308,0.5924358,0.3987261,0.27759036,0.43259355,0.0,0.0,0.23794878,0.41032216,0.62313336,0.31661236,0.48685175,0.13844982,0.44939536,0.541005,0.040595487,0.18417054,0.42980206,0.17070845,0.44086912,0.36954433,0.43113914,0.61083806,0.6525116,0.7361358,0.0,0.27733716,0.2396927,0.3853457,0.37041953,0.44695762,0.35885438,0.32951733,0.1409987,0.45640555,0.308761,0.6507267,0.048740588,0.2123988,0.5997226,0.62937933,0.21556742,0.35710186,0.7409585,0.7991233,0.23846306,0.09330047,0.0,0.0,0.31106707,0.42136037,0.5510304,0.277695,0.6990725,0.4200074,0.19966988,0.57826394,0.4069166,0.32353497,0.5734525,0.23895386,0.791116,0.45794097,0.28956932,0.17211364,0.5135845,0.4638197,0.4539179,0.023194104,0.51029634,0.40038615,0.182776,0.56967574,0.0,0.7164476,0.19680822,0.34413293,0.725995,0.0,0.46134177,0.32781833,0.0,0.0,0.5272901,0.76391774,0.34370294,0.44370705,0.46925512,0.80769444,0.31635883,0.32155702,0.0,0.51268595,0.35290462,0.28695107,0.3933248,0.4249071,0.49927402,0.0,0.0,0.48197642,0.10408378,0.1516621,0.29269817,0.0,0.7199585,0.17949355,0.38762558,0.30174953,0.64267963,0.23986141,0.60541797,0.12510224,0.494132,0.5132157,0.0,0.8559496,0.6244732,0.0,0.37462357,0.6603899,0.6397546
adastramovie,0.35518563,0.17380577,0.2868523,0.0,0.24671862,0.3636422,0.26411074,0.0,0.19449998,0.1014691,0.0,0.1418185,0.37588516,0.32731828,0.0,0.30035567,0.26732963,0.18705958,0.38284132,0.0,0.0,0.2401223,0.031447638,0.21113902,0.25284052,0.0,0.013447318,0.052533407,0.035521563,0.0,0.09331267,0.0,0.28464285,0.13080822,0.2109555,0.27888444,0.1773639,0.3173994,0.26635826,0.13147694,0.43706527,0.27825361,0.4791682,0.2866407,0.30972755,0.282064,0.3236481,0.3387754,0.3857478,0.27011588,0.21266273,0.34063268,0.10741432,0.24791615,0.0,0.293234,0.13654117,0.22638465,0.17856766,0.20596772,0.0,0.39230233,0.1591217,0.18920791,0.18737352,0.3130739,0.26422963,0.2132318,0.30045822,0.34260315,0.25667167,0.0,0.18627387,0.07215531,0.34058207,0.33443075,0.46819565,0.05375743,0.30972305,0.22380657,0.20800222,0.18612857,0.29889214,0.0,0.0,0.10355466,0.36491922,0.33190784,0.12643251,0.20804389,0.12624408,0.16767499,0.38959733,0.0673502,0.074090526,0.3742563,0.0455992,0.3470089,0.20540045,0.23596817,0.16348562,0.4110031,0.2927908,0.0,0.31695956,0.18972334,0.070128806,0.2635004,0.2404438,0.1387434,0.30413753,0.12207225,0.27356654,0.06586408,0.26653904,0.05099772,0.2557839,0.32558712,0.36695832,0.23434843,0.31394225,0.37763005,0.3419466,0.02198289,0.18612003,0.0,0.0,0.09030528,0.2101126,0.3884419,0.17551151,0.26348644,0.3104601,0.17986272,0.2293295,0.1725646,0.16716826,0.44977278,0.18156329,0.46959808,0.0,0.34110934,0.19269916,0.33511153,0.32478473,0.2976545,0.105177045,0.1450231,0.2943594,0.053854864,0.30754644,0.0,0.2970983,0.25555962,0.17730783,0.45271134,0.0,0.34956783,0.24734543,0.003062685,0.0029926552,0.37249342,0.4896369,0.18724357,0.045899644,0.08425864,0.4109847,0.23884222,0.04848348,0.0,0.30997673,0.20591587,0.21795179,0.25504422,0.31630215,0.16688609,0.0,0.0,0.15171897,0.1783047,0.12671515,0.2359921,0.0,0.2772568,0.052956786,0.07939174,0.24965061,0.31719267,0.020965606,0.31791443,0.0,0.25820312,0.35164356,0.00030531548,0.4033635,0.26179305,0.0,0.29685917,0.38954654,0.23162547
adogsjourneymovie,1.1118234,0.523423,1.120162,0.11157871,0.90551025,1.0042534,0.9803174,0.0,0.5218923,0.38745093,0.0,0.032845676,1.2080395,0.9615759,0.0,0.6035352,0.8368181,0.31811914,1.0973746,0.0,0.0,0.6695367,0.0,0.4128945,0.56923676,0.0,0.0,0.12042877,0.09434666,0.33089107,0.2733868,0.0,0.9852586,0.47851038,0.9910293,0.9831245,0.6387512,1.0022523,1.2111635,0.2579542,0.9766683,0.36083722,1.0518647,0.9989666,0.74548495,0.55154157,0.88618076,0.6838371,1.4222763,0.6435326,0.68078893,1.4394919,0.4683033,0.44024736,0.0,0.7525689,0.53040993,0.93097025,0.58171487,0.13520437,0.0,0.8184004,0.51333946,0.61262625,0.78963697,0.9050115,0.46806887,0.95663273,0.5098266,0.7830715,0.787679,0.0,0.22384039,0.06576423,0.82054317,0.77530426,1.2240429,0.15234204,0.5148078,0.822725,0.68792164,0.43849078,0.49201286,0.0,0.0,0.20866345,1.044252,0.92059255,0.5500143,0.84715164,0.46956125,0.6326556,1.0638392,0.10339172,0.37366536,1.032178,0.6784321,1.0218073,0.6064718,1.0376835,0.53652596,1.061874,1.1327987,0.0,0.9245571,0.23514345,0.2845898,0.67565614,0.87746835,0.4870669,0.33654186,0.38681194,0.788924,0.38867617,0.93290436,0.0,0.3489029,0.66204,0.6597191,0.59017676,1.1901934,1.0529361,1.0993994,0.24242711,0.34163436,0.0,0.0,0.66741616,0.6435968,1.0001025,0.54694337,0.5911695,0.64822114,0.032687906,0.83952385,0.66826904,0.56335896,0.9530726,0.68860734,1.0964319,0.64707273,0.89160895,0.6416672,1.0197471,0.63147306,0.64453,0.19484285,0.53296095,0.47784582,0.48590776,0.9152426,0.0,0.82364386,0.4869278,0.5693804,1.1222042,0.0,1.0957038,0.7128366,0.0,0.0,1.0839385,1.0328408,0.30444145,0.36073017,0.37355274,1.1999264,0.5533419,0.09464533,0.0,1.1939155,0.28951362,0.56527656,0.92843425,0.67545646,0.8599082,0.0,0.0,0.6690786,0.18930455,0.4009075,0.8290976,0.0,0.47027576,0.2679522,0.23792751,0.58984715,0.6503164,0.3099666,0.51078117,0.0,0.41272625,0.9623587,0.1862238,1.1623403,0.82621706,0.0,0.6533695,1.0207821,1.1148204
aftermathmovie,0.3311951,0.27220276,0.39884925,0.11770636,0.3047698,0.24987863,0.33852473,0.0,0.1792014,0.11881372,0.0,0.010080727,0.46080402,0.37779352,0.0,0.30870354,0.2291491,0.20095056,0.39560318,0.010270245,0.0,0.33429092,0.009876453,0.13775668,0.19642282,0.0,0.075518146,0.04601983,0.133637,0.0,0.21666196,0.0,0.2741505,0.17092793,0.31023243,0.32601717,0.20732915,0.3176181,0.33770964,0.24100505,0.32706133,0.24027795,0.35096043,0.3750279,0.36988994,0.2100954,0.20320074,0.27142566,0.37833688,0.24574715,0.28965777,0.39819252,0.27939692,0.24928841,0.0,0.2198439,0.09533158,0.3144912,0.27269346,0.09138582,0.0,0.40225804,0.14526872,0.26600733,0.26736927,0.36026496,0.18020041,0.33779678,0.2860332,0.22169921,0.24686858,0.0,0.04734928,0.081651494,0.2797963,0.31386164,0.48111087,0.0868106,0.25814384,0.28020483,0.2882706,0.18778382,0.19333407,0.0,0.0,0.21089312,0.36373585,0.35257274,0.21334502,0.20041592,0.13316044,0.15363063,0.35704833,0.0,0.050909445,0.34437484,0.1623719,0.338918,0.32411414,0.28188485,0.20590597,0.3100371,0.35538533,0.0,0.36999473,0.08780681,0.06126053,0.12055525,0.2509278,0.19853888,0.1320806,0.13710357,0.2222604,0.13325837,0.3704937,0.0,0.12786192,0.280668,0.34225756,0.3385539,0.33697745,0.29870903,0.3328132,0.022041243,0.14208807,0.0,0.0,0.19145347,0.29158035,0.492703,0.17849967,0.36860338,0.25592417,0.048894983,0.32269713,0.31099266,0.28928217,0.34080666,0.12538515,0.38998076,0.17055696,0.27284572,0.20661615,0.24785142,0.28192532,0.22911263,0.16075222,0.16782455,0.15304251,0.12606783,0.38391852,0.0,0.32777482,0.17961119,0.2010571,0.31863147,0.0,0.31115898,0.27884126,0.0,0.0,0.3932306,0.48659784,0.16354401,0.15426446,0.14871825,0.41826624,0.19313985,0.09324624,0.0,0.38321695,0.23592974,0.1861758,0.40226415,0.34332395,0.3215294,0.0,0.0,0.26396364,0.06033142,0.1930075,0.25233403,0.0,0.3593505,0.05472328,0.13317156,0.33484352,0.4525066,0.14276662,0.27466536,0.0,0.28910977,0.26200297,9.402633e-06,0.38903487,0.21016258,0.0,0.24710995,0.42505527,0.2532878
aftermovie,0.4766206,0.33278617,0.5025144,0.07021222,0.39549878,0.3657131,0.48154277,0.0,0.3681918,0.16802193,0.0,0.04956316,0.4748837,0.5394659,0.0,0.28490403,0.4292325,0.27952442,0.3807982,0.02211489,0.0,0.46204287,0.0,0.2524311,0.33297315,0.0,0.22516492,0.06205711,0.1858012,0.023230977,0.24305034,0.0,0.4683384,0.18315722,0.30658588,0.46122435,0.15465763,0.4697264,0.48682997,0.26201984,0.5786448,0.26450554,0.43199804,0.4304259,0.39554206,0.41535494,0.30381685,0.3026616,0.56196266,0.2886855,0.4451608,0.475245,0.2378629,0.31682256,0.0,0.46037573,0.3820192,0.48960254,0.08603125,0.1976605,0.0,0.4341906,0.12318806,0.2920252,0.45884952,0.4930038,0.20001149,0.23074856,0.29433239,0.3847846,0.22410667,0.0,0.18180688,0.020228092,0.3080549,0.42178693,0.5823702,0.012411244,0.4439165,0.305327,0.23215143,0.32390702,0.38241857,0.0,0.0,0.10231662,0.5554817,0.4812528,0.22810785,0.34755483,0.14365037,0.27363533,0.32735473,0.048815407,0.060830846,0.5045036,0.27123693,0.29857385,0.23908639,0.48341137,0.22829573,0.45103374,0.5593661,0.0,0.37813038,0.08321289,0.22383407,0.45444205,0.42668006,0.23693082,0.28427413,0.15765958,0.32777122,0.20135668,0.41222784,0.027948234,0.10465333,0.49994162,0.41442466,0.23594153,0.33015925,0.4677,0.633708,0.09705604,0.1254268,0.0,0.0,0.26275876,0.43264905,0.45067024,0.23321004,0.3509629,0.31651652,0.20099631,0.40496132,0.4249809,0.21100883,0.47943217,0.22853087,0.5189862,0.21093054,0.42834833,0.25621688,0.41483474,0.3871184,0.38506684,0.1909352,0.36192015,0.27248618,0.122376785,0.54038876,0.0,0.2710275,0.04724002,0.20899992,0.4209571,0.0,0.61514115,0.33163548,0.0,0.0,0.418936,0.49594682,0.260313,0.25562674,0.3690525,0.56338364,0.35821843,0.0,0.0,0.55291003,0.28029737,0.29762596,0.3876562,0.5156858,0.29877582,0.0,0.0,0.28033915,0.1697617,0.18780996,0.23724979,0.0,0.3641827,0.0,0.23113365,0.2747333,0.43669474,0.21428083,0.36403936,0.0,0.2304157,0.36160925,0.11785796,0.4022712,0.39746878,0.0,0.33147788,0.4677652,0.4528633
ahiddenlifefilm,0.16618887,0.11656825,0.14366528,0.05584559,0.115134485,0.14263825,0.14427584,0.0,0.07433834,0.05517229,0.0,0.034734964,0.17449155,0.1677973,0.0,0.12877652,0.11970736,0.104465544,0.16012503,0.004306851,0.0,0.14557458,0.0,0.07876335,0.112569734,0.0,0.028049953,0.040727653,0.043588996,0.0,0.07203009,0.0,0.14558941,0.059802078,0.12474552,0.16396922,0.07866354,0.1555857,0.15059261,0.09458678,0.17019251,0.1206109,0.16005777,0.15582033,0.14689757,0.1203461,0.10813268,0.11327349,0.18431228,0.12618566,0.13957413,0.18209827,0.10278961,0.09879622,0.0,0.14275497,0.0880909,0.13786067,0.10306869,0.039991114,0.0,0.18938269,0.07275407,0.114760704,0.15932024,0.14540608,0.08767441,0.11746836,0.13538437,0.11532901,0.07549234,0.0,0.058522925,0.021573357,0.1282518,0.13690802,0.20093052,0.035032984,0.12813653,0.113197975,0.10377551,0.07768776,0.12527092,0.0,0.0,0.07474172,0.16644007,0.1520169,0.081239454,0.10800543,0.046526,0.08548622,0.16570456,0.014525783,0.033688806,0.17064573,0.068600364,0.15884538,0.1296139,0.14341411,0.11752704,0.1542649,0.20563845,0.0,0.14250462,0.07250648,0.040095743,0.08863818,0.123108774,0.07380192,0.07979207,0.05072808,0.1015847,0.071827024,0.15251076,0.0074850395,0.05283327,0.15336275,0.16482283,0.10933246,0.13361798,0.16263838,0.17494905,0.033737194,0.059084658,0.0,0.0,0.08967839,0.11679729,0.1691309,0.0821348,0.13519229,0.12496127,0.040216602,0.14499663,0.112378396,0.09022261,0.16430593,0.073406056,0.16916996,0.06444848,0.14588234,0.10055016,0.14416683,0.12784393,0.11455875,0.066649884,0.10800835,0.08548166,0.0333613,0.14152116,0.0,0.1679889,0.092085786,0.08450012,0.16675992,0.0,0.16295403,0.09326421,0.0,0.0,0.16387875,0.21207394,0.09826166,0.07787949,0.08096825,0.20376359,0.09652225,0.02669517,0.0,0.17153685,0.08820243,0.097938955,0.13865826,0.14707473,0.11676782,0.0,0.0,0.111560956,0.059707414,0.08923119,0.1149295,0.0,0.1133555,0.018686607,0.06925782,0.116665326,0.17399587,0.07144079,0.13478118,0.0,0.1021131,0.12746537,0.01927956,0.18029135,0.11976315,0.0,0.12465954,0.17232917,0.14306296
alitamovie,0.5575562,0.43928617,0.64573455,0.18070826,0.57136285,0.5652184,0.498421,0.0,0.3237928,0.32649413,0.0,0.117995724,0.7486256,0.6225216,0.0,0.6209046,0.50892496,0.23780851,0.5967426,0.0,0.0,0.46832076,0.057617445,0.42828226,0.5183033,0.0,0.063781306,0.117506325,0.03105876,0.0034948443,0.18656933,0.0,0.55706114,0.41308817,0.54234993,0.6264191,0.40508404,0.5966847,0.44084668,0.33579177,0.5983284,0.5133634,0.7105036,0.58994514,0.6451296,0.4758639,0.62334955,0.5067357,0.8002471,0.47520822,0.7359029,0.60566896,0.31893322,0.31345022,0.0,0.50218993,0.47403264,0.4820974,0.20919529,0.25679109,0.0,0.7678405,0.18142588,0.25163153,0.5946871,0.8252799,0.46003717,0.58106345,0.6889224,0.73142374,0.3397441,0.0,0.16826922,0.08278486,0.4794216,0.4957365,0.6453229,0.059481762,0.594795,0.3966849,0.44654694,0.32978272,0.58976185,0.0,0.0,0.3902335,0.58278435,0.5413688,0.15452014,0.38604343,0.10210233,0.24752405,0.5955954,0.0,0.24090677,0.64694315,0.22512275,0.60103154,0.56142753,0.5831738,0.47670993,0.60474974,0.9700415,0.0,0.62784386,0.18182454,0.29968792,0.35357746,0.50893617,0.47548082,0.4224917,0.18980604,0.5574309,0.3253494,0.52188337,0.1054968,0.33162254,0.5769228,0.9273985,0.46411842,0.6737148,0.6839989,0.77705264,0.16495213,0.19152227,0.0,0.0,0.35593626,0.3724775,0.5753908,0.40138263,0.5772245,0.5986366,0.3253159,0.36371154,0.4712982,0.56790483,0.77172333,0.09345029,0.56859815,0.19040209,0.5132829,0.39073935,0.5398211,0.4583214,0.47305033,0.16091186,0.49352047,0.44975477,0.0,0.6384741,0.0,0.5382431,0.4651332,0.1736074,0.66164047,0.0,0.48149118,0.3064884,0.0,0.0,0.74485296,0.85431474,0.25624433,0.18613945,0.39166453,0.8960004,0.48884648,0.06845091,0.0,0.7477205,0.3637761,0.3238278,0.5349395,0.8418011,0.5347953,0.0,0.0,0.34275422,0.314961,0.27611145,0.49408603,0.0,0.45382684,0.1441525,0.33087692,0.3048278,0.7851503,0.21852504,0.6395551,0.0,0.5234373,0.536631,0.0,0.7673848,0.42846897,0.0,0.4545968,0.5440123,0.58130735
