movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149
21bridgesmovie,0.33575103,0.47814718,0.18237849,0.0,0.238318,0.2407889,0.41407388,0.24505892,0.0,0.18146208,0.39761922,0.0,0.45484188,0.27771103,0.23291029,0.40611115,0.07293126,0.33909526,0.16697009,0.41164225,0.19852176,0.147364,0.001084255,0.39450258,0.0,0.33876574,0.48537427,0.15549734,0.0,0.27757147,0.37692302,0.49409506,0.025481798,0.41202006,0.05420635,0.42268938,0.0,0.2183563,0.38353765,0.44591928,0.452064,0.5868418,0.0,0.34031525,0.47883618,0.09247282,0.14778575,0.38549644,0.4416759,0.0,0.0,0.42799017,0.4365014,0.39301914,0.15835689,0.27196893,0.06815843,0.21267039,0.393735,0.24191627,0.485115,0.6780719,0.5154573,0.07821746,0.4599541,0.0,0.0,0.3822302,0.15214357,0.1852012,0.23906127,0.03806087,0.3644788,0.3928463,0.22530705,0.349473,0.26083332,0.5553439,0.0,0.028522417,0.36892217,0.65222985,0.36108342,0.51731145,0.0,0.3266431,0.41588014,0.0,0.40864104,0.5127005,0.36600363,0.38002285,0.29932404,0.103768066,0.18409778,0.0,0.4084639,0.34112775,0.33694842,0.12198402,0.27518573,0.5081557,0.22664438,0.3128779,0.0,0.20607786,0.0,0.34980282,0.21775824,0.0,0.23014659,0.4282646,0.0,0.0,0.0,0.34142864,0.4475255,0.0,0.0,0.0,0.3506069,0.2083842,0.24225205,0.0,0.2609565,0.28347236,0.4793232,0.35866505,0.16655245,0.40363982,0.038453504,0.0,0.14235221,0.3186273,0.2880266,0.39787486,0.41742942,0.024705347,0.053870108,0.15131219,0.49770957,0.49050477,0.22063279,0.44439492,0.0,0.0,0.12974687,0.4156639,0.32645637,0.507439
47metersdown,0.23766227,0.4525972,0.17098753,0.0,0.32102743,0.16455048,0.6732341,0.47059405,0.09395779,0.3694979,0.37309515,0.0,0.5380444,0.5485067,0.33732733,0.49261317,0.18055803,0.38111764,0.33740032,0.47690207,0.5888397,0.28445798,0.14891067,0.47728288,0.0,0.49432805,0.7241304,0.30979565,0.0,0.49774995,0.35207093,0.5909682,0.1940681,0.3469464,0.0,0.48523405,0.0,0.5184017,0.87804866,0.54679686,0.5469898,0.64344865,0.0,0.42447338,0.38480788,0.37115163,0.37141043,0.55844444,0.5139797,0.0,0.0,0.66622734,0.6088418,0.63577414,0.47510007,0.66763836,0.17330095,0.36366442,0.37165976,0.42344385,0.74317306,0.7716037,0.8670382,0.12742344,0.41159204,0.0,0.0,0.7206693,0.20583087,0.19639254,0.39074147,0.0,0.5423682,0.7362233,0.5029242,0.5117193,0.32795963,0.45676297,0.0,0.0,0.71641123,0.54443026,0.6508853,0.43247294,0.0,0.5896164,0.5044326,0.0,0.4482214,0.7817369,0.5210786,0.44506127,0.5164382,0.2870901,0.6026555,0.0,0.54725426,0.6225446,0.5432208,0.11298551,0.46402267,0.6970835,0.42943656,0.42210287,0.0,0.33140513,0.0,0.444368,0.4814244,0.0,0.40269524,0.38961157,0.0,0.13442776,0.0,0.38682824,0.6736937,0.0,0.0,0.0,0.41282636,0.34630087,0.40759343,0.0,0.45760906,0.47392675,0.32225576,0.4105857,0.040036626,0.53096193,0.31580943,0.0,0.26565886,0.43388999,0.4884924,0.55212283,0.6874111,0.037795603,0.16076098,0.21553604,0.72381043,0.727133,0.43167958,0.61311257,0.0,0.0,0.32189393,0.5577181,0.3340616,0.5891814
abeautifuldaymovie,0.21124437,0.31828067,0.071766414,0.0,0.12868907,0.17710458,0.48622274,0.35523897,0.064273454,0.2052832,0.2782182,0.0,0.5201424,0.1980009,0.28597286,0.31752038,0.17142501,0.35999504,0.32271206,0.40361708,0.23501807,0.1442437,0.026705084,0.3101244,0.0,0.31558973,0.46031296,0.23709169,0.0,0.31688455,0.15061478,0.49772283,0.064203024,0.19213183,0.018175911,0.4820858,0.0,0.2955388,0.35524562,0.315305,0.45130327,0.47759515,0.0,0.28011715,0.37424034,0.19695768,0.32658553,0.35958868,0.42775708,0.0,0.0,0.33822104,0.425303,0.55665815,0.17395267,0.31884864,0.2070545,0.20383888,0.34310204,0.33387184,0.46080786,0.50906277,0.5448014,0.033518847,0.45054212,0.0,0.0,0.4328461,0.12794837,0.17886198,0.36190668,0.005837865,0.43903437,0.4384191,0.29464293,0.25239766,0.21926637,0.5219472,0.0,0.0,0.29176033,0.29828346,0.4940293,0.3818506,0.0,0.32019934,0.37753832,0.0,0.36100543,0.4453031,0.4937105,0.36685503,0.31966054,0.13791065,0.19711116,0.0,0.5026059,0.41459358,0.3268185,0.10126074,0.22684148,0.31646115,0.3659103,0.23446842,0.0,0.1305076,0.0,0.2657931,0.3366196,0.0,0.11942927,0.49245068,0.0,0.0,0.0,0.41932955,0.4371834,0.0,0.0,0.0,0.27072057,0.28034037,0.14780055,0.0,0.31095496,0.32776117,0.47011644,0.31400043,0.08996451,0.2213125,0.27200693,0.0,0.22326553,0.3453042,0.26531315,0.34708434,0.42097872,0.0,0.15413563,0.2949869,0.49345618,0.43705052,0.21046735,0.44292077,0.0,0.0,0.20006077,0.42997587,0.2041532,0.4235837
abominablemovie,0.4179153,0.8102412,0.23214597,0.0,0.5412976,0.1930523,0.81474334,0.7282537,0.30154097,0.54609203,0.44412917,0.0,0.90806943,0.7145543,0.54135305,0.5500675,0.24164607,0.4054547,0.29885507,0.746729,0.41332322,0.40276384,0.0,0.76576114,0.0,0.59451216,0.7496079,0.4471814,0.0,0.44100222,0.31647393,0.6031339,0.006160351,0.33819002,0.0,0.6959268,0.0,0.66464,0.5277604,0.58640146,0.602141,0.8545299,0.0,0.27674413,0.4589373,0.24896204,0.60952795,0.790486,0.58491147,0.0,0.0,0.69331,0.74174374,0.85356057,0.16661407,0.58786595,0.25877637,0.3425683,0.71297497,0.57462525,0.67948705,0.73416144,0.8003703,0.050361626,0.8601851,0.0,0.0,0.97002673,0.2810947,0.34052828,0.4048078,0.0,0.8242458,0.8170543,0.34965992,0.4484613,0.25119916,0.82218295,0.0,0.0,0.25083074,0.68596965,0.8830699,0.3763209,0.0,0.636929,0.65528625,0.0,0.5245233,0.62230843,0.4838342,0.40497243,0.4872468,0.11953345,0.43282485,0.0,0.59508735,0.57391787,0.5593598,0.0,0.5497155,0.821146,0.59756315,0.47100937,0.0,0.21085571,0.0,0.4213137,0.4451226,0.0,0.28677386,0.6066,0.0,0.0,0.0,0.94159096,0.7905673,0.0,0.0,0.0,0.3652787,0.36677924,0.3572358,0.0,0.5112303,0.54711115,0.5841725,0.5029393,0.0,0.3782961,0.31492198,0.0,0.31519172,0.3345305,0.5799273,0.77381486,0.6412255,0.036794666,0.4104742,0.10685003,0.7835915,0.912466,0.49038976,0.84803665,0.0,0.0,0.40074512,0.8669013,0.33676782,0.5510613
adastramovie,0.24102275,0.3504426,0.30785888,0.0,0.24581546,0.2641543,0.39048275,0.36751956,0.11550317,0.20148027,0.3562724,0.0,0.40284503,0.25528154,0.17398456,0.31266624,0.19173677,0.35825947,0.14558075,0.38726014,0.25557497,0.23905094,0.16479596,0.38505512,0.0,0.42729658,0.46963277,0.38568908,0.0,0.20411983,0.21377496,0.29132998,0.052592132,0.3065665,0.0,0.38507712,0.0,0.28246674,0.35879514,0.28715563,0.34063917,0.48632988,0.0,0.2806564,0.29814786,0.10290076,0.34051302,0.34261134,0.36926228,0.0,0.0,0.420154,0.4071335,0.49667686,0.1610734,0.29032573,0.048136655,0.35023722,0.37942952,0.3607915,0.3670199,0.4754555,0.6041326,0.0,0.32581642,0.0,0.0,0.46548054,0.23583136,0.271229,0.30372244,0.12820712,0.2462358,0.36233115,0.37505704,0.3599919,0.18678683,0.49084935,0.0,0.017214619,0.35802752,0.39971647,0.5274088,0.36869305,0.0,0.5109478,0.35494727,0.0,0.3824479,0.3683242,0.40771404,0.44317523,0.34991592,0.14695036,0.25817585,0.0,0.50372815,0.4459216,0.4395645,0.21731538,0.12528367,0.4804446,0.274549,0.2576687,0.0,0.24600118,0.0,0.35154098,0.26342845,0.0,0.096884415,0.4218656,0.0,0.0,0.0,0.35132954,0.3222667,0.0,0.0,0.0,0.33845785,0.32688037,0.295941,0.0,0.29901552,0.32415083,0.385944,0.27621698,0.15269037,0.3773907,0.0376589,0.0,0.13518648,0.33555034,0.40289393,0.35982987,0.44914034,0.0,0.17616528,0.17430232,0.38617414,0.53400654,0.24589302,0.48335215,0.0,0.0,0.16976999,0.50014967,0.2918231,0.5354894
adogsjourneymovie,0.60210997,0.8261765,0.5127068,0.0,0.64557964,0.61392534,0.94406617,0.6903983,0.36090854,0.4361811,0.9401887,0.0,1.2382019,0.24345334,0.42610145,0.8541068,0.26524302,0.5584698,0.53571075,0.8002748,0.4986418,0.63000005,0.16961202,1.1390024,0.0,0.9760543,1.1863552,0.44729722,0.0,0.34798542,0.39226714,1.0171763,0.032020967,0.3287755,0.008044043,0.79396033,0.0,0.88519716,0.52246493,0.64892477,1.1063784,1.0813428,0.0,0.67374474,0.46888494,0.3260858,0.73333263,0.8113188,1.0779489,0.0,0.0,0.78364515,1.0019075,1.094698,0.4646165,0.52253807,0.20515218,0.45090458,0.7978939,0.46456963,1.3193197,1.1410391,1.2218002,0.16062854,0.8226873,0.0,0.0,1.1843349,0.3434438,0.27335012,0.6514671,0.0,0.80422944,0.8935514,0.97969687,0.8256876,0.7610777,1.1405598,0.0,0.0,0.6072997,0.8771418,1.144182,0.99790376,0.0,0.7744477,0.81104094,0.108635664,0.77925634,1.0548302,0.6329049,0.7299249,0.4924571,0.0,1.0210342,0.0,1.0857213,1.082724,0.8551966,0.0,0.5415943,0.92355204,0.6681493,0.41957903,0.0,0.5625706,0.0,0.42272875,0.63164014,0.0,0.18780108,0.7447434,0.0,0.095672145,0.0,0.8173935,0.9818725,0.0,0.0,0.0,0.41716057,0.91224056,0.4960875,0.0,0.8826904,0.53592247,0.51615506,0.8129947,0.14730327,0.5158118,0.44980302,0.0,0.47163847,0.73504645,0.6759485,0.61552376,0.73279,0.06587836,0.3562947,0.37713367,0.98462504,1.5133814,0.5129648,0.79092467,0.0,0.0,0.40045625,0.89132684,0.556584,1.0603908
aftermathmovie,0.26889524,0.24395151,0.17570138,0.0,0.22400402,0.15866557,0.35729146,0.2857545,0.12130907,0.27930138,0.3049483,0.0,0.4014666,0.2513486,0.17648438,0.35045713,0.08199501,0.30686036,0.201259,0.42601734,0.20667161,0.10811004,0.0,0.18922167,0.0,0.30532494,0.49850762,0.25144032,0.0,0.21415299,0.23270392,0.40005195,0.023426972,0.2929819,0.011904758,0.4273792,0.0,0.3394842,0.36319268,0.3053518,0.22773209,0.44465145,0.0,0.3697871,0.2791301,0.1079026,0.24437322,0.21469167,0.3025807,0.0,0.0,0.38466138,0.33658692,0.40059245,0.110294476,0.26768124,0.1511826,0.23193875,0.33833516,0.213536,0.31877518,0.39582005,0.43447897,0.07070459,0.25189427,0.0,0.0,0.4831502,0.082607284,0.16971916,0.28222698,0.06974277,0.38332272,0.49112645,0.298042,0.33403844,0.21515664,0.4072511,0.0,0.02123037,0.2143571,0.3728463,0.46205834,0.35929003,0.0,0.35424516,0.30389315,0.06507465,0.281782,0.4045765,0.26282513,0.25789443,0.2084294,0.043421935,0.11133334,0.0,0.36497027,0.34758726,0.3056077,0.046530087,0.2776711,0.40321848,0.2663839,0.1898624,0.0,0.16806759,0.0,0.2595587,0.24058926,0.0,0.112749726,0.24991396,0.0,0.0,0.0,0.30432355,0.38232982,0.0,0.0,0.0,0.2502953,0.22347073,0.18854235,0.0,0.2098134,0.24520013,0.23708671,0.30056638,0.04605443,0.28583574,0.16036552,0.0,0.11156259,0.26221904,0.15769455,0.35156682,0.3339048,0.0,0.09730019,0.15016696,0.4040191,0.41728622,0.15102166,0.3668281,0.0,0.0,0.2362769,0.33598,0.20324974,0.36317205
aftermovie,0.32732046,0.40022132,0.25952893,0.0,0.10177025,0.13362113,0.5152549,0.34386396,0.07253383,0.15834376,0.34169376,0.09450434,0.47691402,0.33043545,0.08656407,0.37581474,0.06644123,0.36472508,0.09954849,0.34402543,0.3747953,0.23044278,0.032369755,0.3189437,0.0,0.3008098,0.44633913,0.19389534,0.12181853,0.234272,0.21665123,0.44053486,0.089608125,0.35895756,0.097442545,0.38890082,0.0,0.3036017,0.33669254,0.27017856,0.31166378,0.49527338,0.0,0.21910915,0.34276903,0.16155142,0.28791144,0.43407935,0.44956774,0.0,0.0,0.34429008,0.46882424,0.48915744,0.13187106,0.45221645,0.056150325,0.2190089,0.42277923,0.30395392,0.30514896,0.56753945,0.500098,0.004095274,0.32258442,0.0,0.0,0.3947894,0.13316885,0.1933137,0.2316913,0.018075593,0.2976177,0.5099848,0.35635385,0.47051734,0.27200016,0.4074715,0.0,0.0063161263,0.27322155,0.42624903,0.5262448,0.42128584,0.0,0.35603234,0.3579374,0.0,0.36168233,0.5152159,0.29543835,0.2869204,0.35356888,0.15563366,0.2591438,0.0,0.55039895,0.46609193,0.43536583,0.0963732,0.3938802,0.3124598,0.3600253,0.24072444,0.0,0.35406977,0.0,0.3666113,0.26048464,0.0,0.22602311,0.32020935,0.0,0.13492118,0.0,0.46992046,0.39149776,0.0,0.0,0.0,0.3527955,0.17692398,0.14246814,0.0,0.22420396,0.2716984,0.30911314,0.32829398,0.10585781,0.21494275,0.29807425,0.0,0.18278395,0.26951382,0.2708958,0.5323433,0.41564584,0.0,0.13803719,0.13160634,0.44860435,0.5778139,0.15011121,0.39308742,0.0,0.0,0.29210737,0.37485325,0.38341075,0.43984056
ahiddenlifefilm,0.103203535,0.14320196,0.05515502,0.0,0.1021256,0.09193834,0.16738349,0.15316397,0.026613228,0.09275353,0.13675934,0.0,0.19478524,0.10703088,0.09909246,0.14155461,0.042033464,0.13311413,0.084236264,0.14456993,0.12906882,0.09204015,0.019291572,0.14626867,0.0,0.14439325,0.16348177,0.089415826,0.0,0.115173824,0.0809734,0.1645775,0.021645429,0.1170322,0.01465647,0.15492056,0.0,0.1273436,0.14881577,0.12815171,0.15979826,0.1863254,0.0,0.14124443,0.1484043,0.06801633,0.12731346,0.13863932,0.17478724,0.0,0.0,0.17617723,0.17591433,0.18141966,0.06108103,0.14786102,0.04886429,0.11381465,0.1498296,0.11207388,0.18090507,0.22896938,0.21603811,0.020442564,0.16672724,0.0,0.0,0.19504364,0.05350339,0.06645363,0.11623131,0.0,0.13842209,0.18138978,0.14581679,0.114184245,0.08175244,0.22074585,0.0,0.0,0.12425413,0.17814979,0.19214006,0.14480615,0.0,0.15886262,0.13713282,0.0049130525,0.14245766,0.18735716,0.13274397,0.14758076,0.11728688,0.050841868,0.10983642,0.0,0.17987706,0.16872947,0.16558044,0.03571704,0.11215393,0.15694971,0.108469054,0.11436862,0.0,0.09967985,0.0,0.11166071,0.11936008,0.0,0.06821531,0.14448634,0.0,0.0,0.0,0.15507013,0.17161259,0.0,0.0,0.0,0.12510213,0.0896385,0.06779509,0.0,0.12861069,0.123510376,0.11879161,0.12519675,0.045534752,0.13006996,0.064042814,0.0,0.06448156,0.12449873,0.10722418,0.15759936,0.16200218,0.0028940747,0.052181322,0.064883925,0.2025399,0.202379,0.111226,0.18094157,0.0,0.0,0.08148217,0.1677464,0.120478265,0.17276016
alitamovie,0.46023524,0.48631063,0.18791364,0.0,0.4822383,0.25257468,0.80870944,0.5099999,0.22552185,0.33848336,0.737279,0.0,0.9832729,0.4334643,0.4314653,0.5191638,0.39366272,0.6382451,0.37340945,0.7711157,0.43363327,0.3838635,0.05074002,0.57447517,0.0,0.791246,0.8294866,0.45836172,0.0,0.42662385,0.40684146,0.7800945,0.16833363,0.47393486,0.0,0.78198755,0.0,0.54028696,0.64040947,0.6235312,0.6050352,0.8042555,0.0,0.4718482,0.60587263,0.26111388,0.4902487,0.4812137,0.59406203,0.0,0.0,0.6019219,0.6954678,0.7152598,0.2856481,0.541726,0.10999343,0.50514615,0.5844165,0.70041525,0.7607618,0.77263314,1.052411,0.037976027,0.6408491,0.0,0.0,0.7888639,0.16968945,0.32018048,0.57352406,0.3887517,0.5712589,0.7365996,0.7130138,0.52022797,0.32313475,0.7118267,0.0,0.048815034,0.68353385,0.6831253,0.7131672,0.551695,0.0,0.79359066,0.6265689,0.0,0.49389595,0.8030593,0.6024936,0.8183837,0.62968415,0.24582073,0.5329806,0.0,0.6314488,0.7308408,0.5701112,0.23256138,0.28603813,0.58440244,0.50712484,0.35112557,0.0,0.35313693,0.0,0.4763232,0.63852257,0.0070741912,0.41884512,0.5753636,0.0,0.0,0.0,0.49091813,0.6974173,0.0,0.0,0.0,0.4904152,0.2468903,0.11801349,0.08269451,0.70600146,0.55384356,0.5378072,0.58604,0.0,0.55417967,0.18513197,0.0,0.16101158,0.5872648,0.45721164,0.62929004,0.8241363,0.0,0.37097332,0.2461677,0.7044959,0.9072774,0.29922158,0.7677177,0.0,0.0,0.31985462,0.6018439,0.52967167,0.6795513
