movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
21bridgesmovie,0.50841284,0.7349597,0.011284714,0.66930115,0.077728085,0.7079776,0.38233632,0.5809023,0.6262076,0.0,0.5760134,0.69320226,0.2916984,0.4990274,0.62149656,0.0,0.58150274,0.47627613,0.64866173,0.69808865,0.5690302,0.3536576,0.53722745,0.27122608,0.7036408,0.47760516,0.0,0.5687281,0.0,0.49281588,0.07522671,0.64039105,0.51693314,0.4967269,0.740114,0.16042788,0.20059028,0.504681,0.441828,0.6086432,0.6912684,0.5887244,0.55536443,0.5766744,0.5074401,0.39875135,0.7325765,0.556576,0.3788488,0.47979575
47metersdown,0.43376526,0.91840965,0.13754009,0.81138855,0.18190797,0.9134318,0.39576453,0.72325057,0.7448684,0.0,0.6869283,0.8920557,0.32634526,0.5864158,0.4999979,0.0,0.7271057,0.630517,0.5854693,0.66390294,0.7921648,0.64346033,0.5474549,0.36000094,0.93779135,0.60550046,0.0,0.79128516,0.22904076,0.68370295,0.24696244,0.7618449,0.8036552,0.8316151,0.688841,0.098966256,0.2617934,0.85758966,0.27409613,0.7716208,0.8477216,0.84335595,0.99636835,0.87934566,0.7863878,0.49679992,0.98444545,0.53379714,0.38939506,0.8172202
abeautifuldaymovie,0.5141208,0.68939734,0.10775408,0.78276044,0.29953775,0.6776505,0.3058777,0.5850647,0.5642997,0.0,0.49478388,0.7492183,0.22954242,0.5415326,0.5791708,0.0,0.5569167,0.5395231,0.5257211,0.45689115,0.5302776,0.52554786,0.43353868,0.36355892,0.82473123,0.6598608,0.0,0.51597965,0.07524676,0.49322695,0.1159253,0.567464,0.5030744,0.5683403,0.6853828,0.19824207,0.12644368,0.6228917,0.30431956,0.73858035,0.7632801,0.6958217,0.6323039,0.60778356,0.8817649,0.50449425,0.76236284,0.60722727,0.22012275,0.46912533
abominablemovie,0.5251677,1.1382657,0.0,1.0157723,0.2397579,1.0696753,0.5854703,0.89546114,1.040093,0.0,0.835544,1.0574286,0.17445086,0.60284907,1.0048763,0.0,0.9264466,0.5818002,0.8108495,0.96557486,0.6088458,0.54059124,0.5980147,0.3473589,1.2038302,0.5338073,0.0,1.1608441,0.15723225,0.661536,0.0,0.8875748,0.677234,0.9565567,0.9783405,0.0,0.20420347,0.7008622,0.7376607,1.1989592,1.1410406,0.5829732,0.60800344,0.88440144,1.2086807,0.6881765,0.9665508,1.137961,0.6359632,0.7571287
adastramovie,0.53972167,0.595049,0.07760253,0.6166837,0.07529745,0.77311605,0.44191048,0.38275987,0.51770115,0.0,0.43942666,0.62805134,0.10729104,0.43088207,0.50597405,0.0,0.66437095,0.51544225,0.5263743,0.46179304,0.48953962,0.5347389,0.61053646,0.26926932,0.6695975,0.41664094,0.0,0.5847236,0.20557712,0.48874617,0.14821497,0.5259389,0.5560194,0.5595491,0.5413383,0.22524545,0.11120437,0.60389584,0.408879,0.5499875,0.6968395,0.42657468,0.59579736,0.69515365,0.53589225,0.30461076,0.66287094,0.521972,0.4377402,0.48169017
adogsjourneymovie,1.4728178,1.4802983,0.3538963,1.8692235,0.35784975,1.0966277,0.6395917,0.78971744,1.1786964,0.0,1.0923805,1.6367458,0.9178201,1.3466548,1.0256621,0.0,1.05263,0.8906488,0.85349697,1.3797041,1.0746491,0.9051244,1.0449107,0.6273419,2.0341969,1.2404122,0.0,1.2065467,0.27071795,1.132324,0.13747397,1.292002,0.9230327,0.7395942,1.4820381,0.38541222,0.15692382,1.4176766,1.0193235,1.5783807,1.446064,1.4028378,1.2775825,1.0363829,1.810944,0.712603,1.5274544,1.7322809,0.99073815,1.1273528
aftermathmovie,0.44416207,0.601587,0.022306703,0.47497645,0.1025149,0.49896958,0.3155601,0.40310204,0.4920197,0.0,0.48804793,0.57226866,0.27377105,0.4247056,0.42218897,0.0,0.39150673,0.37060782,0.31392342,0.47400066,0.32295895,0.25850144,0.4198782,0.15328014,0.5540984,0.32979363,0.0,0.5719323,0.16809021,0.42118108,0.11288157,0.53367895,0.45147273,0.40596822,0.5746952,0.11975754,0.14534765,0.5414713,0.23996827,0.46941197,0.6078238,0.43588755,0.4285335,0.48481128,0.43222708,0.30531195,0.58478326,0.440319,0.090634435,0.40439972
aftermovie,0.44799474,0.626055,0.056248803,0.62033194,0.24191472,0.7273659,0.35648936,0.5438737,0.5079674,0.0,0.5195422,0.68059367,0.22968279,0.55959255,0.6026269,0.0,0.5943246,0.25998232,0.44833,0.7344318,0.57962024,0.26862612,0.4707618,0.17178053,0.7575384,0.45820844,0.0,0.72021204,0.14271517,0.48000666,0.13878572,0.5607601,0.5088702,0.57278764,0.7530383,0.25575477,0.20236132,0.44266012,0.47301093,0.62128484,0.6778547,0.6098393,0.55693084,0.44220006,0.5997396,0.37955594,0.62025946,0.58019894,0.46026337,0.5111913
ahiddenlifefilm,0.22870499,0.30800977,0.028986704,0.2982351,0.088688955,0.31339246,0.17289148,0.21718407,0.24899408,0.0,0.23590465,0.29428378,0.10456092,0.22032848,0.23666,0.0,0.23877868,0.19907142,0.20408358,0.2507222,0.21898304,0.15134913,0.20371039,0.11318397,0.3451744,0.2335256,0.0,0.24642694,0.046578646,0.22252044,0.053512245,0.25532496,0.22269613,0.23705885,0.30127943,0.071194254,0.05827018,0.25338665,0.1517794,0.2804781,0.32424384,0.2581311,0.2538972,0.26131764,0.29213077,0.1740989,0.31983435,0.2701909,0.13658616,0.20611954
alitamovie,0.40427804,0.8802558,0.33554518,1.0192881,0.19575237,0.774973,0.69615674,0.7352117,0.9126787,0.0,0.57337946,0.8749868,0.43534166,0.6260008,0.80364156,0.0,0.93683034,0.7172902,0.6361986,0.71422416,0.6506767,0.76772976,0.521902,0.48843986,0.92131263,0.7134588,0.0,0.8571925,0.39856744,0.6180862,0.40768805,0.68320316,0.7296291,0.76935744,0.9197531,0.30676305,0.28475302,0.7729893,0.35529324,0.95175284,0.7408284,0.69057703,0.76440495,0.8409867,0.83963823,0.58365,0.8285375,0.5951569,0.45099917,0.94894737
