movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
21bridgesmovie,1.3232828,0.82632756,1.1966361,0.9984141,1.1882647,0.8018856,0.7862575,1.2298598,0.6756577,0.9476533
47metersdown,1.6456059,0.77846164,1.7846017,1.1895058,1.7769923,1.0110676,1.0505785,1.4565485,0.8669328,0.83006227
abeautifuldaymovie,1.2645597,0.7960453,1.3297694,1.1023009,1.1424376,0.7258309,0.5842771,1.0114248,0.41539317,0.6764064
abominablemovie,2.3377671,1.3858029,2.2084703,1.7357229,1.7752923,1.0235205,1.0305266,1.8044496,0.8171201,1.3743575
adastramovie,1.4112724,0.55685955,1.2054985,0.9361766,1.3999354,0.70515543,0.5892351,1.21672,0.96089387,0.7256127
adogsjourneymovie,3.0538106,1.6590214,2.4409542,2.8243542,2.3713498,1.8752774,0.7041296,2.3274608,1.1627743,1.5632926
aftermathmovie,1.0600864,0.6904988,0.8202415,0.68957686,1.041114,0.639077,0.5550351,1.0259719,0.74693745,0.78480554
aftermovie,1.2316407,0.47234857,1.0594987,0.82262623,1.0071038,0.82685804,0.5548957,1.10416,0.8766865,0.5203035
ahiddenlifefilm,0.73389876,0.50273585,0.59043676,0.5567095,0.65846175,0.39519054,0.37347707,0.64044875,0.44595072,0.4968624
alitamovie,1.9016092,0.73339266,1.5723019,1.4156364,1.9326295,0.8383005,0.58721656,1.5108219,1.0206988,1.2105253
angelhasfallen,1.6462804,0.68768764,1.7558081,1.2967782,1.5872909,0.79463464,0.8325418,1.4867885,0.9174867,0.7556502
angrybirdsmovie,3.5910451,1.3141683,4.0877924,3.2199337,3.0518718,1.979725,1.409971,3.0158386,1.3322554,1.8422433
annabellemovie,2.443244,1.009607,2.2003605,1.7796212,2.1538584,1.4270679,1.0333767,2.1137152,1.4102995,1.2567713
annamovie,1.475184,0.82372427,1.3462143,1.1151674,1.2849985,0.63011587,0.6047119,1.1730326,0.7604737,0.7139079
apollo11movie,1.0753418,0.60732466,0.8453589,0.73883694,0.9091058,0.5760471,0.5386693,0.86204594,0.65616924,0.5733217
arcticdogsmovie,1.16172,0.7676791,1.1362876,0.9111554,1.1914552,0.85233915,0.82262737,1.0294518,0.6618694,0.825365
arcticmovie,0.9214355,0.3555788,0.9270798,0.7801161,1.0823625,0.5552091,0.3166092,0.85529864,0.58487856,0.6416044
artofracingmovie,1.4825449,0.79658914,1.4449302,1.1128135,1.4046462,0.6323336,0.62737876,1.1868473,0.8031406,0.7457168
avengers,1.2807726,0.6106423,1.0111492,1.0396411,1.1598247,0.7542131,0.52468306,1.2036289,0.6097299,1.0204076
beachbummovie,1.5455748,1.0823278,1.3314276,1.2281139,1.2429159,1.0184883,1.0933667,1.1884074,0.7827764,0.7545266
bernadettefilm,1.3272818,0.85006136,1.60256,1.2668769,1.1523128,0.86403155,0.5395697,1.314955,0.57490104,0.68196094
blackandbluemovie,1.9610919,1.2927642,2.7044933,1.457484,2.3818042,0.7502592,1.1150457,1.7545284,0.65024126,1.5265924
blackchristmas,1.4848096,0.7164984,1.110179,1.0735226,1.2752059,0.776129,0.53200066,1.2327503,0.81281155,0.8208601
blindedbythelightmovie,0.9003359,0.6458424,0.8481576,0.69755524,0.9206319,0.49975708,0.4881435,0.7958985,0.6243382,0.7158369
bombshellmovie,1.651866,1.1117846,1.9109734,1.390782,1.4168506,0.94091874,0.82429504,1.5232149,0.47153324,0.9858016
booksmart,10.76017,4.3223033,13.969155,10.012489,10.218851,5.800602,3.537921,8.984805,3.2903814,4.657139
breakthroughmovie,2.8904114,0.85618335,2.7996566,2.53984,2.2750332,1.2718815,0.71207637,2.1602032,1.1652403,0.9514169
brianbanksmovie,1.6321477,0.6282097,1.8948927,1.4538702,1.679808,0.946077,0.7849765,1.5741853,0.772327,1.0113409
brightburnmovie,1.5855479,0.87667143,1.8276131,1.4129026,1.5264133,0.8830856,0.71158063,1.4010749,0.49817982,1.0150063
brittanyrunsmov,1.0090053,0.56378055,0.9637712,0.8951243,0.9465178,0.6182601,0.4427107,0.83839506,0.4236652,0.72511053
captainmarvelofficial,1.5247968,0.7399723,1.537713,1.3580382,1.5572804,0.8373663,0.45797062,1.5307404,0.5442498,1.0461031
captivestatemovie,1.4396992,1.044956,1.3820847,1.0393921,1.5920016,0.7987993,0.7779987,1.2646562,0.84984064,0.78734577
catsmovie,3.0401967,1.0123477,2.3289945,2.3106093,2.3105264,1.6926349,1.1327897,2.3403144,1.6155707,1.2816807
charliesangels,3.7949595,1.3330293,3.1072001,2.7017744,3.0689883,1.8958716,1.6397234,3.0389628,2.1663418,1.9230951
childsplaymovie,4.716553,1.5769691,4.9287963,4.2973123,3.6525044,3.1206985,1.7361364,4.078818,2.3918405,1.7427832
clarathefilm,5.318317,2.5013723,7.328361,4.528787,5.7465334,2.5635848,2.1881592,4.3928485,2.040725,2.4552822
coldpursuitmovie,1.1733527,0.70836055,0.7803085,0.8574554,1.0226399,0.52999467,0.53441447,0.9528441,0.6542555,0.736687
countdown,1.8401393,1.1695125,2.1295671,1.3906677,1.7664787,1.0305597,0.96306676,1.620581,0.7813184,1.1070688
currentwarmovie,1.4906349,0.9748026,1.0997463,1.1368186,1.3687824,0.97057855,0.5076989,1.31603,0.65221256,0.9425098
darkwatersmovie,2.1108024,1.292456,2.0792706,1.8232177,1.2660202,0.7202507,0.9505677,1.4361224,0.73251355,0.76460433
detectivepikachumovie,2.0454364,0.93602735,1.9921937,1.7457054,1.5570867,0.8479369,0.73502094,1.37903,0.665682,0.84961766
disneyaladdin,1.7886165,0.92063814,1.7984521,1.1985871,1.8387923,0.8618297,1.1163151,1.5142105,0.87516725,1.0150478
disneyfrozen,2.0566587,1.4399287,3.0314524,1.8046033,2.4256902,1.0760422,0.9713346,1.6595533,0.5862069,1.9954948
disneymaleficent,1.4782492,0.7501099,1.6157297,1.0722624,1.3822981,0.6693768,0.866601,1.153156,0.72725976,0.80388546
doctorsleepmovie,1.2908702,0.92463315,1.2163447,0.84696424,1.0661064,0.62807155,0.72390944,1.3175938,0.6689756,0.9550113
dolemiteismyname,2.0391393,0.971432,2.3801005,1.3756214,1.8881555,0.7154214,1.219527,1.5418231,1.1015877,0.8643413
dontletgomovie,1.8001959,0.9083113,1.331017,1.2139977,1.4345449,0.94897664,0.6970147,1.5028341,0.98609483,1.0034657
doramovie,1.4003953,1.2141652,1.3946695,1.0421957,1.3886001,0.643991,0.7378692,1.2584517,0.628583,0.86439115
downtonabbey_official,2.4210453,1.66192,2.5594091,1.9997976,2.6857367,1.4014647,0.9809781,2.2214694,1.2174727,1.5202681
dumbo,1.2440963,0.654797,1.2126802,0.8462982,1.1285421,0.5801226,0.7377831,0.9861352,0.68611395,0.7278809
escaperoom,1.6210593,0.86971396,1.563196,1.2496183,1.4763552,0.9347843,0.8182082,1.4359968,0.69490135,0.8980948
everybodyknowsmovie,1.0943187,0.66081697,0.90129757,0.6981527,1.1535467,0.5892002,0.58310384,1.0596225,0.6816295,0.6849071
fastandfuriousmovie,2.516196,1.2703296,2.4624498,1.7027897,2.3972108,1.2026318,1.2771397,2.070623,1.4680676,1.1874124
fightingwmyfam,1.8165207,1.1482403,1.4207256,1.1247215,2.1005962,1.3149561,0.80855405,1.6368239,1.1993512,1.0955921
fivefeetapartfilm,2.9394047,1.1514025,2.770385,2.0066395,2.1505468,1.8321307,1.6119807,2.1376662,1.5904975,0.7244088
fordvferrari,1.2192386,0.30103165,1.090201,0.8909146,1.1217713,0.7379585,0.71725005,0.99026895,0.8011915,0.5406493
freaksthefilm,1.2417699,0.82730454,1.6396657,1.1773386,1.1622294,0.6456489,0.53968555,1.2013739,0.31026322,0.81801766
geminimanmovie,1.3596438,0.90718013,1.4896548,0.92440325,1.6235615,0.6901353,0.83783203,1.3331052,0.7855479,0.79483396
glassmovie,1.5944208,0.6812165,1.5389256,1.0852342,1.4428062,1.0210047,0.8402436,1.5798075,0.8377027,0.79047567
gloriabellmovie,1.543844,0.9612492,1.134522,1.1762438,1.1754384,0.65123916,0.70109487,1.0170621,0.63961357,0.80488455
godzillamovie,1.5142754,0.9540038,1.5138135,1.4486701,1.3270206,0.7130261,0.50819844,1.1940428,0.70791566,0.66231614
goldfinchmovie,1.3222446,0.8769793,1.549222,1.0462344,1.1949891,0.66828275,0.819129,1.1866869,0.3605953,0.77133495
goodboysmovie,1.4557983,0.7083538,1.5959477,1.0630157,1.6793243,1.1581916,0.49672088,1.8672252,0.97822636,1.0890574
goodliarmovie,2.167716,0.9074415,1.6774155,1.3855205,1.8303335,1.2063553,0.97198546,1.7392627,1.3951416,0.7941215
gretafilm,1.6676935,1.0182259,1.3008786,0.9268461,1.6816181,0.8149123,0.64415693,1.6576852,1.044338,0.9052187
halathemovie,2.4749563,1.1746899,2.8133512,1.8345879,2.2250571,1.1172899,1.1253337,2.1946118,1.1388124,0.8914758
happydeathdaymovie,0.8852905,0.5145296,0.78187716,0.8378031,0.75094086,0.20594883,0.58561426,0.6815264,0.35757843,0.44721866
harrietfilm,1.6209024,0.65441597,1.4785632,1.1066599,1.5998226,0.70568734,0.74753857,1.28527,0.8929002,0.81021875
hellboymovie,1.5585184,0.92705125,1.5347639,1.2249812,1.4872204,0.630947,0.82244676,1.1853212,0.883031,0.8704964
hersmellmovie,2.3875833,1.9270526,2.933529,1.6927134,2.4930503,1.1890017,1.5611644,2.077033,0.95259494,1.8101953
highlifemovie,1.1768088,0.80548704,0.83037335,0.91513187,0.9277121,0.51701164,0.5534414,0.81736475,0.5556383,0.6297263
highstrungmovie,13.267562,5.0281076,17.235212,13.8021145,12.467462,6.661745,5.7456827,10.73436,3.034616,5.658281
honeyboymovie,2.5053644,0.4271137,2.519027,1.8776829,2.5456314,1.3762214,1.2519919,2.2094402,1.6909326,1.4868103
hotelmumbaifilm,1.3898395,0.8753991,1.2297887,1.1623459,1.0743837,0.6895349,0.6888487,1.1362022,0.577068,0.9248998
httydragon,3.589846,1.0755653,3.4900718,2.6848097,3.073946,1.9265676,1.398167,2.9244106,1.9169446,1.7359866
hustlemovie,2.2787259,0.9365599,2.253329,1.8695873,2.0569422,1.2679437,0.72833186,2.0869346,0.9950763,1.1728644
hustlersmovie,6.9009423,1.7648417,7.1996937,5.131055,5.699223,4.2830415,3.272267,5.690095,3.776401,2.5560484
isntitromantic,1.6417655,0.9202852,1.1604975,1.0517743,1.968226,1.3449641,0.7966369,1.7643415,1.5037152,1.2638685
itmovieofficial,1.5948554,0.7514897,1.5008378,1.1303357,1.4963365,0.8459719,0.70078814,1.4713717,0.7796358,0.83156997
jayandsilentbob,2.769411,1.1564295,1.7693213,1.6762388,2.4487698,1.673466,1.5290217,2.1032555,1.6169413,1.1599414
johnwickmovie,2.5939162,1.0356992,2.2775261,1.6672837,2.174535,0.88106227,1.0976182,2.238462,1.2834666,1.4623388
jojorabbitmovie,1.9120353,1.261685,1.8696194,1.2096572,2.3768206,1.1556951,1.0023739,1.9074363,1.411363,1.388318
jokermovie,1.4144158,0.6985621,1.1561319,1.0738968,1.3428539,0.8616011,0.47824147,1.3984586,0.90722907,0.8876549
judythefilm,1.4943628,0.65137464,1.709717,1.3422611,1.7121252,1.0927885,0.6416238,1.5770141,0.73174644,1.1621412
jumanjimovie,2.8259518,1.2377222,2.8178365,2.081325,2.456495,1.631212,1.5406805,2.5372746,1.1719686,1.1527911
justmercyfilm,0.9245193,0.6166491,1.0008429,1.1006584,0.64569896,0.4977994,0.3759708,0.9665092,0.335392,0.5066155
knivesout,2.5999951,1.0379344,2.4272525,1.7196528,2.6716614,1.3106793,1.1626841,2.1293254,1.6807202,1.1873707
lalloronamovie,1.459313,0.6553804,1.2901113,1.0446551,1.2835894,0.77445924,0.765162,1.1599592,0.9649984,0.7429311
lastblackmansf,2.3546097,1.5761648,2.2368093,2.190431,1.7225941,0.86960554,0.8774097,1.51397,0.7919903,0.8988553
lastchristmasthemovie,1.0438771,0.89116424,0.84206843,0.80189425,0.89976525,0.5315467,0.58070254,0.8687105,0.5588746,0.78000623
latenightmovie,1.5566031,1.0290148,1.8349783,1.2729733,1.4441282,0.6461841,0.6960839,1.4331467,0.5375031,0.9245702
lighthousemovie,1.1768088,0.80548704,0.83037335,0.91513187,0.9277121,0.51701164,0.5534414,0.81736475,0.5556383,0.6297263
lionking,2.6303763,1.3625994,3.0039246,1.9517355,2.3786786,0.9372617,1.2884245,2.1209497,1.0753593,0.95267135
littlethemovie,1.8057576,1.3255317,1.9680725,1.4050509,2.199023,1.0325836,0.9666161,1.7675886,1.2309917,1.1633983
littlewomenmovie,2.235042,1.207875,1.6903217,1.6421854,2.2761285,1.3963574,1.0807848,1.8037263,1.2105719,1.1311944
littlewoodsfilm,2.3690932,1.0221199,1.7696087,1.709988,1.713047,1.0924822,0.996947,1.8867332,1.196844,1.1623605
longshotmovie,1.5333567,0.57641274,1.8091341,1.3072363,1.5229553,0.9503922,0.61120385,1.5701702,0.72772044,0.7826662
lordsofchaosmovie,1.3774762,1.1370002,0.919417,1.0154696,1.141717,0.7301048,0.8821566,1.1899302,0.75086,0.9830015
lucyintheskyfilm,1.7575294,1.1861829,1.6413507,1.3808728,1.6353365,1.0666456,0.8262717,1.7598946,1.1579168,1.1826533
mamovie2019,3.2551014,1.3313622,2.549026,2.2718668,2.6798851,1.4295843,1.1820545,2.596367,1.6358129,1.3744695
marriagestory,2.276729,0.9023732,2.3432863,1.6059406,2.1308541,0.9471519,1.0718193,1.8026758,1.0764494,1.1102126
meettheaddams,1.6553394,0.8097352,1.7469869,1.0327368,1.4032063,0.7019881,0.79912364,1.499992,0.6690426,0.7639437
meninblack,2.663086,0.9886284,2.665895,2.4001346,1.8319904,1.7621164,1.0513024,2.010406,1.0465088,1.1821035
midsommarmovie,1.730171,0.99616146,1.3753217,1.388257,1.3342696,0.7461429,0.8366235,1.0728407,0.7427121,0.74819034
midwaymovie,1.6787349,0.88016415,1.7537776,1.30086,1.7151664,0.51154584,0.61166084,1.1970273,0.76484627,0.741941
missbalamovie,1.6909846,0.95896477,1.6784675,1.3160939,1.6993073,1.045997,0.8438464,1.510699,0.68371403,1.0857102
missinglinkfilm,1.0757184,0.6132734,0.82732946,0.8850434,1.0204071,0.49002084,0.4624779,0.9308822,0.59075236,0.6645098
motherlessbklyn,2.5145564,0.9154756,1.8906302,1.6516026,2.239356,1.547626,1.2718424,2.124246,1.5329634,1.0337137
onceinhollywood,1.5225531,0.9266332,2.2844882,1.28517,1.844024,0.9608301,1.2034423,1.6171917,0.5236366,1.1692435
onthebasisofsex,2.7996552,2.3339038,2.6540866,2.402916,2.3995745,1.0522872,1.3321683,2.0379446,0.70424587,1.7064834
overcomermovie,1.0519267,0.7327227,0.7950964,0.77954316,0.89448255,0.4814459,0.42973998,0.9839189,0.6125762,0.8616495
peanutbutterfalcon,17.504744,8.193317,19.438911,15.209553,15.579777,9.822042,7.044145,14.09089,6.6371055,7.918602
petsematarymovie,1.4845374,0.8787722,1.7220324,0.9312586,1.3083781,0.7252176,0.80460894,1.5068352,0.6354763,1.0209807
piercingmovie,5.941079,3.508332,7.9864373,5.502074,5.530225,2.8119106,1.9762038,5.098029,2.196724,2.673697
playingwithfire,2.100718,0.7524223,2.3390064,1.4459035,2.0267239,1.1624558,0.9389568,2.0553977,1.1660532,1.0221753
playmobilthemovie,1.7620797,0.8430537,1.8538005,1.3765793,1.8190706,1.3072969,1.0377834,1.853902,1.1053219,1.21393
pomsmovie,1.0603148,0.71988493,1.0009001,0.8099625,1.0079058,0.6128702,0.64029235,0.97904986,0.5711015,0.71510404
queenandslim,3.4564009,1.3707186,3.2622242,2.9604793,2.6972988,1.5075289,1.0737411,2.5744836,1.3313599,1.3868562
rambomovie,1.0423917,0.7052939,0.7266371,0.72260904,1.0010992,0.49147058,0.5400001,0.989369,0.53586316,0.79848427
readyornotfilm,1.2787356,0.76651293,1.044747,0.9132158,1.211585,0.7072871,0.55492616,1.2160891,0.9359242,0.8845544
richardjewellfilm,1.444587,0.9185984,1.2324057,1.1429651,1.5091704,0.95690095,0.5147891,1.4314963,0.7626775,0.8451674
rocketmanmovie,1.188073,0.96056825,1.3520054,0.99977815,1.4246355,0.6674222,0.79682314,1.0626292,0.5546086,0.8870149
scarystoriesmovie,1.2155108,0.8527985,0.9642394,0.9094004,1.0124537,0.7355816,0.7240993,1.0314087,0.6425928,0.6783641
secretlifeofpets,3.7394238,1.5266159,3.0615227,2.9930344,2.543914,1.6783097,1.3527354,2.776092,1.3762811,1.6306343
serenityfilm,1.0943117,0.86428744,1.1203301,1.0446975,0.9840276,0.53949827,0.53254545,0.9924645,0.44668803,0.7704489
shaftmovie,1.3636788,0.6656605,1.4118266,0.99677706,1.5946218,0.9260351,0.66042906,1.4262102,0.926729,0.7672224
shazammovie,1.7060838,0.98110753,1.6780282,1.4771783,1.3912164,0.94933075,0.9313724,1.2383846,0.8756037,0.76795435
spidermanmovie,2.7096257,1.5462164,2.7569218,2.110482,2.2999809,1.2117479,1.2187197,2.0324962,0.8091344,1.4026158
spiesindisguise,2.5632913,0.8385322,2.1939497,1.7119695,1.9945244,1.1760077,0.98838556,1.9953938,1.3271257,0.9748012
starwars,5.0146656,2.5710058,6.7873764,4.20113,5.9913034,2.7872643,1.8000364,4.206364,2.7427006,4.961381
stormboymovie,1.1321486,0.7318852,1.0964978,0.9544234,1.2396195,0.83907294,0.6865743,1.1533462,0.8415803,0.9900434
stubermovie,1.6777644,0.5398771,1.4686463,1.2788395,1.3528553,0.9688606,0.65691686,1.3644649,1.0628197,0.669867
taosdfilm,0.8459972,0.43600577,0.89642215,0.73525,0.86825186,0.4213009,0.4013013,0.72260714,0.41252646,0.574804
teenspiritmov,1.8865553,1.188299,3.1812336,1.8402122,2.2493267,0.8303579,0.95794314,1.765203,0.6793969,1.125895
terminator,1.5068041,0.93707085,1.579952,0.94467884,1.7980382,0.90444624,0.75805473,1.6312834,1.0393938,1.1954923
theaeronautsmov,0.9051682,0.58186144,0.64221096,0.76694274,0.74153244,0.49645022,0.35222685,0.7640521,0.40256163,0.6139943
thebestofenemies,1.8041823,0.77205634,1.5559641,1.1112473,1.9989198,0.99242765,0.95478696,1.6223238,1.2480584,1.2578129
thedeaddontdie,1.6494333,1.0306683,1.4429686,1.3415414,1.7363466,0.918844,0.6006932,1.7610201,0.92768955,1.1361055
thefarewell,1.3685455,0.98402053,1.1613919,1.1236244,1.0831685,0.7283627,0.744986,1.0415179,0.61501,0.65882456
thehighwaymen,1.5450882,1.0167711,1.8763936,1.2795292,1.5385737,0.7080457,0.8759428,1.1507201,0.7056223,0.8874864
thehummingbirdprojectfilm,0.73389876,0.50273585,0.59043676,0.5567095,0.65846175,0.39519054,0.37347707,0.64044875,0.44595072,0.4968624
theintrudermovie,1.4452786,0.8696199,1.9373558,1.3880073,1.8831104,0.993118,0.8201062,1.5000762,0.4540978,0.99725544
theirishmanfilm,2.5917711,1.1436753,2.979744,1.854747,2.7120852,1.2381445,1.4026304,2.2736375,1.4473456,1.2800766
thekitchenmovie,3.0008502,1.3602512,1.9583689,1.7839421,2.567027,1.3077687,1.2186671,2.562317,1.7906672,1.4985641
thelegomovie,2.5151913,1.1073304,2.22996,2.0441196,2.1850908,1.4899069,0.8582383,2.2618773,0.9086093,1.5354563
themustangfilm,1.2945511,0.7659155,1.2773834,0.95496815,1.2579554,0.61219436,0.5889113,1.115397,0.59617466,0.67317635
thenightingalefilm,1.584587,1.0962002,2.2036633,1.2060136,1.5792388,0.7108075,0.9850286,1.4672097,0.919325,0.95117605
theprodigymovie,3.2220652,1.333083,2.9658718,2.7122965,2.475175,2.2232778,1.0848588,3.0896568,2.1637874,1.3855252
thesunisalsoastar,2.3594677,1.0697927,1.5588028,1.4188037,2.0977457,1.4893703,1.2044193,1.9902633,1.6450907,0.9696514
theupsidefilm,2.2789812,0.8938707,2.2675724,1.6657506,1.8359144,1.2826173,1.343953,1.9084506,1.1047254,1.109953
tolkienmovie,1.4520779,0.9467784,0.986704,0.99633586,1.3746753,0.97481996,0.62727517,1.3501799,0.8683642,1.0730684
toystory,1.8535855,0.9404179,1.7129835,1.4832232,1.5026613,0.97783166,0.90395755,1.322078,0.7347698,0.85750383
triplefrontier,1.4996074,0.6927766,1.3980373,1.2545935,1.1799128,0.8254651,0.67171675,1.1252443,0.84234005,0.6748468
uglydolls,2.089802,0.63807106,2.3468008,1.9422672,1.295325,0.939662,0.780194,1.3534596,0.81160855,0.51139647
uncutgems,2.5780852,1.5897832,1.8704873,1.9227955,1.6697415,0.83421415,1.1395698,1.6657898,0.90662694,1.2284865
underthesilverlake,1.648915,1.1333479,1.3123425,1.415153,1.1620461,0.78561634,0.7842293,1.0745,0.5217601,0.7819731
usmovie,1.0699465,0.8025448,1.2293981,1.0756998,1.2287524,0.8866837,0.43680277,1.1970947,0.63662225,0.8461885
wavesmovie,1.7765613,0.563247,1.5307324,1.4466778,1.5057474,0.8640431,0.73239493,1.3442904,0.9442478,0.80001956
whatmenwant,1.8153394,1.0300121,2.2945802,1.4349526,2.2725136,1.2493664,0.93341357,2.1172836,0.99785745,1.3752353
wonderparkmovie,1.3869035,0.5303218,1.5290878,0.9773245,1.4176226,1.0210823,0.747351,1.508551,1.0047073,1.1336575
wrinklestheclown,0.73389876,0.50273585,0.59043676,0.5567095,0.65846175,0.39519054,0.37347707,0.64044875,0.44595072,0.4968624
xmenmovies,3.480139,0.7883866,3.1967711,2.7957053,3.6273654,2.1181989,1.1233221,2.9454038,1.940562,1.5235503
yardiefilm,1.1736268,0.79199964,0.9427605,1.0002357,0.9721389,0.5978762,0.5046985,0.9328384,0.628544,0.61290514
yesterdaymovie,1.4658294,0.82834756,1.1643068,1.1391388,1.3355422,0.8297316,0.49581075,1.4035858,0.82573307,0.92545444
zombieland,2.1962237,0.9665158,2.5800545,1.8267082,2.3897486,1.2636617,1.1913964,1.9634832,0.80649835,1.1276555
