movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
21bridgesmovie,0.83649856,0.37546927,0.8495683,0.5928301,0.45944017,0.5281632,0.5679723,0.27880448,0.9266972,1.0414447,0.7313007,0.77199763,0.7171452,0.64746404,1.0701433,0.5327924,0.0,0.8708502,0.65741503,0.5565117,0.61411965,0.72307056,1.1622041,1.0157683,0.5532318
47metersdown,0.45429564,0.34822237,1.5071721,0.9991275,0.33508903,0.9832181,0.7719991,0.48298046,1.5603237,1.1512448,0.97466165,1.1832018,1.1663723,1.0023264,1.2485425,0.6097473,0.0,0.81042516,0.9970996,0.9934936,0.5163587,0.97918147,1.9309322,1.1091663,0.6860571
abeautifuldaymovie,0.47641838,0.5310879,0.89552337,0.88166535,0.38336328,0.63440526,0.68370444,0.4588865,0.73236316,0.8386375,0.74404526,0.61892104,0.8345433,0.69270265,0.99904025,0.30530477,0.0,0.5704654,0.725862,0.57812095,0.4962088,0.59256214,1.0633984,0.9350555,0.47043592
abominablemovie,1.3346107,0.57889676,1.452567,1.2812961,0.7139558,1.198032,0.92605066,0.8211062,1.6175205,1.8827107,1.4868547,1.3657445,1.4990487,0.985657,1.972664,1.2682538,0.0,1.1011579,1.4530051,1.0584662,1.0794703,1.1740496,1.9108135,1.2936976,0.8640262
adastramovie,0.58983487,0.33429053,1.0357244,0.74718237,0.5569727,0.58056104,0.7206123,0.61622334,0.89848936,1.1143876,0.9932894,0.7708723,0.9958633,0.63014877,1.0769105,0.50136054,0.0,0.6396402,0.78613317,0.6069763,0.61874694,0.51587254,1.0747455,0.82002205,0.43500197
adogsjourneymovie,1.1461066,0.3919716,1.9745548,1.825663,1.4317335,1.2928095,0.9736378,1.2014341,1.4657148,2.4486527,1.9540378,1.6440359,1.1012,1.3722229,2.5590644,0.7852238,0.0,1.3599377,1.7151126,1.7095062,1.0651209,1.4223336,2.0941427,1.4307024,0.6494089
aftermathmovie,0.5308176,0.35154378,0.8661386,0.64113975,0.3950961,0.35392892,0.5555964,0.4311789,0.73387617,1.009649,0.8750801,0.47923958,0.7117658,0.63143444,0.82045543,0.330455,0.0,0.48489428,0.6000227,0.4227844,0.42665237,0.4514134,0.8426254,0.53942114,0.44902
aftermovie,0.59021515,0.3957451,0.9809641,0.83305806,0.52817166,0.35148758,0.5451022,0.5348773,0.84882087,0.9396254,1.0772163,0.4657479,0.7897636,0.88057977,0.8703029,0.20371595,0.0,0.46195373,0.61809784,0.63906825,0.5229045,0.46787113,1.0111936,0.59421194,0.45013285
ahiddenlifefilm,0.3531198,0.27317554,0.5071047,0.4606591,0.28410655,0.33197823,0.36594445,0.31017464,0.44521895,0.5431075,0.46746746,0.3755105,0.4443292,0.39644748,0.5442042,0.2682106,0.0,0.37497526,0.39431435,0.35723776,0.320162,0.35335094,0.6031749,0.47522587,0.27246085
alitamovie,0.3508307,0.77126336,0.64462507,0.6158701,0.5214301,0.49257323,0.97519755,0.7495153,0.37109283,0.8005359,0.93534386,0.6463971,0.777977,0.2861355,1.2475308,0.587804,0.0,0.34907207,0.61587054,0.62039256,0.3858226,0.6717383,0.91299564,0.8707391,0.26017338
angelhasfallen,0.9435781,0.54768294,1.3876828,0.9612538,0.52983147,0.5111414,0.8238151,0.50133824,1.2685353,1.1691637,1.1282005,0.8334638,1.3289561,0.7520997,1.2445635,0.64311785,0.0,0.95224524,0.7718626,0.67543817,0.5750928,0.7867974,1.5692207,1.1337332,0.5283871
angrybirdsmovie,1.4131985,0.44602084,2.3657026,1.7468246,0.95693624,0.836928,1.5061285,0.7112097,2.332376,2.881949,2.2716517,1.896273,2.3012712,1.5743037,3.099262,1.1455952,0.0,1.6732883,1.8975549,1.8078933,1.3230627,1.3491555,2.90811,2.133637,0.9155043
annabellemovie,1.1177592,0.8104425,1.3336341,1.098382,0.51646036,0.68873614,1.1298422,0.50352156,1.2038068,1.7721379,1.4039448,0.9785084,1.072248,0.726879,1.7359408,0.72552156,0.0,0.9178339,1.2554855,1.1515105,0.96198344,1.0953993,1.8189039,1.3697915,1.1648444
annamovie,0.45578662,0.3965655,0.9053613,0.68573165,0.38023567,0.75943655,0.5106157,0.5591172,0.8142249,1.0553714,0.73238146,0.796348,0.6671658,0.6858666,1.0164999,0.4293755,0.0,0.68910134,0.8066671,0.71197146,0.55572903,0.70903385,1.1555642,0.97026634,0.49731258
apollo11movie,0.5743887,0.39935905,0.75168216,0.66178095,0.33938688,0.47239566,0.37971428,0.47039276,0.7541335,0.80834305,0.6166958,0.6237075,0.67365587,0.63249356,0.70741975,0.27671757,0.0,0.61385167,0.566615,0.5107967,0.5198154,0.38118893,0.8406716,0.5698053,0.40459532
arcticdogsmovie,0.21504912,0.33297402,0.9313932,0.6162933,0.48393148,0.6815909,0.392463,0.34443924,1.0821,0.7600992,0.70247287,0.76531684,0.6853021,0.6794595,0.92449105,0.29989743,0.0,0.6809033,0.6191234,0.5151894,0.3537249,0.7238257,1.0573016,0.7456907,0.45946693
arcticmovie,0.22946158,0.459857,0.6288219,0.61826515,0.32342452,0.42740667,0.43654817,0.46930414,0.6296331,0.7466061,0.5857175,0.40842867,0.5729501,0.6507923,0.7700088,0.25400564,0.0,0.46145558,0.5768396,0.503799,0.42267293,0.5901341,0.8044876,0.7310558,0.27865493
artofracingmovie,0.49655432,0.47046,0.9979197,0.9461941,0.6454526,0.45077264,0.6894213,0.6848144,0.79490185,1.0183158,1.1941648,0.6054925,0.73407185,0.68668866,1.0943434,0.32229295,0.0,0.6975126,0.6297496,0.6761244,0.4814856,0.5988844,1.0767059,0.69164175,0.46009013
avengers,0.59355354,0.4206257,0.86707366,0.6916232,0.49151728,0.6716577,0.6572551,0.43423313,0.84937835,0.79696333,0.7167545,0.7348636,0.87544155,0.60680073,0.96148217,0.5226029,0.0,0.9155581,0.5881427,0.5977247,0.481305,0.6518606,1.1636869,0.98118496,0.29544416
beachbummovie,0.6291394,0.51010436,1.1310399,0.91094965,0.44173953,0.5514985,0.58751166,0.55893093,1.2000504,1.43408,0.96722615,0.8201186,1.0411242,0.97059494,1.1684016,0.37736705,0.0,0.72359955,1.0132918,0.6195648,0.5973363,0.6304813,1.3201042,0.8913885,0.5440589
bernadettefilm,0.6284091,0.30885336,1.27511,0.8456209,0.33280843,0.7341012,0.6913881,0.4165298,1.3240505,1.087148,0.97094405,0.96819556,1.2787049,0.9385077,1.0327461,0.43953314,0.0,0.799283,0.6300531,0.6434421,0.5997185,0.6604697,1.5917119,1.079689,0.5697125
blackandbluemovie,1.032987,0.74655616,1.6734939,1.6532874,1.1897762,1.3706069,1.6601212,0.8280923,1.5910478,2.302075,1.8029984,1.4362956,1.3411356,1.2276094,2.4607646,0.709896,0.0,1.0460336,1.7167509,1.1758691,0.5702841,1.204114,2.0901635,1.637876,1.0332736
blackchristmas,0.46704718,0.3591504,0.8539745,0.73631877,0.38328153,0.70834786,0.659463,0.3394873,0.96545064,1.0598825,0.76116,0.76665413,0.7026841,0.7816295,1.070656,0.37082508,0.0,0.65300524,0.7850439,0.73059464,0.5028255,0.69237566,1.2071126,0.8951796,0.5063909
blindedbythelightmovie,0.5060981,0.34233132,0.84438777,0.6405273,0.3082534,0.5763393,0.35950577,0.3268174,0.85336196,0.70192564,0.51768523,0.6981727,0.73359084,0.6205542,0.79003537,0.3801104,0.0,0.6431645,0.5716523,0.5288124,0.5666021,0.44185168,0.93648845,0.7564519,0.3827721
bombshellmovie,0.81826174,0.58605874,1.0547913,0.8764731,0.21109572,0.31872022,0.36920905,0.14701448,1.2978077,1.073177,0.7419215,0.6027471,1.0299559,0.695958,0.82041526,0.5612491,0.0,0.6800368,0.7638718,0.6702476,0.9275112,0.3820231,1.3373293,1.0530162,0.6627224
booksmart,5.4113526,3.508653,9.2623625,7.0874596,2.6890488,4.7402806,2.3000839,2.5422318,8.989511,6.820861,5.5189533,4.459178,7.353461,5.6341147,6.2598534,3.546693,0.0,7.2630796,2.9945538,4.377597,6.5007315,3.5217848,10.073679,8.535669,3.6015987
breakthroughmovie,1.3628441,0.8136878,2.5121925,1.7836637,1.4660902,1.1132097,1.4961318,1.2643673,1.6260915,2.5290384,2.4723864,1.3797231,1.8317082,1.7166334,2.6895769,0.7474221,0.0,1.3477415,1.2781123,1.6530323,1.4081023,1.1971138,2.9397347,1.9514779,0.6051099
brianbanksmovie,0.58532614,0.5799009,0.9543748,0.8730565,0.21914038,0.749793,0.56749564,0.5801686,1.0356041,1.1702166,0.75303125,0.62859553,0.93329275,1.1736894,1.0670631,0.41361743,0.0,0.87758195,0.79967135,0.8232637,0.9378238,0.5523439,1.424132,1.2265105,0.33491427
brightburnmovie,0.578235,0.58988655,1.1239694,0.9548817,0.67732555,0.8130845,0.8996087,0.47308305,1.3216392,1.301297,0.9176556,0.8623664,0.99813217,0.7847554,1.4218754,0.5369266,0.0,0.68311715,0.92957175,0.58283716,0.654094,0.71842474,1.1946282,1.1037637,0.7161915
brittanyrunsmov,0.27613577,0.4214841,0.41584903,0.6491387,0.23157373,0.8384116,0.40119675,0.5432519,0.5875465,0.583303,0.45302674,0.5833211,0.5428206,0.54675674,0.60529697,0.3424323,0.0,0.5786144,0.73380476,0.51777595,0.42514783,0.43751746,0.85041153,0.7598032,0.3378841
captainmarvelofficial,0.60416734,0.73546594,1.2700804,1.423319,0.631842,1.0918686,0.8068165,0.7465467,1.2943716,1.0807471,1.0541799,0.8872982,1.1720243,0.72606707,1.0217136,0.7575425,0.0,1.1867297,0.7614567,1.0480348,0.83888584,0.85475725,1.7118748,1.2902911,0.44810215
captivestatemovie,0.63936925,0.5884331,1.2524515,0.8930905,0.8145351,0.32012546,0.62871194,0.7650002,0.73413575,1.2962431,1.2085662,0.76271707,0.86338854,0.761474,1.5214351,0.6412642,0.0,0.8067174,0.78459525,0.9367745,0.49838644,0.89912796,1.1543987,0.9413239,0.32479563
catsmovie,1.2269455,0.4523772,1.9779141,1.569852,0.8756236,0.6940618,0.7791046,1.1149762,1.4376233,1.8236101,1.7880244,1.2236961,1.6571875,1.7809893,2.0974596,0.6173408,0.0,1.8573363,1.0029364,1.7071253,1.140854,1.4573964,2.4201806,1.388517,0.59414697
charliesangels,1.5569061,0.7964191,2.321513,2.0115845,1.127524,1.514962,0.8129178,1.2670727,2.3280272,2.6792397,1.6729728,1.7096148,1.5017297,1.9807831,2.9099593,1.5343642,0.0,2.0748668,1.4878753,2.2282448,1.9018778,2.0193994,2.992802,2.1471941,0.6393122
