movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
21bridgesmovie,0.8747138,1.0924562,0.424004,0.5727306,0.0,0.48623335,0.0,0.7871107,1.043473,0.8524094,0.49112794,0.72755873,0.9598419,0.68867546,0.8241615,0.85465574,0.63498443,0.71213,1.1173422,0.88405377
47metersdown,1.2986587,1.6730543,0.73724735,0.74549216,0.0,0.33526242,0.0,1.3145902,1.5651743,1.2906095,1.3874156,1.16982,1.1879001,0.68016887,1.1096516,1.2505382,1.1071362,0.90988153,1.0904475,1.4127234
abeautifuldaymovie,1.0198772,1.3047119,0.63610137,0.6116152,0.0,0.55719185,0.0,0.7786609,0.9503373,0.8273425,0.72640073,0.8378478,0.74973005,0.70945513,0.86111945,0.9843535,0.7859964,0.7331475,1.1255187,0.98373157
abominablemovie,1.5108216,2.510492,1.0118324,0.8481525,0.093247324,0.71284235,0.0,1.3341892,2.0493839,1.9155571,0.68301046,1.3312902,1.7344172,1.5703555,1.292242,1.1692903,1.1910623,0.9069375,1.7314086,1.3989229
adastramovie,0.97737753,1.2163858,0.5412128,0.7181324,0.0,0.53552973,0.0,0.6673176,1.0496066,0.67375296,0.6858432,0.59667325,0.8318875,0.64130425,0.6673145,0.6807442,0.67545736,0.48506245,0.87203974,1.0427548
adogsjourneymovie,2.1567557,2.846969,1.2689255,1.151922,0.0,0.93324345,0.0,2.3300397,2.5618136,1.6349069,1.983715,2.0991585,1.6043429,1.0660036,1.335544,2.8216445,2.133821,1.1930434,2.167322,2.6058357
aftermathmovie,0.7275674,0.99592894,0.33728284,0.5153965,0.0,0.36728853,0.0,0.6521509,0.899985,0.6784851,0.43950877,0.6247966,0.6341274,0.6599613,0.6445666,0.7498224,0.61459833,0.47661442,0.67635083,0.7344175
aftermovie,0.7833859,1.1001097,0.46060413,0.40681854,0.0,0.343028,0.0,0.76298845,1.1240264,0.99325013,0.8551881,0.7523457,0.7162345,0.78796464,0.6651154,0.82177126,0.9274266,0.51063365,0.9422502,0.8630743
ahiddenlifefilm,0.46585256,0.631253,0.2728615,0.33338088,0.0,0.23136765,0.0,0.42852902,0.55193245,0.46582654,0.37870294,0.44108033,0.44452238,0.41054365,0.38270485,0.44959247,0.40742138,0.3606693,0.50883764,0.49248576
alitamovie,1.7214832,1.4907568,0.6701256,1.0718378,0.0,0.7723889,0.0,1.1200627,1.2543601,1.0646229,0.9940609,0.99268067,1.3114066,0.74347496,0.9672099,1.1488812,0.9160094,1.0302119,1.4226363,1.2556497
