movie,feature_0,feature_1,feature_2,feature_3,feature_4
21bridgesmovie,1.618191,2.468175,0.0,1.380661,0.0
47metersdown,2.9336975,1.9678712,0.0,2.0327988,0.0
abeautifuldaymovie,1.5365106,2.3167186,0.0,1.3969982,0.0
abominablemovie,3.4791985,2.3460312,0.0,2.4378662,0.0
adastramovie,1.6762801,2.090089,0.0,1.4525684,0.0
adogsjourneymovie,3.9707386,3.4852974,0.0,3.3798568,0.0
aftermathmovie,1.2541403,1.504049,0.0,1.0428293,0.0
aftermovie,1.4170548,2.0395794,0.0,1.3519505,0.0
ahiddenlifefilm,0.8324887,1.0332291,0.0,0.75484216,0.0
alitamovie,2.121435,2.0308096,0.0,1.5318459,0.0
angelhasfallen,2.2219918,2.8381727,0.0,2.2135444,0.0
angrybirdsmovie,4.716861,5.2616067,0.0,3.3562467,0.0
annabellemovie,3.6119192,3.4700673,0.0,2.6344566,0.0
annamovie,1.7776257,1.922319,0.0,1.284473,0.0
apollo11movie,1.2285266,1.6028911,0.0,1.0656098,0.0
arcticdogsmovie,1.3468082,1.511692,0.0,1.0187417,0.0
arcticmovie,1.2620823,1.6138158,0.0,1.0579317,0.0
artofracingmovie,1.8457782,2.3818135,0.0,1.4821049,0.0
avengers,1.4362812,1.9560617,0.0,1.2190048,0.0
beachbummovie,1.6445935,2.6685498,0.0,1.3618785,0.0
bernadettefilm,2.1561458,2.353091,0.0,1.7166095,0.0
blackandbluemovie,3.1120234,4.1677175,0.0,2.4676762,0.0
blackchristmas,1.9344796,2.0486138,0.0,1.5127088,0.0
blindedbythelightmovie,1.1251569,1.6220319,0.0,0.9924962,0.0
bombshellmovie,1.8006432,2.3370042,0.0,1.3225195,0.0
booksmart,15.134063,13.611275,0.0,9.825269,0.0
breakthroughmovie,3.5993156,4.108035,0.0,2.8987973,0.0
brianbanksmovie,2.0507205,2.9028294,0.0,1.6124256,0.0
brightburnmovie,1.864459,2.6680315,0.0,1.5022681,0.0
brittanyrunsmov,1.3281237,1.3859327,0.0,1.1970274,0.0
captainmarvelofficial,1.7393092,2.550451,0.0,1.3616619,0.0
captivestatemovie,1.5739965,2.052833,0.0,0.94450355,0.0
catsmovie,4.358257,3.6546185,0.0,2.4991508,0.0
charliesangels,4.424351,4.5756984,0.0,2.8710861,0.0
childsplaymovie,6.775436,5.6833405,0.0,4.643063,0.0
clarathefilm,9.504422,7.5015316,0.0,4.93704,0.0
coldpursuitmovie,1.1672133,1.8497565,0.0,1.0601783,0.0
countdown,2.9246058,3.2835875,0.0,2.1083424,0.0
currentwarmovie,1.9229923,2.4447231,0.0,1.530811,0.0
darkwatersmovie,2.448377,2.8276145,0.0,1.6086994,0.0
detectivepikachumovie,2.2610114,3.1377382,0.0,1.8507426,0.0
disneyaladdin,2.275675,3.3836892,0.0,1.7396669,0.0
disneyfrozen,2.9073265,4.353821,0.0,2.4875646,0.0
disneymaleficent,1.8579404,2.76105,0.0,1.545182,0.0
doctorsleepmovie,1.6652689,1.9963958,0.0,1.2982024,0.0
dolemiteismyname,2.4852538,3.8032706,0.0,2.0411837,0.0
dontletgomovie,2.3267004,2.4716406,0.0,1.7801638,0.0
doramovie,2.0814145,1.9869453,0.0,1.4739007,0.0
downtonabbey_official,3.002365,3.7479591,0.0,2.30521,0.0
dumbo,1.6538467,2.384729,0.0,1.3124985,0.0
escaperoom,1.9948968,2.665969,0.0,1.6431309,0.0
everybodyknowsmovie,1.1804035,1.5327861,0.0,1.0028936,0.0
fastandfuriousmovie,3.5250812,3.4335907,0.0,2.284097,0.0
fightingwmyfam,2.479344,3.719028,0.0,2.1338418,0.0
fivefeetapartfilm,4.509077,4.272206,0.0,3.5020115,0.0
fordvferrari,1.3853273,1.6963015,0.0,1.197964,0.0
freaksthefilm,1.2645288,1.9394628,0.0,1.364754,0.0
geminimanmovie,1.7176089,2.6304512,0.0,1.3455538,0.0
glassmovie,1.9927014,2.4904401,0.0,1.2793256,0.0
gloriabellmovie,1.5226241,2.0010052,0.0,1.3548396,0.0
godzillamovie,2.0180793,2.3081353,0.0,1.4496187,0.0
goldfinchmovie,1.8054122,2.6916707,0.0,1.3873068,0.0
goodboysmovie,2.2277484,2.498745,0.0,1.7316887,0.0
goodliarmovie,2.7013755,3.0501707,0.0,1.9592857,0.0
gretafilm,2.0488834,2.345059,0.0,1.3803973,0.0
halathemovie,3.050112,4.3422947,0.0,2.475903,0.0
happydeathdaymovie,1.1702411,1.0893278,0.0,0.93496877,0.0
harrietfilm,2.0145247,2.0660357,0.0,1.5949883,0.0
hellboymovie,1.5086973,1.961265,0.0,1.3391699,0.0
hersmellmovie,3.696126,4.192743,0.0,2.6205714,0.0
highlifemovie,1.2838134,1.7051964,0.0,1.077961,0.0
highstrungmovie,23.82835,16.687387,0.0,13.499148,0.0
honeyboymovie,3.4014466,3.4370394,0.0,1.9695052,0.0
hotelmumbaifilm,1.658885,2.1218548,0.0,1.5452007,0.0
httydragon,5.19511,4.355453,0.0,3.5320318,0.0
hustlemovie,2.474236,2.5076122,0.0,1.8260539,0.0
hustlersmovie,11.681635,7.873485,0.0,6.726806,0.0
isntitromantic,2.42839,1.8397468,0.0,1.5689001,0.0
itmovieofficial,2.2502706,2.1679912,0.0,1.4604713,0.0
jayandsilentbob,3.7039542,3.2599695,0.0,3.052133,0.0
johnwickmovie,2.8504138,3.8436892,0.0,2.6459103,0.0
jojorabbitmovie,3.062887,2.9191628,0.0,2.1240115,0.0
jokermovie,1.7601379,1.9666626,0.0,1.4675281,0.0
judythefilm,2.608148,2.5598943,0.0,1.9836645,0.0
jumanjimovie,4.548936,5.0610266,0.0,3.470639,0.0
justmercyfilm,1.1410275,1.3612418,0.0,0.7395927,0.0
knivesout,2.9591932,2.6766055,0.0,2.5267596,0.0
lalloronamovie,1.6392488,2.1570427,0.0,1.4237875,0.0
lastblackmansf,2.142381,3.5149317,0.0,1.559859,0.0
lastchristmasthemovie,1.2696743,1.7638646,0.0,1.2469432,0.0
latenightmovie,2.3761806,3.5062864,0.0,1.8834082,0.0
lighthousemovie,1.2838134,1.7051964,0.0,1.077961,0.0
lionking,3.6121523,4.279403,0.0,2.3583894,0.0
littlethemovie,2.454388,2.6859503,0.0,1.9676062,0.0
littlewomenmovie,2.4685223,3.9126859,0.0,2.087397,0.0
littlewoodsfilm,2.604887,2.8874865,0.0,2.0529878,0.0
longshotmovie,1.8625808,2.3837354,0.0,1.8081216,0.0
lordsofchaosmovie,1.4562565,1.9881402,0.0,1.2678641,0.0
lucyintheskyfilm,2.2423873,2.210374,0.0,1.7510436,0.0
mamovie2019,4.530218,4.094387,0.0,2.8950312,0.0
marriagestory,2.3961425,4.204408,0.0,1.9385896,0.0
meettheaddams,1.8937265,2.7362435,0.0,1.6859926,0.0
meninblack,3.5627918,3.036143,0.0,2.041647,0.0
midsommarmovie,1.7427504,2.6795204,0.0,1.5279797,0.0
midwaymovie,2.5075054,2.305509,0.0,1.3174171,0.0
missbalamovie,2.2358088,3.1894085,0.0,1.8577538,0.0
missinglinkfilm,1.2658447,1.7017933,0.0,1.1710596,0.0
motherlessbklyn,2.5010707,3.6321006,0.0,2.1022935,0.0
onceinhollywood,2.1422272,2.9858932,0.0,1.3182907,0.0
onthebasisofsex,3.2041163,4.3947253,0.0,2.4330342,0.0
overcomermovie,1.2386478,1.7593518,0.0,1.2496601,0.0
peanutbutterfalcon,26.539057,26.466396,0.0,16.412666,0.0
petsematarymovie,1.9867467,3.0481546,0.0,1.6433991,0.0
piercingmovie,10.713553,8.383396,0.0,6.1530128,0.0
playingwithfire,2.8855157,3.3197415,0.0,2.022695,0.0
playmobilthemovie,2.1550786,3.062993,0.0,1.9094067,0.0
pomsmovie,1.2929382,1.9449944,0.0,1.1313183,0.0
