movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
21bridgesmovie,0.56425756,0.0,0.86261773,0.8151429,0.67949665,0.98885834,0.0,0.3723399,1.0254023,0.6653575,0.6791091,0.71319395,0.9978733,0.6668745,0.867805,0.46379033,0.0,0.5977026,0.7170946,0.50043696,0.7642777,0.49671644,0.8543951,0.7649493,0.9163678,0.5400206,0.0,0.5211217,0.62243193,0.64785594
47metersdown,0.8653581,0.0,1.3275704,0.7293359,1.039544,0.7018578,0.0,1.0810643,0.7815368,1.3305849,0.8130351,0.8322717,0.92799926,0.36977318,1.0086602,0.7483661,0.0,0.8250907,0.6754365,0.64922816,0.8360113,0.6806139,0.70153403,0.68726516,0.73738,0.71205777,0.0,0.5292463,0.81756306,0.8211623
abeautifuldaymovie,0.6379243,0.0,0.9395832,0.75925213,0.8795312,0.823923,0.0,0.47816858,0.8934947,0.84548575,0.33900094,0.72861004,0.82561195,0.6869693,0.48477066,0.6205909,0.0,0.5156169,0.5054273,0.46599793,0.58674145,0.4094603,0.65988505,0.78808546,0.6392747,0.57912415,0.0,0.4353491,0.6585369,0.70661134
abominablemovie,1.1118958,0.0,1.3259465,1.3475146,1.2552049,1.8166018,0.0,0.7083073,1.6449885,1.5015068,0.756706,1.5090867,1.3562329,0.6223303,1.0325141,1.0268539,0.0,0.70065755,0.81994104,0.37888217,0.92800164,0.7933511,0.59546334,0.95833385,0.9574428,0.66440636,0.0,0.9534049,0.7974748,1.1776352
adastramovie,0.51871073,0.0,0.9098848,0.6823705,0.9487935,0.5979016,0.0,0.5502585,0.7814483,0.96689403,0.5470228,0.5426964,0.7032198,0.5386441,0.64885604,0.69097084,0.0,0.8698972,0.61912113,0.5783987,0.39410102,0.31708086,0.72365135,0.6077932,0.7717492,0.6227551,0.0,0.5560248,0.7691154,0.62815934
adogsjourneymovie,1.3066849,0.0,2.0753577,1.5846087,1.2452949,2.5030153,0.0,1.0075392,1.9444929,2.0584676,0.9987381,1.4547571,2.4396284,1.2334876,1.4999782,1.1588448,0.0,1.3897029,1.701843,0.8123578,0.4091807,0.8774062,1.4544946,1.1322571,1.779467,1.59934,0.0,1.3404799,1.1946629,1.0835274
aftermathmovie,0.55506855,0.0,0.833079,0.60496867,0.55276304,0.7927762,0.0,0.4445324,0.6463748,0.74749243,0.47912303,0.5870252,0.699119,0.53307676,0.63308,0.6239842,0.0,0.36468697,0.44114846,0.43197405,0.48830187,0.49387926,0.50670654,0.40010628,0.5338681,0.4895774,0.0,0.49528623,0.57689685,0.5854787
aftermovie,0.51123255,0.0,0.688002,0.65825284,0.68937945,0.6649672,0.0,0.4961395,0.7635949,0.65959007,0.46728912,0.4630839,0.83858645,0.5078009,0.7845572,0.46060306,0.0,0.5761838,0.739931,0.5167704,0.5982967,0.39705747,0.7159413,0.5368935,0.7385661,0.43464673,0.0,0.49033317,0.6154919,0.6674638
ahiddenlifefilm,0.30268556,0.0,0.42145824,0.37687588,0.35459474,0.43205115,0.0,0.29428083,0.39361078,0.4460436,0.31269985,0.4064942,0.46638423,0.28117043,0.3674305,0.31063414,0.0,0.32818735,0.32907414,0.2821794,0.3112842,0.29228064,0.34308442,0.33426437,0.39439988,0.31636202,0.0,0.30637175,0.348808,0.34136766
alitamovie,0.339536,0.0,0.7261087,0.99772197,1.2533952,0.7452949,0.0,0.78303486,1.0427955,0.7663843,0.39622405,0.95452183,0.9550799,0.8268341,0.8155246,0.4953103,0.0,1.0489637,0.59783584,0.5078806,0.37869078,0.4395464,0.74854547,0.64068055,1.0065674,0.6682464,0.0,0.5344926,0.7155027,0.7666541
angelhasfallen,0.58438253,0.08080682,0.87301046,0.70938534,0.793022,1.318538,0.0,0.5862542,1.1195784,0.85574794,0.62446123,0.6178851,1.407058,0.53771657,0.7553563,0.79485387,0.0,0.7635322,0.93048906,0.44015622,0.49537027,0.60586905,0.6453675,0.6829407,0.4135462,0.8244892,0.0,0.8360507,0.8236294,0.7621432
angrybirdsmovie,1.0212599,0.0,2.2571912,1.9676456,2.344992,1.4804341,0.0,1.5108122,1.6894342,2.917302,1.1443362,1.7732788,2.0446174,1.113815,1.6909752,1.348732,0.0,2.4478636,1.5535052,0.98402303,0.92199475,0.99533767,1.4258018,1.5665188,1.7755915,1.7725546,0.0,1.9436761,1.8297727,2.1400719
annabellemovie,0.8078226,0.0,1.0445539,0.78204566,1.1519833,1.4621547,0.0,0.7733156,1.2575889,1.4095937,1.3362616,0.9100693,1.3998747,0.8486768,1.3273659,1.0176908,0.0,1.2135192,0.79723823,0.6286101,0.95086306,1.0782505,0.79495835,0.7698413,1.1350129,0.89407885,0.0,1.187639,0.9498601,1.4643152
annamovie,0.41056907,0.0,0.688886,0.6143555,0.8101621,0.8421179,0.0,0.5285399,0.71883404,0.8207596,0.7470812,0.5004324,0.5946009,0.3789898,0.5625101,0.5777646,0.0,0.8810357,0.5041929,0.52025837,0.3864134,0.32326424,0.52916396,0.48479512,0.5656208,0.52939814,0.0,0.52401096,0.47550613,0.5116828
apollo11movie,0.36330795,0.0,0.64389133,0.608408,0.43844956,0.7188555,0.0,0.35281354,0.6147954,0.72086877,0.32922918,0.5758014,0.69099283,0.5632934,0.4360408,0.3910345,0.0,0.5633189,0.46307296,0.2551329,0.33274096,0.51236844,0.49911848,0.43311596,0.53775316,0.50450814,0.0,0.525302,0.57994884,0.34099844
arcticdogsmovie,0.3993374,0.0,0.61532575,0.5887443,0.551216,0.7259959,0.0,0.601293,0.666644,0.52676755,0.5986044,0.636313,0.74876416,0.34317517,0.5268339,0.63347507,0.0,0.51628786,0.4247071,0.39177415,0.57905287,0.40828824,0.45139098,0.43295664,0.54447824,0.51617956,0.0,0.4521377,0.5483471,0.64924854
arcticmovie,0.4185804,0.02905478,0.5841125,0.51928604,0.51340485,0.61900747,0.0,0.48116046,0.638496,0.5096131,0.19708759,0.47994262,0.7025167,0.43843612,0.42655912,0.3617364,0.0,0.507364,0.4635111,0.32925284,0.412511,0.3036589,0.5010988,0.44717395,0.20023358,0.48732007,0.0,0.35161373,0.4145538,0.44466555
artofracingmovie,0.5028734,0.0,1.152906,0.86145824,1.0753293,0.7574326,0.0,0.6027692,0.72687143,1.2067674,0.75065356,0.6496647,0.69457054,0.54647493,0.86005235,0.75624746,0.0,1.0682164,0.64979804,0.5272473,0.47550505,0.52690035,0.7735559,0.5775508,0.7770751,0.575919,0.0,0.67594385,0.72841614,0.81458366
avengers,0.55739826,0.0,0.70044625,0.68726057,0.53153104,0.92082655,0.0,0.43817076,0.9001427,0.68409926,0.6269505,0.6266452,0.8071315,0.6788933,0.8848361,0.43778417,0.0,0.57540554,0.5910616,0.6714037,0.6643111,0.54013133,0.6749692,0.54954946,0.7693173,0.5469891,0.0,0.41649884,0.5957494,0.7375134
beachbummovie,0.5094875,0.0,1.1217064,1.2933232,0.72472745,0.9427577,0.0,0.5752987,1.0713981,0.9969935,0.33890808,0.94213295,0.88428867,0.7867273,0.51285726,0.6101785,0.0,0.81262535,0.87686265,0.27462003,0.5993676,0.6706419,0.8959567,0.6925658,0.9005649,0.44068828,0.0,0.63443536,0.8400502,0.36171728
bernadettefilm,0.737856,0.0,0.8999767,0.7782411,1.0195364,1.1205463,0.0,0.6505325,1.2222079,0.82152826,0.49007344,0.91478884,1.0450257,0.7488997,0.6865442,0.59728,0.0,0.6640506,0.9064174,0.5492958,0.7698606,0.56529343,0.8710556,0.9281788,0.935327,0.53248465,0.0,0.5199987,0.81150126,0.6515695
blackandbluemovie,0.96162295,0.0,1.6446997,1.9030422,1.396157,1.8066058,0.0,0.8911709,1.2960713,1.916153,0.9488355,1.883744,1.8928946,1.2816713,1.0195588,1.0246416,0.0,1.325262,1.254742,0.89061034,1.0140206,0.9319676,1.268319,1.3969985,1.3132303,1.3724515,0.0,1.1982473,1.150106,1.2862926
blackchristmas,0.61004275,0.0,0.76396763,0.8069426,0.5119669,1.1759505,0.0,0.52122366,0.7503836,0.77937794,0.83697957,0.8558578,1.0596974,0.5866716,0.8205801,0.5894491,0.0,0.62610364,0.55372965,0.40236872,0.7978629,0.6998727,0.7685654,0.7088635,0.7384447,0.6172021,0.0,0.66407037,0.56192493,0.7413347
blindedbythelightmovie,0.39254737,0.0,0.46367946,0.591175,0.47616816,0.69709814,0.0,0.3711791,0.55312735,0.4908532,0.4112211,0.401706,0.64544475,0.41913435,0.48085776,0.36365244,0.0,0.6002812,0.4565081,0.35800797,0.262017,0.3179416,0.49143773,0.40767056,0.5921827,0.43749925,0.0,0.30100256,0.5039277,0.40906376
bombshellmovie,0.90380466,0.0,1.0300215,0.8525242,0.9135049,1.1622654,0.0,0.33098286,1.2174503,0.8853712,0.78342074,0.838193,1.1921002,0.48198286,0.8363551,0.526461,0.0,0.9521436,0.75199413,0.32307497,0.39386714,0.7526179,0.77371484,0.67474544,0.77399135,0.75120676,0.0,0.7646596,0.5862394,0.7778614
