movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
21bridgesmovie,0.6272014,0.0,0.60335684,0.5697251,0.50641304,0.38638717,0.7860109,0.69487,0.4514949,0.0,0.4748576,0.7691979,0.3213106,0.8755235,0.7328598,0.30741924,0.46022123,0.4234377,0.3191556,0.70169836,0.42602274,0.020121226,0.38796905,0.6545996,0.45497936,0.0,0.49967518,0.71082485,0.4818634,0.4283879,0.5597523,0.726405,0.7033343,0.41653875,0.82904804,0.0,0.29665595,0.54199016,0.3470881,0.75646544,0.7232103,0.867281,0.535747,0.0,0.26820302
47metersdown,1.2951906,0.0,0.9910007,0.6831255,0.35352263,0.6968967,1.3290023,0.914909,0.5706865,0.0,0.895576,0.9035715,0.6353263,1.3120148,1.0353895,0.7857271,0.5211857,0.32998177,0.7509432,1.3729861,0.8345168,0.0,0.50695777,0.9779072,0.5878934,0.0,0.9079193,1.4484245,1.0977954,0.58570343,1.1178479,0.6446407,1.0380566,0.6363061,0.9979364,0.0,0.59359205,0.4884115,0.6135642,1.0081578,1.2268893,1.1146932,0.7952341,0.0,0.08130405
abeautifuldaymovie,0.9693611,0.0,0.68289626,0.51326364,0.26457924,0.55855894,0.7912694,0.6357075,0.504927,0.0,0.31676197,0.8124373,0.52710515,0.9624719,0.6304599,0.4280618,0.2680106,0.46254155,0.59110534,0.680427,0.58978677,0.0,0.30508772,0.6622866,0.39918056,0.0,0.4886738,0.64748377,0.4026151,0.41222802,0.386203,0.6529504,0.76151097,0.41162714,0.70853674,0.0,0.4543522,0.6327936,0.28811148,0.71356237,0.67913693,1.065466,0.44019502,0.0,0.37447396
abominablemovie,1.5948346,0.0,1.1604915,0.57943934,0.6537383,0.9652781,1.374514,0.98520744,0.814738,0.0,0.8130597,1.5349145,1.0333273,1.472919,0.9568806,0.7475351,0.49075833,0.65800345,0.61205393,1.5856223,0.8669762,0.0,0.7864787,1.2990624,0.95712155,0.0,0.85923296,1.3774743,1.2341019,0.94167703,0.91149914,1.606175,1.6080624,0.46779364,1.4027951,0.0,0.80987746,0.9915498,0.86637175,1.3511841,1.2273073,1.6471596,0.93461347,0.0,0.544496
adastramovie,0.8108959,0.0,0.69972694,0.64687353,0.26843143,0.50145584,1.0716486,0.8871422,0.39224508,0.0,0.37082297,0.7696298,0.78122526,0.9197845,0.78904146,0.56321603,0.782517,0.35920492,0.40337875,0.6502991,0.5847176,0.0,0.4638652,0.9183221,0.52987313,0.0,0.6656397,0.84788036,0.5124555,0.6070395,0.98445964,0.5908289,0.9584209,0.47650802,0.96974266,0.0,0.60885084,0.24442253,0.3491162,0.6663762,0.837075,0.81475896,0.42694896,0.0,0.33705235
adogsjourneymovie,2.3176606,0.0,2.027854,1.2957623,0.2055189,1.3416516,2.9975543,1.7739112,0.96625453,0.0,0.6643394,1.5404595,1.0298485,2.2943206,1.3747308,0.9638686,1.2793657,0.6051926,0.66181755,1.8529416,1.1604594,0.0,1.3588252,1.1010818,0.62568516,0.0,0.9958879,1.9524591,1.5884662,0.8846045,1.5930002,1.607934,1.9368337,0.94292265,1.9770031,0.0,1.2386825,1.6890103,0.4566114,1.8340658,1.608845,2.2746396,1.1178286,0.0,0.8324299
aftermathmovie,0.75202453,0.0,0.5219764,0.3665669,0.20920405,0.3387353,0.6925446,0.59368277,0.3296959,0.0,0.39961374,0.57500243,0.3109798,0.8437893,0.61314785,0.32531798,0.29310682,0.23755077,0.27613986,0.47421253,0.49358207,0.0,0.26139975,0.54257846,0.2647979,0.0,0.44000864,0.58480334,0.323079,0.3161815,0.6103894,0.53511286,0.68549573,0.33434087,0.6065889,0.0,0.22302313,0.37712395,0.1661802,0.602765,0.48264837,0.73402125,0.27430886,0.0,0.2690515
aftermovie,0.7898363,0.0,0.78907466,0.47311103,0.31274465,0.5294073,1.049111,0.672456,0.29457712,0.0,0.3296355,0.76958925,0.4083711,0.8023449,0.7566381,0.37854758,0.5296831,0.22270134,0.4782197,0.9533294,0.72045183,0.0,0.42271942,0.5346598,0.13500531,0.0,0.5582235,0.75003815,0.44015363,0.5466361,0.46445972,0.58248127,0.865967,0.35708943,0.75159794,0.0,0.37836254,0.5508987,0.43887997,0.73622316,0.5749892,0.78740543,0.34499744,0.0,0.36906686
ahiddenlifefilm,0.41111615,0.0,0.37802246,0.2725399,0.17151836,0.29640254,0.47470674,0.37073204,0.220533,0.0,0.2214542,0.39364085,0.27200046,0.46680462,0.3720951,0.25774148,0.2823523,0.21972324,0.2427112,0.39277107,0.3001947,0.0,0.20889886,0.3287017,0.21116266,0.0,0.3241036,0.4009995,0.28857386,0.27871966,0.34120685,0.37812597,0.45587018,0.23690382,0.40852535,0.0,0.23022582,0.2534669,0.21460651,0.37779194,0.37109178,0.44384643,0.2340808,0.0,0.16605139
alitamovie,0.9031835,0.0,0.68734336,0.5025178,0.4391823,0.5427336,1.2022976,0.63503754,0.76342744,0.0,0.33008185,0.96239805,0.7175242,0.98188865,0.7862916,0.54714316,0.7141473,0.6327992,0.31131387,0.9371952,0.61002207,0.0,0.33609504,0.7267965,0.61539215,0.0,0.64032954,1.0761061,0.4548348,0.50310105,1.0404488,0.9093298,0.94194716,0.31426594,1.1067972,0.0,0.5331948,0.5589562,0.5805843,0.87642914,0.88243675,0.62555563,0.49845052,0.0,0.27542925
angelhasfallen,1.1748741,0.0,0.97382927,0.710799,0.42765862,0.7401904,1.4535543,1.1516215,0.67290014,0.0,0.77941215,0.9964446,0.6543362,1.0364151,1.0029143,0.47064903,0.6917051,0.5459675,0.53673005,0.8844149,0.68656886,0.0,0.77920496,0.90546674,0.35155725,0.0,0.8936587,1.3290975,0.48826793,0.7156338,0.8279677,1.1640702,1.2061459,0.5761518,1.129248,0.0,0.7477247,0.6569017,0.25490773,1.3257765,1.2352935,1.1314077,0.5689024,0.0,0.42940694
