movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,2.0615945,1.5999775,0.77556616,1.8496675,1.7588475,1.3761431,1.4767612,0.35542732,0.7987861,0.0,1.1542139,1.5764978,0.0,1.0882316,1.5738804
47metersdown,1.4743967,1.3879259,0.0,1.5742434,1.9974139,0.46425828,0.802507,0.3342554,0.25874627,0.0,0.8999047,1.2691126,0.1207266,0.20198746,1.6632656
abeautifuldaymovie,1.6912633,1.0790964,0.6514196,1.3748766,1.2977846,1.1766613,1.1422523,0.0,1.3200939,0.0,0.52474564,1.2943852,0.1318882,0.77802473,1.5023166
abominablemovie,1.4891503,1.1295475,0.2518058,0.9568871,1.1177741,0.85095847,0.7957491,0.80280674,0.80714506,0.0,1.0879446,1.5337056,0.18527462,0.23423758,1.0967066
adastramovie,1.7151796,1.0778271,0.8378048,1.6797738,1.4765627,1.2868879,1.60413,0.38648504,0.5776763,0.0,0.6910757,1.2481151,0.063106164,1.2118914,1.2410493
adogsjourneymovie,1.7333082,0.94116384,0.0,0.906513,2.0257087,0.35966936,0.0,0.27467906,0.95357555,0.0,0.44765785,1.1533425,0.48359582,0.0,1.7219598
aftermathmovie,1.7019764,1.2032709,0.5768348,1.3631068,1.3264774,0.95791566,1.073223,0.21962655,0.8193392,0.0,0.5753789,1.2170577,0.0,0.8626163,1.2803291
aftermovie,1.946356,1.3563083,0.6399965,1.6880765,1.5956746,1.605161,1.4957411,0.0,0.804974,0.0,0.7658315,1.4320505,0.0,0.83274907,1.5394316
ahiddenlifefilm,1.0308301,0.7656362,0.44273353,0.8882385,0.84530056,0.75962543,0.79476905,0.276451,0.50993276,0.0,0.47285208,0.7190931,0.0,0.66149867,0.8277629
alitamovie,1.1109822,0.7943205,0.64867705,1.1958543,1.173291,0.89387655,1.0205283,0.47769684,0.6768191,0.0,0.61570317,1.0723855,0.30106977,0.5785581,1.1011308
angelhasfallen,1.9687513,1.1348069,0.18670684,1.3246692,1.2767591,1.1695205,1.4698306,0.35101333,0.9253922,0.0,0.665908,1.8306305,0.0,0.55683184,1.1912568
angrybirdsmovie,1.1890215,0.8220094,0.15116888,0.97288203,0.9582062,0.46417856,0.9870718,0.15076113,1.1036541,0.0,0.6755328,1.1056477,0.0,0.0,1.028587
annabellemovie,2.3144662,1.5917975,0.48445374,1.5020022,1.8546983,1.3786494,1.3408264,0.20021689,1.5320543,0.0,0.8899654,2.1057389,0.21576257,0.77187115,1.8478782
annamovie,1.748037,1.3714044,0.6847385,1.514959,1.4705099,1.3245064,1.2730566,0.31069773,0.6225157,0.0,0.74221945,1.2677921,0.03007495,0.967711,1.4598492
apollo11movie,1.8062433,1.1660402,0.46780944,1.3290781,1.3063385,0.9832231,1.1976624,0.640425,0.80936134,0.0,0.7185465,1.200855,0.03724679,0.93192357,1.057635
arcticdogsmovie,1.3915476,0.6686931,0.47307736,1.1230451,1.2064538,0.6651275,0.80201167,0.39937526,0.6775486,0.0,0.40530702,0.91461027,0.0,0.7145301,0.8833582
arcticmovie,1.0739017,0.8359455,0.30174285,1.1303643,0.97409695,0.8216256,0.78640574,0.3452161,0.1310862,0.0,0.61111295,0.8111076,0.0,0.8384354,0.6784149
artofracingmovie,1.8683097,1.1508392,0.87236446,1.5967494,1.2232523,1.4051023,1.8739405,0.20649742,0.7649492,0.0,0.5596111,1.2814312,0.0,1.2746673,1.297034
avengers,1.433416,1.0006664,0.42936206,0.9413882,1.0930367,0.8129132,0.5103148,0.0,0.5766858,0.0,0.38947368,0.7587256,0.095339894,0.71408814,1.1236044
