movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
21bridgesmovie,0.7444136,0.47828692,0.814563,0.0,0.5254069,0.28312033,0.66152704,0.9096342,0.7093791,0.21100429,0.6618238,0.2538767,0.0,0.39125824,0.68085414,0.6071759,0.39319584,0.0,0.53155565,0.48059377,0.33109018,0.0,0.76914966,0.63279986,0.44087255,0.59230775,0.45703655,0.45475513,0.84314334,0.33492965,0.23921233,0.79469764,0.42333597,0.6716597,0.6538632,0.77234405,0.5545285,0.8956011,0.86699003,0.37872776
47metersdown,0.5216188,0.42517954,0.8769079,0.0,0.143446,0.56622475,0.7600648,0.61649734,0.7535905,0.32815725,0.48913836,0.2557205,0.0,0.47579595,0.44318062,0.4495267,0.31379223,0.036730494,0.35057604,0.47074565,0.3562146,0.0,0.4553417,0.5451008,0.67056316,0.73894876,0.747841,0.5112705,0.5906309,0.3563547,0.34132737,0.84360665,0.34834346,0.46995068,0.27129313,0.5200171,0.805139,0.46830496,0.7067557,0.2778279
abeautifuldaymovie,0.49036497,0.4890591,0.45769605,0.0,0.44694796,0.6036862,0.6886167,0.6091955,0.6392386,0.29732767,0.67730594,0.27421162,0.0,0.44809967,0.65775883,0.34997773,0.39722452,0.0,0.26862103,0.4768041,0.31994668,0.0,0.4883808,0.3924389,0.65527165,0.501646,0.6750934,0.44919866,0.42105114,0.36050212,0.3051772,0.52413124,0.6003252,0.6662861,0.5515898,0.7332304,0.61234134,0.5545073,0.73889434,0.41755095
abominablemovie,0.20851159,0.5194029,0.4541062,0.0,0.5058444,0.33622634,0.9503812,0.80760914,1.1785485,0.03793119,0.6059644,0.4182724,0.0,0.7656829,0.90517205,0.44112557,0.36643237,0.0,0.7388794,0.6123909,0.8307838,0.0,1.2422644,0.7584238,0.7461012,0.73250556,1.199796,0.2324794,0.695788,0.45139703,0.10494502,0.9242348,0.73514915,0.939744,0.76458454,0.9616915,1.0563323,1.2218949,0.48548427,0.31699786
adastramovie,0.36757132,0.60577536,0.4211843,0.0,0.33515015,0.20644467,0.4844084,0.5204325,0.570057,0.24526593,0.46698776,0.109811075,0.0,0.36302903,0.53730077,0.30466178,0.27365434,0.0,0.18078716,0.39162847,0.3158206,0.0,0.5705785,0.40285173,0.48841888,0.5692165,0.5440967,0.3064233,0.5738816,0.15156017,0.37751237,0.54271924,0.55255294,0.48068538,0.43477932,0.49388656,0.40131047,0.5317529,0.66467637,0.27441132
adogsjourneymovie,0.56068563,1.1649408,1.0228908,0.0,0.630442,0.5533867,1.0712699,0.69792074,0.9296875,0.47716156,0.27089652,0.13836706,0.0,0.5449707,0.516424,0.66633886,0.8065466,0.0,0.62172043,0.37670246,0.348618,0.0,1.0071115,0.37642598,0.9691084,0.64274174,0.8389796,0.93998367,1.0762889,0.15532401,0.40328652,1.2876753,0.31103703,0.66277575,0.81604993,0.7956357,0.8483602,0.91584474,1.3436396,0.095936835
aftermathmovie,0.46595034,0.44177425,0.4167049,0.0,0.41355714,0.2566764,0.45340508,0.5829481,0.38858202,0.15323247,0.45742646,0.1961143,0.0,0.3360077,0.6248591,0.35039237,0.403182,0.0,0.29741535,0.39551023,0.27541777,0.0,0.64042413,0.32713255,0.56949013,0.44979393,0.51998085,0.42800477,0.5837362,0.29311395,0.16437636,0.50438124,0.4471689,0.42018756,0.49642444,0.55514956,0.4401563,0.5503028,0.63659406,0.32565555
aftermovie,0.7417846,0.5056912,0.65640306,0.0,0.09147267,0.34897217,0.81911933,0.57281256,0.6937658,0.3035755,0.81934917,0.015312053,0.0,0.40919,0.5764112,0.5015125,0.56604797,0.0,0.5119635,0.29190284,0.3815987,0.0,0.7519104,0.5209397,0.6505798,0.6598827,0.5433902,0.5712006,0.7520117,0.4008269,0.29580784,0.6987398,0.5631045,0.50858074,0.5100368,0.5378352,0.6438243,0.75165194,0.930395,0.24854293
ahiddenlifefilm,0.2976804,0.29991728,0.3098625,0.0,0.18776031,0.18917207,0.37911606,0.38067427,0.38016617,0.1407646,0.34790364,0.13987547,0.0,0.2290854,0.35044014,0.25469488,0.20686276,0.0,0.2288908,0.21392664,0.20736063,0.0,0.35895675,0.25519243,0.31033638,0.34055305,0.35555047,0.2580359,0.33585477,0.1806062,0.18542394,0.33423075,0.28086358,0.34847105,0.2766729,0.3362601,0.34340543,0.35041547,0.4071215,0.18311962
alitamovie,0.56156355,0.8012998,0.5691241,0.15441796,0.36295164,0.2086089,0.8243568,0.67686427,0.65518457,0.24544464,0.6055737,0.07519851,0.0,0.70509714,0.84887564,0.61556953,0.75520504,0.0,0.36182085,0.59617394,0.34010723,0.0,1.0974452,0.649964,0.6177728,0.8241856,0.7183642,0.72839785,0.9125441,0.10978054,0.3822504,0.8109342,0.5900393,0.65293074,0.734326,0.7141553,0.72376454,1.0740892,1.2407137,0.14161894
