movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34
21bridgesmovie,0.5802215,0.3508488,0.62247753,0.0,0.7030502,0.66997206,0.2218633,0.0,0.7146584,0.72551847,0.39606792,0.18973042,0.14672446,0.47338042,1.1944152,0.5648322,0.53727615,0.2940781,0.0,0.7397891,0.86705554,0.5681964,0.5620637,0.0,0.0,0.6185964,0.5525914,0.7404624,0.55652845,0.22407034,0.5907145,0.155214,0.44412476,0.5918107,0.06422959
47metersdown,0.6261859,0.36834437,0.72108626,0.0,0.3641947,0.53182995,0.34587848,0.0,0.6442803,0.79465723,0.5338814,0.369631,0.4941793,0.5815569,0.46842363,0.51098406,0.8466224,0.6831019,0.0,0.41556233,0.7809236,1.2087319,0.42939118,0.0,0.0,0.56800425,0.3292517,0.8107572,0.990856,0.16982992,0.62383115,0.6927709,0.5663981,0.39127082,0.14978598
abeautifuldaymovie,0.50887597,0.6275515,0.57685935,0.0,0.7455051,0.7018616,0.30494022,0.0,0.6583148,0.59886533,0.48211303,0.4247317,0.11817135,0.3516665,1.1501293,0.7188622,0.77476764,0.36173442,0.0,0.589332,0.6522135,0.8623427,0.5607198,0.0,0.0,0.41415265,0.7044121,0.856643,0.82931817,0.09308997,0.4784493,0.19334844,0.3384855,0.53628397,0.0
abominablemovie,0.42826772,0.92797494,1.1631582,0.0,1.3691881,1.314524,0.22614728,0.0,0.56716967,0.0708088,0.2370922,0.43028334,0.2619809,0.6895784,1.3529929,0.68445385,1.0442972,0.107697636,0.0,0.7665926,0.83441615,0.76257193,0.63417906,0.0,0.0,1.0467027,0.8446111,0.7477398,1.2051835,0.41433102,0.87864566,1.0441662,0.46449935,0.25273705,0.043221895
adastramovie,0.23066333,0.5121558,0.67541265,0.0,0.70863956,0.5911747,0.2333747,0.0,0.57657325,0.47937724,0.19155692,0.23999721,0.048378747,0.31618595,0.9275349,0.38068298,0.58563536,0.20655878,0.0,0.5437794,0.7094715,0.4255093,0.6104305,0.0,0.0,0.51564544,0.443679,0.48845246,0.42667228,0.29506826,0.43498453,0.35748973,0.24001476,0.25041237,0.029953033
adogsjourneymovie,0.49340987,0.33369353,1.2302085,0.0,1.3046297,0.91717935,0.62859994,0.0,0.99496233,1.1529181,0.30231068,0.7127398,0.0,0.369845,1.9049062,0.9194312,0.9257745,0.4836302,0.0,0.13085079,1.1746265,1.6750524,1.1344768,0.22287022,0.0,1.0051328,1.0360615,1.3362355,0.9780199,0.0,1.0116811,0.5571684,0.43378285,0.2178136,0.0
aftermathmovie,0.36595255,0.33039993,0.45057037,0.0,0.4710033,0.47841763,0.43063268,0.0,0.6042632,0.51197886,0.3728098,0.34668872,0.11981906,0.29182553,0.8761566,0.5095594,0.50516856,0.21332169,0.0,0.25345612,0.24739742,0.684081,0.4630852,0.0,0.0,0.42843404,0.4793227,0.603805,0.532571,0.11082396,0.48487923,0.30567077,0.30017757,0.5317415,0.0
aftermovie,0.42202663,0.53478706,0.53053,0.0,0.90089875,0.80302763,0.39232495,0.0,0.6710826,0.7064444,0.5686392,0.3319142,0.23914367,0.5354533,1.3082992,0.6301085,0.6813563,0.2677549,0.0,0.54605824,0.47280645,0.89056957,0.85491306,0.0,0.0,0.70059127,0.684099,0.8291586,0.86755157,0.30224034,0.7271363,0.46007904,0.47605357,0.63034296,0.0
ahiddenlifefilm,0.2445435,0.2680828,0.3396704,0.0,0.4375717,0.36221576,0.17244734,0.0,0.35923034,0.3412576,0.26201886,0.19699629,0.11650248,0.24782498,0.5840617,0.2976631,0.34434777,0.16322531,0.0,0.33211893,0.34109,0.43371496,0.33875668,0.0,0.0,0.2998624,0.30394349,0.37129205,0.42010227,0.10912408,0.32758206,0.24508822,0.2238071,0.28131238,0.0
alitamovie,0.06898114,0.30704683,0.57677287,0.0,1.2659149,0.44582957,0.2750328,0.0,0.35649908,0.6248315,0.48049372,0.14447358,0.012900652,0.44851223,1.0825809,0.22489315,0.7678267,0.111396715,0.0,0.60416484,1.0069795,0.6921628,0.82329655,0.0,0.0,0.47035944,0.4953456,0.48497507,0.5902663,0.4444342,0.7383464,0.47649544,0.57499933,0.27614582,0.0
angelhasfallen,0.53327805,0.34669602,0.6417313,0.0,0.7750713,0.48319787,0.3383594,0.0,1.0437485,1.0355847,0.7421584,0.14850363,0.52029973,0.38619053,1.1360861,0.6854572,0.80553645,0.6442913,0.0,0.7354012,0.65961754,1.1815146,0.5810874,0.0,0.0,0.7172579,0.5258709,0.8227139,1.0454519,0.33331275,0.6542952,0.61061496,0.68792313,0.8788847,0.0
angrybirdsmovie,0.8775413,0.8841532,1.2204509,0.0,1.5179714,1.045244,0.4974802,0.0,0.9767469,0.64015067,1.0239363,0.72408605,0.6186008,0.36061984,2.0375516,1.7240931,1.3529803,0.6080035,0.0,1.2519159,1.2247773,1.9426506,0.15350685,0.043050125,0.0,0.4197588,1.5050836,1.6542084,1.5681865,0.3151575,1.1800838,0.82764786,0.57762676,0.941614,0.024489164
