movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
21bridgesmovie,0.48168427,0.1494879,0.733875,0.427865,0.7847934,0.2648168,0.33862346,0.8311229,0.42429787,0.2413057,0.48564577,0.47592774,0.75175405,0.31129125,0.9191349,0.0,0.0,0.7371595,0.6165447,0.0,0.72214246,0.08248364,0.8070575,0.61219037,0.7288633,0.51548994,0.0,0.65537703,0.84414434,0.5707824,0.9860737,0.6065283,0.3349903,0.8391112,0.0,0.49182248,0.57743853,0.0,0.38460428,0.740321,0.0,0.76615554,0.70543826,0.0,0.3722772,0.31619072,0.47666454,0.59384906,0.92899376,0.0
47metersdown,0.6337364,0.11884786,0.72991276,0.13348527,0.936083,0.52036816,0.75460875,0.57277924,0.57712364,0.069689445,0.69988793,0.6301409,0.65308225,0.27044308,1.0022663,0.0,0.0,0.6878817,0.52235264,0.0,0.7189424,0.11402604,0.7770157,0.9775598,0.7994563,0.5474269,0.0,0.72573483,0.877609,0.73303723,1.0262097,0.80206144,0.2899394,0.9045859,0.0,0.41876456,0.5293395,0.0,0.24946389,0.8677788,0.0,0.8677338,0.78978634,0.0,0.39076775,0.26142648,0.58728665,0.6660043,0.68428165,0.0
abeautifuldaymovie,0.5195093,0.20987707,0.44447795,0.22494094,0.6663302,0.2043895,0.33010942,0.36130214,0.24300528,0.0,0.3335391,0.423958,0.5225303,0.118022576,0.74320525,0.0,0.0,0.57394624,0.3918054,0.0,0.5017812,0.07382539,0.52661693,0.4935692,0.62203056,0.5695619,0.0,0.7409096,0.6907799,0.4669219,0.6296323,0.38405272,0.31118348,0.66989464,0.0,0.26587406,0.34913453,0.0,0.48177198,0.38734233,0.0,0.51842934,0.44476962,0.0,0.30844688,0.25128293,0.29508042,0.44838172,0.6575806,0.0
abominablemovie,0.9837944,0.34064555,0.64014554,0.48274064,1.0315465,0.7267961,0.7504878,0.6647732,0.0,0.3215562,0.5179602,0.59622467,0.6973442,0.20358396,1.1457704,0.0,0.0,1.0968808,0.7388758,0.0,0.9237745,0.0191927,0.5634111,0.69063246,0.94627535,0.8002592,0.0,0.9739337,1.1798881,0.5023922,1.0357773,0.4203365,0.65923893,1.1107777,0.0,0.65999436,0.50390196,0.0,0.7768683,0.73616594,0.0,0.7859719,0.65991116,0.0,0.72800845,0.54475164,0.58147323,0.3785247,0.9552439,0.0
adastramovie,0.43075866,0.18689235,0.43387067,0.11942379,0.4555585,0.12092619,0.30078506,0.51294565,0.23329464,0.2761064,0.40373313,0.36678985,0.0910801,0.12999064,0.7874668,0.0,0.0,0.60776263,0.28298202,0.0,0.38454148,0.13849139,0.3015237,0.3278848,0.6790995,0.34744394,0.0,0.5306033,0.6803454,0.5526585,0.7589191,0.23495656,0.10268548,0.65022254,0.0,0.40026382,0.30334106,0.0,0.38717648,0.39242807,0.0,0.61840004,0.50466067,0.0,0.23741564,0.10286234,0.23524585,0.45132875,0.42531726,0.0
adogsjourneymovie,0.63750213,0.27360624,0.7822561,0.0,1.1910262,0.61361384,0.66727823,1.0307405,0.16330221,0.6034562,0.72112995,0.59088767,1.218574,0.2949275,1.5099585,0.0,0.0,1.335762,0.9059957,0.0,1.2948743,0.4313756,0.8527235,0.61660576,1.2563323,0.6878337,0.0,1.3499045,1.314765,1.0503159,1.8410362,0.9264809,0.56774104,1.105473,0.0,1.017288,0.5689884,0.0,0.45413598,0.6153864,0.0,1.1774961,1.4873517,0.0,0.38437587,0.70804924,0.57100606,0.80919534,1.361909,0.0
aftermathmovie,0.51221067,0.20313938,0.51124936,0.18334246,0.51237464,0.2553171,0.37603587,0.4241386,0.17294255,0.07499053,0.24141347,0.45146942,0.44230118,0.18808454,0.56454843,0.0,0.0,0.6520072,0.45001352,0.0,0.5346837,0.05874184,0.3609834,0.32217187,0.5302614,0.44674325,0.0,0.5596753,0.57985413,0.3932717,0.5383426,0.4246294,0.20516552,0.595414,0.0,0.2935268,0.24087289,0.0,0.4107621,0.48861036,0.0,0.46288082,0.4802558,0.0,0.33485714,0.32677588,0.30073512,0.32696784,0.5869294,0.0
aftermovie,0.55366874,0.28301126,0.39952514,0.17006828,0.69379646,0.16903518,0.5061431,0.5640525,0.2823583,0.27407208,0.5249316,0.4606115,0.52190703,0.19822368,0.94285554,0.0,0.0,0.63735074,0.5394315,0.0,0.6976216,0.07095002,0.4713264,0.6935755,0.842196,0.62329614,0.0,0.68159485,0.70035934,0.50098133,0.7403941,0.4066009,0.3619149,0.8846099,0.0,0.31929955,0.4697865,0.0,0.5196147,0.43234777,0.0,0.49072915,0.5248653,0.0,0.50242525,0.23860578,0.446981,0.2690003,0.55334073,0.0
ahiddenlifefilm,0.24745527,0.1556862,0.28564566,0.15993042,0.3704411,0.14811179,0.21767588,0.31792432,0.17156789,0.13720585,0.24542537,0.25100845,0.274081,0.09738891,0.43377385,0.0,0.0,0.35370857,0.28924647,0.0,0.32302588,0.077659875,0.30976206,0.27864015,0.37909043,0.26811293,0.0,0.35067427,0.42058837,0.28898978,0.42702812,0.2802999,0.19689597,0.37959635,0.0,0.21933591,0.21874875,0.0,0.2346192,0.27841368,0.0,0.35151017,0.33285958,0.0,0.20894921,0.16542916,0.1980015,0.23747304,0.36715233,0.0
alitamovie,0.591349,0.37934685,0.92077893,0.29630128,1.0468427,0.13876909,0.348212,0.54038125,0.36440846,0.6090882,0.6948355,0.5207502,0.4977248,0.13147873,1.1450546,0.0,0.0,0.83461744,0.36182517,0.0,0.5734583,0.20495334,0.6898221,0.5225818,0.63471156,0.48719653,0.0,0.8730124,0.9815476,0.503837,0.84043705,0.34091067,0.2819906,0.8492022,0.0,0.35027906,0.34839594,0.0,0.7880144,0.66548115,0.0,0.8310722,0.8449001,0.0,0.3052947,0.26059785,0.4010893,0.58149135,0.9153859,0.075917795
