1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
100-10dim,0.014154703177527712,-0.006331942413439032,-0.040053016035947,-0.07492256490268576,-0.1059039167381632,-0.12403574797960847,-0.11526227947546407,-0.1130093116796825,-0.08369905839758572,-0.1182575887841616,-0.11214780327051523,-0.11899840925872829,-0.10206064674489344,-0.09695683777553181,-0.1088688467664043,-0.10758942922706467,-0.09450385716760326,-0.09250396171954396,-0.11731065160132874,-0.10476448464435724,-0.1411647129624035,-0.1434573279019088,-0.08432534184107113,-0.0830836628871787,-0.10677802899435958,-0.09581960844475465,-0.07898309927560974,-0.0867942665670028
100-20dim,0.016032357238959967,-0.0007587957676419685,-0.05321525317538593,-0.09377324097397062,-0.046554892753217655,-0.09294284858404919,-0.12171751251661063,-0.11060784346090748,-0.10889447847461198,-0.1055566585061895,-0.09240657423996897,-0.10490841755172028,-0.10465491457445412,-0.09936227739966591,-0.09960661374347937,-0.12639325515017033,-0.09742171285608331,-0.08786570995363213,-0.1504802660447589,-0.09648657486522394,-0.1322223742108487,-0.09445219911212964,-0.14320955443584166,-0.11814167569949154,-0.13389651852396675,-0.14116303436699712,-0.09439875082467225,-0.09042431326887626
100-30dim,0.0149989031509658,-0.006850669022202132,-0.06069669291281109,-0.08712021913476146,-0.06677105332580907,-0.11958566267025186,-0.11889346928577231,-0.11283851190665588,-0.11226778147387373,-0.11505638130015924,-0.10781007226330866,-0.10745051260922872,-0.10706250312907056,-0.1055537034676126,-0.09750671212258667,-0.11067363052307895,-0.10629631816378474,-0.12578859166934836,-0.12398750691762618,-0.13292554070961124,-0.10435985980924137,-0.12942282709700667,-0.1172437830075847,-0.12008585907824122,-0.1196876688556071,-0.14035820670682056,-0.10856202055615156,-0.1368526174724546
100-40dim,0.020197190710855663,-0.008444604634282288,-0.057332659173819016,-0.04477120051098669,-0.08326676475283783,-0.06814429257223574,-0.09349511173207818,-0.06920501205731447,-0.06198726512374745,-0.08097953001102488,-0.09076445099255194,-0.08872986455049006,-0.0795144737030736,-0.0771921879432487,-0.0929920991968931,-0.09730608972205533,-0.08794655067858931,-0.095668690845265,-0.08806278350254135,-0.1879195293153427,-0.08496824209955703,-0.10191980190016472,-0.19795802836264234,-0.07491892028687194,-0.09620856079022201,-0.06394277453178462,-0.08003471821455742,-0.18921170481955243
100-50dim,0.020566155522957676,-0.018138862343605355,-0.04644049597950564,-0.060967531707124836,-0.056973789782123065,-0.059072709220251186,-0.05743916165446838,-0.05923765608538658,-0.08156981200800806,-0.18043074152400657,-0.06218843902971465,-0.09635741727880794,-0.0682326268186277,-0.09929963453917301,-0.17071676597059973,-0.1723362466238838,-0.064413637591853,-0.0924543433507051,-0.0720876479728891,-0.06694849477551451,-0.16941787156454324,-0.08129994771464966,-0.08505895921212553,-0.1595239966120338,-0.08292413099889119,-0.0699319689324479,-0.06314053635837785,-0.07601980360686804
100-60dim,0.0354344134533171,-0.022020981996446736,-0.06516834421166726,-0.08484315129589381,-0.08971001328622957,-0.10523169292439916,-0.09183440937542406,-0.1252230554546215,-0.10045512582640445,-0.1053015999500843,-0.09904671185565642,-0.07845017386318066,-0.11360146169866386,-0.10665767958647737,-0.0950741976851029,-0.08873884697847029,-0.11192723806562581,-0.09375531671664193,-0.0869349288968194,-0.06707843001104381,-0.09690308511549238,-0.08008448663762002,-0.08249278437340345,-0.10884707286393427,-0.09185818914735738,-0.08433983171094961,-0.12282960136462491,-0.0785930482635963
100-70dim,0.04280710938665496,-0.01944946153353293,-0.035247314968301025,-0.0522002625830559,-0.04775464998395098,-0.0559887271917149,-0.1103927490032748,-0.10027747299795897,-0.0680846939084128,-0.13393109617692492,-0.07566049053499938,-0.06055698722667606,-0.08619339547297995,-0.06175807261237474,-0.09098707341057703,-0.13260511690307453,-0.14029020649595436,-0.09817743561047042,-0.152175483740703,-0.12424874391127728,-0.13234570388165226,-0.0819059770951404,-0.07363969504280134,-0.07867032407359492,-0.12449254403990523,-0.1137176931509526,-0.044576339483252535,-0.10415182395223414
100-80dim,0.04207729681308251,-0.023650523832954448,-0.02271673863753041,-0.021198021480143787,-0.044068424764172776,-0.04613218706051163,-0.14072950733758566,-0.11035519541389535,-0.13963476833169938,-0.12755477457822326,-0.14366130111647027,-0.12796319644700516,-0.12980089307877438,-0.10395994891736565,-0.13763426447696422,-0.1430752148129831,-0.11843394052951621,-0.12835493975837284,-0.13403121074686494,-0.07962079163793973,-0.1326607771420733,-0.09422659651114756,-0.12527628288599638,-0.11453423119203192,-0.14497734783282876,-0.11552121946324127,-0.1160204905083007,-0.11985941609826964
100-90dim,0.04632461300887204,-0.016946118319111206,-0.027206398260341647,-0.06767101000304995,-0.12320946072559197,-0.08868892762433916,-0.06943822030868575,-0.08546632327521105,-0.08343390580170117,-0.14374369767202502,-0.09251971911812959,-0.09766601496799361,-0.11244797751376344,-0.11731217328002772,-0.13269150068450014,-0.16964462148116669,-0.16684800028646105,-0.1085479512018165,-0.1039714263583847,-0.1682182843243537,-0.16144769601417755,-0.09156455339896262,-0.16929315917319115,-0.16258523811748837,-0.16209916751690392,-0.08929598532960549,-0.12168502980080874,-0.0714891043847794
110-100dim,0.06871615301236222,0.004419160949964903,-0.05088368399401405,-0.04068880485461322,-0.049051908934881795,-0.048755433164526296,-0.04263135093764615,-0.04587275153263462,-0.0550283134303012,-0.08624812510996795,-0.07012243006144524,-0.08206281481761044,-0.052719406249239015,-0.07679322272437748,-0.03919062736378275,-0.07926470007864102,-0.11085647000055485,-0.12136030634158153,-0.07702769977543436,-0.12865591907048488,-0.126447305065336,-0.09609681781522035,-0.07053903215861504,-0.07316649300138238,-0.18582502653642458,-0.1129193351384136,-0.14042005809810645,-0.09805528508088378
