1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10-5dim,0.0138341415854467,-0.0033034834828636135,-0.002739907443835677,-0.04144375047379381,-0.04512187401695708,-0.04602064264878803,-0.048629495161958164,-0.08551564372139364,-0.10321219842337799,-0.10900374717438727,-0.08859735399368773,-0.09584026243003968,-0.10060151138179697,-0.09435089748007994,-0.09757569197552493,-0.09126122605186242,-0.1153643658789006,-0.10008573764948495,-0.10026943652786158,-0.11942399323586311,-0.10615878522148602,-0.11641944493201535,-0.10617848531071987,-0.1061885938673559,-0.09428142731893281,-0.10895964772882928,-0.09719194364375343,-0.09656600041584765
100-10dim,0.36997208076820387,0.44094005378818135,0.0309178486522097,0.03384848151925527,0.024804725412702355,0.01929802560960235,0.005996065091467141,-0.006694854945260866,-0.02546599675797938,-0.06912400032550592,-0.017030453454966295,-0.06701266707801617,-0.08720476124896397,-0.06051930162900074,-0.07894973840787009,-0.06720507259214592,-0.07965468679434515,-0.06417222728303619,-0.07476250161655816,-0.07763022490153437,-0.06884232259603795,-0.09151973659332463,-0.10350619356270828,-0.08651601755026221,-0.08968659198722716,-0.07339699847374723,-0.08601160188974488,-0.09178952025942723
100-15dim,0.020448232645467045,0.0009880870456481533,-0.06009323436259542,-0.08702567803382721,-0.0902564096371785,-0.08932381056193395,-0.10220761673418562,-0.08677277466545169,-0.0955307994167325,-0.11041001567383597,-0.09761599228342047,-0.10096283968529542,-0.11260617298682978,-0.09093415086135734,-0.09136807390789875,-0.08934711222761559,-0.08149230543953934,-0.08455098302857933,-0.08197062916628094,-0.11823352336389958,-0.08367781731631709,-0.10759929250613658,-0.07316678491956263,-0.07967901611324181,-0.10923753893969038,-0.07086024743275629,-0.06805275037901894,-0.07438688727208331
100-20dim,0.016395412890500335,-0.0050637648419132935,-0.07632729793980961,-0.09456985340851101,-0.056786546989298796,-0.08959409473557747,-0.05775525987032213,-0.06088368055670658,-0.06436104927995172,-0.06477440761998889,-0.06436030583530865,-0.07310159221189727,-0.08686221594442203,-0.05181582238244037,-0.056504028174869186,-0.0862601650947828,-0.08342135378092459,-0.07360423430472654,-0.07389682212915934,-0.07611686653282128,-0.06215638777908987,-0.05920301649844754,-0.11843032432597807,-0.08022377779963169,-0.12006061525535063,-0.07813259860915044,-0.07784298407898013,-0.08191716536099414
100-25dim,0.015781662235016335,-0.015186572173221663,-0.048361101385610554,-0.08377621077534719,-0.10600951133768349,-0.06257659316502245,-0.08270051939017369,-0.07925626846003608,-0.09244059847310308,-0.13040642918499512,-0.0845648109642099,-0.10154586796518253,-0.08394782521942072,-0.09204623130590485,-0.11240878765462468,-0.10265594255491892,-0.08073056704903378,-0.07273016441011378,-0.0942825605590725,-0.08669436609954956,-0.07744890131220968,-0.09247751026292629,-0.08403802088697947,-0.10239114299545604,-0.10401529111006605,-0.07166683038791304,-0.08545157639165034,-0.10743349114725342
100-30dim,0.02735381237428276,-0.020495246531735345,-0.04775248798866781,-0.05745622625423062,-0.09136090232591333,-0.09123265381166101,-0.09054798905684174,-0.07069750428431529,-0.08411011635959754,-0.08605780487448145,-0.08715049569393181,-0.10277877060809582,-0.0894015867092135,-0.08524189396702246,-0.12114713517703667,-0.10552095939850735,-0.11952182045680534,-0.08146131338096854,-0.10036493163906393,-0.12509160510357256,-0.10300362850711484,-0.07228982261681041,-0.0750098000842185,-0.1155251334426962,-0.0681351119251336,-0.08518571896810376,-0.08449466911995908,-0.09747131447906023
100-35dim,0.01945502993160536,-0.013368205550971965,-0.06728335351762757,-0.05058163843377312,-0.058285847729507734,-0.05727332969832793,-0.07024725812240955,-0.049668183543854286,-0.05357340478112684,-0.054022794215963156,-0.0706325522821579,-0.07884940547911559,-0.0892199720112192,-0.06700183734420978,-0.07703988791020815,-0.10689678229116911,-0.09401206062153518,-0.07811771036827227,-0.11622703428074567,-0.060361852710810036,-0.11456062603240284,-0.06973293471998766,-0.07764305397860581,-0.10976502953710902,-0.09278776217683528,-0.08664952864497803,-0.10175931313003087,-0.10741705239577694
100-40dim,0.010540454686802973,-0.026718729680329453,-0.029956761057866408,-0.06438539914048695,-0.07365604554187455,-0.06326898601121253,-0.08503942396110574,-0.07793130463321511,-0.05671047946048246,-0.08608268654104251,-0.0931882555755322,-0.07726642215013653,-0.08562482605549215,-0.05224296369259754,-0.05973836877882521,-0.08082988679603938,-0.09222966616077634,-0.07605727947088303,-0.08581549827715154,-0.08246754353747829,-0.06655561038585586,-0.08032762987453695,-0.10019391547315754,-0.11091195821159439,-0.07382399788434982,-0.07980592003302574,-0.0811647374866442,-0.08682423983988712
100-45dim,0.019121283574320858,-0.023844854895970477,-0.047596745305124276,-0.057037145015044935,-0.055862035349674204,-0.08363749930358483,-0.06739625771775969,-0.06746698742533798,-0.07487326469787454,-0.10779621275833316,-0.061104621443865706,-0.06966594242780201,-0.10562142773139353,-0.09736460754492386,-0.09496828973944531,-0.07061278883818413,-0.10359827214535754,-0.11991027479762938,-0.0677479695292641,-0.08615045216358796,-0.07232271535710066,-0.10216354099347481,-0.08798241997089616,-0.12887395727668824,-0.09357697191260711,-0.0775791667770145,-0.09321493582994993,-0.12608797883500864
100-50dim,0.013610894946624976,-0.007789587597002749,-0.052316911539649645,-0.07972445973130725,-0.07606204549920884,-0.09425694535486619,-0.08583071447374306,-0.07126055133547063,-0.05801754467438844,-0.07238840024535452,-0.1779412410896629,-0.12252990629780354,-0.08026312374987793,-0.08021865661875033,-0.06179688121235731,-0.08323277504983273,-0.08985820317909808,-0.061554002415805865,-0.09364402395290847,-0.04732895102308415,-0.09886999342458548,-0.06196267372217132,-0.09179298998315609,-0.14170660514760267,-0.10606739917924234,-0.09476859011564585,-0.07515238431415151,-0.04925937860188278
