uid,sid
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
2,22
2,23
2,14
2,24
2,16
2,25
2,26
2,20
2,27
3,28
3,29
3,30
3,12
3,5
3,18
3,31
4,32
4,33
4,34
4,23
4,35
4,36
4,37
4,38
4,39
5,40
5,41
5,14
5,42
5,43
5,44
5,45
5,46
5,47
6,10
6,48
6,49
6,50
6,38
6,51
6,52
6,19
6,47
6,53
7,0
7,11
7,54
7,3
7,41
7,16
7,5
7,55
7,18
7,53
8,32
8,56
8,57
8,30
8,50
8,58
8,59
8,60
8,52
8,20
9,10
9,12
9,54
9,61
9,62
9,63
9,19
9,64
9,65
9,66
10,67
10,0
10,68
10,22
10,23
10,69
10,70
10,6
10,38
10,66
10,21
11,67
11,71
11,12
11,72
11,59
11,69
11,44
11,51
11,73
11,65
12,74
12,32
12,75
12,57
12,30
12,35
12,76
12,15
12,77
12,47
12,53
13,78
13,75
13,79
13,80
13,81
13,82
13,83
14,84
14,79
14,85
14,24
14,86
14,43
14,87
14,25
14,8
14,65
15,10
15,88
15,89
15,58
15,36
15,77
15,51
15,19
15,90
15,47
16,33
16,71
16,40
16,91
16,80
16,13
16,14
16,16
16,6
16,92
17,93
17,30
17,17
17,18
17,52
17,19
17,66
17,94
18,40
18,95
18,61
18,59
18,16
18,26
18,96
18,66
19,78
19,71
19,97
19,98
19,99
19,37
19,100
19,83
19,94
19,47
20,34
20,1
20,56
20,79
20,101
20,102
20,19
20,66
20,47
21,67
21,33
21,85
21,86
21,99
21,6
21,45
21,55
21,103
21,104
21,96
22,74
22,33
22,40
22,34
22,85
22,99
22,105
22,66
23,106
23,22
23,107
23,23
23,54
23,108
23,49
23,85
23,81
23,60
23,6
23,102
23,38
23,109
23,39
23,53
24,61
24,59
24,86
24,102
24,45
24,46
25,32
25,34
25,23
25,3
25,108
25,35
25,69
25,77
25,101
25,53
26,110
26,71
26,40
26,28
26,35
26,13
26,81
26,42
26,37
26,101
26,70
26,39
26,65
26,27
27,71
27,23
27,111
27,112
27,63
27,113
27,66
27,114
28,0
28,11
28,115
28,24
28,116
28,77
28,55
28,66
29,57
29,11
29,23
29,54
29,50
29,117
29,90
29,20
29,47
30,67
30,118
30,119
30,40
30,1
30,95
30,120
30,80
30,41
30,86
30,5
30,87
30,121
30,25
30,6
30,45
30,38
30,113
30,73
30,104
30,114
31,34
31,122
31,13
31,16
31,101
31,90
31,46
31,73
31,65
31,47
32,24
32,5
32,25
32,6
32,82
32,73
32,100
32,83
33,14
33,81
33,16
33,109
33,46
33,123
34,32
34,22
34,118
34,33
34,34
34,10
34,108
34,35
34,58
34,115
34,69
34,81
34,77
34,102
34,38
34,63
34,103
34,19
34,105
34,39
34,66
35,9
35,22
35,91
35,34
35,23
35,54
35,60
35,25
35,102
35,124
35,18
35,105
35,73
35,94
35,53
36,32
36,108
36,69
36,39
36,125
36,31
36,66
37,74
37,95
37,98
37,58
37,69
37,87
37,90
38,22
38,71
38,54
38,80
38,49
38,41
38,37
38,121
38,38
38,123
39,67
39,126
39,10
39,30
39,54
39,98
39,77
39,17
39,18
39,51
39,127
39,20
40,22
40,15
40,81
40,26
40,38
40,63
40,66
41,128
41,91
41,34
41,108
41,129
41,80
41,41
41,115
41,24
41,81
41,43
41,60
41,102
41,124
41,7
41,63
41,8
41,82
41,73
41,20
41,123
41,130
41,66
41,94
42,23
42,97
42,49
42,35
42,58
42,90
42,53
43,33
43,131
43,95
43,120
43,80
43,132
43,115
43,86
43,6
43,7
43,92
43,39
43,46
43,125
44,34
44,3
44,108
44,89
44,36
44,19
44,90
44,46
44,21
45,106
45,74
45,23
45,54
45,108
45,80
45,49
45,101
45,102
45,63
45,18
45,39
45,46
45,133
45,31
45,66
45,53
46,98
46,61
46,14
46,121
46,8
46,82
46,123
46,130
46,83
47,32
47,68
47,22
47,110
47,34
47,107
47,134
47,35
47,81
47,112
47,38
47,63
47,18
47,52
47,19
47,39
47,123
47,47
48,84
48,40
48,95
48,129
48,115
48,59
48,6
48,125
49,68
49,119
49,28
49,3
49,14
49,16
49,42
49,103
49,105
49,130
49,83
50,32
50,34
50,98
50,108
50,36
50,101
50,103
50,66
51,23
51,58
51,81
51,87
51,20
52,67
52,0
52,22
52,33
