,user,items,ratings
0,0,26,1
1,0,38,1
2,0,41,1
3,0,48,1
4,0,50,1
5,0,51,1
6,0,69,1
7,1,0,1
8,1,36,1
9,1,42,1
10,1,46,1
11,1,48,1
12,1,50,1
13,1,62,1
14,1,69,1
15,2,34,1
16,2,35,1
17,2,41,1
18,2,42,1
19,2,56,1
20,2,63,1
21,2,67,1
22,2,69,1
23,3,4,1
24,3,8,1
25,3,9,1
26,3,14,1
27,3,23,1
28,3,30,1
29,3,35,1
30,3,42,1
31,3,48,1
32,3,49,1
33,3,50,1
34,3,56,1
35,3,59,1
36,3,63,1
37,3,66,1
38,3,71,1
39,4,9,1
40,4,28,1
41,4,29,1
42,4,36,1
43,4,43,1
44,4,63,1
45,4,69,1
46,5,8,1
47,5,10,1
48,5,23,1
49,5,30,1
50,5,35,1
51,5,42,1
52,5,60,1
53,5,63,1
54,5,67,1
55,6,1,1
56,6,8,1
57,6,20,1
58,6,35,1
59,6,36,1
60,6,42,1
61,6,46,1
62,6,48,1
63,6,63,1
64,6,67,1
65,7,0,1
66,7,27,1
67,7,38,1
68,7,49,1
69,7,59,1
70,7,65,1
71,7,69,1
72,7,72,1
73,8,16,1
74,8,43,1
75,8,48,1
76,8,50,1
77,8,51,1
78,8,63,1
79,8,71,1
80,9,0,1
81,9,3,1
82,9,12,1
83,9,15,1
84,9,48,1
85,9,50,1
86,9,65,1
87,9,72,1
88,10,0,1
89,10,1,1
90,10,10,1
91,10,32,1
92,10,48,1
93,10,61,1
94,10,69,1
95,11,0,1
96,11,3,1
97,11,11,1
98,11,15,1
99,11,18,1
100,11,20,1
101,11,25,1
102,11,26,1
103,11,41,1
104,11,56,1
105,11,66,1
106,11,70,1
107,12,9,1
108,12,15,1
109,12,41,1
110,12,43,1
111,12,45,1
112,12,55,1
113,12,62,1
114,12,72,1
115,13,0,1
116,13,1,1
117,13,8,1
118,13,24,1
119,13,50,1
120,13,59,1
121,13,61,1
122,13,62,1
123,13,67,1
124,14,4,1
125,14,10,1
126,14,13,1
127,14,23,1
128,14,41,1
129,14,43,1
130,14,56,1
131,14,63,1
132,14,71,1
133,15,14,1
134,15,20,1
135,15,26,1
136,15,27,1
137,15,34,1
138,15,51,1
139,15,66,1
140,16,3,1
141,16,5,1
142,16,9,1
143,16,10,1
144,16,13,1
145,16,36,1
146,16,42,1
147,16,48,1
148,16,59,1
149,16,60,1
150,16,63,1
151,16,69,1
152,17,0,1
153,17,3,1
154,17,7,1
155,17,10,1
156,17,11,1
157,17,14,1
158,17,18,1
159,17,20,1
160,17,21,1
161,17,24,1
162,17,27,1
163,17,32,1
164,17,34,1
165,17,35,1
166,17,39,1
167,17,41,1
168,17,45,1
169,17,46,1
170,17,49,1
171,17,50,1
172,17,51,1
173,17,53,1
174,17,55,1
175,17,56,1
176,17,60,1
177,17,62,1
178,17,63,1
179,17,65,1
180,17,66,1
181,17,68,1
182,17,71,1
183,17,72,1
184,18,9,1
185,18,26,1
186,18,36,1
187,18,39,1
188,18,41,1
189,18,43,1
190,18,48,1
191,18,63,1
192,19,4,1
193,19,8,1
194,19,27,1
195,19,30,1
196,19,42,1
197,19,50,1
198,19,57,1
199,20,11,1
200,20,12,1
201,20,34,1
202,20,52,1
203,20,62,1
204,20,71,1
205,20,72,1
206,21,1,1
207,21,4,1
208,21,8,1
209,21,9,1
210,21,14,1
211,21,36,1
212,21,61,1
213,21,63,1
214,22,3,1
215,22,14,1
216,22,18,1
217,22,20,1
218,22,31,1
219,22,32,1
220,22,50,1
221,22,57,1
222,22,69,1
223,23,3,1
224,23,13,1
225,23,18,1
226,23,23,1
227,23,32,1
228,23,39,1
229,23,50,1
230,23,53,1
231,23,59,1
232,23,64,1
233,23,65,1
234,23,72,1
235,23,74,1
236,24,13,1
237,24,30,1
238,24,34,1
239,24,43,1
240,24,63,1
241,24,65,1
242,24,66,1
243,25,0,1
244,25,4,1
245,25,8,1
246,25,41,1
247,25,48,1
248,25,50,1
249,25,56,1
250,25,73,1
251,26,0,1
252,26,1,1
253,26,8,1
254,26,10,1
255,26,19,1
256,26,34,1
257,26,41,1
258,26,42,1
259,26,50,1
260,26,51,1
261,26,61,1
262,26,62,1
263,26,63,1
264,26,66,1
265,26,69,1
266,26,71,1
267,27,1,1
268,27,4,1
269,27,8,1
270,27,23,1
271,27,27,1
272,27,35,1
273,27,36,1
274,27,41,1
275,27,42,1
276,27,43,1
277,27,47,1
278,27,53,1
279,27,60,1
280,27,67,1
281,27,70,1
282,27,71,1
283,28,21,1
284,28,23,1
285,28,32,1
286,28,34,1
287,28,39,1
288,28,41,1
289,28,43,1
290,28,44,1
291,28,45,1
292,28,51,1
293,28,56,1
294,28,71,1
295,29,0,1
296,29,13,1
297,29,36,1
298,29,42,1
299,29,43,1
300,29,45,1
301,29,46,1
302,29,61,1
303,29,63,1
304,29,65,1
305,30,1,1
306,30,9,1
307,30,13,1
308,30,19,1
309,30,32,1
310,30,34,1
311,30,41,1
312,30,48,1
313,30,50,1
314,30,59,1
315,30,63,1
316,30,71,1
317,31,11,1
318,31,15,1
319,31,16,1
320,31,17,1
321,31,20,1
322,31,37,1
323,31,39,1
324,31,68,1
325,32,3,1
326,32,9,1
327,32,13,1
328,32,24,1
329,32,30,1
330,32,32,1
331,32,35,1
332,32,48,1
333,32,54,1
334,32,60,1
335,32,61,1
336,32,63,1
337,32,67,1
338,32,70,1
339,33,15,1
340,33,21,1
341,33,26,1
342,33,32,1
343,33,34,1
344,33,52,1
345,33,61,1
346,33,69,1
347,34,6,1
348,34,18,1
349,34,19,1
350,34,30,1
351,34,41,1
352,34,45,1
353,34,46,1
354,34,49,1
355,34,51,1
356,34,60,1
357,34,68,1
358,34,72,1
359,35,6,1
360,35,14,1
361,35,19,1
362,35,32,1
363,35,34,1
364,35,39,1
365,35,43,1
366,35,50,1
367,35,51,1
368,35,57,1
369,36,0,1
370,36,8,1
371,36,11,1
372,36,30,1
373,36,35,1
374,36,36,1
375,36,38,1
376,36,49,1
377,36,51,1
378,36,53,1
379,36,57,1
380,36,68,1
381,36,70,1
382,36,71,1
383,36,72,1
384,37,7,1
385,37,15,1
386,37,19,1
387,37,41,1
388,37,50,1
389,37,57,1
390,37,74,1
391,38,3,1
392,38,4,1
393,38,8,1
394,38,9,1
395,38,11,1
396,38,14,1
397,38,18,1
398,38,21,1
399,38,27,1
400,38,38,1
401,38,41,1
402,38,51,1
403,38,52,1
404,38,54,1
405,38,55,1
406,38,63,1
407,38,70,1
408,38,73,1
409,39,7,1
410,39,11,1
411,39,25,1
412,39,35,1
413,39,55,1
414,39,60,1
415,39,68,1
416,40,6,1
417,40,10,1
418,40,14,1
419,40,19,1
420,40,20,1
421,40,46,1
422,40,48,1
423,40,61,1
424,40,73,1
425,41,0,1
426,41,4,1
427,41,7,1
428,41,10,1
429,41,11,1
430,41,28,1
431,41,38,1
432,41,49,1
433,41,52,1
434,41,66,1
435,42,3,1
436,42,14,1
437,42,15,1
438,42,18,1
439,42,24,1
440,42,26,1
441,42,44,1
442,42,48,1
443,42,49,1
444,42,70,1
445,43,3,1
446,43,8,1
447,43,11,1
448,43,18,1
449,43,32,1
450,43,45,1
451,43,51,1
452,43,54,1
453,43,60,1
454,44,7,1
455,44,8,1
456,44,11,1
457,44,18,1
458,44,34,1
459,44,49,1
460,44,52,1
461,44,72,1
462,45,7,1
463,45,9,1
464,45,18,1
465,45,45,1
466,45,50,1
467,45,51,1
468,45,61,1
469,45,68,1
470,46,1,1
471,46,6,1
472,46,20,1
473,46,23,1
474,46,30,1
475,46,36,1
476,46,40,1
477,46,42,1
478,46,45,1
479,46,46,1
480,46,48,1
481,46,59,1
482,46,70,1
483,46,71,1
484,47,0,1
485,47,3,1
486,47,10,1
487,47,18,1
488,47,25,1
489,47,26,1
490,47,35,1
491,47,40,1
492,47,41,1
493,47,43,1
494,47,46,1
495,47,57,1
496,47,62,1
497,47,72,1
498,48,35,1
499,48,36,1
500,48,39,1
501,48,46,1
502,48,48,1
503,48,49,1
504,48,57,1
505,48,69,1
506,49,10,1
507,49,14,1
508,49,18,1
509,49,23,1
510,49,41,1
511,49,57,1
512,49,62,1
513,49,64,1
514,49,72,1
515,50,10,1
516,50,11,1
517,50,24,1
518,50,34,1
519,50,43,1
520,50,52,1
521,50,63,1
522,51,8,1
523,51,18,1
524,51,24,1
525,51,48,1
526,51,50,1
527,51,52,1
528,51,57,1
529,51,70,1
530,52,1,1
531,52,4,1
532,52,8,1
533,52,9,1
534,52,14,1
535,52,29,1
536,52,30,1
537,52,34,1
538,52,35,1
539,52,36,1
540,52,42,1
541,52,46,1
542,52,53,1
543,52,56,1
544,52,59,1
545,52,62,1
546,52,67,1
547,52,69,1
548,53,16,1
549,53,21,1
550,53,22,1
551,53,39,1
552,53,40,1
553,53,44,1
554,53,45,1
555,54,3,1
556,54,7,1
557,54,10,1
558,54,13,1
559,54,41,1
560,54,43,1
561,54,46,1
562,54,51,1
563,54,57,1
564,54,62,1
565,54,72,1
566,55,3,1
567,55,6,1
568,55,8,1
569,55,9,1
570,55,14,1
571,55,18,1
572,55,19,1
573,55,23,1
574,55,48,1
575,55,50,1
576,55,51,1
577,55,57,1
578,55,64,1
579,56,1,1
580,56,2,1
581,56,7,1
582,56,11,1
583,56,12,1
584,56,32,1
585,56,39,1
586,57,16,1
587,57,21,1
588,57,22,1
589,57,31,1
590,57,39,1
591,57,49,1
592,57,50,1
593,57,61,1
594,57,72,1
595,58,3,1
596,58,8,1
597,58,9,1
598,58,10,1
599,58,14,1
600,58,22,1
601,58,24,1
602,58,26,1
603,58,31,1
604,58,32,1
