,user,items,ratings
0,0,2,1
1,0,31,1
2,0,36,1
3,0,38,1
4,0,55,1
5,0,63,1
6,0,96,1
7,0,111,1
8,0,120,1
9,0,136,1
10,1,3,1
11,1,30,1
12,1,41,1
13,1,48,1
14,1,75,1
15,1,77,1
16,1,84,1
17,1,89,1
18,1,90,1
19,1,106,1
20,1,123,1
21,1,129,1
22,1,144,1
23,1,163,1
24,2,12,1
25,2,44,1
26,2,77,1
27,2,85,1
28,2,90,1
29,2,107,1
30,2,116,1
31,2,143,1
32,2,144,1
33,2,153,1
34,3,5,1
35,3,24,1
36,3,29,1
37,3,35,1
38,3,42,1
39,3,48,1
40,3,96,1
41,3,100,1
42,3,108,1
43,3,123,1
44,3,140,1
45,3,152,1
46,3,161,1
47,4,9,1
48,4,19,1
49,4,28,1
50,4,44,1
51,4,68,1
52,4,80,1
53,4,99,1
54,4,112,1
55,4,119,1
56,4,137,1
57,4,141,1
58,5,25,1
59,5,45,1
60,5,72,1
61,5,77,1
62,5,93,1
63,5,95,1
64,5,109,1
65,5,117,1
66,5,138,1
67,5,161,1
68,6,30,1
69,6,33,1
70,6,66,1
71,6,78,1
72,6,108,1
73,6,119,1
74,6,126,1
75,6,127,1
76,6,129,1
77,6,161,1
78,6,164,1
79,7,2,1
80,7,41,1
81,7,49,1
82,7,55,1
83,7,72,1
84,7,90,1
85,7,96,1
86,7,121,1
87,7,123,1
88,7,133,1
89,7,164,1
90,8,3,1
91,8,9,1
92,8,34,1
93,8,40,1
94,8,42,1
95,8,78,1
96,8,79,1
97,8,83,1
98,8,101,1
99,8,127,1
100,8,144,1
101,8,161,1
102,9,30,1
103,9,32,1
104,9,48,1
105,9,49,1
106,9,67,1
107,9,94,1
108,9,122,1
109,9,129,1
110,9,135,1
111,9,150,1
112,9,156,1
113,10,0,1
114,10,2,1
115,10,4,1
116,10,10,1
117,10,12,1
118,10,44,1
119,10,55,1
120,10,86,1
121,10,104,1
122,10,111,1
123,10,119,1
124,10,156,1
125,10,163,1
126,11,0,1
127,11,4,1
128,11,24,1
129,11,48,1
130,11,73,1
131,11,83,1
132,11,86,1
133,11,98,1
134,11,107,1
135,11,109,1
136,11,126,1
137,11,143,1
138,11,150,1
139,12,0,1
140,12,3,1
141,12,4,1
142,12,9,1
143,12,21,1
144,12,40,1
145,12,42,1
146,12,68,1
147,12,74,1
148,12,84,1
149,12,102,1
150,12,161,1
151,12,164,1
152,13,1,1
153,13,12,1
154,13,13,1
155,13,21,1
156,13,22,1
157,13,37,1
158,13,50,1
159,13,64,1
160,13,66,1
161,13,87,1
162,13,93,1
163,13,99,1
164,13,141,1
165,13,147,1
166,13,158,1
167,14,6,1
168,14,50,1
169,14,70,1
170,14,85,1
171,14,88,1
172,14,95,1
173,14,98,1
174,14,107,1
175,14,136,1
176,14,150,1
177,15,0,1
178,15,30,1
179,15,52,1
180,15,60,1
181,15,79,1
182,15,80,1
183,15,102,1
184,15,126,1
185,15,127,1
186,15,129,1
187,15,134,1
188,15,152,1
189,15,161,1
190,16,19,1
191,16,24,1
192,16,25,1
193,16,26,1
194,16,64,1
195,16,75,1
196,16,77,1
197,16,90,1
198,16,111,1
199,16,133,1
200,17,18,1
201,17,42,1
202,17,84,1
203,17,106,1
204,17,123,1
205,17,127,1
206,17,129,1
207,17,144,1
208,17,153,1
209,17,156,1
210,17,159,1
211,18,25,1
212,18,45,1
213,18,67,1
214,18,83,1
215,18,90,1
216,18,96,1
217,18,116,1
218,18,117,1
219,18,154,1
220,18,156,1
221,19,13,1
222,19,24,1
223,19,53,1
224,19,57,1
225,19,64,1
226,19,80,1
227,19,91,1
228,19,99,1
229,19,133,1
230,19,148,1
231,19,158,1
232,19,159,1
233,19,161,1
234,20,28,1
235,20,31,1
236,20,34,1
237,20,50,1
238,20,58,1
239,20,91,1
240,20,103,1
241,20,112,1
242,20,129,1
243,20,156,1
244,20,161,1
245,21,0,1
246,21,19,1
247,21,69,1
248,21,70,1
249,21,88,1
250,21,91,1
251,21,111,1
252,21,117,1
253,21,121,1
254,21,125,1
255,21,132,1
256,21,145,1
257,21,154,1
258,22,4,1
259,22,9,1
260,22,19,1
261,22,25,1
262,22,28,1
263,22,70,1
264,22,91,1
265,22,111,1
266,22,131,1
267,22,144,1
268,22,156,1
269,23,1,1
270,23,12,1
271,23,34,1
272,23,37,1
273,23,42,1
274,23,44,1
275,23,49,1
276,23,58,1
277,23,66,1
278,23,70,1
279,23,87,1
280,23,101,1
281,23,104,1
282,23,108,1
283,23,111,1
284,23,112,1
285,23,119,1
286,23,122,1
287,23,124,1
288,23,137,1
289,23,164,1
290,24,67,1
291,24,69,1
292,24,83,1
293,24,88,1
294,24,103,1
295,24,112,1
296,24,117,1
297,24,138,1
298,24,146,1
299,24,150,1
300,25,9,1
301,25,13,1
302,25,28,1
303,25,44,1
304,25,55,1
305,25,58,1
306,25,68,1
307,25,86,1
308,25,94,1
309,25,102,1
310,25,103,1
311,25,164,1
312,26,22,1
313,26,24,1
314,26,25,1
315,26,29,1
316,26,40,1
317,26,68,1
318,26,75,1
319,26,84,1
320,26,87,1
321,26,90,1
322,26,93,1
323,26,96,1
324,26,99,1
325,26,103,1
326,26,104,1
327,26,137,1
328,26,150,1
329,26,153,1
330,26,156,1
331,27,19,1
332,27,24,1
333,27,44,1
334,27,45,1
335,27,68,1
336,27,108,1
337,27,118,1
338,27,122,1
339,27,132,1
340,27,156,1
341,27,157,1
342,28,2,1
343,28,39,1
344,28,41,1
345,28,81,1
346,28,85,1
347,28,89,1
348,28,102,1
349,28,117,1
350,28,121,1
351,28,156,1
352,29,12,1
353,29,13,1
354,29,30,1
355,29,40,1
356,29,41,1
357,29,44,1
358,29,49,1
359,29,68,1
360,29,78,1
361,29,87,1
362,29,92,1
363,29,134,1
364,29,144,1
365,29,161,1
366,30,0,1
367,30,14,1
368,30,19,1
369,30,20,1
370,30,25,1
371,30,31,1
372,30,45,1
373,30,59,1
374,30,64,1
375,30,69,1
376,30,72,1
377,30,85,1
378,30,88,1
379,30,96,1
380,30,98,1
381,30,105,1
382,30,107,1
383,30,111,1
384,30,117,1
385,30,119,1
386,30,132,1
387,30,138,1
388,30,143,1
389,30,145,1
390,30,157,1
391,31,20,1
392,31,28,1
393,31,54,1
394,31,56,1
395,31,70,1
396,31,75,1
397,31,90,1
398,31,103,1
399,31,134,1
400,31,138,1
401,31,143,1
402,31,150,1
403,31,161,1
404,32,0,1
405,32,19,1
406,32,85,1
407,32,95,1
408,32,96,1
409,32,107,1
410,32,111,1
411,32,141,1
412,32,143,1
413,32,148,1
414,32,158,1
415,33,9,1
416,33,19,1
417,33,44,1
418,33,64,1
419,33,77,1
420,33,87,1
421,33,90,1
422,33,124,1
423,33,138,1
424,33,147,1
425,34,9,1
426,34,12,1
427,34,14,1
428,34,19,1
429,34,28,1
430,34,30,1
431,34,56,1
432,34,57,1
433,34,58,1
434,34,68,1
435,34,79,1
436,34,81,1
437,34,86,1
438,34,87,1
439,34,91,1
440,34,102,1
441,34,103,1
442,34,112,1
443,34,119,1
444,34,122,1
445,34,125,1
446,34,126,1
447,34,129,1
448,34,131,1
449,34,137,1
450,34,156,1
451,35,3,1
452,35,12,1
453,35,26,1
454,35,28,1
455,35,42,1
456,35,44,1
457,35,49,1
458,35,68,1
459,35,87,1
460,35,101,1
461,35,107,1
462,35,112,1
463,35,114,1
464,35,123,1
465,35,128,1
466,35,131,1
467,35,137,1
468,35,143,1
469,35,159,1
470,35,164,1
471,36,9,1
472,36,58,1
473,36,86,1
474,36,117,1
475,36,132,1
476,36,137,1
477,36,146,1
478,36,152,1
479,36,155,1
480,36,156,1
481,37,4,1
482,37,21,1
483,37,45,1
484,37,55,1
485,37,57,1
486,37,58,1
487,37,79,1
488,37,86,1
489,37,98,1
490,37,112,1
491,37,134,1
492,37,162,1
493,38,12,1
494,38,24,1
495,38,49,1
496,38,64,1
497,38,66,1
498,38,72,1
499,38,75,1
500,38,99,1
501,38,105,1
502,38,119,1
503,38,147,1
504,39,0,1
505,39,11,1
506,39,30,1
507,39,40,1
508,39,42,1
509,39,49,1
510,39,57,1
511,39,101,1
512,39,102,1
513,39,106,1
514,39,123,1
515,39,126,1
516,39,128,1
517,39,138,1
518,39,144,1
519,40,12,1
520,40,34,1
521,40,43,1
522,40,84,1
523,40,87,1
524,40,103,1
525,40,116,1
526,40,119,1
527,40,122,1
528,40,147,1
529,40,156,1
530,41,5,1
531,41,26,1
532,41,28,1
533,41,58,1
534,41,62,1
535,41,64,1
536,41,72,1
537,41,81,1
538,41,85,1
539,41,87,1
540,41,95,1
541,41,101,1
542,41,112,1
543,41,114,1
544,41,120,1
545,41,122,1
546,41,130,1
547,41,136,1
548,41,141,1
549,41,143,1
550,41,144,1
551,41,147,1
552,41,149,1
553,41,156,1
554,41,159,1
555,42,28,1
556,42,44,1
557,42,53,1
558,42,66,1
559,42,68,1
560,42,79,1
561,42,87,1
562,42,129,1
563,42,134,1
564,42,164,1
565,43,19,1
566,43,23,1
567,43,45,1
568,43,59,1
569,43,64,1
570,43,69,1
571,43,72,1
572,43,81,1
573,43,88,1
574,43,111,1
575,43,120,1
576,43,133,1
577,43,137,1
578,43,138,1
579,43,146,1
580,44,28,1
581,44,55,1
582,44,58,1
583,44,60,1
584,44,68,1
585,44,80,1
586,44,129,1
587,44,134,1
588,44,138,1
589,44,163,1
590,45,1,1
591,45,4,1
592,45,12,1
593,45,24,1
594,45,25,1
595,45,44,1
596,45,49,1
597,45,58,1
598,45,64,1
599,45,66,1
600,45,86,1
601,45,103,1
602,45,112,1
603,45,122,1
604,45,123,1
605,45,137,1
606,45,138,1
607,45,142,1
608,45,152,1
609,45,156,1
610,45,164,1
611,46,57,1
612,46,67,1
613,46,77,1
614,46,93,1
615,46,105,1
616,46,136,1
617,46,141,1
618,46,147,1
619,46,149,1
620,46,158,1
621,47,9,1
622,47,10,1
623,47,12,1
624,47,22,1
625,47,28,1
626,47,37,1
627,47,46,1
628,47,68,1
629,47,80,1
630,47,87,1
631,47,118,1
632,47,119,1
633,47,122,1
634,47,123,1
635,47,127,1
636,47,129,1
637,47,137,1
638,47,147,1
639,47,153,1
640,47,161,1
641,48,6,1
642,48,25,1
643,48,29,1
644,48,45,1
645,48,62,1
646,48,81,1
647,48,83,1
648,48,90,1
649,48,111,1
650,48,146,1
651,49,0,1
652,49,5,1
653,49,10,1
654,49,20,1
655,49,24,1
656,49,29,1
657,49,53,1
658,49,55,1
659,49,75,1
660,49,77,1
661,49,90,1
662,49,93,1
663,49,105,1
664,49,125,1
665,49,131,1
666,49,149,1
667,49,158,1
668,50,9,1
669,50,28,1
670,50,57,1
671,50,58,1
672,50,68,1
673,50,80,1
674,50,103,1
675,50,125,1
676,50,137,1
677,50,156,1
678,51,28,1
679,51,37,1
680,51,44,1
681,51,66,1
682,51,68,1
683,51,79,1
684,51,87,1
685,51,98,1
686,51,112,1
687,51,122,1
688,51,129,1
689,51,144,1
690,52,0,1
691,52,2,1
692,52,12,1
