,user,items,ratings
0,0,1,1
1,0,12,1
2,0,13,1
3,0,21,1
4,0,22,1
5,0,37,1
6,0,50,1
7,0,64,1
8,0,66,1
9,0,87,1
10,0,93,1
11,0,99,1
12,0,141,1
13,0,147,1
14,0,158,1
15,1,0,1
16,1,11,1
17,1,30,1
18,1,40,1
19,1,42,1
20,1,49,1
21,1,57,1
22,1,101,1
23,1,102,1
24,1,106,1
25,1,123,1
26,1,126,1
27,1,128,1
28,1,138,1
29,1,144,1
30,2,19,1
31,2,23,1
32,2,45,1
33,2,59,1
34,2,64,1
35,2,69,1
36,2,72,1
37,2,81,1
38,2,88,1
39,2,111,1
40,2,120,1
41,2,133,1
42,2,137,1
43,2,138,1
44,2,146,1
45,3,8,1
46,3,19,1
47,3,25,1
48,3,39,1
49,3,69,1
50,3,70,1
51,3,72,1
52,3,80,1
53,3,88,1
54,3,95,1
55,3,98,1
56,3,111,1
57,3,138,1
58,3,146,1
59,3,156,1
60,4,49,1
61,4,53,1
62,4,55,1
63,4,64,1
64,4,76,1
65,4,99,1
66,4,103,1
67,4,105,1
68,4,124,1
69,4,125,1
70,4,141,1
71,4,154,1
72,4,156,1
73,4,161,1
74,5,12,1
75,5,22,1
76,5,28,1
77,5,59,1
78,5,64,1
79,5,66,1
80,5,87,1
81,5,97,1
82,5,99,1
83,5,103,1
84,5,112,1
85,5,133,1
86,5,140,1
87,5,147,1
88,6,12,1
89,6,30,1
90,6,34,1
91,6,40,1
92,6,44,1
93,6,49,1
94,6,58,1
95,6,112,1
96,6,126,1
97,6,129,1
98,6,147,1
99,6,150,1
100,6,156,1
101,6,161,1
102,7,19,1
103,7,23,1
104,7,25,1
105,7,50,1
106,7,64,1
107,7,79,1
108,7,90,1
109,7,99,1
110,7,106,1
111,7,132,1
112,7,137,1
113,7,147,1
114,7,152,1
115,7,163,1
116,8,1,1
117,8,4,1
118,8,9,1
119,8,25,1
120,8,31,1
121,8,60,1
122,8,62,1
123,8,99,1
124,8,129,1
125,8,132,1
126,8,133,1
127,8,138,1
128,8,148,1
129,8,156,1
130,8,161,1
131,9,10,1
132,9,25,1
133,9,28,1
134,9,50,1
135,9,66,1
136,9,77,1
137,9,87,1
138,9,96,1
139,9,99,1
140,9,112,1
141,9,125,1
142,9,131,1
143,9,137,1
144,9,147,1
145,9,149,1
146,10,9,1
147,10,12,1
148,10,37,1
149,10,44,1
150,10,58,1
151,10,68,1
152,10,80,1
153,10,87,1
154,10,112,1
155,10,122,1
156,10,129,1
157,10,134,1
158,10,137,1
159,10,156,1
160,10,164,1
161,11,1,1
162,11,20,1
163,11,22,1
164,11,24,1
165,11,25,1
166,11,77,1
167,11,93,1
168,11,99,1
169,11,101,1
170,11,105,1
171,11,116,1
172,11,119,1
173,11,129,1
174,11,158,1
175,12,9,1
176,12,12,1
177,12,30,1
178,12,41,1
179,12,49,1
180,12,52,1
181,12,60,1
182,12,78,1
183,12,80,1
184,12,92,1
185,12,126,1
186,12,129,1
187,12,134,1
188,12,161,1
189,13,40,1
190,13,49,1
191,13,58,1
192,13,66,1
193,13,68,1
194,13,79,1
195,13,102,1
196,13,123,1
197,13,126,1
198,13,127,1
199,13,144,1
200,13,149,1
201,13,156,1
202,13,163,1
203,14,2,1
204,14,12,1
205,14,22,1
206,14,44,1
207,14,52,1
208,14,58,1
209,14,60,1
210,14,66,1
211,14,68,1
212,14,87,1
213,14,112,1
214,14,122,1
215,14,129,1
216,14,147,1
217,14,156,1
218,15,8,1
219,15,9,1
220,15,14,1
221,15,19,1
222,15,20,1
223,15,31,1
224,15,70,1
225,15,72,1
226,15,79,1
227,15,91,1
228,15,125,1
229,15,135,1
230,15,138,1
231,15,147,1
232,15,154,1
233,16,2,1
234,16,25,1
235,16,29,1
236,16,59,1
237,16,67,1
238,16,72,1
239,16,81,1
240,16,86,1
241,16,90,1
242,16,91,1
243,16,111,1
244,16,138,1
245,16,140,1
246,16,145,1
247,16,154,1
248,17,4,1
249,17,9,1
250,17,28,1
251,17,44,1
252,17,58,1
253,17,79,1
254,17,80,1
255,17,81,1
256,17,84,1
257,17,144,1
258,17,152,1
259,17,154,1
260,17,156,1
261,17,161,1
262,18,10,1
263,18,25,1
264,18,44,1
265,18,49,1
266,18,66,1
267,18,68,1
268,18,75,1
269,18,84,1
270,18,87,1
271,18,102,1
272,18,144,1
273,18,159,1
274,18,161,1
275,18,163,1
276,18,164,1
277,19,0,1
278,19,53,1
279,19,63,1
280,19,77,1
281,19,96,1
282,19,106,1
283,19,112,1
284,19,120,1
285,19,123,1
286,19,125,1
287,19,136,1
288,19,141,1
289,19,147,1
290,19,149,1
291,19,159,1
292,20,12,1
293,20,52,1
294,20,80,1
295,20,84,1
296,20,86,1
297,20,89,1
298,20,102,1
299,20,112,1
300,20,127,1
301,20,129,1
302,20,144,1
303,20,156,1
304,20,161,1
305,20,163,1
306,21,2,1
307,21,3,1
308,21,4,1
309,21,9,1
310,21,10,1
311,21,13,1
312,21,26,1
313,21,50,1
314,21,63,1
315,21,66,1
316,21,80,1
317,21,123,1
318,21,131,1
319,21,139,1
320,21,149,1
321,22,3,1
322,22,22,1
323,22,26,1
324,22,32,1
325,22,33,1
326,22,35,1
327,22,37,1
328,22,39,1
329,22,57,1
330,22,71,1
331,22,76,1
332,22,84,1
333,22,89,1
334,22,148,1
335,22,153,1
336,23,9,1
337,23,12,1
338,23,30,1
339,23,53,1
340,23,66,1
341,23,68,1
342,23,84,1
343,23,101,1
344,23,102,1
345,23,112,1
346,23,126,1
347,23,127,1
348,23,129,1
349,23,161,1
350,23,164,1
351,24,23,1
352,24,44,1
353,24,55,1
354,24,58,1
355,24,60,1
356,24,62,1
357,24,81,1
358,24,108,1
359,24,118,1
360,24,119,1
361,24,120,1
362,24,125,1
363,24,142,1
364,24,154,1
365,24,164,1
366,25,0,1
367,25,2,1
368,25,4,1
369,25,9,1
370,25,28,1
371,25,58,1
372,25,60,1
373,25,68,1
374,25,87,1
375,25,112,1
376,25,122,1
377,25,126,1
378,25,128,1
379,25,147,1
380,25,156,1
381,26,28,1
382,26,34,1
383,26,45,1
384,26,47,1
385,26,62,1
386,26,67,1
387,26,91,1
388,26,99,1
389,26,105,1
390,26,117,1
391,26,119,1
392,26,125,1
393,26,154,1
394,26,156,1
395,27,3,1
396,27,21,1
397,27,36,1
398,27,68,1
399,27,93,1
400,27,101,1
401,27,102,1
402,27,114,1
403,27,118,1
404,27,120,1
405,27,128,1
406,27,131,1
407,27,134,1
408,27,144,1
409,27,159,1
410,28,3,1
411,28,10,1
412,28,21,1
413,28,46,1
414,28,50,1
415,28,55,1
416,28,57,1
417,28,61,1
418,28,80,1
419,28,82,1
420,28,91,1
421,28,104,1
422,28,107,1
423,28,118,1
424,28,120,1
425,29,22,1
426,29,24,1
427,29,45,1
428,29,63,1
429,29,69,1
430,29,83,1
431,29,89,1
432,29,100,1
433,29,111,1
434,29,112,1
435,29,119,1
436,29,122,1
437,29,135,1
438,29,142,1
439,29,152,1
440,30,18,1
441,30,24,1
442,30,28,1
443,30,37,1
444,30,44,1
445,30,78,1
446,30,99,1
447,30,103,1
448,30,119,1
449,30,122,1
450,30,137,1
451,30,141,1
452,30,143,1
453,30,147,1
454,30,156,1
455,31,12,1
456,31,28,1
457,31,44,1
458,31,58,1
459,31,66,1
460,31,68,1
461,31,74,1
462,31,78,1
463,31,87,1
464,31,103,1
465,31,112,1
466,31,122,1
467,31,147,1
468,31,156,1
469,31,161,1
470,32,5,1
471,32,13,1
472,32,17,1
473,32,23,1
474,32,29,1
475,32,75,1
476,32,83,1
477,32,90,1
478,32,95,1
479,32,109,1
480,32,124,1
481,32,136,1
482,32,143,1
483,32,158,1
484,33,28,1
485,33,30,1
486,33,36,1
487,33,50,1
488,33,52,1
489,33,58,1
490,33,68,1
491,33,75,1
492,33,84,1
493,33,112,1
494,33,127,1
495,33,129,1
496,33,155,1
497,33,159,1
498,33,161,1
499,34,12,1
500,34,23,1
501,34,40,1
502,34,44,1
503,34,48,1
504,34,60,1
505,34,61,1
506,34,85,1
507,34,87,1
508,34,89,1
509,34,107,1
510,34,120,1
511,34,143,1
512,34,144,1
513,34,148,1
514,35,9,1
515,35,33,1
516,35,34,1
517,35,49,1
518,35,50,1
519,35,58,1
520,35,60,1
521,35,80,1
522,35,91,1
523,35,98,1
524,35,125,1
525,35,129,1
526,35,152,1
527,35,161,1
528,36,13,1
529,36,24,1
530,36,28,1
531,36,34,1
532,36,58,1
533,36,68,1
534,36,87,1
535,36,102,1
536,36,114,1
537,36,122,1
538,36,137,1
539,36,143,1
540,36,157,1
541,36,158,1
542,36,164,1
543,37,4,1
544,37,19,1
545,37,25,1
546,37,53,1
547,37,58,1
548,37,64,1
549,37,69,1
550,37,79,1
551,37,96,1
552,37,103,1
553,37,111,1
554,37,116,1
555,37,131,1
556,37,141,1
557,37,149,1
558,38,0,1
559,38,15,1
560,38,21,1
561,38,22,1
562,38,33,1
563,38,43,1
564,38,76,1
565,38,78,1
566,38,86,1
567,38,102,1
568,38,127,1
569,38,128,1
570,38,156,1
571,38,161,1
572,38,164,1
573,39,1,1
574,39,28,1
575,39,37,1
576,39,44,1
577,39,50,1
578,39,53,1
579,39,66,1
580,39,75,1
581,39,84,1
582,39,93,1
583,39,125,1
584,39,128,1
585,39,136,1
586,39,141,1
587,39,153,1
588,40,1,1
589,40,3,1
590,40,11,1
591,40,12,1
592,40,25,1
593,40,28,1
594,40,40,1
595,40,44,1
596,40,68,1
597,40,84,1
598,40,119,1
599,40,128,1
600,40,138,1
601,40,156,1
602,40,164,1
603,41,1,1
604,41,12,1
605,41,40,1
606,41,44,1
607,41,53,1
608,41,66,1
609,41,75,1
610,41,84,1
611,41,87,1
612,41,93,1
613,41,99,1
614,41,101,1
615,41,112,1
616,41,156,1
617,42,9,1
618,42,28,1
619,42,44,1
620,42,50,1
621,42,58,1
622,42,60,1
623,42,66,1
624,42,68,1
625,42,80,1
626,42,86,1
627,42,87,1
628,42,118,1
629,42,119,1
630,42,129,1
631,42,134,1
632,43,12,1
633,43,22,1
634,43,28,1
635,43,30,1
636,43,32,1
637,43,41,1
638,43,42,1
639,43,43,1
640,43,49,1
641,43,60,1
642,43,69,1
643,43,78,1
644,43,89,1
645,43,151,1
646,43,156,1
647,44,0,1
648,44,4,1
649,44,9,1
650,44,13,1
651,44,28,1
652,44,58,1
653,44,74,1
654,44,76,1
655,44,80,1
656,44,81,1
657,44,106,1
658,44,133,1
659,44,135,1
660,44,151,1
661,44,159,1
662,45,12,1
663,45,28,1
664,45,44,1
665,45,49,1
666,45,87,1
667,45,102,1
668,45,122,1
669,45,123,1
670,45,125,1
671,45,126,1
672,45,128,1
673,45,156,1
674,45,161,1
675,45,164,1
676,46,4,1
677,46,5,1
678,46,21,1
679,46,50,1
680,46,81,1
681,46,86,1
682,46,87,1
683,46,88,1
684,46,99,1
685,46,106,1
686,46,111,1
687,46,135,1
688,46,144,1
689,46,155,1
690,46,159,1
691,47,1,1
692,47,10,1
693,47,20,1
694,47,24,1
695,47,35,1
696,47,69,1
697,47,75,1
698,47,77,1
699,47,84,1
700,47,89,1
701,47,96,1
702,47,124,1
703,47,134,1
704,47,143,1
705,47,161,1
706,48,9,1
707,48,25,1
708,48,40,1
709,48,44,1
710,48,58,1
711,48,68,1
712,48,79,1
713,48,87,1
714,48,107,1
715,48,108,1
716,48,122,1
717,48,125,1
718,48,137,1
719,48,144,1
720,48,156,1
721,49,0,1
722,49,5,1
723,49,11,1
724,49,34,1
725,49,44,1
726,49,49,1
727,49,55,1
728,49,68,1
729,49,86,1
730,49,104,1
731,49,123,1
732,49,144,1
733,49,151,1
734,49,159,1
735,50,3,1
736,50,9,1
737,50,30,1
738,50,40,1
739,50,41,1
740,50,43,1
741,50,47,1
742,50,49,1
743,50,60,1
744,50,102,1
745,50,127,1
746,50,128,1
747,50,144,1
748,50,161,1
749,51,9,1
750,51,11,1
751,51,12,1
752,51,30,1
753,51,40,1
754,51,41,1
755,51,42,1
756,51,44,1
757,51,78,1
758,51,84,1
759,51,85,1
760,51,87,1
761,51,123,1
762,51,126,1
763,51,128,1
764,52,1,1
765,52,5,1
766,52,18,1
767,52,30,1
768,52,34,1
769,52,58,1
770,52,60,1
771,52,66,1
772,52,81,1
773,52,112,1
774,52,127,1
775,52,129,1
776,52,134,1
777,52,144,1
778,52,147,1
779,53,2,1
780,53,22,1
781,53,24,1
782,53,44,1
783,53,55,1
784,53,63,1
785,53,81,1
786,53,85,1
787,53,86,1
788,53,104,1
789,53,120,1
790,53,134,1
791,53,142,1
792,53,144,1
793,53,154,1
794,54,25,1
795,54,32,1
796,54,33,1
797,54,45,1
798,54,53,1
799,54,60,1
800,54,85,1
801,54,106,1
802,54,121,1
803,54,125,1
804,54,134,1
805,54,144,1
806,54,163,1
807,54,164,1
808,55,4,1
809,55,19,1
810,55,39,1
811,55,44,1
812,55,51,1
813,55,58,1
814,55,60,1
815,55,75,1
816,55,84,1
817,55,94,1
818,55,120,1
819,55,133,1
820,55,143,1
821,55,156,1
822,55,164,1
823,56,9,1
824,56,22,1
825,56,30,1
826,56,40,1
827,56,44,1
828,56,58,1
829,56,78,1
830,56,86,1
