uid,sid
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
2,24
2,25
2,15
2,26
2,18
2,27
2,28
2,29
2,22
2,30
3,31
3,32
3,33
3,34
3,35
3,13
3,6
3,36
3,37
3,20
3,38
3,39
3,40
5,51
5,52
5,53
5,15
5,54
5,55
5,56
5,57
5,58
5,40
7,0
7,12
7,65
7,4
7,53
7,18
7,6
7,66
7,20
7,67
7,64
8,10
8,41
8,68
8,69
8,35
8,61
8,70
8,71
8,72
8,63
8,22
8,40
9,11
9,73
9,13
9,65
9,74
9,75
9,76
9,21
9,77
9,78
9,79
10,80
10,0
10,81
10,82
10,24
10,25
10,4
10,83
10,84
10,7
10,48
10,79
10,23
11,80
11,81
11,32
11,13
11,85
11,71
11,83
11,86
11,27
11,56
11,62
11,29
11,78
12,80
12,10
12,81
12,41
12,87
12,69
12,35
12,44
12,88
12,16
12,89
12,40
12,64
14,99
14,94
14,100
14,26
14,101
14,55
14,86
14,27
14,9
14,78
16,42
16,32
16,51
16,105
16,95
16,14
16,15
16,18
16,7
16,67
17,106
17,35
17,16
17,19
17,20
17,63
17,21
17,22
17,30
17,79
17,107
18,51
18,52
18,74
18,71
18,18
18,6
18,28
18,57
18,108
18,79
19,91
19,32
19,109
19,110
19,95
19,45
19,111
19,46
19,67
19,112
19,98
19,107
19,40
20,43
20,1
20,68
20,94
20,113
20,111
20,114
20,47
20,21
20,79
20,40
21,80
21,42
21,115
21,100
21,101
21,111
21,7
21,57
21,66
21,116
21,117
21,118
21,108
22,81
22,41
22,42
22,51
22,43
22,100
22,111
22,7
22,119
22,22
22,79
23,90
23,24
23,68
23,93
23,35
23,25
23,65
23,113
23,60
23,100
23,96
23,72
23,84
23,37
23,7
23,47
23,48
23,76
23,120
23,49
23,64
25,41
25,91
25,43
25,25
25,4
25,113
25,44
25,83
25,75
25,89
25,114
25,64
26,92
26,32
26,51
26,33
26,69
26,44
26,14
26,16
26,96
26,18
26,54
26,6
26,46
26,114
26,84
26,49
26,78
26,30
26,79
27,42
27,32
27,25
27,52
27,44
27,37
27,122
27,76
27,117
27,79
27,123
28,0
28,124
28,12
28,125
28,26
28,17
28,89
28,57
28,66
28,79
29,24
29,91
29,11
29,69
29,12
29,25
29,65
29,44
29,61
29,96
29,126
29,104
29,22
29,40
30,80
30,127
30,42
30,128
30,51
30,1
30,52
30,129
30,95
30,115
30,53
30,26
30,101
30,6
30,86
30,130
30,27
30,7
30,57
30,48
30,117
30,58
30,29
30,118
30,123
32,80
32,42
32,26
32,55
32,6
32,27
32,7
32,50
32,29
32,112
32,98
33,41
33,42
33,25
33,95
33,15
33,96
33,18
33,120
33,58
33,97
34,41
34,24
34,127
34,42
34,43
34,11
34,132
34,110
34,113
34,44
34,70
34,125
34,83
34,96
34,111
34,89
34,114
34,47
34,48
34,76
34,116
34,62
34,21
34,119
34,49
34,79
35,10
35,24
35,105
35,43
35,35
35,25
35,65
35,44
35,96
35,72
35,27
35,47
35,133
35,20
35,134
35,119
35,49
35,29
35,107
35,64
36,41
36,113
36,83
36,57
36,117
36,49
36,121
36,39
36,135
36,79
37,81
37,87
37,52
37,4
37,110
37,113
37,70
37,83
37,86
37,47
37,104
37,136
38,24
38,32
38,65
38,95
38,60
38,53
38,14
38,46
38,130
38,48
38,97
39,80
39,137
39,11
39,69
39,35
39,65
39,110
39,72
39,89
39,19
39,20
39,62
39,134
39,58
39,22
41,31
41,105
41,43
41,113
41,139
41,95
41,53
41,125
41,26
41,96
41,55
41,72
41,47
41,133
41,8
41,76
41,140
41,9
41,50
41,29
41,22
41,97
41,141
41,79
41,107
42,43
42,25
42,109
42,60
42,44
42,70
42,96
42,21
42,104
42,64
43,42
43,142
43,52
43,129
43,95
43,115
43,53
43,125
43,101
43,7
43,8
43,67
43,49
43,58
43,121
45,90
45,81
45,24
45,32
45,51
45,25
45,65
45,113
45,95
45,60
45,83
45,114
45,47
45,76
45,20
45,49
45,58
45,143
45,39
45,79
45,64
46,110
46,74
46,15
46,54
46,130
46,9
46,50
46,97
46,141
46,98
47,41
47,82
47,24
47,92
47,43
47,93
47,144
47,44
47,45
47,96
47,122
47,48
47,76
47,20
47,63
47,21
47,49
47,97
47,30
47,40
48,99
48,51
48,33
48,52
48,139
48,125
48,71
48,18
48,7
48,121
49,80
49,31
49,82
49,128
49,32
