uid,sid
0,5
0,6
0,8
0,12
0,13
1,17
1,18
1,22
1,24
1,27
2,32
2,34
2,35
2,36
2,39
2,28
3,43
3,30
3,44
3,46
3,48
3,28
3,42
4,64
4,18
4,26
4,13
4,50
5,75
5,77
5,78
5,11
5,71
5,79
6,80
6,6
6,11
6,57
6,83
6,41
6,84
7,75
7,47
7,9
7,62
7,86
7,87
8,98
8,1
8,66
8,85
8,9
8,67
8,50
9,75
9,89
9,35
9,69
9,58
10,103
10,28
11,69
12,20
12,106
12,108
13,81
13,24
13,25
13,57
13,110
13,13
13,108
14,112
14,75
14,80
14,8
14,47
15,113
15,5
15,45
15,21
15,106
15,111
16,75
16,51
16,8
16,85
16,106
17,31
17,65
17,78
17,120
17,39
17,122
17,58
18,15
18,98
18,74
18,75
18,62
19,125
19,10
19,22
19,23
19,121
19,108
20,21
20,129
20,100
20,121
21,4
21,34
21,132
21,111
21,101
21,122
22,134
22,65
22,95
22,41
22,13
23,65
23,66
23,9
23,86
24,137
24,138
24,102
24,132
24,135
24,14
25,60
25,66
25,62
25,67
25,140
25,108
26,18
26,65
26,141
26,128
26,142
27,90
27,64
27,85
27,126
27,86
27,135
28,74
28,30
28,44
28,7
28,54
28,38
29,144
29,53
29,95
29,27
29,50
30,65
30,6
30,8
30,57
30,12
30,119
31,44
31,60
31,18
31,65
31,27
31,50
31,88
32,18
32,51
32,8
32,11
32,50
33,75
33,60
33,65
33,67
33,87
34,1
34,4
34,145
34,20
34,77
34,111
35,75
35,2
35,60
35,136
35,24
35,146
36,74
36,137
36,9
36,24
36,38
36,29
36,140
37,89
37,90
37,34
37,107
37,81
37,59
38,75
38,65
38,85
38,69
38,9
38,120
39,17
39,20
39,77
39,23
39,27
40,16
40,19
40,95
40,106
40,26
40,27
41,17
41,64
41,8
41,87
41,29
42,4
42,65
42,142
42,39
42,122
42,29
43,116
43,142
43,57
43,87
43,73
44,74
44,148
44,40
44,135
44,50
44,88
45,4
45,18
45,65
45,104
45,11
45,26
45,67
46,9
46,96
46,62
46,86
47,52
47,78
47,9
47,86
47,122
47,50
48,150
48,5
48,52
48,95
48,47
48,88
49,74
49,2
49,90
49,92
49,72
49,58
50,17
50,94
50,106
50,104
50,97
50,83
51,17
51,65
51,36
51,100
51,146
51,50
52,0
52,80
52,1
52,64
52,22
52,87
53,17
53,65
53,66
53,120
53,59
54,151
54,43
54,153
54,130
54,41
55,60
55,64
55,20
55,66
55,136
55,27
55,58
56,112
56,4
56,31
56,29
57,112
57,52
57,109
57,67
57,122
57,50
58,99
58,45
58,141
58,6
58,9
58,10
59,106
59,23
59,147
59,26
59,29
59,84
59,88
60,1
60,21
60,95
60,120
60,121
60,59
61,17
61,77
61,95
61,23
61,97
61,67
61,122
62,112
62,90
62,17
62,103
62,136
62,107
62,29
63,1
63,106
63,9
63,97
63,67
63,13
64,1
64,4
64,60
64,6
64,50
65,4
65,17
65,7
65,85
65,9
65,50
66,112
66,52
66,21
66,36
66,132
66,22
67,18
67,20
67,111
67,156
67,27
67,29
67,108
68,116
68,157
68,77
68,11
68,26
69,21
69,78
69,8
69,35
70,17
70,66
70,104
70,23
70,39
70,72
71,60
71,64
71,130
71,86
71,13
71,88
72,6
72,8
72,9
72,54
72,92
72,50
73,66
73,7
73,85
73,22
73,147
73,83
74,85
74,11
74,24
74,97
74,27
75,64
75,85
75,47
75,11
75,67
76,17
76,47
76,104
76,23
76,62
76,147
76,67
77,44
77,65
77,49
77,133
77,58
77,50
78,6
78,53
78,129
78,83
78,50
79,75
79,27
79,58
79,88
