uid,sid
0,9
0,23
0,30
0,42
0,59
1,10
1,60
1,67
2,1
2,35
2,36
2,48
3,0
3,11
3,15
3,26
3,66
3,70
4,8
4,59
4,67
5,4
5,10
5,63
5,71
6,3
6,36
6,48
6,59
6,69
7,0
7,10
7,11
7,14
7,18
7,32
7,35
7,45
7,49
7,50
7,60
7,63
7,66
8,13
8,32
8,65
8,74
9,0
9,1
9,10
9,34
9,63
9,66
9,71
10,8
10,23
10,36
10,41
10,43
10,71
11,56
11,71
12,13
12,45
12,61
13,1
13,9
13,34
13,41
13,71
14,13
14,24
14,54
14,61
14,63
14,70
15,6
15,30
15,45
15,46
15,60
16,6
16,14
16,32
16,39
17,11
17,36
17,57
18,8
18,11
18,18
18,21
18,27
18,41
18,51
18,54
19,14
19,19
19,20
19,61
20,11
20,28
20,52
20,66
21,3
21,24
21,44
21,48
22,11
22,45
23,20
23,23
23,30
23,48
23,59
23,71
24,0
24,10
24,25
24,40
24,46
24,62
25,18
25,57
25,62
25,72
26,4
26,14
26,29
26,35
26,36
26,42
26,46
26,59
27,3
27,43
27,72
28,6
28,8
28,19
28,57
29,49
30,3
30,14
30,31
30,32
30,38
30,44
30,45
30,49
30,50
30,51
30,70
31,3
31,8
31,54
31,63
32,21
32,32
32,40
32,44
33,10
33,29
33,32
33,35
33,36
33,41
33,42
33,45
33,59
33,63
33,70
34,10
34,27
34,42
34,45
34,63
35,10
35,11
35,46
36,10
36,36
36,50
36,66
36,70
37,4
37,8
37,11
37,33
37,43
37,48
37,62
37,72
38,6
38,50
38,63
39,7
39,11
39,16
39,39
39,52
39,58
39,60
40,5
40,6
40,7
40,9
40,19
40,24
40,26
40,27
40,30
40,31
40,32
40,39
40,45
40,46
40,51
40,52
40,57
40,61
40,65
40,68
40,69
40,72
41,11
41,50
41,62
42,29
42,32
42,43
42,48
42,56
42,61
42,63
43,0
43,19
43,58
43,61
44,8
44,24
44,32
44,34
44,57
44,61
45,2
45,6
45,9
45,43
45,48
46,1
46,4
46,23
46,39
46,46
46,70
46,71
47,11
47,19
47,49
48,19
48,32
48,61
48,65
49,8
49,54
49,55
49,67
