,user,items,ratings
0,1,3,1
1,1,32,1
2,1,37,1
3,1,39,1
4,1,56,1
5,1,64,1
6,1,97,1
7,1,112,1
8,1,121,1
9,1,137,1
10,2,4,1
11,2,31,1
12,2,42,1
13,2,49,1
14,2,76,1
15,2,78,1
16,2,85,1
17,2,90,1
18,2,91,1
19,2,107,1
20,2,124,1
21,2,130,1
22,2,145,1
23,2,164,1
24,3,13,1
25,3,45,1
26,3,78,1
27,3,86,1
28,3,91,1
29,3,108,1
30,3,117,1
31,3,144,1
32,3,145,1
33,3,154,1
34,4,6,1
35,4,25,1
36,4,30,1
37,4,36,1
38,4,43,1
39,4,49,1
40,4,97,1
41,4,101,1
42,4,109,1
43,4,124,1
44,4,141,1
45,4,153,1
46,4,162,1
47,5,10,1
48,5,20,1
49,5,29,1
50,5,45,1
51,5,69,1
52,5,81,1
53,5,100,1
54,5,113,1
55,5,120,1
56,5,138,1
57,5,142,1
58,6,26,1
59,6,46,1
60,6,73,1
61,6,78,1
62,6,94,1
63,6,96,1
64,6,110,1
65,6,118,1
66,6,139,1
67,6,162,1
68,7,31,1
69,7,34,1
70,7,67,1
71,7,79,1
72,7,109,1
73,7,120,1
74,7,127,1
75,7,128,1
76,7,130,1
77,7,162,1
78,7,165,1
79,8,3,1
80,8,42,1
81,8,50,1
82,8,56,1
83,8,73,1
84,8,91,1
85,8,97,1
86,8,122,1
87,8,124,1
88,8,134,1
89,8,165,1
90,9,4,1
91,9,10,1
92,9,35,1
93,9,41,1
94,9,43,1
95,9,79,1
96,9,80,1
97,9,84,1
98,9,102,1
99,9,128,1
100,9,145,1
101,9,162,1
102,10,31,1
103,10,33,1
104,10,49,1
105,10,50,1
106,10,68,1
107,10,95,1
108,10,123,1
109,10,130,1
110,10,136,1
111,10,151,1
112,10,157,1
113,11,1,1
114,11,3,1
115,11,5,1
116,11,11,1
117,11,13,1
118,11,45,1
119,11,56,1
120,11,87,1
121,11,105,1
122,11,112,1
123,11,120,1
124,11,157,1
125,11,164,1
126,12,1,1
127,12,5,1
128,12,25,1
129,12,49,1
130,12,74,1
131,12,84,1
132,12,87,1
133,12,99,1
134,12,108,1
135,12,110,1
136,12,127,1
137,12,144,1
138,12,151,1
139,13,1,1
140,13,4,1
141,13,5,1
142,13,10,1
143,13,22,1
144,13,41,1
145,13,43,1
146,13,69,1
147,13,75,1
148,13,85,1
149,13,103,1
150,13,162,1
151,13,165,1
152,14,2,1
153,14,13,1
154,14,14,1
155,14,22,1
156,14,23,1
157,14,38,1
158,14,51,1
159,14,65,1
160,14,67,1
161,14,88,1
162,14,94,1
163,14,100,1
164,14,142,1
165,14,148,1
166,14,159,1
167,15,7,1
168,15,51,1
