,user,items,ratings
0,0,27,1
1,0,39,1
2,0,42,1
3,0,49,1
4,0,51,1
5,0,52,1
6,0,70,1
7,1,9,1
8,1,36,1
9,1,37,1
10,1,43,1
11,1,57,1
12,1,60,1
13,1,67,1
14,2,35,1
15,2,36,1
16,2,42,1
17,2,43,1
18,2,57,1
19,2,64,1
20,2,68,1
21,2,70,1
22,3,5,1
23,3,9,1
24,3,10,1
25,3,15,1
26,3,24,1
27,3,31,1
28,3,36,1
29,3,43,1
30,3,49,1
31,3,50,1
32,3,51,1
33,3,57,1
34,3,60,1
35,3,64,1
36,3,67,1
37,3,72,1
38,4,10,1
39,4,29,1
40,4,30,1
41,4,37,1
42,4,44,1
43,4,64,1
44,4,70,1
45,5,9,1
46,5,11,1
47,5,24,1
48,5,31,1
49,5,36,1
50,5,43,1
51,5,61,1
52,5,64,1
53,5,68,1
54,6,0,1
55,6,14,1
56,6,24,1
57,6,42,1
58,6,44,1
59,6,68,1
60,7,9,1
61,7,12,1
62,7,27,1
63,7,53,1
64,7,69,1
65,7,70,1
66,8,0,1
67,8,28,1
68,8,39,1
69,8,50,1
70,8,60,1
71,8,66,1
72,8,70,1
73,8,73,1
74,9,15,1
75,9,21,1
76,9,27,1
77,9,28,1
78,9,35,1
79,9,52,1
80,9,67,1
81,10,8,1
82,10,14,1
83,10,44,1
84,10,69,1
85,10,70,1
86,10,71,1
87,11,17,1
88,11,22,1
89,11,40,1
90,11,50,1
91,11,61,1
92,11,73,1
93,12,36,1
94,12,40,1
95,12,42,1
96,12,51,1
97,12,52,1
98,12,54,1
99,13,0,1
100,13,2,1
101,13,11,1
102,13,33,1
103,13,49,1
104,13,62,1
105,13,70,1
106,14,12,1
107,14,31,1
108,14,44,1
109,14,52,1
110,14,63,1
111,14,73,1
112,15,9,1
113,15,12,1
114,15,15,1
115,15,19,1
116,15,50,1
117,15,56,1
118,15,73,1
119,16,11,1
120,16,25,1
121,16,64,1
122,16,68,1
123,16,70,1
124,16,72,1
125,17,0,1
126,17,4,1
127,17,12,1
128,17,16,1
129,17,19,1
130,17,21,1
131,17,26,1
132,17,27,1
