,user,items,ratings
0,0,1,1
1,0,12,1
2,0,13,1
3,0,21,1
4,0,22,1
5,0,37,1
6,0,50,1
7,0,64,1
8,0,66,1
9,0,87,1
10,0,93,1
11,0,99,1
12,0,141,1
13,0,147,1
14,0,158,1
15,1,9,1
16,1,24,1
17,1,25,1
18,1,55,1
19,1,98,1
20,1,100,1
21,1,108,1
22,1,117,1
23,1,118,1
24,1,134,1
25,1,142,1
26,2,2,1
27,2,58,1
28,2,74,1
29,2,80,1
30,2,81,1
31,2,86,1
32,2,127,1
33,2,129,1
34,2,157,1
35,2,161,1
36,2,164,1
37,3,2,1
38,3,24,1
39,3,25,1
40,3,29,1
41,3,48,1
42,3,77,1
43,3,83,1
44,3,90,1
45,3,104,1
46,3,143,1
47,4,0,1
48,4,26,1
49,4,27,1
50,4,45,1
51,4,53,1
52,4,57,1
53,4,72,1
54,4,129,1
55,4,144,1
56,4,149,1
57,4,152,1
58,5,4,1
59,5,8,1
60,5,24,1
61,5,64,1
62,5,70,1
63,5,72,1
64,5,86,1
65,5,98,1
66,5,103,1
67,5,137,1
68,5,146,1
69,6,0,1
70,6,21,1
71,6,28,1
72,6,45,1
73,6,58,1
74,6,67,1
75,6,68,1
76,6,86,1
77,6,112,1
78,6,125,1
79,7,0,1
80,7,3,1
81,7,45,1
82,7,50,1
83,7,85,1
84,7,114,1
85,7,117,1
86,7,124,1
87,7,143,1
88,7,153,1
89,7,158,1
90,8,10,1
91,8,70,1
92,8,72,1
93,8,85,1
94,8,88,1
95,8,95,1
96,8,99,1
97,8,101,1
98,8,111,1
99,8,117,1
100,8,141,1
101,8,161,1
102,9,28,1
103,9,66,1
104,9,87,1
105,9,99,1
106,9,103,1
107,9,112,1
108,9,119,1
109,9,122,1
110,9,137,1
111,9,147,1
112,10,2,1
113,10,4,1
114,10,20,1
115,10,48,1
116,10,70,1
117,10,76,1
118,10,81,1
119,10,83,1
120,10,90,1
121,10,98,1
122,10,100,1
123,10,108,1
124,10,138,1
125,11,12,1
126,11,22,1
127,11,24,1
128,11,34,1
129,11,37,1
130,11,66,1
131,11,76,1
132,11,87,1
133,11,99,1
134,11,119,1
135,11,122,1
136,12,40,1
137,12,79,1
138,12,80,1
139,12,84,1
140,12,85,1
141,12,96,1
142,12,126,1
143,12,131,1
144,12,156,1
145,12,161,1
146,13,14,1
147,13,19,1
148,13,24,1
149,13,25,1
150,13,51,1
151,13,59,1
152,13,81,1
153,13,85,1
154,13,88,1
155,13,96,1
156,13,107,1
157,13,124,1
158,13,137,1
159,14,44,1
160,14,68,1
161,14,91,1
162,14,103,1
163,14,108,1
164,14,121,1
165,14,132,1
166,14,144,1
167,14,151,1
168,14,164,1
169,15,2,1
170,15,23,1
171,15,39,1
172,15,44,1
173,15,55,1
174,15,68,1
175,15,91,1
176,15,104,1
177,15,111,1
178,15,135,1
179,15,150,1
180,15,164,1
181,16,4,1
182,16,9,1
183,16,28,1
184,16,44,1
185,16,58,1
186,16,79,1
187,16,80,1
188,16,81,1
189,16,84,1
190,16,144,1
191,16,152,1
192,16,154,1
193,16,156,1
194,16,161,1
195,17,9,1
196,17,24,1
197,17,53,1
198,17,66,1
199,17,74,1
200,17,84,1
201,17,101,1
202,17,104,1
203,17,129,1
204,17,138,1
205,17,143,1
206,18,2,1
207,18,20,1
208,18,48,1
209,18,59,1
210,18,83,1
211,18,86,1
212,18,88,1
213,18,98,1
214,18,143,1
215,18,156,1
216,18,161,1
217,19,4,1
218,19,9,1
219,19,12,1
220,19,25,1
221,19,44,1
222,19,68,1
223,19,87,1
224,19,125,1
225,19,126,1
226,19,134,1
227,19,144,1
228,19,150,1
229,20,0,1
230,20,15,1
231,20,57,1
232,20,66,1
233,20,90,1
234,20,99,1
235,20,101,1
236,20,134,1
237,20,161,1
238,20,164,1
239,21,32,1
240,21,42,1
241,21,71,1
242,21,83,1
243,21,86,1
244,21,94,1
245,21,101,1
246,21,129,1
247,21,145,1
248,21,146,1
249,22,2,1
250,22,50,1
251,22,62,1
252,22,66,1
253,22,99,1
254,22,107,1
255,22,125,1
256,22,137,1
257,22,144,1
258,22,149,1
259,22,156,1
260,23,2,1
261,23,9,1
262,23,28,1
263,23,36,1
264,23,44,1
265,23,53,1
266,23,68,1
267,23,87,1
268,23,112,1
269,23,118,1
270,24,49,1
271,24,64,1
272,24,75,1
273,24,89,1
274,24,95,1
275,24,98,1
276,24,101,1
277,24,119,1
278,24,133,1
279,24,150,1
280,24,159,1
281,25,2,1
282,25,10,1
283,25,44,1
284,25,45,1
285,25,57,1
286,25,88,1
287,25,107,1
288,25,125,1
289,25,131,1
290,25,142,1
291,25,162,1
292,26,10,1
293,26,21,1
294,26,27,1
295,26,57,1
296,26,85,1
297,26,93,1
298,26,111,1
299,26,147,1
300,26,149,1
301,26,156,1
302,26,158,1
303,27,57,1
304,27,68,1
305,27,80,1
306,27,86,1
307,27,102,1
308,27,126,1
309,27,127,1
310,27,129,1
311,27,152,1
312,27,161,1
313,27,164,1
314,28,3,1
315,28,21,1
316,28,36,1
317,28,68,1
318,28,93,1
319,28,101,1
320,28,102,1
321,28,114,1
322,28,118,1
323,28,120,1
324,28,128,1
325,28,131,1
326,28,134,1
327,28,144,1
328,28,159,1
329,29,44,1
330,29,49,1
331,29,58,1
332,29,60,1
333,29,66,1
334,29,87,1
335,29,112,1
336,29,123,1
337,29,134,1
338,29,156,1
339,29,161,1
340,30,4,1
341,30,5,1
342,30,30,1
343,30,75,1
344,30,77,1
345,30,84,1
346,30,119,1
347,30,133,1
348,30,135,1
349,30,148,1
350,30,150,1
351,31,34,1
352,31,44,1
353,31,82,1
354,31,103,1
355,31,111,1
356,31,119,1
357,31,120,1
358,31,131,1
359,31,138,1
360,31,146,1
361,31,147,1
362,31,156,1
363,32,12,1
364,32,17,1
365,32,42,1
366,32,49,1
367,32,56,1
368,32,72,1
369,32,84,1
370,32,87,1
371,32,106,1
372,32,122,1
373,32,150,1
374,32,159,1
375,33,18,1
376,33,30,1
377,33,44,1
378,33,58,1
379,33,60,1
380,33,68,1
381,33,80,1
382,33,108,1
383,33,126,1
384,33,129,1
385,34,0,1
386,34,4,1
387,34,9,1
388,34,40,1
389,34,52,1
390,34,57,1
391,34,68,1
392,34,70,1
393,34,80,1
394,34,152,1
395,34,155,1
396,35,9,1
397,35,40,1
398,35,75,1
399,35,102,1
400,35,114,1
401,35,126,1
402,35,129,1
403,35,134,1
404,35,144,1
405,35,151,1
406,35,159,1
407,35,161,1
408,35,164,1
409,36,4,1
410,36,10,1
411,36,18,1
412,36,52,1
413,36,78,1
414,36,86,1
415,36,108,1
416,36,127,1
417,36,129,1
418,36,134,1
419,36,142,1
420,36,144,1
421,36,161,1
422,37,44,1
423,37,50,1
424,37,58,1
425,37,66,1
426,37,68,1
427,37,75,1
428,37,77,1
429,37,112,1
430,37,119,1
431,37,122,1
432,38,4,1
433,38,25,1
434,38,44,1
435,38,58,1
436,38,68,1
437,38,80,1
438,38,86,1
439,38,156,1
440,38,161,1
441,38,164,1
442,39,3,1
443,39,9,1
444,39,30,1
445,39,40,1
446,39,43,1
447,39,68,1
448,39,78,1
449,39,87,1
450,39,134,1
451,39,161,1
452,40,9,1
453,40,18,1
454,40,28,1
455,40,34,1
456,40,60,1
457,40,68,1
458,40,87,1
459,40,112,1
460,40,122,1
461,40,156,1
462,41,9,1
463,41,24,1
464,41,44,1
465,41,70,1
466,41,81,1
467,41,124,1
468,41,125,1
469,41,129,1
470,41,149,1
471,41,153,1
472,42,10,1
473,42,53,1
474,42,68,1
475,42,80,1
476,42,86,1
477,42,106,1
478,42,118,1
479,42,131,1
480,42,134,1
481,42,161,1
482,42,164,1
483,43,19,1
484,43,23,1
485,43,25,1
486,43,56,1
487,43,75,1
488,43,79,1
489,43,87,1
490,43,88,1
491,43,106,1
492,43,111,1
493,43,132,1
494,43,137,1
495,43,145,1
496,44,19,1
497,44,31,1
498,44,36,1
499,44,73,1
500,44,85,1
501,44,106,1
502,44,109,1
503,44,124,1
504,44,125,1
505,44,159,1
506,45,40,1
507,45,44,1
508,45,72,1
509,45,80,1
510,45,85,1
511,45,100,1
512,45,120,1
513,45,134,1
514,45,139,1
515,45,142,1
516,45,156,1
517,46,28,1
518,46,34,1
519,46,58,1
520,46,62,1
521,46,79,1
522,46,81,1
523,46,83,1
524,46,86,1
525,46,91,1
526,46,119,1
527,46,160,1
528,47,32,1
529,47,42,1
530,47,44,1
531,47,49,1
532,47,92,1
533,47,94,1
534,47,98,1
535,47,129,1
536,47,151,1
537,47,156,1
538,48,3,1
539,48,9,1
540,48,30,1
541,48,40,1
542,48,41,1
543,48,47,1
544,48,77,1
545,48,93,1
546,48,106,1
547,48,123,1
548,48,129,1
549,48,159,1
550,49,25,1
551,49,28,1
552,49,34,1
553,49,58,1
554,49,68,1
555,49,79,1
556,49,86,1
557,49,103,1
558,49,122,1
559,49,137,1
560,49,156,1
561,49,163,1
562,50,18,1
563,50,28,1
564,50,34,1
565,50,68,1
566,50,79,1
567,50,102,1
568,50,127,1
569,50,128,1
570,50,129,1
571,50,144,1
572,50,156,1
573,50,161,1
574,50,164,1
575,51,33,1
576,51,75,1
577,51,81,1
578,51,86,1
579,51,101,1
580,51,125,1
581,51,126,1
582,51,127,1
583,51,156,1
584,51,164,1
585,52,0,1
586,52,10,1
587,52,21,1
588,52,34,1
589,52,57,1
590,52,102,1
591,52,105,1
592,52,111,1
593,52,114,1
594,52,118,1
595,52,131,1
596,52,134,1
597,53,9,1
598,53,40,1
599,53,44,1
600,53,52,1
601,53,57,1
602,53,66,1
603,53,84,1
604,53,102,1
605,53,118,1
606,53,152,1
607,53,161,1
608,54,12,1
609,54,18,1
610,54,30,1
611,54,44,1
612,54,52,1
613,54,58,1
614,54,121,1
615,54,127,1
616,54,129,1
617,54,161,1
618,55,21,1
619,55,23,1
620,55,24,1
621,55,37,1
622,55,85,1
623,55,89,1
624,55,95,1
625,55,98,1
626,55,102,1
627,55,104,1
628,55,107,1
629,55,114,1
630,55,120,1
631,56,3,1
632,56,34,1
633,56,52,1
634,56,80,1
635,56,84,1
636,56,114,1
637,56,121,1
638,56,129,1
639,56,131,1
640,56,161,1
641,57,34,1
642,57,44,1
643,57,55,1
644,57,62,1
645,57,80,1
646,57,81,1
647,57,91,1
648,57,128,1
649,57,129,1
650,57,154,1
651,57,156,1
652,57,163,1
653,58,1,1
654,58,5,1
655,58,18,1
656,58,30,1
657,58,34,1
658,58,58,1
659,58,60,1
660,58,66,1
661,58,81,1
662,58,112,1
663,58,127,1
664,58,129,1
665,58,134,1
666,58,144,1
667,58,147,1
668,59,2,1
669,59,32,1
670,59,34,1
671,59,43,1
672,59,79,1
673,59,83,1
674,59,84,1
675,59,101,1
676,59,107,1
677,59,108,1
678,59,121,1
679,59,163,1
680,59,164,1
681,60,3,1
682,60,22,1
683,60,33,1
684,60,43,1
685,60,84,1
686,60,102,1
687,60,112,1
688,60,126,1
689,60,127,1
690,60,147,1
691,61,0,1
692,61,9,1
693,61,49,1
694,61,68,1
695,61,74,1
696,61,78,1
697,61,102,1
698,61,128,1
699,61,134,1
700,61,152,1
701,62,5,1
702,62,12,1
703,62,30,1
704,62,31,1
705,62,68,1
706,62,87,1
707,62,112,1
708,62,141,1
709,62,156,1
710,62,159,1
711,63,9,1
712,63,40,1
713,63,44,1
714,63,53,1
715,63,58,1
716,63,66,1
717,63,68,1
718,63,81,1
719,63,101,1
720,63,118,1
721,63,122,1
722,63,126,1
723,63,144,1
724,63,164,1
725,64,5,1
726,64,12,1
727,64,17,1
728,64,49,1
729,64,50,1
730,64,54,1
731,64,58,1
732,64,108,1
733,64,156,1
734,64,161,1
735,65,5,1
736,65,17,1
737,65,30,1
738,65,49,1
739,65,53,1
740,65,62,1
741,65,89,1
742,65,110,1
743,65,114,1
744,65,126,1
745,65,127,1
746,65,129,1
747,65,149,1
748,65,161,1
749,66,12,1
750,66,34,1
751,66,55,1
752,66,62,1
753,66,78,1
754,66,79,1
755,66,112,1
756,66,122,1
757,66,137,1
758,66,141,1
759,66,164,1
760,67,9,1
761,67,30,1
762,67,52,1
763,67,68,1
764,67,82,1
765,67,84,1
766,67,86,1
767,67,92,1
768,67,101,1
769,67,104,1
770,67,118,1
771,67,134,1
772,68,21,1
773,68,22,1
774,68,30,1
775,68,33,1
776,68,46,1
777,68,57,1
778,68,66,1
779,68,76,1
780,68,87,1
781,68,112,1
782,68,122,1
783,68,154,1
784,68,156,1
785,68,158,1
786,69,9,1
787,69,12,1
788,69,28,1
789,69,34,1
790,69,60,1
791,69,66,1
792,69,78,1
793,69,80,1
794,69,84,1
795,69,87,1
796,69,102,1
797,69,144,1
798,70,0,1
799,70,3,1
800,70,18,1
801,70,33,1
802,70,41,1
803,70,57,1
804,70,63,1
805,70,75,1
806,70,102,1
807,70,128,1
808,71,30,1
809,71,55,1
810,71,58,1
811,71,68,1
812,71,80,1
813,71,108,1
814,71,129,1
815,71,156,1
816,71,161,1
817,71,164,1
818,72,2,1
819,72,44,1
820,72,103,1
821,72,106,1
822,72,112,1
823,72,121,1
824,72,122,1
825,72,147,1
826,72,156,1
827,72,164,1
828,73,0,1
829,73,18,1
830,73,24,1
