Account,tconst,averageRating,numVotes,Uid,Posts,Followers,Likes,Comments
21bridgesmovie,tt8688634,6.6,18694,8600709558,81,15595,73032,1468
47metersdown,tt7329656,5.0,12683,4773990401,61,38297,234154,5986
abeautifuldaymovie,tt3224458,7.4,29979,9457986739,133,32213,245879,3323
abominablemovie,tt6324278,7.0,18487,8751027688,134,19847,152470,2489
adastramovie,tt2935510,6.6,147914,8014594288,118,19262,349380,8189
adogsjourneymovie,tt8385474,7.4,12969,2226168062,212,59678,528166,11321
aftermathmovie,tt5977276,6.3,13315,4736097525,51,2511,17453,380
aftermovie,tt4126476,5.4,24503,7165204352,55,2288226,24096968,459256
ahiddenlifefilm,tt5827916,7.6,6785,14231496569,37,2274,10933,187
alitamovie,tt0437086,7.3,193030,4860003337,353,130827,1867811,26006
angelhasfallen,tt6189022,6.4,52701,2257167728,217,29820,188705,5298
angrybirdsmovie,tt6095472,6.4,14209,9187107504,221,36609,286290,7328
annabellemovie,tt8350360,5.9,45505,3473428697,337,152264,1657340,32497
annamovie,tt7456310,6.6,41431,8634923563,41,11231,70242,1573
apollo11movie,tt8760684,8.2,16270,8189776099,120,4951,21220,436
arcticdogsmovie,tt4426464,4.3,787,14931304133,38,69556,17392,1534
arcticmovie,tt6820256,6.8,35537,7723428855,43,1892,17254,424
artofracingmovie,tt1478839,7.5,15052,7717548150,105,18409,322003,6110
avengers,tt4154796,8.5,675253,6622284809,376,11509977,121203325,653011
beachbummovie,tt6511932,5.5,14316,7144195509,122,10217,100090,3835
bernadettefilm,tt2365580,6.5,9876,4904701525,159,8460,117536,3405
blackandbluemovie,tt7390646,6.2,8160,12643428248,123,14540,49736,1602
blackchristmas,tt10481868,3.2,5684,14505673815,54,13424,248368,7498
blindedbythelightmovie,tt8266310,6.9,12686,10733606431,85,7094,37952,942
bombshellmovie,tt6394270,6.8,37040,9128486897,103,33500,168519,3018
booksmart,tt1489887,7.2,67127,7124620156,190,40473,858865,13714
breakthroughmovie,tt7083526,6.1,6469,7542250455,257,39346,381422,5432
brianbanksmovie,tt3920820,7.0,1759,2342082752,102,14477,217458,2486
brightburnmovie,tt7752126,6.1,62918,8183268042,97,23398,217059,5475
brittanyrunsmov,tt7671064,6.8,10344,10855841149,88,10642,158765,4147
captainmarvelofficial,tt4154664,6.9,396773,8289987854,251,1089209,6378308,53020
captivestatemovie,tt5968394,6.0,42594,6738026218,81,3060,11838,421
catsmovie,tt5697572,2.8,27036,8511966686,48,86141,619382,19052
charliesangels,tt5033998,4.4,28227,8211108240,165,270772,3750510,33681
childsplaymovie,tt8663516,5.8,33171,8014689569,130,94281,4347113,108687
clarathefilm,tt6613878,6.7,2569,4751500218,214,40518,291231,5446
coldpursuitmovie,tt5719748,6.2,48171,8545434395,48,1521,9213,407
countdown,tt10039344,5.3,13827,10942513443,56,31791,183222,5759
currentwarmovie,tt2140507,6.5,10130,14733601666,55,1762,24006,294
darkwatersmovie,tt9071322,7.6,18951,13564491008,78,8643,29507,989
detectivepikachumovie,tt5884052,6.6,115915,4956568977,199,212803,3138544,38489
disneyaladdin,tt6139732,7.0,188794,8693706262,167,656446,6905536,71700
disneyfrozen,tt4520988,7.0,79096,3274644968,558,769334,9924986,98751
disneymaleficent,tt4777008,6.7,56370,7820668447,180,298722,5392417,44445
doctorsleepmovie,tt5606664,7.4,80073,8575344230,72,27613,171823,3848
dolemiteismyname,tt8526872,7.3,39825,17398433280,118,13707,55072,2047
dontletgomovie,tt6803212,6.1,2929,16423785418,42,9941,524983,5514
doramovie,tt7547410,6.0,16056,11787472191,74,50589,266551,7286
downtonabbey_official,tt6398184,7.4,28234,581478404,1013,621147,11695379,207197
dumbo,tt3861390,6.3,56279,5706103588,113,86065,536342,11653
escaperoom,tt5886046,6.3,68681,8614883593,95,15916,71076,3675
everybodyknowsmovie,tt4964788,6.9,24471,7704659114,89,3320,23966,434
