Account,tconst,averageRating,numVotes,Uid,Posts,Followers,Likes,Comments,averageRating_norm,numVotes_norm,Posts_norm,Followers_norm,Likes_norm,Comments_norm
21bridgesmovie,tt8688634,6.6,18694,8600709558,81,15595,73032,1468,0.6599999999999999,0.026112660536840332,0.016297087897408497,0.0011656141050460913,0.000188904462867731,0.00045688970295030407
47metersdown,tt7329656,5.0,12683,4773990401,61,38297,234154,5986,0.5,0.01753309221287492,0.010953780390061448,0.002924105028275515,0.0006277323707985626,0.0019927733918859245
abeautifuldaymovie,tt3224458,7.4,29979,9457986739,133,32213,245879,3323,0.74,0.04221986874445133,0.030189687416510822,0.002452839995374105,0.0006596662918055573,0.001087492678376505
abominablemovie,tt6324278,7.0,18487,8751027688,134,19847,152470,2489,0.7,0.025817207094308167,0.030456852791878177,0.0014949729018733098,0.00040525984171239156,0.0008039763002064503
adastramovie,tt2935510,6.6,147914,8014594288,118,19262,349380,8189,0.6599999999999999,0.21054982886537313,0.02618220678600054,0.0014496589564020202,0.000941559064355234,0.0027416781653974718
adogsjourneymovie,tt8385474,7.4,12969,2226168062,212,59678,528166,11321,0.74,0.01794130324941694,0.051295752070531664,0.004580271640449257,0.0014284962073110171,0.0038063943481655912
aftermathmovie,tt5977276,6.3,13315,4736097525,51,2511,17453,380,0.63,0.018435152964953797,0.008282126636387926,0.00015213092120617514,3.7530868356195057e-05,8.702661008577221e-05
aftermovie,tt4126476,5.4,24503,7165204352,55,2288226,24096968,459256,0.54,0.03440391197485648,0.009350788137857335,0.1772030110458358,0.06561990442031732,0.15608086539804986
ahiddenlifefilm,tt5827916,7.6,6785,14231496569,37,2274,10933,187,0.76,0.009114810067683101,0.00454181138124499,0.00013377296381011428,1.9773157058488833e-05,2.14167048257955e-05
alitamovie,tt0437086,7.3,193030,4860003337,353,130827,1867811,26006,0.73,0.2749444062242192,0.08896606999732835,0.010091454386324082,0.005077120310288879,0.00879852625874983
angelhasfallen,tt6189022,6.4,52701,2257167728,217,29820,188705,5298,0.64,0.07465123647979356,0.05263157894736843,0.0022674788474889842,0.0005039485946069292,0.0017588893772804116
angrybirdsmovie,tt6095472,6.4,14209,9187107504,221,36609,286290,7328,0.64,0.01971116928197677,0.05370024044883784,0.0027933529941634866,0.0007697286953717547,0.0024489831994449333
annabellemovie,tt8350360,5.9,45505,3473428697,337,152264,1657340,32497,0.5900000000000001,0.06438030424568024,0.08469142399145071,0.011751958743705332,0.004503886682292018,0.01100512675119806
annamovie,tt7456310,6.6,41431,8634923563,41,11231,70242,1573,0.6599999999999999,0.05856543794193126,0.0056104728827144,0.0008275798178038569,0.00018130568763451008,0.0004925842109932966
apollo11movie,tt8760684,8.2,16270,8189776099,120,4951,21220,436,0.82,0.022652857905449186,0.02671653753673524,0.00034113267667616867,4.77905767087195e-05,0.00010606368104203488
arcticdogsmovie,tt4426464,4.3,787,14931304133,38,69556,17392,1534,0.43,0.0005537967908332357,0.0048089767566123435,0.0053454189111593374,3.736473025969811e-05,0.00047932625086304217
arcticmovie,tt6820256,6.8,35537,7723428855,43,1892,17254,424,0.6799999999999999,0.05015286504200577,0.006144803633449106,0.00010418334471604153,3.698887686106568e-05,0.0001019843086942643
artofracingmovie,tt1478839,7.5,15052,7717548150,105,18409,322003,6110,0.75,0.020914392721854132,0.022709056906224954,0.0013835858017233707,0.0008669957419323348,0.0020349269061462204
avengers,tt4154796,8.5,675253,6622284809,376,11509977,121203325,653011,0.85,0.9632267512396198,0.09511087363077747,0.8915174075651672,0.33009638490773974,0.22194743116824045
beachbummovie,tt6511932,5.5,14316,7144195509,122,10217,100090,3835,0.55,0.01986389159285088,0.027250868287469945,0.0007490356456536219,0.0002625989647532118,0.0012615458985480493
bernadettefilm,tt2365580,6.5,9876,4904701525,159,8460,117536,3405,0.65,0.013526629347233442,0.03713598717606198,0.0006129388897680569,0.000310114460351338,0.0011153683894196038
blackandbluemovie,tt7390646,6.2,8160,12643428248,123,14540,49736,1602,0.62,0.011077363127981295,0.0275180336628373,0.0010838940837260738,0.00012545605145801257,0.0005024426941670755
blackchristmas,tt10481868,3.2,5684,14505673815,54,13424,248368,7498,0.32,0.007543340308127967,0.009083622762489982,0.0009974490185193062,0.0006664452708577031,0.0025067743077050167
blindedbythelightmovie,tt8266310,6.9,12686,10733606431,85,7094,37952,942,0.6900000000000001,0.017537374146824658,0.017365749398877906,0.0005071288905991999,9.336143950522573e-05,0.00027807721503969395
bombshellmovie,tt6394270,6.8,37040,9128486897,103,33500,168519,3018,0.6799999999999999,0.052298113950826265,0.02217472615549025,0.0025525306754109415,0.0004489705025432025,0.000983808631204003
booksmart,tt1489887,7.2,67127,7124620156,190,40473,858865,13714,0.72,0.09524162953278391,0.04541811381244991,0.003092657413481542,0.0023291798527772982,0.004619889183850172
breakthroughmovie,tt7083526,6.1,6469,7542250455,257,39346,381422,5432,0.61,0.008663779691643662,0.06331819396206252,0.0030053602911804425,0.001028827865797121,0.001804442368497183
brianbanksmovie,tt3920820,7.0,1759,2342082752,102,14477,217458,2486,0.7,0.0019411433905494862,0.0219075607801229,0.0010790141203676272,0.0005822595567147431,0.0008029564571195076
brightburnmovie,tt7752126,6.1,62918,8183268042,97,23398,217059,5475,0.61,0.08923407620129657,0.020571733903286135,0.001770032423870829,0.000581172850149132,0.0018190601194100276
brittanyrunsmov,tt7671064,6.8,10344,10855841149,88,10642,158765,4147,0.6799999999999999,0.014194611043393118,0.018167245524979964,0.0007819560333891741,0.0004224047485558058,0.0013676095795900844
captainmarvelofficial,tt4154664,6.9,396773,8289987854,251,1089209,6378308,53020,0.6900000000000001,0.5657490957982809,0.061715201709858405,0.08432747094814513,0.0173617987666033,0.01798187330897268
captivestatemovie,tt5968394,6.0,42594,6738026218,81,3060,11838,421,0.6,0.06022540100311439,0.016297087897408497,0.00019465631618692368,2.2237992752418917e-05,0.00010096446560732165
catsmovie,tt5697572,2.8,27036,8511966686,48,86141,619382,19052,0.27999999999999997,0.0380192915397549,0.007480630510285868,0.006630088630204355,0.00167692985665635,0.006434529983216782
charliesangels,tt5033998,4.4,28227,8211108240,165,270772,3750510,33681,0.44000000000000006,0.03971921931780228,0.038738979428266096,0.020931557119622544,0.01020479290269382,0.011407624822844757
childsplaymovie,tt8663516,5.8,33171,8014689569,130,94281,4347113,108687,0.58,0.046775846466976294,0.029388191290408764,0.007260610880009989,0.011829686128667045,0.03690574168258472
clarathefilm,tt6613878,6.7,2569,4751500218,214,40518,291231,5446,0.67,0.003097265556979695,0.051830082821266374,0.0030961431015947183,0.0007831858811880072,0.0018092016362362487
coldpursuitmovie,tt5719748,6.2,48171,8545434395,48,1521,9213,407,0.62,0.06818551621568388,0.007480630510285868,7.54457827163007e-05,1.5088607452345473e-05,9.620519786825599e-05
countdown,tt10039344,5.3,13827,10942513443,56,31791,183222,5759,0.53,0.019165936359043016,0.009617953513224687,0.0024201519868460976,0.000489015230949671,0.0019156052649739312
currentwarmovie,tt2140507,6.5,10130,14733601666,55,1762,24006,294,0.65,0.013889166421644889,0.009350788137857335,9.411357905575498e-05,5.537845764053078e-05,5.7791108260083105e-05
darkwatersmovie,tt9071322,7.6,18951,13564491008,78,8643,29507,989,0.76,0.02647947954520152,0.015495591771306442,0.0006271140214283064,7.03608456541323e-05,0.0002940547567351287
detectivepikachumovie,tt5884052,6.6,115915,4956568977,199,212803,3138544,38489,0.6599999999999999,0.16487729404611356,0.04782260219075608,0.01644129369222908,0.008538057388581535,0.013042093343518166
disneyaladdin,tt6139732,7.0,188794,8693706262,167,656446,6905536,71700,0.7,0.2688983154871841,0.039273310179000806,0.050805763283202174,0.018797743952503155,0.02433209626366887
disneyfrozen,tt4520988,7.0,79096,3274644968,558,769334,9924986,98751,0.7,0.11232511868093598,0.1437349719476356,0.059550037943651615,0.027021443550334298,0.03352802137863068
disneymaleficent,tt4777008,6.7,56370,7820668447,180,298722,5392417,44445,0.67,0.07988804170032743,0.04274646005877639,0.02309655673658415,0.014676650338841508,0.01506682181879496
doctorsleepmovie,tt5606664,7.4,80073,8575344230,72,27613,171823,3848,0.74,0.11371960183723513,0.013892599519102326,0.002096525210471658,0.0004579691955075616,0.0012659652185914676
dolemiteismyname,tt8526872,7.3,39825,17398433280,118,13707,55072,2047,0.73,0.056273175967502975,0.02618220678600054,0.0010193701237643914,0.00013998904953846662,0.0006537194187302342
dontletgomovie,tt6803212,6.1,2929,16423785418,42,9941,524983,5514,0.61,0.0036110976309486763,0.005877638258081753,0.0007276567585594751,0.0014198270669642994,0.001832318079540282
doramovie,tt7547410,6.0,16056,11787472191,74,50589,266551,7286,0.6,0.02234741328370096,0.014426930269837029,0.003876240101323532,0.0007159680414905548,0.0024347053962277365
downtonabbey_official,tt6398184,7.4,28234,581478404,1013,621147,11695379,207197,0.74,0.039729210497018344,0.26529521773978093,0.04807151206749098,0.03184324228921161,0.07039398918082464
dumbo,tt3861390,6.3,56279,5706103588,113,86065,536342,11653,0.63,0.0797581563705186,0.024846379909163774,0.00662420169027988,0.0014507641593923125,0.003919256983120577
escaperoom,tt5886046,6.3,68681,8614883593,95,15916,71076,3675,0.63,0.09745967131875002,0.020037403152551432,0.0011904786802534144,0.00018357714947841913,0.0012071542672444419
everybodyknowsmovie,tt4964788,6.9,24471,7704659114,89,3320,23966,434,0.6900000000000001,0.0343582380127259,0.018434410900347316,0.00021479584750749676,5.5269514626434426e-05,0.0001053837856507398
fastandfuriousmovie,tt6806448,6.5,134511,211430315,876,3933998,31936779,355189,0.65,0.1914195752892446,0.22869356131445367,0.3046840754324597,0.08697222042746172,0.12070352855509651
