username,text,genre
tt9413906,"The narrative is of Suzan, a Christian nun reminiscing over two deaths; one that filled her heart with light and another that darkened her soul forever.",Crime
tt9319530,"Following a young girl struggling to get out of the drug dealing in Rangoon, a noir film mixed with romantic comedy coming from a country barely unknown on foreign screens, Myanmar.",Crime
tt9304196,"""A"", ""One"", and ""C"", are criminals who kidnap a rich American for ransom, but they can't get his wife to respond to their messages. To help calm his nerves, ""C"" starts a conversation with the American without the others knowing, and the two soon begin to bond.",Crime
tt9283478,"Somewhere in a southern county of China, summer has just begun and it's already greeted by a series of indecent assault, victims are identical: Girl in one-piece dress. During the process of hunting the criminal, summer ends and autumn comes. A lot seems to have happened and yet it feels as peaceful as just another normal day with nothing occurred.",Crime
tt9233940,"Nine Nine (As Zaw Htike) is a psychopathic disorder . He is getting medical treatment for his illness at Psychiatric Hospital. Khar Ra (As Aung Myat) and Shwe Tha Mee (As Thariphy) are falling in love each other . One day, they come to make a donation to the hospital for the guys who having mental disorder. In that moment, Zaw Htike sees Thriphy when they come to the hospital and she looks like Zaw Htike's wife who was killed by himself . After that he thinks she is not dead yet even he killed . Consequently , he runs away to get that girl from the hospital. So what is gonna be happened next? What happened in the past time ? This is called ""The Poisonous Man"". ""The Poisonous Man"" is a 2018 Horror and Action movie directed by Steel ( Dway Myitter) .",Crime
tt9204566,The murder claims things aren't what they seem.,Crime
tt9183176,"Two friends in the Italian mob accidentally double cross one another, and must protect their own lives and those of their allies, all while the Don is on a mad search for the traitors within his ranks.",Crime
tt9146260,"When treachery and murder turn Danny's world upside down, nothing will stop him from pursuing revenge. Blending modern and classical, this retelling of Hamlet casts the Danish Prince as the heir apparent in a crime family, who sees his world crumble as his power-hungry uncle launches a chain of events that will bring their whole world tumbling down.",Crime
tt9144712,"This is a story of 3 longtime friends that hit a point to where they were tired of being broke, so they took measures into their hands and did what they had to do not knowing that what they were doing (becoming jackboiz) was going to put them in a situation that is real hard to get out of.",Crime
tt9071394,"This film, inspired by 'Blessings or misfortunes' from ""Tao Te Ching"", describes China today as a masquerade. The flashy performances hide anxiety, greed, hatred and distortion. Young Song Fei's greed led to a revenge plan. Three men of youth, middle-aged and elderly, and a young girl are entangled with each other, exposing the dark side of human nature. Finally, the three persons push themselves to death. The absurd and true human nature pushes the contradictions one by one to madness. The film as a whole is gray in the expression of human nature, but it is more restrained and rational in dealing with the dark characteristics such as greed, selfishness, cruelty, distortion, and resentment. In the cold and powerless reality, Each character in the story is usually present, anxious, changed, and abandoned; it is like a weak struggle in the mud, like a cry without a voice. The film is expecting the audience to think over and awaken.",Crime
tt9054078,"A teenage burnout and a young hustler cross paths over the course of one night, eventually finding themselves connected to the same death.",Crime
tt9042348,Miguel confesses his crimes to his dead mother.,Crime
tt9027454,"Characters Although the three main character are all from working class society, they obtain very different characteristics and personalities. While building the characters, the focus on their living environment, language and behavior enriches their personalities, making the story more realistic. Keynote: This is a crime genre film. The storyline sets an upbeat pace with abundant intensity. Suitable for multi-line parallelism and omniscient perspective to explore and explain the story. By narrating the motives and actions of the characters who discovered, purchased and committed murder, their point of view are intertwined together to create and accentuate the mood of mystery. The hand held camera technique with sharp cuts between shots, makes the story more succinct and clear. The main theme: By using a crime story, a series emotions of every day ordinary people unfolds. The working people who struggle to survive among this society. When their life is interrupted and goes into turmoil, emotional values become the last standards. Right or wrong does not exist, each holds personal miseries. All is made for the last effort to survive.",Crime
tt9018580,"Following a tragedy, a young woman returns to her home town and embarks on a dangerous affair whilst sinking deeper into alcohol and drug addiction.",Crime
tt9013006,"Obtaining a new job offer, Catherine finally arrives New York and ends a long-distance relationship with her boyfriend, Ethan. She moves in a luxury apartment in midtown Manhattan. However, she starts to feel a strange presence that harasses her sexually. Just the second day of arrival, the evil entity locks her in her own apartment. She is completely isolated and has to survive with limited resources. After losing her freedom, she starts to realize how ignorant and ungrateful she was in life. Will Catherine leave her apartment alive?",Crime
tt8982650,Stories of a Madman is a collection of short stories with each story taking place in a different hotel room at the same hotel on the same night: Christmas Eve. Each story shares the theme of 'Crime Story with a supernatural twist'.,Crime
tt8974570,"With time running out and desperate for cash, two Mongolian immigrants turn to crime as their only solution.",Crime
tt8907844,"In a small Maharashtrian town, a woman's rise in the political hierarchy creates ripples across the social-political spectrum. Directed by Makarand Mane, KaaGaR stars Rinku Rajguru in the lead role.Guruji known to be a close aide of Aabaasaheb switches to the party of Bhaiyaasaheb during the upcoming elections as Bhaiyaasaheb is a youth leader and believes in developing changes.Yuvraj a hot tempered guy ready to do anything for Guruji and Bhaiyasaheb he secretly romances Rani daughter of Guruji.Rani and Yuvraj plan to elope and get married.On the wedding day Yuvraj has to rush to help Guruji who is depressed as Aabaashaeb might eliminate him and also tells he was responsible for death of Yuvraj's father.Guruji and Yuvraj then plan to kill Aabaasaheb during a meeting.",Crime
tt8905306,"Anna travels to Tibet to find a high-altitude church to serve a mission and meet Father Edward.She is lost in the new environment. However, having passed acclimatization, Anna is happily beginning to overcome the difficulties of her transition.",Crime
tt8824508,"Weilai Liu (also known as Runlai Liu) Born in 1976, Runlai entered the Beijing Academy for Applied Art in 1992. He has worked as both a designer and filmmaker. In 2017 he began creating independent films. He currently lives in Beijing.",Crime
tt8820540,A retired detective gets pulled into a larger conspiracy when he decides to investigate the abduction of a high school student.,Crime
