username,acc,truth,top_n,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
21bridgesmovie,1.0,"['Action', 'Crime', 'Drama']","['Drama', 'Action', 'Crime']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47metersdown,0.6666666666666666,"['Adventure', 'Drama', 'Horror']","['Adventure', 'Drama', 'Action']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
abeautifuldaymovie,1.0,"['Biography', 'Drama']","['Drama', 'Biography']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
abominablemovie,0.6666666666666666,"['Adventure', 'Animation', 'Comedy']","['Comedy', 'Adventure', 'Action']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adastramovie,0.6666666666666666,"['Adventure', 'Drama', 'Mystery']","['Action', 'Drama', 'Adventure']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
adogsjourneymovie,0.6666666666666666,"['Adventure', 'Comedy', 'Drama']","['Comedy', 'Drama', 'Animation']",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aftermathmovie,0.3333333333333333,"['Drama', 'Romance', 'War']","['Drama', 'Horror', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
aftermovie,0.5,"['Drama', 'Romance']","['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ahiddenlifefilm,0.3333333333333333,"['Biography', 'Drama', 'War']","['Drama', 'Action', 'Adventure']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alitamovie,1.0,"['Action', 'Adventure', 'Sci-Fi']","['Adventure', 'Action', 'Sci-Fi']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
angelhasfallen,0.0,"['Action', 'Thriller']","['Adventure', 'Drama']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
angrybirdsmovie,1.0,"['Adventure', 'Animation', 'Comedy']","['Comedy', 'Adventure', 'Animation']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annabellemovie,0.0,"['Horror', 'Mystery', 'Thriller']","['Drama', 'Biography', 'History']",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
