username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
21bridgesmovie,0.7403325,0.04641229,0.0012343228,0.07800311,0.04722792,0.77966005,0.0035141408,0.96994805,0.0005529821,0.003929198,0.012829274,0.0048259795,0.011014134,0.008826315,0.0012391508,0.04559806,0.017866492,0.08499709,0.0096692145,0.0075211227
47metersdown,0.10757056,0.3934739,0.018176645,0.016501248,0.056585103,0.0054530203,0.0034158826,0.5544187,0.010423452,0.08535406,0.0039085746,0.03577757,0.01719138,0.0100669265,0.013702989,0.0056521,0.012122154,0.011898398,0.0057447553,0.0032844841
abeautifuldaymovie,0.0022382736,0.0047019124,0.0029704273,0.8303721,0.012050778,0.037428707,0.0068617463,0.9996612,0.00226444,0.00090023875,0.19191164,0.0027005076,0.077087134,0.0115119815,0.055143684,0.028256208,0.08357981,0.013628632,0.049725443,0.0068574846
abominablemovie,0.13258293,0.22337338,0.17511299,0.15571886,0.43758678,0.08429018,0.062467635,0.34124434,0.0632444,0.07789016,0.06726098,0.14023945,0.092968225,0.09722659,0.15733975,0.0968661,0.055829853,0.08920276,0.06688219,0.040679008
adastramovie,0.6726684,0.5056102,0.0020911098,0.010866165,0.010102689,0.041214645,0.00088095665,0.80947745,0.00093215704,0.025032818,0.0016545057,0.00949049,0.004149437,0.0048633516,0.00051781535,0.009533644,0.005578339,0.018918544,0.0017938018,0.0017537475
adogsjourneymovie,0.06735203,0.18884918,0.2860815,0.16442364,0.77854043,0.13062537,0.06382465,0.41512543,0.08575904,0.055062145,0.0646933,0.14089039,0.10543844,0.14337349,0.11037007,0.056706935,0.0669114,0.05662328,0.07797989,0.04172814
aftermathmovie,0.045909047,0.07362458,0.054237872,0.15856674,0.16325709,0.056925118,0.032088667,0.68871987,0.024716854,0.026354462,0.05826527,0.14116818,0.061306715,0.10441691,0.08816615,0.0547435,0.04124698,0.11142865,0.03966683,0.021437526
aftermovie,0.09694141,0.14856526,0.03617674,0.037323564,0.156607,0.044683427,0.009791106,0.4588077,0.00826928,0.014757127,0.013265252,0.04895419,0.018166363,0.03393483,0.020393133,0.027198762,0.012804151,0.070248395,0.01203686,0.007382959
ahiddenlifefilm,0.19308779,0.17648414,0.059724063,0.20263141,0.17939246,0.15237144,0.032598555,0.7292093,0.020819008,0.037347227,0.06052777,0.08534485,0.06349182,0.09212768,0.044023007,0.08405027,0.053232312,0.10139164,0.046421915,0.029702693
alitamovie,0.9976151,0.99367875,5.6385994e-05,0.0003194213,1.2814999e-05,8.4131956e-05,7.8082085e-06,0.008756518,2.682209e-07,3.7670135e-05,3.0428171e-05,3.4570694e-06,3.1590462e-06,5.364418e-07,8.225441e-06,0.67778885,5.5730343e-06,0.0011590123,9.5665455e-06,7.867813e-06
angelhasfallen,0.14068702,0.46801513,0.21822539,0.10109061,0.33239925,0.05509302,0.025492728,0.35707465,0.03298402,0.033371985,0.033276618,0.053937495,0.039500207,0.06545368,0.03548014,0.06667346,0.026619077,0.052467197,0.031086445,0.01917544
angrybirdsmovie,0.012706161,0.9315038,0.84833586,0.005673647,0.9916984,0.005039245,0.0013858378,0.058612227,0.0148848295,0.0019909441,0.00078991055,0.0014325678,0.0041721463,0.0070566535,0.0013262033,0.0020661354,0.002676636,0.00024706125,0.0037489235,0.0009836257
annabellemovie,0.00032517314,0.00058081746,8.5264444e-05,0.4761718,0.00049233437,0.0061371922,0.00046753883,0.99989855,5.4746866e-05,1.4215708e-05,0.040063173,0.0012302995,0.0040607452,0.004417777,0.001596421,0.012969077,0.0062161386,0.019121021,0.0028015077,0.0003747344
annamovie,0.18558478,0.34403157,0.096713305,0.05671069,0.1454944,0.08353272,0.015249938,0.3912051,0.014061362,0.01901117,0.021394908,0.08520281,0.020143002,0.09765321,0.0119811,0.058334023,0.016294211,0.15086049,0.0155956745,0.013118535
apollo11movie,0.02454409,0.03225386,0.028908432,0.17669669,0.0375579,0.009931773,0.04660362,0.2831218,0.009499282,0.0035244226,0.1204412,0.078220874,0.024374545,0.027217,0.31737927,0.4021274,0.011563271,0.1946378,0.02820611,0.012705535
arcticdogsmovie,0.05253935,0.4240573,0.07200006,0.06289175,0.17595887,0.011125684,0.005525112,0.70384455,0.012969255,0.022196501,0.010794282,0.01808244,0.023361385,0.018498033,0.015668184,0.013675332,0.017960101,0.009111106,0.012515962,0.0052948296
arcticmovie,0.06930509,0.44437972,0.06148255,0.069662094,0.055812985,0.01026547,0.006493449,0.70938843,0.01305896,0.030656993,0.013411075,0.036322087,0.024417222,0.03387335,0.017506123,0.017947674,0.019053906,0.023251712,0.012246758,0.0065255165
artofracingmovie,0.011621505,0.023694843,0.026971877,0.056007862,0.6300753,0.011222005,0.015503168,0.53047293,0.018789977,0.026207626,0.016370147,0.025282353,0.06393057,0.0056378245,0.37222102,0.009623408,0.029173017,0.0073513687,0.030235708,0.007435322
avengers,0.9986246,0.99537253,0.001565367,0.0017246008,0.0004671514,0.0010320246,0.00014081597,0.0019304156,4.6789646e-06,0.00013935566,0.00029462576,1.2874603e-05,2.4348497e-05,4.3213367e-06,0.00014960766,0.93188024,3.3706427e-05,0.004336238,0.00011473894,0.00010704994
beachbummovie,0.11133662,0.12281674,0.06733242,0.036543906,0.8369434,0.06067255,0.018361807,0.20589983,0.015862972,0.02498725,0.012813002,0.03402257,0.036018968,0.012468666,0.07939255,0.028428316,0.020653188,0.012396902,0.025882483,0.010849029
bernadettefilm,0.0015977323,0.02908498,0.05383706,0.028074265,0.8679961,0.04042244,0.0026258826,0.92291826,0.0068181157,0.0019156933,0.004275918,0.06542474,0.01732552,0.13777113,0.002307713,0.0008662045,0.01598978,0.0042017996,0.007288605,0.0023532808
blackandbluemovie,0.5904853,0.036266655,0.0011650324,0.048772246,0.040273458,0.46694094,0.0036692321,0.9190717,0.0006246269,0.0048164725,0.010192364,0.007422477,0.010392934,0.00624004,0.0034980774,0.039752364,0.012655973,0.07836479,0.008033276,0.0057209134
blackchristmas,0.0015051663,0.003895104,0.0025557876,0.062800944,0.03924811,0.0032819211,0.0042342544,0.94744617,0.0035400093,0.004815966,0.0147897005,0.053925395,0.025690705,0.013182938,0.09483981,0.0041018724,0.014465183,0.019723296,0.009236813,0.0022087693
blindedbythelightmovie,0.034340918,0.06628662,0.039839208,0.16318557,0.35951787,0.05897039,0.019627512,0.82912004,0.017778546,0.01965177,0.04107237,0.046487093,0.060011744,0.037758738,0.06197241,0.02792406,0.043138176,0.027112693,0.038628817,0.014092296
bombshellmovie,0.0049423873,0.038482934,0.018359512,0.052432477,0.2883132,0.0019964576,0.004849851,0.66896033,0.0056813955,0.005058199,0.011181623,0.0061654747,0.022424549,0.0018008649,0.1629459,0.010394901,0.01037097,0.0028900206,0.011521965,0.0021431744
booksmart,0.0521625,0.08005625,0.059892237,0.13905886,0.25955802,0.033311754,0.04153812,0.49010733,0.03486213,0.047757864,0.056925952,0.09999111,0.079600364,0.04107532,0.25991732,0.061417073,0.04449773,0.06184405,0.0512079,0.023064166
breakthroughmovie,0.033111334,0.06746316,0.023981571,0.07879251,0.48496175,0.09368533,0.006815076,0.89034843,0.0068814754,0.007915229,0.013599992,0.039344877,0.025816709,0.050793648,0.0065145493,0.0078525245,0.024382979,0.01586631,0.01530987,0.006295353
brianbanksmovie,0.0014850199,0.0041335225,0.0019061863,0.7288503,0.014084339,0.057007223,0.0034314096,0.9999181,0.0026352704,0.0025139153,0.08505359,0.011654884,0.08929634,0.05194363,0.010465056,0.002864033,0.12473962,0.010263354,0.034092635,0.0056233704
brightburnmovie,0.035718232,0.039412647,0.022203475,0.078172565,0.0998314,0.010883212,0.02890855,0.34618038,0.016643643,0.028263748,0.04028347,0.124293834,0.04281491,0.023193985,0.32213455,0.06323224,0.0202322,0.07898462,0.026924133,0.0124152005
brittanyrunsmov,0.008362144,0.026408374,0.010471046,0.018620491,0.17652303,0.0056016743,0.008400053,0.57124317,0.016660929,0.04999736,0.008024305,0.3064756,0.029239327,0.043278128,0.045414895,0.004240155,0.015642911,0.033996046,0.009036005,0.0042098165
captainmarvelofficial,0.15256,0.18744302,0.027787656,0.07884842,0.07221034,0.024846673,0.016832918,0.46575773,0.012384951,0.03483981,0.02733469,0.053328097,0.030386448,0.02199772,0.065686256,0.07028946,0.020120889,0.06533468,0.019622415,0.011574239
