username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
adogsjourneymovie,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aftermathmovie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
aftermovie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
alitamovie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
angelhasfallen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
angrybirdsmovie,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annabellemovie,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
annamovie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
apollo11movie,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
arcticmovie,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
artofracingmovie,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
avengers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
beachbummovie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bernadettefilm,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
blindedbythelightmovie,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
booksmart,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
breakthroughmovie,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brianbanksmovie,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
brightburnmovie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
brittanyrunsmov,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
captainmarvelofficial,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
captivestatemovie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
childsplaymovie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
clarathefilm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
coldpursuitmovie,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
detectivepikachumovie,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disneyaladdin,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
doramovie,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dumbo,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
escaperoom,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
everybodyknowsmovie,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
fastandfuriousmovie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fightingwmyfam,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fivefeetapartfilm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
glassmovie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
gloriabellmovie,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
godzillamovie,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
goodboysmovie,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gretafilm,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
happydeathdaymovie,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
hellboymovie,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hersmellmovie,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
highlifemovie,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
hotelmumbaifilm,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
httydragon,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hustlemovie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isntitromantic,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
johnwickmovie,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lalloronamovie,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
lastblackmansf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
latenightmovie,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lionking,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
littlethemovie,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
littlewoodsfilm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
longshotmovie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mamovie2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
meninblack,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
midsommarmovie,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
