tconst,text,genre,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt9413906,"The narrative is of Suzan, a Christian nun reminiscing over two deaths; one that filled her heart with light and another that darkened her soul forever.",Crime,movie,A Tale of a Day & a Night,A Tale of a Day & a Night,0,2018,\N,117,"Crime,Drama,Mystery"
tt9319530,"Following a young girl struggling to get out of the drug dealing in Rangoon, a noir film mixed with romantic comedy coming from a country barely unknown on foreign screens, Myanmar.",Crime,movie,Ma Ma,Ma Ma,0,2018,\N,104,"Crime,Drama,Romance"
tt9304196,"""A"", ""One"", and ""C"", are criminals who kidnap a rich American for ransom, but they can't get his wife to respond to their messages. To help calm his nerves, ""C"" starts a conversation with the American without the others knowing, and the two soon begin to bond.",Crime,movie,The Wrong Crowd,The Wrong Crowd,0,2018,\N,77,"Crime,Drama,Thriller"
tt9283478,"Somewhere in a southern county of China, summer has just begun and it's already greeted by a series of indecent assault, victims are identical: Girl in one-piece dress. During the process of hunting the criminal, summer ends and autumn comes. A lot seems to have happened and yet it feels as peaceful as just another normal day with nothing occurred.",Crime,movie,Summer Arousal,Summer Arousal,0,2018,\N,104,"Comedy,Crime,Mystery"
tt9233940,"Nine Nine (As Zaw Htike) is a psychopathic disorder . He is getting medical treatment for his illness at Psychiatric Hospital. Khar Ra (As Aung Myat) and Shwe Tha Mee (As Thariphy) are falling in love each other . One day, they come to make a donation to the hospital for the guys who having mental disorder. In that moment, Zaw Htike sees Thriphy when they come to the hospital and she looks like Zaw Htike's wife who was killed by himself . After that he thinks she is not dead yet even he killed . Consequently , he runs away to get that girl from the hospital. So what is gonna be happened next? What happened in the past time ? This is called ""The Poisonous Man"". ""The Poisonous Man"" is a 2018 Horror and Action movie directed by Steel ( Dway Myitter) .",Crime,movie,Toxic Man,Toxic Man,0,2018,\N,103,"Action,Crime,Drama"
tt9204566,The murder claims things aren't what they seem.,Crime,movie,The Suspect Said,The Suspect Said,0,2018,\N,104,"Crime,Drama"
tt9183176,"Two friends in the Italian mob accidentally double cross one another, and must protect their own lives and those of their allies, all while the Don is on a mad search for the traitors within his ranks.",Crime,movie,Don of the Damned,Don of the Damned,0,2018,\N,198,"Action,Comedy,Crime"
tt9146260,"When treachery and murder turn Danny's world upside down, nothing will stop him from pursuing revenge. Blending modern and classical, this retelling of Hamlet casts the Danish Prince as the heir apparent in a crime family, who sees his world crumble as his power-hungry uncle launches a chain of events that will bring their whole world tumbling down.",Crime,movie,Hell Is Empty,Hell Is Empty,0,2018,\N,96,"Action,Crime,Drama"
tt9144712,"This is a story of 3 longtime friends that hit a point to where they were tired of being broke, so they took measures into their hands and did what they had to do not knowing that what they were doing (becoming jackboiz) was going to put them in a situation that is real hard to get out of.",Crime,movie,Jack Boiz The Movie,Jack Boiz The Movie,0,2018,\N,92,"Action,Crime,Drama"
tt9071394,"This film, inspired by 'Blessings or misfortunes' from ""Tao Te Ching"", describes China today as a masquerade. The flashy performances hide anxiety, greed, hatred and distortion. Young Song Fei's greed led to a revenge plan. Three men of youth, middle-aged and elderly, and a young girl are entangled with each other, exposing the dark side of human nature. Finally, the three persons push themselves to death. The absurd and true human nature pushes the contradictions one by one to madness. The film as a whole is gray in the expression of human nature, but it is more restrained and rational in dealing with the dark characteristics such as greed, selfishness, cruelty, distortion, and resentment. In the cold and powerless reality, Each character in the story is usually present, anxious, changed, and abandoned; it is like a weak struggle in the mud, like a cry without a voice. The film is expecting the audience to think over and awaken.",Crime,movie,Urban weeds,Urban weeds,0,2018,\N,91,"Comedy,Crime,Thriller"
tt9054078,"A teenage burnout and a young hustler cross paths over the course of one night, eventually finding themselves connected to the same death.",Crime,movie,The Saints of Augustine,The Saints of Augustine,0,2018,\N,73,"Crime,Drama,Mystery"
tt9042348,Miguel confesses his crimes to his dead mother.,Crime,movie,The Shore,The Shore,0,2018,\N,70,"Crime,Drama"
tt9027454,"Characters Although the three main character are all from working class society, they obtain very different characteristics and personalities. While building the characters, the focus on their living environment, language and behavior enriches their personalities, making the story more realistic. Keynote: This is a crime genre film. The storyline sets an upbeat pace with abundant intensity. Suitable for multi-line parallelism and omniscient perspective to explore and explain the story. By narrating the motives and actions of the characters who discovered, purchased and committed murder, their point of view are intertwined together to create and accentuate the mood of mystery. The hand held camera technique with sharp cuts between shots, makes the story more succinct and clear. The main theme: By using a crime story, a series emotions of every day ordinary people unfolds. The working people who struggle to survive among this society. When their life is interrupted and goes into turmoil, emotional values become the last standards. Right or wrong does not exist, each holds personal miseries. All is made for the last effort to survive.",Crime,movie,The Underdog,The Underdog,0,2018,\N,93,"Crime,Drama,Thriller"
tt9018580,"Following a tragedy, a young woman returns to her home town and embarks on a dangerous affair whilst sinking deeper into alcohol and drug addiction.",Crime,movie,Some Kind of Love,Some Kind of Love,0,2018,\N,87,"Crime,Drama,Thriller"
tt9013006,"Obtaining a new job offer, Catherine finally arrives New York and ends a long-distance relationship with her boyfriend, Ethan. She moves in a luxury apartment in midtown Manhattan. However, she starts to feel a strange presence that harasses her sexually. Just the second day of arrival, the evil entity locks her in her own apartment. She is completely isolated and has to survive with limited resources. After losing her freedom, she starts to realize how ignorant and ungrateful she was in life. Will Catherine leave her apartment alive?",Crime,movie,Locked Alone,Locked Alone,0,2018,\N,87,"Crime,Drama,Horror"
tt8982650,Stories of a Madman is a collection of short stories with each story taking place in a different hotel room at the same hotel on the same night: Christmas Eve. Each story shares the theme of 'Crime Story with a supernatural twist'.,Crime,movie,Stories of a Madman,Stories of a Madman,0,2018,\N,84,"Comedy,Crime,Drama"
tt8974570,"With time running out and desperate for cash, two Mongolian immigrants turn to crime as their only solution.",Crime,movie,In The Land Of Lost Angels,In The Land Of Lost Angels,0,2018,\N,90,"Crime,Drama,Thriller"
