username,text,genres
47metersdown,Did you catch the 47 Meters Down: Uncaged spot last night during the #NBAFinals? In theaters nationwide August 16. #StayAlive #SharkBait,"['Adventure', 'Drama', 'Horror']"
47metersdown,Do you know what swims beneath the deep? 47 Meters Down: Uncaged comes to theaters August 16. 🦈#SharkBait  #47MetersDownUncaged,"['Adventure', 'Drama', 'Horror']"
47metersdown,"Stay. Alive. 🦈 47 Meters Down: Uncaged will be in theaters nationwide on August 16.  #sharkbait #47metersdownuncaged
..
..
#47metersdown #entertainmentstudios #indiefilm #summer #summermovie #summervibes #sharks #sharkfilm #sharkmovie #corrinefoxx #brecbassinger #sistinestallone #nialong #johncorbett #davisantos #khylinrhambo #briannetju #sophienelisse #sharkweek #comingsoon #newmovie","['Adventure', 'Drama', 'Horror']"
47metersdown,Take a bite out of summer before it takes a bite out of you. 47 Meters Down: Uncaged devours theaters in 47 days.  #SharkBait 🦈☀️🏊‍♀🏊‍👙🕶🥽🌴,"['Adventure', 'Drama', 'Horror']"
47metersdown,The Upside Down IRL. 🦈 #SharkBait,"['Adventure', 'Drama', 'Horror']"
47metersdown,Taking a bite out of summer in ONE MONTH!  47 Meters Down: Uncaged hits theaters on August 16. 🦈 #SharkBait,"['Adventure', 'Drama', 'Horror']"
47metersdown,Summer vacation just leveled up.  47 Meters Down: Uncaged is in theaters August 16th. #Sharkbait 🦈,"['Adventure', 'Drama', 'Horror']"
47metersdown,"What could possibly go wrong? 
47 Meters Down Uncaged hits theaters August 16. 🦈","['Adventure', 'Drama', 'Horror']"
47metersdown,Are you ready for seconds?  47 Meters Uncaged devours theaters August 16. 🦈,"['Adventure', 'Drama', 'Horror']"
47metersdown,It's important to have a balanced diet. 🦈🧜🏿‍♀️🦶🏽🌮🦈 47 Meters Down Uncaged takes over theaters on August 16.  #SharkBait,"['Adventure', 'Drama', 'Horror']"
47metersdown,"Go deep and explore the mysteries of the ocean.  On second thought....
.....
The underwater voyage sets off on August 16th when 47 Meters Down Uncaged hits theaters🦈🔥🌴👙🏊‍♀️☀️🧜🏽‍♀️🦈","['Adventure', 'Drama', 'Horror']"
47metersdown,The hanger is real. 🦈  47 Meters Down Uncaged devours theaters on August 16. #SharkBait,"['Adventure', 'Drama', 'Horror']"
